"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Cucina romagnola","Cucina romagnola tradizionale, piatti buoni ma un po’ scarsi come quantità. Di cappelletti ne avrei mangiati molti di più. Il pane era crudo. "
"ui_bubble_rating bubble_30","Nella norma","Servizio un po' lento, pranzo (gnocchi al salmone) buoni, e dolce (semifreddo croccante) squisito. Costo onestissimo"
"ui_bubble_rating bubble_30","Cucina tradizionale ","La storica gestione del ristorante non riserva sorprese, salvo qualche piatto di pesce inserito nel menu, e non si sbaglia tra tagliatelle e coniglio."
"ui_bubble_rating bubble_40","SEMPLICITÀ e BUONGUSTO","Ottimi materiali, cucina casalinga, piatti semplici ben cucinati.Servizio gentile e con sorriso.1/4 rosso, mezza acqua, un crudo, secondo con contorno abbondante, un amaro per 20,00 euro nel serale."
"ui_bubble_rating bubble_40","pranzo di lavoro","Piatti tradizionali, veloci tenendo conto che a pranzo non c'è sempre molto tempo a disposizione. Per il pranzo è perfetto. Consigliato!!!"
"ui_bubble_rating bubble_30","pranzo di lavoro","Abbastanza veloci, considerando che a pranzo c'è sempre poco tempo a disposizione. Piatti non eccezionali, diciamo nella norma, di sicuro non ci andrei mai di sera per una cena diciamo seria......Per il pranzo è ok. Consiglio!"
"ui_bubble_rating bubble_40","Cucina casalinga romagnola","Un pranzo con piatti caratteristici e assolutamente gustosi, cappelletti in brodo di carne, lessi di manzo e faraona con mostarda salsa verde fatta in casa e peperoncini sotto aceto, un budino al cioccolato acqua e vino per 25 €, servizio veloce, personale gentile, bagni puliti. Indirizzo e numero di telefono da tenere in agenda!"
"ui_bubble_rating bubble_50","Abitudinarietà","In quest'epoca dove siamo obnubilati da chef altolocati e iperbolici, il ristorante Pitto è un viaggio nel tempo, di più, è una capsula dove il tempo si è fermato e si ripete incessantemente uguale a se stesso.Entrate nel locale e vi pare di tuffarvi negli anni 80, ma non lasciativi intimorire da un'arredamento superato e un po' sciatto, il bello deve ancora venire.Se inizierete a frequentare il ristorante più volte, vi renderete conto di essere entrati in un mondo di abitudini, dove vedrete andare e venire gli stessi volti, le stesse persone, gli stessi ordini.Non è presente alcun menu: il cameriere, assolutamente impeccabile, vi elencherà il tutto a voce; come nella migliore tradizione romagnola, vi elencherà prima il tipo di pasta e poi il tipo di condimento disponibile. Sempre gli stessi !Sempre gli stessi primi, e sempre gli stessi secondi in tanti anni ... e l'intima gioia di essere abitudinario e ordinare sempre le stesse cose:- tagliatelle al ragù coi piselli- fesa di vitello arrostofatelo anche voi, lasciatevi prendere dall'emozione dell'eterna routine quotidiana."
"ui_bubble_rating bubble_30","Tradizionale ","Il locale riflette la tipica trattoria con buoni piatti della cucina romagnola.Piatti tradizionali ma sempre validi.Locale informale con servizio accogliente e cordiale.Buoni i piatti preparati. Particolarmente apprezzato i sughi e contorni con prodotti di stagione.Consigliato x pranzi di lavoro."
