"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","La pace dei sensi!","La pizza più buona che si trova tra Forlì e Cesena!L’impasto è delizioso, ben lievitato e leggerissimo. La qualità degli ingredienti è altissima.. e anche una semplice Margherita fa la differenza!Ho provato almeno 7/8 pizze e nessuna mi ha delusa.. anzi! Una garanzia!A coccolare il cliente non mancano mai un piccolo aperitivo a base di olive e digestivi molto buoni Il locale è bello, moderno, luminoso e curato nei minimi dettagli. Lo spazio è molto ampio e i tavoli ben distanziati tra loro.Ottimo locale: se solo fosse più vicino a casa andrei una volta a settimana!"
"ui_bubble_rating bubble_50","Forse la miglior Pizza di Cesena ","Sono stato in questa pizzeria con amici per una festa di compleanno, la struttura è molto bella e ho apprezzato molto com’è stato addobbato in stile Natalizio. La pizza è davvero buona, a mio avviso una delle migliori di Cesena, non è la solita schiacciata dura con ingredienti buttati a caso, bensì una pizza con impasto ben lievitato e ingredienti di qualità che fanno intendere la passione del pizzaiolo, buone anche le birre. I camerieri sono stati cordiali e disponibili per ogni necessità. Ci ritornerò. "
"ui_bubble_rating bubble_50","Meravigliosa scoperta","Farò un azzardo: senza dubbio una delle pizze più buone di Cesena!!! Locale con pochi fronzoli, nel menù troverete solo pizze: ma vi assicuro che rimarrete davvero soddisfatti. Impasto ottimo, leggerissimo! Personale gentile e accogliente! Lo raccomando davvero! Bravi!! "
"ui_bubble_rating bubble_50","Raffaele, pizzaiolo per passione","Apro il menu.. ci risiamo, la nostra filosofia... a giustificare pizze pretestuose e prezzi esorbitanti, invece i prezzi sono sotto la media... vediamo la pizza... finalmente una pizza come si deve, non una cialda trasparente e cruda coperta di ingredienti di dubbia qualità ma una base interamente lievitata, con una occhiellatura piccolissima e regolare, ed interamente cotta.Questa pizza è digeribilissima, leggera, un piacevolissimo contrasto tra croccantezza e morbidezza, e la quantità degli ingredienti è assolutamente perfetta, condita bene senza appesantire.ottime materie prime, tutti i profumi del sud, ed un ingrediente unico: Raffaele, pizzaiolo per passione."
"ui_bubble_rating bubble_40","Molto buono","Di fianco alla palestra Perfect sulla via Cesenatico nel quartiere al mare di Ponte Pietra di Cesena si trova questa nuovissima pizzeria “Come una volta” che offre le classiche pizze napoletane. Esse sono caratterizzate dalla sottigliezza della parte centrale farcita che si contrappone al morbido spessore del “cornicione”.In foto si presentano le pizze con melanzane, con le acciughe e infine con salsiccia e friarielli. Il servizio è stato veloce ed impeccabile e la breve attesa è stata addolcita da buoni stuzzichini offerti dalla casa.Un bel posto a portata di mano che mi ha fatto un’ottima impressione.Per altre recensione segui @Romagnacongusto su Instagram o Facebook."
"ui_bubble_rating bubble_30","Senza infamia e senza lode","Locale che ha visto susseguirsi degli ultimi anni diverse gestioni, questa ultima in ordine temporale si configura forse più come una classica pizzeria del sud Italia piuttosto che una pizzeria/ristorante tipica della zona, con un menù che cerca di valorizzare prodotti provenienti dal sud Italia.La pizza non è per niente male, leggermente alta col bordo croccante più simile alla classica napoletana che la pizza standardizzata che ormai si mangia ovunque. Per quanto riguarda il locale molto ampio, arredamento minimal, manca forse quella personalizzazione che aiuterebbe a creare un’atmosfera che coinvolgerebbe di più il cliente.Siamo capitati una domenica a cena molto presto, il locale era ancora semivuoto e si stava preparando per la serata di karaoke che sarebbe dovuta svolgere di li a poco. Quello che abbiamo potuto notare è comunque che il servizio forse va migliorato, un po’ caotico e un poco organizzato a partire dai camerieri in sala fino a finire a chi dietro il bancone deve preparare il bere per i tavoli. Ci sono ampi margini miglioramento ma tutto sommato non butterei via questo locale. Come dico sempre provate."
"ui_bubble_rating bubble_50","Super... ","Pizza veramente ottima... Molto gentile il personale... Locale molto ampio, curato e pulito!!!ci torneremo presto... "
"ui_bubble_rating bubble_50","Consigliato ","Pizzeria di nuova gestione in posizione tranquilla a pochi minuti dal centro di Cesena. Siamo stati con amici di sabato sera. Il locale è ben curato e molto ampio, ottimo anche per eventi e feste private.La pizza ha un impasto eccezionale e leggero, gli ingredienti sono freschi e di qualità e le quantità accettabili. La cortesia e la professionalità del personale di sala, sono il punto di forza del locale.Consigliato di sabato con la serata Karaoke e soprattutto di provare i dolci o la pizza golosona, accompagnata con il meloncello gentilmente offerto dalla proprietaria. Totalmente soddisfatti. Sicuramente torneremo.Complimenti. "
"ui_bubble_rating bubble_50","Impasto super","Ottima pizza, impasto super, condimenti di qualità. Asporto veloce e puntuale. Una delle migliori pizze nel cesenate"
"ui_bubble_rating bubble_10","Pessimo è farvi un complimento. ","Vedendo 4 recensioni positive abbiamo deciso di cenare in questa pizzeria. Ci sediamo ordiamo pizza,perchè nel menù è presente solo pizza, e qui la lunga attesa, 3 tavoli che si lamentano giustamente perché non viene rispettato l ordine di arrivo dei clienti. 1 ora di attesa. Pizza pessima è farvi proprio un complimento pesante e condita male. Dopo aver aspettato così tanto nemmeno una scusa da parte di quei 2 camerieri se così vogliamo chiamarli visto che il personale è assente e male organizzato.. improvvisati pizzaioli . E mi viene da dire che le recensioni positive sono state fatte da amici dei proprietari perchè in quel locale di positivo non c è veramente nulla. "
"ui_bubble_rating bubble_50","Pizza davvero notevole","Locale appena ristrutturato.Pizza davvero buona come ingredienti ma soprattutto per l'impasto.Servizio curato ed ottima cortesia.Raccomandato per una serata tranquilla per mangiare un'ottima pizza!"
"ui_bubble_rating bubble_50","Eccellente","Siamo ormai clienti abituali di questa nuova pizzeria che si trova in una zona tranquilla fuori dal centro di cesena. Che dire...la pizza è ogni volta sempre più buona, impasto ed ingredienti di altissima qualità e cottura perfetta. La pastiera napoletana TOP! Gentilizza e cordialità dei titolari. Buon rapporto qualità prezzo. La consigliamo a tutti!"
"ui_bubble_rating bubble_50","Pizza speciale!","Pizzeria aperta in un locale ristrutturato recentemente in periferia a Cesena. Bel posto, tranquillo, pizza molto buona e digeribile. Personale gentilissimo. Ampio parcheggio. Torneremo. Consigliato!"
