"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Molto buono!","Buonissimi gli strozzapreti pasticciati e il filetto. Locale pulito, accogliente . Personale cordiale"
"ui_bubble_rating bubble_40","Cena piacevole ","Cena piacevole, cucina discreta. Sono rimasta estremamente colpita dalla gentilezza del cameriere, il ragazzo giovane moro, di nome Maicol se non ricordo male. Davvero cortese e disponibile. "
"ui_bubble_rating bubble_20","TROPPO CARI!","Prenotiamo per un pranzo in pausa dal lavoro. Non facciamo in tempo a leggere i menu che la cameriera ci spinge per farci ordinare un antipasto di salumi e formaggi misti e un bis di primi di tortelli burro e salvia e strozzapreti pasticciati. Considerando che i primi scelti (o meglio, scelti dalla cameriera) non erano nulla di particolarmente ricercato, ci aspettavamo un conto nella media. Alla cassa, invece, ci presentano 24 € a persona. Il cibo era buono, non da ricordare ma comunque non era male, ma 24 € a persona per un antipasto e dei primi.. forse un po' troppo!"
"ui_bubble_rating bubble_30","Buono ma a mio parere costicchia","Provo questo ristorante dato che sono venuto a conoscenza del fatto che abbiano una parte di menu senza glutine, purtroppo mia necessità. Nonostante non avessimo prenotato, a ristorante pieno, sono riusciti a trovarci un tavolo per 2. Un antipasto di salumi e formaggi, un crostino misto, 2 scortichini acqua 1/4 di vino e caffè.. una settantina di euro, per carità, qualità indiscutibile, servizio ottimo è bello il posto.. però credevo di spendere un po’ meno. Alla vista sembra buona la pizza, credo che tornerò a provare quella, dato che la fanno anche senza glutine."
"ui_bubble_rating bubble_50","Ritorno con piacere ","Ogni volta che passo da Cesena tappa obbligatoria x gustare specialità di pesce. Buon rapporto con prezzo e qualità .di solito gustavo pizza ai crostacei ma i secondi non sono da meno, prossima volta assaggero' i primi. Complimenti "
"ui_bubble_rating bubble_50","Gnocco fritto","Abituati alla vecchia trattoria/ristorante  Abbiamo provato pure il nuovo locale.Ottimo il gnocco fritto, e tutti i piatti cucina nazionale ed internazionale. "
"ui_bubble_rating bubble_30","Pranzo tra colleghi","Il mio strozzaprete con zucchine e vongole era un po insipido ma la pasta era fatta in casa. I secondi di pesce dei miei colleghi erano buoni e abbondanti. Buono e con una porzione enorme il dolce anche se probabilmente non freschissimo. Prezzo oltre alla media. Locale carino e servizio veloce e cortese."
"ui_bubble_rating bubble_30","Così così","Locale carino, personale gentile, bagni puliti. Siamo stati a mangiare di sabato sera, locale pieno. La pizza è un disastro, assomiglia a quelle congelate. I dolci sono decisamente migliori. La sala giochi per bambini era gestita da due ragazze, non sono in grado di dire se brave o meno, forse troppa confusione di bimbi piccoli mischiati ai più grandi. Non consigliabile."
"ui_bubble_rating bubble_50","Bravi e veloci","Solo per pranzo veloce di lavoro sempre Buon cibo e la ragazza gentilissima hamburger divino con uovo prezzo adeguato alla qualità parcheggio comodo."
