"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Delusione","Convinti dalle numerose e positive recensioni abbiamo provato questo locale. Servizio attento ma abbastanza cupo. Antipasto di salumi e sott’olio poco abbondante, di qualità inferiore rispetto a quello che offre la zona ed abbastanza triste; pizza piuttosto anonima. Buoni i dolci e bello l’ambiente sia interno che esterno. C’è molto di meglio."
"ui_bubble_rating bubble_50","Ottimo","Ristorante ottimo. Pizza molto buona e grande. Addirittura fanno la pizza con i tortellini e pizza con gelato e frutta. Prezzi nella norma."
"ui_bubble_rating bubble_50","Super ","Dopo un’intensa giornata andai a mangiare i questi ristorante e il cibo era ottimo così come il servizioCamerieri disponibili e cordialiSolo un po’ di ritardo nelle portare ma il tutto passabile Si trova proprio in piazza e di sera il tutto è magico "
"ui_bubble_rating bubble_40","Cena","Sono stato a cena ed era buona la pizza e il personale è educato, adatto per gruppi o piccole festicciole di compleanno"
"ui_bubble_rating bubble_50","Super pizza","Siamo stati per una pizza, buonissima cotta bene e farcita bene, ho visto passare piàtti bellissimi, prossima volta , grazie noi torneremo."
"ui_bubble_rating bubble_50","Super","Pizza molto buona,cotta bene e farcita benissimo con ingredienti di qualità. Val bene una serata. Gentili."
"ui_bubble_rating bubble_40","Cena veloce","Arrivati verso le 20,30 del sabato chiedendo se c’era posto per due ci è stato subito risposto di attendere 5 min..ne sono trascorsi 15 min ma poi seduti abbiamo cenato molto bene, anche se siamo stati avvisati che l’attesa minima per il servizio era di mezz’ora!! Quindi vi consiglio di prenotare sempre!!!!"
"ui_bubble_rating bubble_40","Tranquillo, pizza con farine particolari e leggere","Nel viale esterno d'estate con il servizio all'aperto, molto interessante, tranquillo e piacevole.Mangi pizze con farine leggere e digeribili, secondi e primi.Il prezzo rientra nella norma.Da provare con amici e famiglia."
"ui_bubble_rating bubble_50","I 3 papi te li mangi!","Il posto è piuttosto informale adatto per una cena in famiglia, con gli amici o con il proprio/a amoroso/a (in quest' ultimo caso state insieme da un po'). Però i prezzi non so esagerati e comunque in linea con le porzioni che vengono servite, molto abbondanti. Il menù è molto variegato e c'è una vastissima scelta. Io e la mia ragazza abbiamo preso una pizza a testa ed erano enormi e buonissime!! Poi, essendo in centro, appena finito cena, si può tranquillamente smaltire il tutto con una passeggiatina in centro.PS servizio abbastanza rapido."
"ui_bubble_rating bubble_50","buuonissimo","grigliata di carne ottima davvero che morbidezza, i primi ottimi, il locale bello e pulito, il personale gentile. torneremo sicuramente"
"ui_bubble_rating bubble_40","Ottimo rapporto qualità prezzo","Ci sono stato per Ognissanti 2018 in famiglia. Devo dire che si mangia davvero ottimamente. Porzioni abbondanti, cibo di qualità, servizio molto efficiente e gentile. Siamo rimasti davvero contenti. Inoltre i prezzi sono buoni. Per quattro persone primi, secondi, bevande e qualche dolce, abbiamo pagato 97€...e poi dicono che l'Emilia Romagna è cara: solo perché non conoscono il Salento... da dove vengo io...Per concludere non posso che parlare bene di questo posto. Davvero una bella scoperta nel centro storico di Cesena. Complimenti!"
"ui_bubble_rating bubble_50","Serata top","Sono stata a cena con amici. Pizza e tagliata top..vino pure ..per ultimare con l evoluzione della sangria in veste vodka ..DA PROVARE !!!servizio eccellente...disponibilissimi e gentili. Meglio prenotare !"
"ui_bubble_rating bubble_40","Una garanzia","Ieri sera cena con la famiglia e amici, 4 adulti e 3 bambini. 5 pizze tutte molto buone, 1 grigliata con patate al forno per me, ottima, e salsiccia con patate fritte mio figlio, soddisfatto. Non è la prima volta che andiamo e la qualità è sempre di ottimo livello. Anche i prezzi buoni e rapportato alla qualità. Servizio ottimo, camerieri gentilissimi, sempre sorridenti e disponibili. Un punto fermo."
"ui_bubble_rating bubble_40","Pizza pasticciata ","Da provare la pizza con tortelli pasticciati... Basta avere tanta fame e la giusta intraprendenza per... Osare! Non deluderà "
"ui_bubble_rating bubble_50","Cameriere super veloce!!","In visita a Cesena x lavoro, arrivati tardi a cena in pochi minuti il titolare ha preso la comanda e velocemente ha portato i piatti! Ci ha agevolato nel pagamento individuale, particolare da non sottovalutare visto che eravamo davvero tanti, venendo in contro alle nostre esigenze! Locale pulito , bello e ordinato! Bella la sorpresa di scendere due piani sotto! Complimenti al titolare!"
"ui_bubble_rating bubble_50","Molto buono","Ho preso strozzapreti con salsiccia e spinaci ed erano davvero buoni! Poi i prezzi sono onesti e la piazza su cui si trova il ristorante è bellissima quindi sono davvero soddisfatta! "
"ui_bubble_rating bubble_40","Buon ristorante","Buongiorno Luogo molto bello dove si può andare se si vuole passare una buona serata e mangiare bene Per gli studenti c'è lo sconto e questo è un punto a favore Camerieri gentili e ottima cucina Consigliato "
"ui_bubble_rating bubble_40","Indicato per apprezzare la cucina tipica","Situato nel centro storico con ingresso dalla piazza lo ritengo adeguato a provare le ricette tipiche del posto a prezzi contenuti. Azzeccata la proposta di menù degustazione a prezzo fisso che ti consente di assaggiare diversi piatti. Cucina di buon livello e buon servizio. Personale competente e tempi di attesa giusti."
"ui_bubble_rating bubble_30","Buono l'antipasto, discreto il primo. Ma il dolce...","Interessante l'antipasto della casa con un ottimo vitello tonnato. Gli strozzapreti con i porcini un po' deludenti, poco saporiti. La delusione è stato il dolce...una panna cotta difficile da definire... Prezzi onesti, locale anonimo. "
"ui_bubble_rating bubble_50","Ottimo cibo, prezzi onesti, personale molto gentile.","Ho pranzato con la famiglia e nonostante mi sia dovuto andare a prendere di persona il cestino del pane ed il parmigiano per i primi che sebbene abbia richiesto più volte non ci sono stai portati (camerieri un po' smemorati) abbiano comunque apprezzato l'ottimo cibo e la gentilezza del personale. Vista la giornata calda abbiamo pranzato fuori all'aperto in una location davvero carina e riservata. Un consiglio per i gestori (qualora fosse possibile col vicinato) una musica di sottofondo potrebbe essere la ciliegina sulla torta rendendo l'atmosfera un pochino più emotional. Sicuramente ci torneremo."
"ui_bubble_rating bubble_50","Bravi e simpatici!","Buone le pizze, buoni i primi , ma soprattutto ottima l'accoglienza. Visto che c'era mezz'ora di attesa per le pizze ci hanno chiesto se potevano portare quelle dei bambini per non farli aspettare troppo. Sono arrivate dopo 10 minuti già tagliate ed è stata la nostra salvezza! e si spende il giusto. lo consiglio sicuramente."
"ui_bubble_rating bubble_50","Una conferma.","Ogni volta una conferma sia la pizza che primi o secondi. Ottima qualità e abbondanti porzioni. Lo staff sempre all'altezza."
