"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Bang-ok","Bella accoglienza da parte della proprietaria, molto simpatica e alla mano.Buonissimi i ravioli di carne al vapore, e originale il riso Bangkok servito nel Bamboo. In generale più che buona qualità del cibo. Consiglio."
"ui_bubble_rating bubble_50","We had a great time <U+0001F604><U+0001F604><U+0001F604>","Siamo andati sul sicuro, in questo ristorantino, non si sbaglia mai. Il cibo è buonissimo, il servizio è celere ed il personale è gentile e disponibile. Cosa chiedere di più?"
"ui_bubble_rating bubble_50","La poesia dei sapori Thai","Frequentiamo questo ristorante da circa vent’anni con amici e parenti, e siamo rimasti sempre soddisfatti. Locale a conduzione familiare con tanta passione per il proprio lavoro. Cucina originale tailandese di qualità con ingredienti tipici. tra i Must che amiamo di più da ricordare L’antipasto misto, gli spaghetti saltati misto Bankok e Il Manzo Saltato Bankok, quest’ultimo da segnalare per la sua particolare piccantezza che però non copre i sapori di questa pietanza, ma li esalta. lasciatevi consigliare dalla proprietaria sui particolari dolci. A Cesena per noi è tappa fissa"
"ui_bubble_rating bubble_30","Me loRicordavo meglio","Abbiamo ordinato alcuni piatti tramite un servizio di consegna a casa. Sempre buoni gli spiedini misti come me li ricordavo. Peccato invece per i primi perché me li ricordavo più buoni, in particolare il riso Bangkok.. questa sera era molto scuro e insipido.."
"ui_bubble_rating bubble_40","Tornati dopo tanto tempo","Indubbia la qualità dei prodotti usati con ottimi sapori, rimane però caro anche in rapporto alle quantità offerte, una zuppetta grande quanto una tazzina da the a 8€ è poco accettabile a mio avviso, esci con la fame e con portafoglio alleggerito. Il servizio è abbastanza cordiale, il locale non é brutto ma andrebbe rivisto e migliorato il gioco di specchi a muro e le statue orientali non sono distinguibili da quelle cinesi, ci vuole più cura...e le palline di Natale appese in giro a settembre mi danno l idea che ai gestori del lato estetico del locale importi poco...se mi fai spendere e non poco la cura deve essere generale non solo del cibo. Do comunque 4 stelle perché il cibo era buono."
"ui_bubble_rating bubble_50","Tappa fissa!","Che dire... È sempre un piacere andare a mangiare li...L’accoglienza della proprietaria è fantastica, ci fa sempre una festa.. come se ci conoscesse da una vita...Miglior piatto sono i gamberi in tempura seguiti da spaghetti alla piastra... li consiglio vivamente"
"ui_bubble_rating bubble_20","L’abito non fa il monaco ","Ristorante thailandese bangkok il dubbio che non fosse thai l’ho avuto al ingresso a z tipico della cultura cinese arredamento carino con qualche riferimento alla Thailandia menu che alcune portate con in fine scritto thailandese esempio involtino tailandese ... a mio avviso quelli cinesi sono meglio Riso cantonese e riso con ananas “ in thai lai op sapalot” non sapevano di nulla servizio cortese clientela scarsa alle 21,30 eravamo in 5 prezzi nella media "
"ui_bubble_rating bubble_50","Abbuffata","Ristorante molto accogliente e ben arredato. Cibo ricercato e saporito, personale simpatico e molto gentile. Abbiamo mangiato tanto!"
"ui_bubble_rating bubble_30","Buono, ma niente tofu","Per chi vuole provare la cucina thai questo è sicuramente il posto che rispecchia maggiormente I piatti della tradizione orientale. Sono rimasto piacevolmente colpito dagli antipasti e dai primi. Ho avuto la spiacevole idea di ordinare un tofu con verdure che purtroppo di tofu c'era poco, poiché era completamente pastellato e, alcuni pezzi, erano costituiti esclusivamente da pastella. Purtroppo abbiamo concluso la cena con la pastella in bocca."
"ui_bubble_rating bubble_40","Buono ma prezzi un po' troppo alti","Location fantastica e personale cortese! I primi molto buoni, rimasta un po' delusa dai dolci e dal conto finale... un po' troppo alto! "
"ui_bubble_rating bubble_20","Non consigliato","Premetto che sono un'amante dei cibi etnici e sono abituata a consumarli spesso; in questo caso il cibo mi é sembrato di scarsa qualità tant'è che ho lasciato sia l'antipasto (sembrava la zuppa dell'ospedale) che il piatto principale (la carne era durissima e le patate crude). In definitiva non lo consiglio."
"ui_bubble_rating bubble_50","Serata alternativa nel cuore di Romagna ","Nel cuore della Romagna Cesenate il migliore ristorante Thailandese qualità , cortesia e servizio eccellente. Mi sono sentito a casa x la simpatia di chi serve ai tavoli .grazie. "
"ui_bubble_rating bubble_40","Molto buono","Sono andata due volte e ho sempre preso il risotto all'ananas: strepitoso! Locale un po' buio, prezzi giusti, non mi sono piaciuti i dolci ma probabilmente perché non sono abituata a questi sapori."
"ui_bubble_rating bubble_50","Mangiare Bene...<U+0001F60E>","Tutto perfetto! Dall'antipasto al dolce. Posto accogliente e pulito, personale gentilissimo. I piatti? Buonissimi! Il più buon thailandese che abbia mai mangiato! Ci tornerò sicuramente. 5 stelle meritatissime !!!"
"ui_bubble_rating bubble_50","Fantastico","Buonissimo veramente, Piatti fantastici, Andateci ne vale davvero la pena provarlo. Titolare gentilissima e simpaticissima"
"ui_bubble_rating bubble_10","Male male ","Arriviamo con le migliori speranze , personale folcloristico....,,purtroppo già dagli antipasti abbiamo brutti presagi....Qualità delle materie prime , gamberi in primis ... Molto scadente , piatti bruciati e lunghe attese ..davvero da evitare !! "
"ui_bubble_rating bubble_30","Nella media","Non è un vero thailandese ma un cinese con ricette thai: i piatti sono comunque buoni e il personale è gentile e simpatico. Tempi d'attesa un po' troppo lunghi."
"ui_bubble_rating bubble_30","Ristorante thai discreto, occhio ai prezzi","Ristorante piccolo a conduzione famigliare, personale molto gentile. Antipasti misti buoni ma scarsi come quantità e cari. Primi davvero ottimi. Secondo così così, prezzo totale davvero alto. Da rivedere "
"ui_bubble_rating bubble_40","Sapori come in Thai","Tornati dalla Thailandia avevamo voglia di cibo Thai ,abbiamo provato questo ristorante e a noi è piaciuto molto , le porzioni non sono troppo abbondanti(per che non siamo mangiatori ,vanno bene) la cura dei piatti è molto bella ,bella la ceramica e orchidea fresca per ogni portata personale gentile e simpatico."
