"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Bravi rosticceri","Rosticceria a conduzione familiare con elevata qualità della cucina. Luca è in grado di preparare paelle di pesce ottime!"
"ui_bubble_rating bubble_50","Ottima cucina ","Sono passato per caso e dato che dovevo lavorare mi sono fermato a prendere la cena da asporto .Ottimo il pesce ed anche le patatine Buonissimo il pomodoro e le melanzane gratinate. Merita ed hanno anche una saletta per cenare"
"ui_bubble_rating bubble_50","Ottima rosticceria! Da provare!!!","Rosticceria dove si possono trovare piatti sia di pesce che di carne veramente molto buoni e ben preparati. Titolari gentilissimi e molto disponibili. Dall'antipasto al dolce ci sono molte proposte da scegliere. Si può prenotare e passare a ritirare all'ora stabilita. Molto buona anche la pasta fatta in casa, i sughi di pesce, bianchi o rossi. Per noi è stata una piacevolissima sorpresa, tanto più che si trova a pochi minuti da casa. Rapporto qualità-prezzo molto buono e porzioni abbondanti. Volendo c'è anche la possibilità di consumare i pasti all'interno della rosticceria. Consigliata!"
"ui_bubble_rating bubble_40","Tanta cortesia ","Sono molto soddisfatta della cortesia, cercano sempre di accontentarci anche quando le nostre richieste sono all'ultimo momento! Inoltre il cibo è molto buono. "
"ui_bubble_rating bubble_50","OTTIMA ROSTICCERIA","Ho voluto fermarmi alla Rosticceria Romagna dopo insistente consiglio di amici che la frequentano da tempo. Be' devo dire che è stata una felice scoperta !!!! Ho avuto modo di provare diverse cose...tutto fresco ed invitante al banco e poi incuriosita dal menù ho provato un paio di primi di pesce fatti al momento....e li veramente hanno superato se stessi !! La pasta fatta in casa la dice lunga nella qualità di un piatto . Insomma... di certo lo consiglio e penso che mi rivedranno spesso !!! Ahh..titolari cordiali ...che non guasta di certo noooo ??? Per me la migliore "
"ui_bubble_rating bubble_40","Ottima rosticceria","La domenica, quando ci si vuole solo rilassare e non si ha voglia di cucinare per tutta la famiglia, un salto in questa rosticceria è d'obbligo. Prezzi modici, qualità dei prodotti e porzioni veramente abbondanti. C'è sempre molta gente nel weekend quindi consiglio di prenotare telefonicamente. Personale cordiale e menù molto vario. Ce n'è per tutti !Consigliato."
"ui_bubble_rating bubble_50","Qualita' a buon prezzo","Sulla via da Cesena a Cesenatico questa rosticceria offre grande scelta di ottimi primi, secondi, contorni. Porzioni abbondanti con un rapporto qualita'/prezzo molto buono. Da provare le lasagne!!"
"ui_bubble_rating bubble_40","Tutto molto buono a prezzi onesti!","Volendo organizzare una serata tra amici (una decina) ma non volendo nessuno cucinare ci siamo rivolti a questa rosticceria per prenotare una cena completa. Ad un prezzo per persona di 18 euro abbiamo gustato: antipasto di crostini misti, bis di strozzapreti radicchio e pancetta e lasagne, arrosto e stinco di maiale per poi chiudere con un ottimo mascarpone. Ottimo il servizio e ottimo tutto quello che abbiamo mangiato."
"ui_bubble_rating bubble_40","Una sorpresa !","Tornando da una giornata (piovosa) passata sulla riviera romagnola mi sono fermato per caso in questa piccola rosticceria vicino al raccordo della tangenziale di Cesena attirato da un cartellone giallo anni 80 con scritto Pesce alla griglia e fritto misto , senza alcuna pretesa ma mosso dalla fame parcheggio ed entro. Trovo un bel banco di prodotti tipici romagnoli, i due titolari (cordiali ed un po' timidi) e qualche tavolino. Ordino il fritto e la grigliata mista per 2 e qui la sorpresa! Buonissimo, porzioni abbondanti e prezzi molto buoni se rapportati ad un ristorante di pesce. Il fritto era veramente leggero e mi sono ripromesso di provare più avanti anche i piatti di pasta fresca. Solo Il cartellone anni 80 si potrebbe rinnovare!"
