"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","A pranzo un po' triste","Mi sono fermata a pranzo con mio figlio in un giorno feriale. Siamo stati avvertiti dalla cameriera che per il sushi era necessario aspettare più di mezz'ora. Non ci è stato spiegato il motivo, anche se nonc redo dipendesse dall'affollamento perchè eravamo esattamente in 10 in tutto il locale. Abbiamo scelto piatti cotti. Il cibo è arrivato velocemente e la qualità buona. Purtroppo l'ambiente era così deprimente da non riuscire a gustarsi il cibo. Luci spente (capisco che è giorno ma abbiamo mangiato in penombra) e in sottofondo una musica non ben riconoscibile ad un volume tanto basso da sembrare solo rumore di fondo. Non credo ci tornerò."
"ui_bubble_rating bubble_30","Nella media","Pranzo di 3 persone con formula  All you can eat . Buono ma sicuramente in linea e non superiore agli altri Ristoranti Sushi della zona. Senza infamia e senza lode. Il pos bancomat non funzionava e parcheggiare in zona è difficile."
"ui_bubble_rating bubble_50","Ottimo, il migliore!","Amo il cibo cinese e giapponese e in zona li ho davvero provati tutti.. ad eccezione del Sakura conosciuto da molti anni in quanto storico ma sempre ignorato. Grande errore! So che ha cambiato gestione da un po'e volendolo provare ( ora offre all can you eat) ho scelto la sera di Ferragosto. Innanzitutto locale rinnovato completamente, atmosfera rilassante adatta a coppie e famiglie con queste gigantesche lanterne nere che creano giochi di luce, cortesia e attenzione del personale che parla benissimo italiano (lontano da aria condizionata, assaggio di nuvole di drago offerto), menù all can you eat veramente super vario con piatti cinesi/ giapponesi e qualcosa di thai. Quello che ho apprezzato davvero è che pur essendo un all can y.e non si è assolutamente snaturato, mantenendo qualità e cortesia di un cinese di più alto livello alla carta. Pietanze buonissime! Piatti cinesi abbondanti e gustosi, ottimi i piatti alla piastra, non mangiavo ravioli shaomai così buoni da tempo. Sushi super: bocconcini giusti, riso perfetto non troppe salse. Io ho mangiato solo cotto essendo incinta ma il crudo di mio marito sembrava ottimo e lui l'ha apprezzato molto. Infine proprietaria molto gentile ci ha offerto digestivo e un 20% di sconto,in questo modo abbiamo pagato solo il prezzo del menù, biscottino cinese in regalo per il mio bimbo a casa. Peccato non averlo scoperto prima.. torneremo sicuramente qui."
"ui_bubble_rating bubble_50","Ottimo cibo e provate anche la consegna ","Ho provato il loro servizio a domicilio senza app Velocissimi nella consegna, logicamente da asporto non esiste ancora un all you can EAT (sarebbe una bella idea magari limitando il numero di piatti )Piatti ottimi e freschi Tutto ben organizzato sconto per aver superato il 25€ e 1€ solo per la consegna.Merita"
"ui_bubble_rating bubble_40","cortesia e qualità","Le materie prime sono buone ,i piatti curati,lo staff preparato e attento.Direi molto buono ,e il locale davvero carino.all you can eat 21.90 €.prezzi comunque nella media,servizio efficiente e rapido.Grazie."
"ui_bubble_rating bubble_10","Mai più ","Location carina ma per il resto esperienza da dimenticare. Ho apprezzato solo i nigiri col salmone ma per il resto tutto assolutamente mediocre: ravioli di carne troppo pesanti con una carne dal sapore troppo troppo forte e riso con gamberi e verdure scialbo. Ma la cosa più grave sono stati i rotolini di riso con l'alga esterna: dal menù ho letto che erano fatti con salmone, granchio, uova di pesce, rapa, cetriolo e avocado; quando mi arrivano sento in bocca un sapore acidulo...sì, dovuto al fatto che dentro c'era anche la maionese che non era stata segnalata sul menù. Questa cosa è inammissibile! Io sono intollerante al lattosio quindi sto sempre ben attento a sottolineare di non mettermi mai il Philadelphia nel sushi ma se un altro cliente si fosse affidato al menù e fosse stato allergico alle uova, con la maionese avrebbe avuto una brutta sorpresa. Non ho mai mangiato così poco in un all you can eat, da non ripetere assolutamente. "
"ui_bubble_rating bubble_50","Giapopponese","Ottimo posto locale grandissimo ottimo cibo per chi ama mangiare giapponese pesce crudo o pure cinese personale cordialità il problema è il parcheggio "
"ui_bubble_rating bubble_40","Cena da asporto","Per la prima volta abbiamo cenato da asporto in questo ristorante. Cibo ottimo e porzioni giuste. Tutto cotto al momento. Consigliato."
"ui_bubble_rating bubble_30","Ordinato con consegna a domicilio","Ho ordinato una zuppa agro piccante e un Anguilla alla griglia piatti già ordinati svariate volte e sempre buoni..purtroppo questa volta il cibo è arrivato freddo...la cosa non nego che mi ha innervosito e non poco..anche perché quando vado io a prenderlo da asporto arrivo a casa con le pietanze ancora fumanti e non uso borse termiche come loro...Comunque ho chiamato il ristorante è devo dire che la signora gentilissima si è prodigata sin da subito facendomi pervenire altra porzione di Anguilla.. ma anche se meglio della prima , questa è giunta Al mio domicilio tiepida...e abito in linea d'aria ad un paio di km...Comunque la prossima volta andrò io personalmente così almeno sono sicuro di mangiare le pietanze calde!!Per il resto comunque buono..ma nettamente migliorabile il servizio di asporto..."
