"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Una favola<U+0001F98B>","Dopo anni che ne sentivo parlare sono riuscita finalmente a prenotare a Scamporella (dato che c’è molta richiesta e i posti sono limitati e spesso subito esauriti) per provare questa esperienza insolita del pic-nic in vigna . Rispetto a altri pic-nic similari fatti nella zona, questo è decisamente una spanna sopra. La location è magica, curata nei minimi dettagli, sembra di essere in una favola. Nulla è lasciato al caso, dal trenino in legno che ti porta su nelle vigne ai dondoli, le capannine, i fili con i panni stesi. Una volta arrivati con il trenino, ci viene dato il nostro cestino contenente un ricco aperitivo e veniamo accompagnati al tele in mezzo alle vigne. Il cibo è semplice ma L aperitivo è davvero molto buono (la parte migliore della cena). Successivamente vengono serviti il primo, il secondo e il dolce. Niente di troppo elaborato e pretenzioso non male, anche se le lasagne al pesto a inizio Agosto con 40 gradi sono un po’ impegnative. Servizio molto curato, personale gentile e disponibile. Il prezzo è un po’ alto se si considera il cibo, ma se si considera che il vino e l’acqua sono gratis e ne puoi prendere quanto vuoi e se si considera il contesto sono più che giusti anzi!!! Ritornerò sicuramente....anzi ci sono già tornata dopo due settimane<U+2665><U+FE0F>"
"ui_bubble_rating bubble_40","Pic nic","Sono stata qui per l'ultimo evento, ha organizzato il mio ragazzo perchè sapeva che desideravo partecipare almeno una volta.Lo consiglio perchè è molto bello, l'unica nota dolente è stata che siamo stati posizionati vicino ad un gruppo di bambini/ragazzini senza genitori e hanno fatto un gran rumore...considerando che la mia è stata una cena consorpresanon è stato il massimo...hanno smorzato il tutto e nessuno li ha mai richiamati...il consiglio sarebbe di provvedere o ad un area riservata solo a loro o di fornire un servizio dade come in molti atri luoghi così che le persone abbiano la possibilità di rilassarsi e godersi il momento; sopratutto visto che dicono che servono la cena con molta calma proprio perchè ci si possa vivere il tutto con serenità...Oltre a questo abbiamo mangiato bene, con 40 euro a testa, viene fornito il cestino con l'aperitivo e poi servono con calma antipasto, primo, secondo, contorno e dolce...il tutto accompagnato con beveraggio illimitato.è possibile raggiungere la zona che si trova in cima ad una collinetta, sia in trattore che a piedi o con la propria auto...con il trattore hai modo di fare un giro turistico del paesaggio."
"ui_bubble_rating bubble_50","Cena Magica","Quando mi ero informato per andare presso questa Location e mi avevano detto il prezzo, credevo fosse davvero tanto e fosse una cosa solo di tendenza e passa parola. Mi sono dovuto ricredere, a mio parare prezzo davvero giusto, tutto organizzato al minimo dettaglio, Location stupenda, personale stra gentile e accogliente, adatto per coppie, famiglie, amici. Ottimo davvero il menù servito e abbondante, devo ammettere che non sono riuscito a finire tutto che ero sazio.Unica pecca che segnalo, strada di campagna troppo buia per tornare alla macchina e nella ghiaia ci si rischia di inciampare, tra l’altro qualcuno era finito nel fosso con la macchina non vedendolo.Consiglio davvero di provare questa esperienza, a mio parere davvero unica, mangiare sotto un ulivo in mezzo alla natura. Consiglio: prenotate con molto anticipo o non troverete disponibilità."
"ui_bubble_rating bubble_40","Serata in famiglia","Siamo stati in questa location ieri sera. Il posto è molto carino e curato nei dettagli. Cibo buono e abbondante. Noi nn abbiamo finito i nostri gettoni. Il prezzo è un po' caro. Ma l atmosfera è fantastica"
"ui_bubble_rating bubble_20","Bella idea, ma prezzo/soddisfazione non ci siamo","La location è carina, ben curata e suggestiva quando incomincia a fare buio. Il cibo è semplice, ma 40 (quaranta!) euro a testa pagano: patatine (le chips...), un pezzetto di formaggio in due, un salamino di 5cm, mezza quiche a testa e quattro forchettate di insalata di riso come aperitivo. Due cucchiaiate di zuppa e una lasagnetta di 3 dita di lato per prima portata e una salsiccetta (più piccola di un uovo) con quattro patate al forno per seconda. Una mini panna cotta chiude la cena che dura 4 ore, al termine della quale siete chiamati a sparecchiare e pulire.Ho concluso stanco, indolenzito (ci si siede sulla terra, non sull'erba) e abbastanza affamato. "
"ui_bubble_rating bubble_30","Sta tutto nella location","Bella l’idea, ammiro gli ideatori, per terra su un lenzuolo in mezzo agli ulivi con qualche cuscino e tante luci: atmosfera suggestiva. Per il mio metro di misura la location vale molto ma non abbastanza da giustificare il prezzo; in fondo dei conti ci si serve da soli andando avanti e indietro come in un normale buffet con piatti (che sono poi assaggi) in numero limitato (6 se non sbaglio), ci si siede per terra sopra un lenzuolo, alla fine si sparecchia. 55€ euro a testa per gli adulti....sono troppi. 25 € i bambini (che mangiano gli stessi piatti degli adulti quando loro sarebbero contenti con patatine e würstel)... sono troppi troppi.Peccato perché l’idea e il posto meriterebbero di essere vissuti e visti anche più di una volta."
"ui_bubble_rating bubble_50","magico","esperienza magica.tutto è organizzato benissimo e curato nei minimi dettagli.cenare in stile pic-nic sotto gli ulivi è un'esperienza davvero carina e il cibo era buono, soprattutto l'antipasto (un po' meno il secondo piatto).super promossi!"
"ui_bubble_rating bubble_50","Serata indimenticabile <U+0001F49B><U+0001F388>","Bellissima location, tutto organizzato a regola d arte... il posto é meraviglioso, il cibo semplice ma molto buono, abbiamo mangiato a sufficienza e le porzioni erano perfette per potersi gustare l intera cena.Musica, luci, l'arrivo e l'organizzazione é stata impeccabile..complimenti allo staff! Abbiamo trascorso una serata meravigliosa. "
"ui_bubble_rating bubble_20","Deluso","Premetto che non sono un tipo da pic-nic (e dopo questa esperienza certo non cambierò idea e non replichero) ma la mia famiglia ed amici hanno voluto provare. Partiamo dalle cose positive:1) All'arrivo siamo stati portati con dei carrelli attaccati ad un trattore sul luogo del pic-nic (idea simpatica). 2) L'atmosfera, molto suggestiva con tutti questi bivacchi sotto ad ulivi illuminati da luci che correvano lungo questi alberi. 3) Il cestino di benvenuto, con prodotti caserecci di buona qualità (ma non certo abbondante). 4) Acqua illimitata e vino (disponibile una bottiglia ogni due persone) purtroppo io essendo astemio non ho potuto gustare questo loro prodotto.Passiamo ai lati negativi che secondo il mio parere hanno maggior peso di quelli positivi. 1) Per ricevere la cena completa abbiamo dovuto aspettare ben 4 ore. 2) Il nostro bivacco (come tutti) era poggiato sulla dura terra ,non prato, con l'unico sollievo per il corpo di un sottile cuscino che non migliorava per niente la situazione ed in più eravamo in discesa e quindi dovevamo puntellarci con i piedi per non scivolare (oltretutto l'essere in pendenza non ha aiutato per niente con bicchieri, bottiglie ed altro). 3) Con 300/400 persone presenti quella serata erano disponibili solo due bagni, che poco dopo l'arrivo sono andati fuori servizio (causando un via e vai di avventori nei campi circostanti per espletare le proprie funzioni fisiologiche). 4) Le portate, se così si possono chiamare, erano a malapena degli assaggini. 5) La musica di sottofondo, che doveva aiutare a creare atmosfera era completamente coperta dal parlare di tutti gli altri bivacchi. 6) Tutto questo è costato 40 euro a persona, veramente troppo per quello che si è avuto e vista l'assenza quasi totale di servizio (le bevande dovevamo prenderle noi dal banco e il bivacco lo abbiamo dovuto ripulire noi prima di andare via)."
"ui_bubble_rating bubble_40","Luogo magico","Incredibile cenare in un luogo così magico, location da urlo e personale gentile. Siamo stati a scamporella il martedì dove 5chef stellati e non , hanno eseguito un piatto a testa da degustare comodamente sotto il proprio ulivo.. 55 euro a testa il costo della serata e devo dire che tutto sommato ( vista la fantastica location) il prezzo ci può stare , mi aspettavo qualcosa di più dal cibo, non si è mangiato male, ma visto il livello degli chef le mie aspettative erano maggiori.. assolutamente una serata da provare almeno una volta nella vita.."
