"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Consigliatissimo e perfetto x famiglie","Siamo venuti a mangiare in famiglia il giorno di Santo Stefano ed era tutto molto buono, e questo in un giorno di festa dice già tutto..in più la saletta per i bimbi con dada che li fa giocare è il top per mangiare un attimo in relax..lo consiglio assolutamente!"
"ui_bubble_rating bubble_50","Piacevole ritorno","Siamo ritornati a cena con amici e ci siamo nuovamente trovati molto bene. Il locale è’ bello ed originale, c’è una simpatica zona dedicata ai bambini che fa molto comodo alle famiglie...che naturalmente ringraziano!!Il personale qualificato e professionale, sempre gentile e veloce. Abbiamo preso l Hamburger Angus....qualcosa di fenomenale!!! Consigliatissimo!!"
"ui_bubble_rating bubble_40","Come a casa","Mangiare allo Scottadito è sempre piacevole, sia per la degustazione dei piatti che sono curati e originali, sia per l'atmosfera che il locale riserva per la gentilezza del personal e dei gestori sempre attenti e disponibili. Oltre che a cena ci sono andato per il brunch che è ricco, vario, con dolce e salato per soddisfare qualsiasi esigenza."
"ui_bubble_rating bubble_50","Un ristorante per tutti gli eventi","Vado spesso allo Scottadito, per un pranzo veloce o una cena di lavoro. Ma anche per una cenetta con gli amici, un pranzo in famiglia o una festa di compleanno! Insomma si sta sempre bene allo Scottadito. Il locale è spazioso ma sa essere anche caldo e accogliente. Il cibo è ottimo e la birra eccellente per un prezzo davvero modico.Professionalità unita a competenza e tanti sorrisi! Da non perdere!"
"ui_bubble_rating bubble_10","Andateci per pranzo ma in realtà fate merenda....","Hanno letteralmente litigato con l’orologio, dopo 50 minuti di attesa la giustificazione è stata:”siete arrivati con delle tavolate e quindi siete ultimi”, per cui se siete in pochi andateci alle 11, altrimenti organizzate un autobus....a proposito bianco rigorosamente senza cestello!!!"
"ui_bubble_rating bubble_40","Pranzo di Natale","Prima volta con i miei genitori in un ristorante a Natale, ho scelto io il ristorante e ho fatto una bellissima figura! Menù legato alla tradizione ma con un tocco originale che ha soddisfatto tutti. Personale attento e premuroso.Non posso che apprezzarvi e ringraziarvi"
"ui_bubble_rating bubble_40","OK","Locale accogliente, pulito e senza pretenzioni, ottima la pizza e l hamburger. dolci buoni e ben presentati.Personale gentile e rapido. torneremo a provare i brunch (dicono molto buoni)"
"ui_bubble_rating bubble_40","Il compleanno di ANDRE.","Come sempre Andrea per festeggiare il suo compleanno,fa sempre le cose alla grande,vuoi anche perchè cade per le festività Natalizie,il suo non è uno ma diventano due, tre ,oggi era quello dedicato alla cerchia dei suoi cari.Quindi Brunch allo scottadito,la location bella in un capannone ristrutturato di una ex officina,ottimo l'angolo dei salati e del dolce,in veranda i frullati e lo chef che preparava bacon and eggs,ottimo, nulla a che vedere con i lontani ricordi americani.Una bella mattinata con degli affabili ragazzi pronti a soddisfare richieste di cappucino e caffé.Ci ritornerò volentieri"
"ui_bubble_rating bubble_20","Proprio no","Attesa di un’ora e mezza per una Margherita,che non era buona per niente,mi sembrava surgelata;una mia amica ha ordinato un hamburger e le patatine erano congelate,il prezzo é troppo alto rispetto alla qualità.In compenso,i dolci sono buoni e la sala é carina,ma non ne vale la pena "
"ui_bubble_rating bubble_50","Cena con amiche.","il locale è piacevole e molto curato, tutto il personale è gentile e attento, il cibo preparato con cura e curiosità (io ho mangiato una zuppa Thai buonissima e delle frittelle di baccalà accompagnate da una maionese preparata dallo chef per cui ho sviluppato un'immediata dipendenza.) Anche le altre persone con me hanno confermato questa mia impressione. Io sono andata una serata infrasettimanale senza prenotazione, ma credo che nel fine settimana sia meglio prenotare. Io mi sento di consigliare una visita in questo ristorante, famoso anche (ma io purtroppo non ho ancora avuto modo di provare) per un fantastico brunch domenicale."
"ui_bubble_rating bubble_50","Una bella sorpresa","Locale fuori dal comune, da visitare, ambiente confortevole e piacevole, arredato con gusto, cibo ottimo e ben presentato, servizio all’altezza e prezzi contenuti.Tornerò sicuramente con i miei amici."
"ui_bubble_rating bubble_50","brunch domenicale","Finalmente siamo riusciti ad andare al famoso Brunch, buffet dolce, salato, frutta, yogurt e tanto tanto altro!!! bevande calde servite al tavoloservizio veloce, gentile10 e lode!"
"ui_bubble_rating bubble_50","Un posto per tutte le occasioni .","Siamo soliti andare perché è di zona.Ottima qualità-prezzoMolta varietà nel menù ( carne pesce e hamburger gourmet )La titolare sempre molto sorridente e disponibile.La domenica c'è anche la possibilità di fare il brunch.Molto consigliato!!"
"ui_bubble_rating bubble_40","Buonissimo Hamburger! ","Hamburger molto buono, in altre occasioni mi è capitato di mangiare i primi e meritano, sarei curioso di sentire un piatto di carne! Buon servizio, location particolare ma curata, ristorante diviso in due zone: una ottima per le compagnie numerose con l’inclusione di un’area giochi per i bimbi (stanza adiacente) una più adatta a una cena di coppia! "
"ui_bubble_rating bubble_50","Ideale per tavolate numerose e bambini.","Prenotando con sufficiente anticipo ci si assicura una serata di baracca.. almeno nella zona vicina al centro giochi.. qualche angolo più romantico comunque si può trovare ma di certo non si cena sussurrando. Il massimo dei voti per cibo e velocità nel servizio (pur essendo sabato sera), prezzi nella media e menu ampio."
"ui_bubble_rating bubble_50","Molto buono !","Consiglio questo ristorante a tutti.Entrando l'ambiente è molto accogliente e il ristorante è davvero grazioso e molto interessante. Il personale gentile e soprattutto si mangia benissimo . . .Ho preso il pollo al curry con patate al forno e riso che era davvero squisito !Ci ritornerò sicuramente, bravi davvero ! "
"ui_bubble_rating bubble_40","Pranzo di squadra","Siamo andati una domenica al termine di una partita di calcio.Ragazzi affamati ma serviti celermente (avevamo concordato un menù).Per gli adulti invece menù a la carte.Proposte varie, di buona qualità e porzioni abbondanti.Buono sia il pesce sia la carne.Ottima disponibilità dei camerieri.Rapporto qualità prezzo ottimo.Il locale è molto grande e forse un po' rumoroso ma problema assolutamente superabile"
