"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","cordiali e con buon cibo tipico pugliese","una coppia cordiale, sporcamuss buonissimi, ottimo stile pugliese, panzerotti e focacce e tanto altro."
"ui_bubble_rating bubble_40","Panzerotti vi amo","Ci fermiamo per un pasto veloce e economico. Ordiniamo dei panzerotti fritti, tutto buono e cotto bene, siamo rimasti soddisfatti. Personale gentilissimo. "
"ui_bubble_rating bubble_40","Buono ma non paragonabile alla puglia","Essendo pugliese e di passaggio a Cesena ho pensato di fermarmi a cenare in questo locale. Panzerotti e focaccia ottimi anche se lontani da quelli pugliesi. Però non mi aspettavo di trovarne così in un luogo così lontano. Unica pecca il prezzo esagerato della Raffo. "
"ui_bubble_rating bubble_30","troppo sopravalutato","questo locale si compone di due piccole stanzette, dove non c'è possibilità di sedersi ad un tavolo. non capisco perchè sia stato descritto come ottimo ristorante!!!E' solo una specie di rosticceria dove si vendono prodotti pugliesi fatti da loro al momento, anche buoni ma nulla di più."
"ui_bubble_rating bubble_50","Sapori del sud","Qualità eccellente. L'attenzione ai dettagli e alle materie prime impiegate fanno di questo piccolo laboratorio d'asporto un sito di eccellenza"
"ui_bubble_rating bubble_50","Puccia, che passione!","Per me è una festa quando con i colleghi si decide di pranzare con la puccia! La mia preferita è quella con burrata e prosciutto crudo, semplicemente sublime! Per non parlare dei dolcetti con marmellata di olive, una gustosissima scoperta, li adoro! Il personale è adorabile, ci si sente come a casa. E' sempre un gran piacere"
"ui_bubble_rating bubble_50","Unica","Ne avevo sentito parlare, ed alla fine ci sono andato. Un angolo di gastronomia pugliese in Romagna, dove trovare di tutto: panzerotti, calzoni, focacce, pucce, rustici e gli sporca muss, tutto buonissimo e condito dalla simpatia dei titolari. Sicuramente ci tornerò "
"ui_bubble_rating bubble_40","Belli e buoni","Vicino all'uscita dell'autostrada di Cesena c'è questo locale. Su di un strada di passaggio con problemi di parcheggio. Il locale è pulito ed ordinato. Il personale cortese ed efficiente. Le specialità come dice il nome sono pugliesi. Buonissimi i panzerotti fritti. Cotti bene ma non unti. Vanno mangiati con calma perché il ripieno ha delle temperature veramente eccessive."
"ui_bubble_rating bubble_50","Il TOP assoluto","Solo a pensare a quei meravigliosi panzerotti, fritti o al forno, mi viene l'acquolina in bocca! Personale gentile, piatti squisiti (e super ustionanti, occhio!) e prezzi bassi. Il top per una cena non proprio leggera ma che fa sorridere il palato!"
"ui_bubble_rating bubble_50","Una bella scoperta","Sosta piacevolissima in questo angolo di sapori pugliesi dove assaggiare panzerotti spettacolari accompagnati da una fresca Raffo, buone anche focacce e pucce. Proprietari simpatici e disponibili.Consigliato!!"
"ui_bubble_rating bubble_50","Sapori autentici","Ormai abitualmente ci fermiamo in questo locale dai sapori tipicamente pugliesi. Io e la mia famiglia adoriamo le pucce, i panzerotti, le focacce, è tutto squisito. Adoriamo anche i dolci.... Che scorpacciate di pasticciotti e sporcamusso! Consigliato."
"ui_bubble_rating bubble_50","Un tocco di Puglia inaspettato!","Ci sono stato in pausa pranzo essendo andato a Cesena per una trasferta di lavoro giornaliera. Tutto è stato buonissimo e ho trovato la Puglia fin nei minimi ingredienti.....dall’origano al panzerotto passando per l’olio e le mozzarelle. Insomma tutti di una genuinità incredibile. Conto di ritornarci appena possibile.....ah per chi è in transito sulla A1 si trova ad 800m dall’uscita Cesena per cui anziché il solito Autogrill vi consiglio di farci un pensierino."
"ui_bubble_rating bubble_50","Un po' di Puglia in Romagna","Ho scoperto questo posticino un annetto fa tramite tripadvisor e da quella volta è diventata una tappa fissa almeno una volta al mese. È un posto piccolo e in inverno lavorano soprattutto con l'asporto perché i tavolini sono di fuori, ma comunque da questa estate c'era la possibilità di mangiare li di fuori perché hanno aumentato il numero dei tavolini. Conduzione familiare (credo), tutti molto gentili. Cibo veramente molto buono, io amo la puccia con il salame piccante e le varie tipologie di focaccia. Fino a qualche mese fa si riusciva anche a non prenotare, ora la prenotazione è quasi d'obbligo per poter mangiare quello che si preferisce perché ora ci vanno molte persone (almeno nel week-end).L'unica pecca, per me che prendo l'autostrada per raggiungerlo, è la mancanza di posti a sedere al caldo in inverno infatti durante i mesi freddi mangio subito in macchina."
"ui_bubble_rating bubble_50","Nostalgia del sud","Da bravi meridionali emigrati, appena vista l'insegna che rimandava alla Puglia, ovviamente non potevamo non fermarci e ne siamo stati contenti. Personale cortese, ingredienti genuini, freschi e squisiti. Consigliato a tutti, specie a chi viene dal sud e vuole riscoprire i veri sapori della sua terra."
"ui_bubble_rating bubble_50","Una piacevole scoperta","Cibo ottimo Personale molto cordiale e disponibile. Il concept del cibo da strada unito ad un locale piccolo ma accogliente crea il giusto rapporto tra cibo ottimo da gustare comodamente seduti. Sembra di respirare il classico odore di fritto tradizionale nelle case di una puglia ormai dimenticata.Lo consiglio davvero tanto "
"ui_bubble_rating bubble_50","Andateci consigliata dagli amici del caps di cesena!<U+0001F61A>","Puccia buonissima, panzerotto pure! Per non parlare dei pasticciotti.. quello all amarena è il mio preferito. Andateci e non ve ne pentirete"
"ui_bubble_rating bubble_50","Che puccia :))))","Tante specialità pugliesi , puccia davvero buonissima , inoltre i proprietari sono gentili e disponibili , ci sono anche degli ottimi vini pugliesi , consigliatissimo"
"ui_bubble_rating bubble_50","Veri sapori pugliesi","I veri panzerotti e la vera pizza e focaccia che mangeresti in Puglia. Parola di pugliese. Cortesia, disponibilità ed onestà. Sempre l'ha certezza di soddisfazione. Io ci vado spesso."
"ui_bubble_rating bubble_50","Sapori di casa","Per caso siamo venuti a conoscenza di questo localino e domenica sera abbiamo deciso di cenare presso Sfizi di Puglia. Da pugliesi siamo stati felici di ritrovare i nostri sapori qui in Romagna, Abbiamo provato i panzerotti fritti, i panzerotti al forno, la puccia ed i pasticciotti, era tutto ottimo e preparato con cura dai proprietari, che sono stati davvero gentili ed ospitali. Ci torneremo sicuramente! Domenico."
"ui_bubble_rating bubble_50","Sapori di Puglia","Siamo stati domenica 30 settembre a cena (due famiglie) ed abbiamo provato un po' tutti i prodotti, dai panzerotti fritti ed al forno, alla puccia. Qualità ottima, così come i dolci (pasticciotti). Era la prima volta e ci torneremo sicuramente. Consigliatissimo.Pasquale"
"ui_bubble_rating bubble_50","Finalmente un po’ di Puglia anche in Romagna","Una cena squisita, panzerotti fantastici e anche la puccia merita davvero! Tornerò sicuramente <U+263A><U+FE0F> In più personale gentilissimo, dopo aver chiacchierato un po’ e ascoltato come si mangia davvero il “panzerotto” (ancora bollente e SOLO con le mani) sono arrivati al mio tavolo con i pasticciotti dolci ed è stata una buonissima sorpresa. Grazie di aver portato un po’ di Puglia anche in Romagna A prestoValentina"
"ui_bubble_rating bubble_50","Delizioso! ","Mi sono recato in questo locale incuriosito dalle recensioni e ne sono rimasto soddisfatto! Le pucce, la focaccia, i panzerotti e i pasticciotti sono buonissimi! Da pugliese posso dire di essermi sentito come a casa! Se mi ritroverò da quelle parti ci tornerò sicuramente! Consigliatissimo!! "
