"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Sushi","Ottima qualità si mangia benissimo personale gentile servizio rapido consigliato.Da tornarci ancora ..................................."
"ui_bubble_rating bubble_50","Nuova gestione OK <U+0001F44D> ","Siamo tornati, direi che il nuovo menù ci soddisfa pienamente !! Il sushi è buono e fresco !! Personale educato e veloce, la prossima volta proveremo alla sera !!"
"ui_bubble_rating bubble_10","NO NO NO","Premessa: studenti affamati che in piena sessione di esami vorrebbero solo sprofondare nel sushi....ma questa esperienza è stata allucinante! il sushi si salva per il rotto della cuffia ma i piatti del menù cinese che abbiamo scelto sono stati senza dubbio i peggiori che io abbia mai mangiato.. Finale: siamo usciti non solo con la fame perchè mangiare certi piatti è improponibile, ma anche nauseati...mi dispiace solo perchè il signore con gli occhiali che serve ai tavoli è disponibile e molto simpatico."
"ui_bubble_rating bubble_40","Sushi di coppia ","Tutto ottimo complimenti , da ritornarci... non metto 5 stelle solo perché manca qualcuno che sa spiegare cosa ordini"
"ui_bubble_rating bubble_20","Davvero.scarso","Alcuni cibi la qualità è molto scarsa l'unica pecca è che abbiamo aspettato un'ora per avere qualcosa da mangiare posto dove non ci ritornerò mai più"
"ui_bubble_rating bubble_40","Un buon sushi!","La qualità è buona, i prezzi nella media degli all you can eat. La pecca è che tra il pranzo e la cena c'è una differenza abissale di menù, che per carità, data la differenza di prezzo ci può stare, ma a pranzo la scelta è davvero limitata. Ho visto che ora il locale è chiuso per ristrutturazione...spero che alla riapertura cambierà anche la l'abbondanza del menù piatti buoni sia giappo che cinesi! Il locale è davvero molto carino, sopratutto i tavoli privé "
"ui_bubble_rating bubble_50","Ottimo sushi!","Sushi molto buono e particolare presentato molto bene e Diverso dal solito! Piatti cinesi pure molto gradevoli! Personale molto cordiale. Consigliatissimo!"
"ui_bubble_rating bubble_50","buona alternativa","Il locale è pulito e il personale è cordiale!! Personalmente ho trovato tutto buono, ma non ho gradito la salsina che mettono sugli uramaki, troppo dolciastra!! (Ma è soggettivo). Il menù è ricco e consente una buona scelta anche del cotto. "
"ui_bubble_rating bubble_40","Buono ma troppo speziato","In generale il cibo era buono però alcuni piatti erano troppo speziati per i miei gusti, come i ravioli al vapore: con molto pepe, troppo per i miei gusti. Ma a parte questo mi sono trovata molto bene"
"ui_bubble_rating bubble_50","A noi piace tantissimo ","A chi piace il Sushi in vendita all'interno degli Ipermercati: BEFANE, iper Rubicone e Punta di Ferro, è praticamente identico.Dovrebbe essere la stessa gestione. Io vado regolarmente ed mi trovo benissimo !!"
"ui_bubble_rating bubble_50","Eccellente","Locale pulito e carino, cibo veramente squisito e personale gentilissimo. Tutto perfetto, ci torniamo spesso."
"ui_bubble_rating bubble_50","fantastico sushi","Siamo andati sabato sera, per curiosità; il miglior ristorante di cesena per cucina giapponese e thailandese, freschezza delle materie prime , presentazione dei piatti e abbondanza di cibo!!! lo consiglio assolutamente, anzi consiglio anche di provare le loro proposte per aperitivi o take away!!!"
"ui_bubble_rating bubble_50","fantastico sushi","Questo ristorante ha aperto pochi mesi fa ed anche se l'entrata sembra piuttosto anonima, mio marito ed io abbiamo scoperto del cibo fantastico! Cucina giapponese e thailandese, piatti curati nella presentazione, ricchi di ingredienti, freschi nella preparazione, abbondanti nelle porzioni! Mi sento di affermare, in questo momento, che è il miglior ristorante di sushi di Cesena: Consiglio vivamente la formula all you can eat e il take away di piatti per aperitivi!!! Ci tornerò sicuramente!"
