"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Negativo passo!","Tempi di attesa esorbitanti,per un menù di 25 euro dove praticamente esci senza esser sazio in quanto le porzioni sono davvero piccole. Alla fine rendendosi conto degli abissali tempi di attesa si sono scusati verbalmente senza nemmeno avere un occhio di riguardo al prezzo finale.Di sicuro non ritornerò più! "
"ui_bubble_rating bubble_10","Negativo","Tempi di attesa infiniti nonostante ci fossero poche personeQuantità e qualità cibo molto scarsa e prezzi molto alti "
"ui_bubble_rating bubble_50","Bellissimo locale nel cuore di Cesena","Il posto è davvero bello, lo si nota subito mentre si passeggia per il centro. Personale simpatico e gentilissimo, cocktail molto buoni e ottimo buffet a disposizione per un super aperitivo. Da ripetere sicuramente!!"
"ui_bubble_rating bubble_40","Bellissima esperienza","Location da 5 stelle. Personale non eccessivamente cordiale ma accettabile. Cocktails un po' caro per la qualità effettiva. Ottimo il té e il buffet. Atmosfera piacevolissima"
"ui_bubble_rating bubble_40","Aperitivo fantastico","Drink buoni e buffet gustoso e abbondante. Atmosfera molto intima. Bella musica(forse un po' troppo alta). Molto colorato... Decisamente una bella serata!"
"ui_bubble_rating bubble_40","Spritz fantastico","Locale molto carino, tranquillo e accogliente. Personale gentile e ottimo buffet. Ma la cosa più buona è lo spritz, uno dei più buoni che ho mai bevuto. Prezzo un pochino troppo alto"
"ui_bubble_rating bubble_40","Un aperitivo...","Il ragazzo che gestisce il locale e decisamente un personaggio.Locale piccolo ma molto carino con oggettistica varia.Le foto ... alcune.. sono un po' fuori tema, buona musica di fondo.Cocktail buono (ma come spesso accade esageratamente pieno di ghiaccio) e presentato bene.I piatti a buffet erano decisamente buoni. Ho adorato le melanzane!Brava la cuoca!!!Ero di passaggio ma se dovesse capire ci torno.."
"ui_bubble_rating bubble_40","Apericena ","Locale in centro storico a Cesena facile da trovare e da raggiungere. L'atmosfera Brasiliana, il sottofondo musicale azzeccato, rende questo posto ideale per aperitivi /cene sia di gruppo che per coppie. Locale che ti attira con dei buoni cocktails e con il cibo Brasiliano. Il servizio è accogliente, direi che è stata una piacevole scoperta"
"ui_bubble_rating bubble_50","Aperitivo in allegria ","Assieme a un'amica abbiamo scelto questo locale per un aperitivo, avevamo entrambe già sperimentato la gentilezza e cortesia sia del gestore che del personale e non siamo rimaste deluse! Ottimi drink serviti in un'atmosfera allegra e accogliente, l'aperitivo a buffet è ricco di specialità davvero gustose e ben cotte! Assolutamente consigliato!! "
"ui_bubble_rating bubble_50","Ristorante brasiliano fantastico!","Fantastico ristorante brasiliano in centro a Cesena una qualità che nell'arco di 60 km se la sognano tutti gli altri ristoranti di questo genere.. complimenti!!"
"ui_bubble_rating bubble_10","Pessimo","Sono stata in questo locale insieme a degli amici, abbiamo ordinato dei drink dopo aver scelto accuratamente dal menù con prezzi stellari. Otto euro per un cocktail non buono a parer mio, nessuna decorazione e nessun gusto. Non tornerò, peccato per il locale molto colorato e vivace."
"ui_bubble_rating bubble_40","Per caso ","Sempre di corsa da queste parti non mi ero ancora accorto di questo piccolo locale ... Ottimo per un aperitivo senza tanti fronzoli. Non aspettatevi buffet come in alcuni locali simili come stile e rinomati poco distanti in zona mare, ma sufficiente e pulito . Proveremo anche la cena"
"ui_bubble_rating bubble_10","Mai più.. ","Ho provato ieri , sabato sera 11 novembre, per la prima volta questo locale con la mia ragazza, abbiamo chiamato per informarci se fosse disponibile fare un aperitivo e hanno confermato che era possibile fino alle 8 e mezza prima della cena vera e propria.Arriviamo per le 6, locale deserto ( e dopo abbiamo scoperto il motivo) ci fanno accomodare e ci danno il menù dei drink, tutto normale, ordiniamo due drink due capiroska alla maracuja e due shortini, e mangiamo qualche stuzzichino solito degli aperitivi, alla fine chiedo il conto( non mi ha dato neanche lo scontrino ma va beh) 32€.., è brutto recensire per denaro, ma il servizio offerto è stato davvero scadente ed è stato carissimo, im altri ristoranti di cesena, sottolineo ristoranti ho pagato meno e ho mangiato e bevuto.. Anche molto di più..Ce ne siamo andati un po amareggiati perché un po derubati, ho avuto l'impressione che si puntava solo al guadagno anche a costo di perdere clienti.. Mi ha rovinato un po la serata, se fosse impostato in maniera diversa e qualità superiore sarebbe anche un bel locale, peccato davvero. Riguardate all'istante i prezzi perché sono assurdi.. "
"ui_bubble_rating bubble_40","Torneremo!","Invogliate dal sottofondo musicale e dal bellissimo stile del locale, io ed una mia amica abbiamo prenotato per cena da Todo mundo...ci hanno accolto con un ottimo drink di benvenuto, a scelta tra alcolico ed analcolico,per poi farci consigliare sulla scelta del piatto. Buono il piatto unico, la scelta tra carne e pesce, o la possibilità di avere entrambi, è un'ottima idea, specialmente perché sono buoni sia l'uno che l'altro. Non sapendo infine quale dolce scegliere, ci hanno consentito di fare un assaggio di tutti, accompagnati da un ottimo liquore offerto da loro. Prezzo proporzionato, ne vale la pena, con uno staff sempre disponibile e gentile! Che dire...torneremo!!!"
"ui_bubble_rating bubble_30","...così così...","Cocktail molto scarichi, cibo buono ma prezzi altissimi....piatto unico a 25 euro con 3 gamberi????hanno anche una formula menu a 25 euro con antipasto piatto principale e dolce ma minimo 4pax e noi eravamo in 3...Abbiamo chiesto gentilmente di poter avere lo stesso la formula menu ma la cameriera poco gentile e con poca padronanza dell italiano ha dato spiegazioni confuse e ha detto che non era possibile.Morale della storia abbiamo speso il doppio rispetto a se ci avessero fatto prendere il menu e mangiato meno cose...Il cibo tutto sommato è buono....peccato per il servizio che non è all’altezza di essere definito tale....la ragazza che ci ha servito non riusciva a dare spiegazioni sulle portate in quanto non parlava bene italiano e non si capiva nulla....Dolci niente di che, poca scelta...nulla di tipico..."
"ui_bubble_rating bubble_50","Cena a sorpresa ","Abbiamo provato x la prima volta questo ristorantino attratti dai colori dell'esterno e dalle recensioni. Gentilissimi, nell'accoglienza e nel consigliarci, dato che x noi i sapori della cucina brasileira erano sconosciuti... cibo ottimo... Esperienza positiva! "
"ui_bubble_rating bubble_30","Niente di che","Aperitivo con amici, cocktails non proprio felicissimi, accompagnamento stuzzichini non troppo soddisfacenti ed infine prezzi abbastanza alti come la musica del resto. Non grande esperienza"
"ui_bubble_rating bubble_40","Simpatici","Ambiente piacevole, proprietari simpaticissimi e gentilissimi, cibo buono, cocktail splendidi. Raccomandabilissimo"
"ui_bubble_rating bubble_40","Ottimi Cocktail Brasiliani","Posto carino , il gestore o gerente come direbbero in Brasile sembra uscito da un film è da vedere ! Se entrate nel locale per la prima volta in un periodo di buona stagione non vedrete nessuno , c'è solo un tipetto che vi fa cenno di andare nel giardino . Scenderete delle scale , passerete in dei corridoi sotterranei ed infine , risalite delle scale , sbucherete nel giardino . Troverete altra gente ed un chiosco stile spiaggia . Qui il tipo da film vi farà un buonissimo cocktail ."
"ui_bubble_rating bubble_50","Un Isola felice ","Assolutamente consigliato! Il posto è carino da matti, il giardino poi è uno spettacolo, nn sembra nemmeno di essere in centro a Cesena! C è quel clima che fà un po' vacanza. Cocktails e cibo buoni, personale top!!! Uno dei miei posti preferiti a Cesena "
"ui_bubble_rating bubble_10","No","Sono stata con amici a fare l'aperitivo, drink buonissimi ma aperitivo veramente pessimo, aperitivo con würstel ,riso e cous cous, la cosa grave è che i piatti dell'aperitivo erano vuoti. Forse siamo arrivati tardi noi, cioè alle 19, però è già la seconda volta che lo proviamo come locale da aperitivo ma questa volta è stata peggiore della prima. Peccato perché la Location è davvero carina, si potrebbe migliorare il servizio! "
"ui_bubble_rating bubble_30","Locale un po' sottotono","Sono stata in questo locale per un aperitivo tra amiche e i drink sono effettivamente fatti bene e molto buoni, con un prezzo ragionevole, tipo 7 euro. La nota un po' stonata e che per essere un locale brasiliano manca un po di quel l'atmosfera un po festaiola che darebbe quel tocco in più! "
"ui_bubble_rating bubble_40","Da provare!!","Siamo stati li una sera in 2 abbiamo cenato e gli altri hanno solo bevuto. Abbiamo preso per cena pollo fritto servito con farina tipica,pomosori all aceto e faglioli in ciotoline e patate fritte e antipasto di pesce con pane fritto al formaggio zuppetta di pesce,gamberi e granchio fritto: buonissimo!!! Con questi ci hanno offerto un cocktail alla maracuja,ottimo. Anche gli altri molto buoni. Locationi molto carina,camerieri gentilissimi e attenti,rapporto qualità prezzo buona! Porzioni grandi. Ci ritorneró! "
"ui_bubble_rating bubble_40","Drink super, cibo OK","Drink fantastici, prezzo tranquillamente nella media. Cibo buono, abbiamo diviso un main dish in due per stuzzicare con il drink."
"ui_bubble_rating bubble_50","Ottima cena e ottima serata","Partendo dal presupposto che molte recensioni sono dettate da interessi vari e spesso mancano di sincerità, meglio provare di persona.. Io sono rimasta positivamente colpita dal l'accoglienza e della gentilezza del personale e del titolare. Ci hanno allestito un angolo tutto per noi dove abbiamo cenato in tranquillità. Abbiamo preso un ottimo antipasto con gamberi, ananas e avocado, veramente molto buono e un piatto completo carne pesci con contorni. Ho trovato il prezzo adeguato. È stata un ottima serata in tutto e non vedo l'ora di cenare nel fantastico giardino estivo nel mezzo alle mura di Cesena. Diffidate gente da quello che viene scritto, provate e non sarete delusi."
"ui_bubble_rating bubble_40","Spirito brasiliano ","Premesso che ci siamo presentati a fare un aperitivo 5 adulti e 6 bambini..con il relativo immaginabile trambusto data la sala un po' piccola..Siamo stati comunque accolti in modo fantastico dallo staff di una cortesia rara! Il buffet era molto ricco di pietanze buone che anche i bimbi hanno potuto gustare, i cocktail buoni ma pensavo meglio. Soprattutto merita l'ambientazione: la musica, le piante verdi, i fiori e l'arredamento caratteristico ti portano lontano!! Assolutamente merita!! "
"ui_bubble_rating bubble_50","Cibo ottimo e posto accogliente ","Io e la mia amica abbiamo cenato in questo caratterististico ristorante brasiliano nel centro di Cesena, una domenica sera molto piacevole, rilassante e gustosa! Abbiamo gradito tantissimo il consumè di verdure dal sapore dolce e ottimi i piatti unici di gamberoni e di carne! Il servizio è stato veloce e il personale gentile, attento e accogliente. Il tutto circondato da musica, candele, dettagli colorati e un'atmosfera calda... Ci torneremo! Consigliato!! "
"ui_bubble_rating bubble_40","Todo Brasil!","Sono stato in questo ristorante o scorso fin settimana e sono incredulo nel leggere alcune recensioni negative. Il locale, ideale anche per aperititivi o per una semplice bevuta, è ben arredato e tutti quelli che ci lavorano sono di una gentilezza unica. I prezzi mi sembrano nella media, ma ciò che mi ha sorpreso, oltre alla qualità dei drink (tisane comprese) è stata la cena. Con 25 euro ( non sono due lire, certo) sono uscito sazio e e soddisfatto: ho mangiato un piatto misto carne e pesce, dove c'erano molte specialità brasiliane. La carne era delicatissima e così il pesce, tutto cotto a puntino e saporitissimo.Cosa non da poco: durante la cena viene servito gratuitamente di un drink.Insomma, se si ha voglia di un serata un po' diversa, con cibo brasiliano, in un locale splendido, questo è l posto giusto. Ideale sia per le coppie che per le serate tra amici."
"ui_bubble_rating bubble_10","Nulla di che ","Siamo venuti a far colazione una mattina.Abbiamo preso delle mini sfogliate con Nutella erano secche e poco gustose.Tra l'altro piccolissime e costavano 0,80 cent l'una!Siamo usciti insoddisfatti quasi 7 euro per una colazione che ne valeva la metà!Bello il posto comunque."
"ui_bubble_rating bubble_50","Buona cucina e personale gentile","Devo dire che dalle recensioni non me l'aspettavo ma questo ristorante mi ha molto sorpreso! La cucina é molto buona, la carne é meravigliosa. Il personale é molto gentile e i piatti molto grandi. Ovviamente il prezzo non é basso, bisogna spendere circa 25 euro a persona ma é compreso un drink e un antipasto, oltre al piatto unico molto grande. Bisogna anche considerare che la maggior parte dei piatti contiene del pesce, e anche buono. Insomma, sono rimasta molto colpita! Bravi! "
