"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Aperitivo","Siamo venuti qui per un'aperitivo e ci siamo divertiti molto, un mojito buonissimo e degli spritz da urlo... se vi volete divertire venite qui!"
"ui_bubble_rating bubble_50","Una certezza","È difficile trovare qualcosa di non buono in questo locale: i crescioni sono eccellenti (li prendo lì una volta a settimana, e la qualità sia dell'impasto che della farcitura è sempre alta), le pizzette sono ottime e menzione speciale per le patate fritte che sono preparate in una friggitrice coi fiocchi! Prezzi molto convenienti, gestione familiare e personale molto cordiale e amichevole."
"ui_bubble_rating bubble_50","Tutto buonissimo ","C'è poco da aggiungere al titolo...pizza al taglio buonissima e molto farcita e le piadine e crescioni non sono da meno! Buoni anche i prezzi e gestione familiare super efficiente e simpatica! "
"ui_bubble_rating bubble_50","Crescione personalizzato ","Crescione gorgonzola cipolla salsiccia voluto da me e messo nella lista ..piadina come una volta..tutto ottimo "
"ui_bubble_rating bubble_50","Pizza al Taglio ottima","Pizza al taglio davvero squisita.. la prendiamo spesso sia per una cena veloce che per cene con amici e non delude mai!! "
"ui_bubble_rating bubble_40","Al chiuso ma di qualità","Non amo le rivendite di piadina poste al chiuso. Ma questa - che produce anche un'ottima pizza al taglio - rappresenta un'eccezione. Ottima la piadina e di qualità gli affettati."
"ui_bubble_rating bubble_50","Crescioni buonissimi","La mia morosa abitualmente compra i crescioni qui e una sera me li ha fatti provare: impasto davvero buono e belli pieni! Vasta scelta di gusti e abbinamenti davvero azzeccati! Da provare assolutamente il delizia;)"
"ui_bubble_rating bubble_50","La mia pizza al taglio preferita","Qui fanno anche piadine crescioni e rotolo, ma io ci vado per la loro fantastica pizza al taglio. La mozzarella che usano per la margherita è di ottima qualità e l'impatto mantiene i quadretti di pizza morbidi e gustosi. Un'ottima alternativa alla solita pizza tonda. Consigliato!"
"ui_bubble_rating bubble_40","Da assaggiare!","Il posto è piccolo e famigliare... tutto molto buono...consiglio il rotolo con gorgonzola e noci..è il mio preferito...veramente squisito...il personale è cordiale e disponibile...ambiente pulito...rapporto prezzo/qualità nella media."
