"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Festa di laurea","Cibo e vino di ottima qualità e personale disponibile.Anche l'occhio ha la sua parte: la vista sulla piazza è stata la ciliegina sulla torta."
"ui_bubble_rating bubble_10","Aperitivo tra amiche","Locale pessimo....avevo prenotato per un aperitivo , si sono dimenticati e il tavolo non c'era.. Non hanno portato nulla da mangiare., in offerta come stuzzicheria come aperitivo( nonostante avessimo detto che facevamo aperitivo, )..ridicoli e poco gentili e cordiali....serata da dimenticare."
"ui_bubble_rating bubble_50","Meraviglioso proprio sulla piazza sotto al Municipio","È molto bello, eclettico, particolare.dalla colazione agli aperitivi, pranzo e cena.Piatti ben curati e di qualità buona.Scelta ampia di vini.All'esterno tanti tavolini e durante l'inverno vi scalderanno i funghi, le stufe a infrarossi."
"ui_bubble_rating bubble_40","Ristoenoteca","Posizione centralissima bella location ottima carta dei vini e piccola ristorazione curata nei particolari"
"ui_bubble_rating bubble_10","serzizio come la cucina: inesistenti","Il servizio è pessimo, non c'è accoglienza, ti guardano male e ti fanno aspettare al tavolo per molto tempo prima di prendere l'ordinazione.Va bene per bere un buon bicchiere di vino, ma i piatti proposti, non sono certo al livello di ristorante come vogliono far credere, dal momento che la cucina e la cappa d'aspirazione non esistono, lo chef sembra quei dj che fanno finta di mixare con il cd già pronto."
"ui_bubble_rating bubble_50","Vino ottimo cibo e festa","Graziosissimo locale di piazza del popolo a Cesena. L'atmosfera che si respira è di accoglienza e casa. Lo chef propone piatti gourmet bellissimi da osservare e buonissimi da gustare. Un luogo perfetto per ogni momento della giornata dove sentirsi per qualche ora coccolati e a proprio agio. Assolutamente consigliato"
"ui_bubble_rating bubble_40","Non solo ristorante ","la Vineria del Popolo si trova sotto i portici del palazzo comunale di fronte alla fontana Masini (insieme alla biblioteca malatestiana, uno dei monumenti più importanti della cittadina romagnola) con la vista quindi sulla piazza più bella di Cesena. Lo abbiamo provato una sera di un giorno infrasettimanale e non abbiamo avuto problemi a trovare posto (immagino che nei weekend sia meglio prenotare). Il locale è anche bar ed enoteca e quindi si può provare anche a colazione (interessanti le paste con ripieno fatto sul momento) o per un’aperitivo. L’arredamento è ben curato e volutamente vintage per le sedute e tavoli esterni. Noi abbiamo preso un piatto a testa per una cena veloce e devo dire che mi sono piaciuti e probabilmente torneremo per provare altro.La carta dei vini è ampia e con alcuni “pezzi” davvero interessanti. Migliorabile il servizio ma sicuramente sopra la media.Ideale anche per pranzi di lavoro.Location ****Menù ****Servizio ***Conto ***"
"ui_bubble_rating bubble_40","Cordialità ","Posto molto carino situato proprio su pazza del popolo, prezzi onesti e ottimi vini. Camerieri molto professionali e cordiali. Da assaggiare i salumi di mora che sono buonissimi. Ci tornerò se avrò la possibilità di venire a Cesena di nuovo. "
"ui_bubble_rating bubble_50","Pranzo (o cena) in centro","Il locale si trova nello stesso edificio storico del Municipio e dell'Ufficio Turistico. Mi sono fermato per il pranzo sedendo a uno tavoli (uno diverso dall'altro, con uno stile minimalista vintage) sotto il portico che si affaccia sulla piazza centrale della città. I sapori proposti sono decisamente entusiasmanti ad un prezzo abbastanza contenuto. Da provare anche per un semplice caffè o un bicchiere di vino, la cui scelta è piuttosto ampia."
