"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Tutto delizioso","Crescioni veramente ricchi e con ingredienti di qualità. Se volete un consiglio prenotate perchè gli ordini sono veramente numerosi. Uno dei migliori di Cesena!"
"ui_bubble_rating bubble_30","Maleducati","La piadina è buona tranne quelle volte che hanno troppo da fare e se non ti va bene ci trovi da dire, se qualcuno chiede crescioni personalizzati fanno commenti non opportuni, dopo aver chiuso il telefono per un'ordinazione si sentono commenti maleducati..."
"ui_bubble_rating bubble_50","Da provare","Ci siamo stati per un pranzo veloce e siamo rimasti soddisfatti. Rotoli buoni come tutti gli ingredienti utilizzati. A presto."
"ui_bubble_rating bubble_50","Cena veloce","Se volete mangiare specialità culinarie romagnole questo è il posto giusto. Piadine, crescioni,rotoli,kebab e moltre altre cose e impasti di diversi tipi vi delizieranno. Prezzi molto contenuti. Unica pecca è la posizione un po nascosta. Consigliato vivamente!"
"ui_bubble_rating bubble_40","Ancora più buona!","Era da un po' di tempo che non andavo da acqua e farina e posso dire che non solo si mangia bene, ma sono anche migliorati in qualità e gusto. Io ho preso un rotolo pomodoro, bufala e crudo e la mia ragazza un kebab romagnolo, tutto buonissimo! Gli ingredienti, in particolare le verdure si sente che sono fresche e di qualità! Lo consiglio a tutti quelli che vogliono mangiare una piadina o una pizza di qualità immersi in un piccolo angolo verde. Unica nota: consiglio un po' più di allegria nel prendere gli ordini."
"ui_bubble_rating bubble_40","Stupiti","Bel chiosco nel parco, gran bella scelta, prodotti freschi e buonissimi a prezzi stracciati, venite a provarlo non resterete delusi."
"ui_bubble_rating bubble_50","Una Piadina nel Parco","Incontro casuale giovedì sera con Acqua e Farina, chiosco affacciato su un parco con giochi bimbi. Più che un chiosco quasi un ristorante vista l’offerta proposta. Abbiamo provato il rotolo “Come vuoi tu” con ingredienti scelti da noi: crudo, pecorino, rucola, insalata e pomini e un crescione anche questo composto da noi con zucca, patate e salsiccia. Entrambi molto gustosi e digeribili. Sicuramente merita un assaggio. Da provare!!!"
"ui_bubble_rating bubble_50","Mamma mia!!","Cercato e trovato con treapadvisor ... spettacolare.. abbiamo provato: Crescione, piadina e rotolo!!! A dir poco fantastico... consigliatissimo... "
"ui_bubble_rating bubble_50","Una piadina con la P maiuscola... ","Che dire...una delle piadine più buone che io abbia mai mangiato. Dimensioni generose, farcitura abbondante e di qualità (la mia era speck, taleggio e funghi porcini...semplicemente fantastica). Assolutamente da provare. Bravi continuate così!"
"ui_bubble_rating bubble_40","Ottimo direi","Non conoscevo questo chioscoProvato più volte sia da portare via che provato sul posto devo dire che ha buoni prodotti servizio e cortesiaPrezzi onestiLo consiglio vivamente Bravi"
