"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Migliore in zona","Pizza buonissima! Io e la mia famiglia ci andiamo da anni...consiglio!tanta resa e poca spesa...Uno dei migliori qui a Cesena "
"ui_bubble_rating bubble_50","Pizza eccellente","A mio parere risulta essere una tra le migliori presenti in zona. Pizze ben condite, consegna nei tempi prestabiliti.Lo consiglio."
"ui_bubble_rating bubble_30","così così","5 pizze prese da asporto. Arrivate nei tempi promessi, ma la la pizza non mi è piaciuta molto, impasto gommoso!"
"ui_bubble_rating bubble_50","Pizze gustose!","Siamo assidui clienti e non ha mai deluso le aspettative! Ottime le pizze speciali e tanta tanta cortesia!!! Bravi!@"
"ui_bubble_rating bubble_40","Ottima pizza ","A due passi dalla stazione un ambiente comodo e senza pretese dove mangiare bene esclusivamente solo pizze al forno a legna. Prezzi onesti."
"ui_bubble_rating bubble_10","Attesa biblica e pizza appena decente","Torniamo a prendere una pizza al volo in questo locale: entro chiedendo espressamente quanto c'era da attendere, la ragazza alla cassa mi dice 20/25 minuti quindi prenoto e pago. Nel frattempo numerose telefonate di persone che avevano prenotato la consegna a domicilio e la pizza era molto in ritardo. Noto che la cassiera tende a minimizzare i tempi di attesa, penso che la politica del locale sia quella del prendere tutte le prenotazioni possibili fregandosene dei tempi di attesa per i clienti e cercando di minimizzarli per non perdere l'ordine. In negozio diversi clienti lamentano ritardi considerevoli.... le mie pizze escono (dopo più di una lamentela...) dopo oltre 45 minuti! A saperlo.... sarei andato altrove. A casa apro la confezione della pizza e si vede chiaramente che è stata fatta alla meno peggio, chiaramente in preda alla fretta. Non è neanche granchè... DA EVITARE ACCURATAMENTE."
"ui_bubble_rating bubble_30","Cena","Ho ordinato giovedì sera 18 maggio 2017 1 Alicante maxi. Sono rimasta molto delusa perché la pizza aveva il bordo alto, poco cotta e gommosa. Critica che va fatta anche per venerdì 12 maggio 2017. Il costo di consegna non dovrebbe essere applicato e offerta una bibita o altro ai vostri affezionati clienti. Spero rimedierete a ciò che vi ho scritto. Saluti e buon lavoro."
"ui_bubble_rating bubble_50","CENA","Sono andata in questo locale stasera 5 aprile 2017 per ordinare una pizza maxi Alicante. Buonissima e molto farcita. Complimenti dai vostri clienti affezionati di Cesena."
"ui_bubble_rating bubble_20","CENA DI COMPLEANNO","Martedì sera 10 gennaio 2017 ho ordinato 8 pizze di vari gusti. Quasi tutte bruciate, poco farcite e non buone. Sono rimasta molto delusa e spero che la prossima volta mi tratterete bene. Saluti e buon lavoro."
