"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Pensavo meglio","Ero già stato in questo posto ma la prima volta mi sembrava di ricordare qualità migliore. Peccato perché il posto è rinomato e può fare molto meglio."
"ui_bubble_rating bubble_50","Qualità e gentilezza","Passati a pranzo, fatto una coda normale, i proprietari gentilissimi e un po' divertiti che fossimo una famiglia e che provassimo il lampredotto. Non era il primo assaggiato, molto buono e saporito, gli altri panini ben farciti e di qualità. Da non perdere. "
"ui_bubble_rating bubble_50","Il migliore in assoluto!","E' situato in uno dei rioni più belli e caratteristici della città e lo consiglio a chi viene a Firenze come turista. Fate un sosta e appoggiandovi al banco chiedete un semellino (panino o rosetta..per chi non è fiorentino) con lampredotto e salsa verde piccante o le altre varianti che ogni giorno potete trovare. Qui c'è ancora un angolo della città vera quella che noi con il cuore viola amiamo tanto!"
"ui_bubble_rating bubble_50","Che Gusto!","Tra le tante cose da fare e vedere a Firenze c'e' anche il chiosco del trippaio a San Frediano. Dopo una giornata di kilometri per vedere tante meraviglie , ti fermi li' , ti fai un panino col lampredotto, o con la poppa, nelle diverse varianti , una biretta, due battute col trippaio, e torni fresco come una rosa! Ci torneremo sicuramente!"
"ui_bubble_rating bubble_50","La vera Firenze","Simone il Trippaio di San Frediano è un istituzione per noi fiorentini docg, lampredotto di categoria per non parlare della trippa poppa e lingua. Andare in piazza dei Nerli dal trippaio di San frediano é come fare una full immersion in quella che fu e purtroppo troppo poco è rimasta della vera Firenze, delle botteghe e bottegai, della presa in giro se sei gobbo ma della genuinità simpatia e del buon cibo fiorentino. Oggi si parla tanto dello street food ma per me che ormai sono alla soglia dei cinquanta il panino al lampredotto ai banchi o chioschi fiorentini si mangiavano fin da bambini che fosse estate o inverno e In piazza dei Nerli come si dice da noi il lampredotto “é tanta roba”."
"ui_bubble_rating bubble_50","Altri tempi on the road","Situato nella piazza di un quartiere storico, il colpo d'occhio è troppo intrigante per non fermarsi ad assaggiare un piatto di trippa calda veramente gustosa!"
"ui_bubble_rating bubble_50","Lampredotto piccante","Da buon calabrese ho provato il lampredotto piccante con la salsa verde (prezzemolo, aglio, capperi e acciughe). Il lampredotto era davvero buono e delicato, pane ben inzuppato belli pieno. Appena ritorno a Firenze ne mangierò 2 o 3 "
"ui_bubble_rating bubble_40","Lampredotto ai carciofi","Trovato questo chiosco per caso giusto all'ora di pranzo, non avevo ancora assaggiato il Lampredotto e, visto l'affollamento di studenti e gente comune mi sono accodato subito.Ho preso il Lampredotto ai carciofi, nonostante non impazzisca per la trippa, l'ho trovato molto buono. Bel posticino con qualche tavolino per un pranzetto veloce."
"ui_bubble_rating bubble_50","Ottimo il panino e le chiacchiere","Un chiosco amichevole in cui ti puoi sentire parte di una città. Il cibo è ottimo e l’attenzione del proprietario nell’assecondare la richiesta è palpabile, soprattutto se a ciò si aggiunge la piacevole disponibilità di chi ti prepara da mangiare con passione, anche solo un panino di lampredotto o un crostino."
"ui_bubble_rating bubble_50","Mai più senza","Semplice e delizioso street food Fiorentino. Prezzi NON turistici. Vale la pena fare qualche passo per godersi la loro simpatia e l'ottimo Lampredotto."
"ui_bubble_rating bubble_40","Ottimo lampredotto in San Frediano","Chioschino famoso nel quartiere San Frediano che offre davvero un buon panino lampredotto ed una serie di piatti tipici fiorentini. Consiglio il tris di crostini con assaggio della poppa, davvero per i buongustai."
"ui_bubble_rating bubble_10","Mai più","Siamo arrivati incuriositi dalle buone recensioni alle ore 13.05. Dopo una fila interminabile di 40 min riusciamo ad ordinare un piatto di polenta con salsiccia e un panino al lampredotto. Ci dicono di aspettare 5 min che il lampredotto era finito e doveva essere ripreparato. Aspettiamo altri 20 min, intanto arriva la polenta e salsiccia ma era immangiabile tanto il sale che avevano messo! Appena pronti i panini col lampredotto iniziano a darli a tutti coloro che aspettavano senza rispettare la fila! Ho avuto l' impressione che molti clienti fossero amici dei titolari e quindi sono stati fatti passare avanti, mentre noi poveri terroni romani siamo stati messi in attesa! Solo quando mi sono incavolata e sono andata alla cassa a pagare la polenta senza aspettare il panino il titolare cadendo dalle nuvole ha fatto comparire il tanto atteso panino! Orario 14.30!!! Scandaloso. Non ci torneremo mai più!"
"ui_bubble_rating bubble_40","Gustoso senza troppe pretese","Ottimo panino col lampredotto. Piuttosto veloce nel servizio. Un po' meno per incassare il conto. Il posto per pranzare è quello che è. A me, da buona fiorentina, è piaciuto molto."
"ui_bubble_rating bubble_50","Poppaaaa","Se vuoi un posto non turistico, in cui vivere la vera Firenze e mangiare cose tipiche come il lampredotto, la trippa fiorentina e la poppa questo piccolo posto è l'ideale. Semplicità e gusto, quando c'è la materia prima non servono troppi artefatti."
"ui_bubble_rating bubble_30","tipico","offre la tradizionale trippa. solo per chi ama questo piatto tipico della cucina fiorentina. si mangia in tempi brevi"
"ui_bubble_rating bubble_50","Brutta cosa l'ignoranza!","Qui al nord queste meraviglie non ci sono ! Meraviglia i panini, meraviglia gli ingredienti, meraviglia i gestori, gentili e pazienti con chi nulla sapeva di lampredotto e poppa, meraviglia gli altri avventori che si son prodigati in spiegazioni e consigli!Ignoranza colmata ma adesso ci rimane la curiosità e la voglia di scoprire anche le altre prelibatezze ed aumentare la nostra conoscenza!"
"ui_bubble_rating bubble_50","fantastico","Il vero panino al lampreddotto! da provare, anche se c'è sempr eun po' di coda da fare. Che altro dire? "
"ui_bubble_rating bubble_50","NON si può NON mangiare..","Panini squisiti, trippa e crostini. Ci sarebbe andato anche Dante se qualcuno gliel' avesse detto! e magari avrebbe scritto un canto al Lampredotto!!"
"ui_bubble_rating bubble_50","Merenda","Ottimo, ottima scelta e prezzi economici, diversi piatti a base di poppa, trippa o lampredotto. Peccato chiuda presto..."
"ui_bubble_rating bubble_50","Fantastico","È davvero un piacere ritrovarsi a mangiare le cose buone di un tempo. Tradizione, alta qualità dei prodotti, simpatia e gentilezza. Lampredotto e trippa super. Una tappa fissa tutte le volte che vengo a Firenze. "
