"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottima cena ... anche per gli occhi !","Oltre alla fantastica presentazione dei piatti devo dire che si mangia benissimo! Da sottolineare anche la gentilezza delPersonale . Consigliato "
"ui_bubble_rating bubble_50","Ottimo!!!!","Sono stata con amici lo scorso mese ! Consiglitissimo!!! Piatti ottimi prodotti freschi, locale molto carino e sopratutto pulitissimo!!! Dall’antipasto al dolce tutto "
"ui_bubble_rating bubble_50","Ristorante top","Sono stato questa sera con la mia fidanzata, lo consiglio vivamente!!! A mio parere tra i primi ristoranti di Firenze! Ottimo cibo ben presentato locale pulito ambiente tranquillo , personale super gentile !!!! Inoltre la migliore carne che ho mai mangiato in Toscana!!"
"ui_bubble_rating bubble_50","Davvero molto buono","Qualità del cibo eccellente, servizio cordiale e preciso. Sono stata a cena con la mia famiglia e sicuramente ci tornerò. Da consigliare"
"ui_bubble_rating bubble_50","Top","Alta cucina! Servizio ottimo, locale accogliente !!! Consigliatissimo ci torneremo presto di sicuro ottima scelta!!!!"
"ui_bubble_rating bubble_50","ALTA CUCINA","Ristorante situato nel centro di Firenze. Piccolo ed accogliente Servizio ottimo. I due chef sono di una professionalità e simpatia rara. La vera marcia in più viene dalla cucina. I piatti sono di una bellezza e bontà sconvolgente!!!Consigliatissimo!"
"ui_bubble_rating bubble_30","Poco affollato e da rivedere in parte...","Buona la bistecca alla fiorentina!!! Qualità buona del servizio. Locale un po’ freddo e particolare. Non tutti i dolci del menù erano presenti!"
"ui_bubble_rating bubble_50","Bravi","Pizzeria molto buona. Proprietario Ardit gentile. Da fuori non ti aspetti che ci sia una sala interna charming e calda. Ingredienti freschi, originale il menu. Da provare tartare di manzo e la bistecca. Per non parlare della pizza. Il pizzaiolo Gemi sa sempre accontentare chi ha delle preferenze al di fuori della proposta classica. "
"ui_bubble_rating bubble_50","ottima serata","Ho cenato in questo locale con amici e colleghi di lavoro: cibo ottimo, locale molto accogliente, la preparazione delle portate è molto suggestiva. ci ritornerò sicuramente."
"ui_bubble_rating bubble_40","Meraviglioso per le papille ","Veramente ottimo!!! Tutto quanto! I ravioli, la tartare, i secondi, i dolci.. Tutto estremamente curato, tutto delizioso.. Un ristorante veramente buono in cui consiglio di andare se si vuole mangiare vene evitando di prendere le classiche fregate da città turistica. Un po' costa ma almeno ne vale la pena, siamo a Firenze non dimenticatelo. Ps. A due passi dalla meravigliosa Santa croce "
"ui_bubble_rating bubble_50","Tutto perfetto ","Locale accogliente, personale assolutamente cortese e competente, cibo presentato perfettamente ed eccellente. Pici cacio e pepe superlativi. Rapporto qualità prezzo valido."
"ui_bubble_rating bubble_40","Cena tra amici in centro a Firenze","Prenotato tramite de fork una cena per quattro, personale accogliente e ottima atmosfera, piatti ben curati e porzioni giuste, sicuramente da consigliare per chi cerca un ristorante in centro a firenze con una buona qualità prezzo."
"ui_bubble_rating bubble_50","Eccellente","Sono stata in questo ristorante a Firenze durante un mio viaggio li. Assolutamente da riprovare. Abbiamo preso un contorno, un primo e la pizza. Che dire tutto squisito. La porzioni della pasta poi, anche abbondanti, dei tagliolini squisiti. Ho assaggiato anche il primo del mio ragazzo e posso dire che gli gnocchi erano favolosi. La pizza buonissima, io non amo quelle sottili e posso garantire che fosse perfetta. Rapporto qualità prezzo eccellente. Che dire del servizio, la cameriera sempre gentilissima ed esaustiva. Davvero tutto perfetto per chiudere in bellezza il mio viaggio a Firenze. Sarà la prima tappa se dovessi ritornare in città. Complimenti!"
"ui_bubble_rating bubble_50","cortesia e qualità","Siamo stati veramente bene. Cortesia superlativa e piatti della tradizione fiorentina di qualità eccelsa. Prezzi adeguati"
"ui_bubble_rating bubble_50","Piatti curati nei dettagli..","Sono stato a una cena tra amici in questo ristorante, ho prenotato basandomi sui social , devo dire che non sono rimasto affatto deluso, anzi ho trovato dentro un ambiente veramente incantevole...per iniziare dallo staff, a mio avviso molto cordiale, sorridente e molto d’aiuto si vari consigli della loro cucina..i piatti sono veramente molto accurati nei loro dettagli, in quanto saporosissimi e deliziosi! Che dire altro? Merita sicuramente provarci per crederci, io personalmente appena possibile ci tornerò volentieri"
"ui_bubble_rating bubble_50","Gita fuori porta ","Siamo venuti a cena consigliati da un amico...il quale non poteva darci consiglio migliore!Camerieri davvero simpatici, disponibili!I piatti uno meglio dell’altro per non parlare del Chianti riserva...CONSIGLIATISSIMO!"
"ui_bubble_rating bubble_50","Ottimo!! Da tornarci! ","Il locale é situato in centro , personale cordiale e disponibile buoni piatti e anche molto curati... sicuramente da ritornarcii!!!"
"ui_bubble_rating bubble_50","Eccellente ","Uno dei migliori ristoranti di Firenze!L'ambiente è piacevolissimo con personale molto professionale e attento. La cena risulta di ottimo livello, questo è senz'altro il mio ristorante preferito. Consigliatissimo! Complimenti "
"ui_bubble_rating bubble_50","Divino","Siamo stati ieri fidandoci delle recensioni. Che dire! Promosso a pieni voti! Locale ben curato in ogni dettaglio dalla focaccia e spumante di benvenuto alla tovaglietta con dedica personalizzata, ai piatti particolarissimi.. insomma complimenti. Il cibo è ottimo: noi abbiamo preso crocchette di verdure, tortino di porri, tagliata di manzo ai carciofi, croccante di riso e budino di cocco. Acqua e 1 calice di vino tot 72 euro.. e ne valgono tutt!Anche il servizio ottimo. Unica nota dolente.. il freddo! Ma non mi sento di togliere una stella.. basta mettere un maglione in più! Super consigliato"
"ui_bubble_rating bubble_30","Alti e bassi","Esperienza contraddittoria. Il cibo e la presentazione dei piatti sono molto buoni e curati ma purtroppo l'arredamento pacchiano e la temperatura polare impediscono di apprezzarli veramente. Personale gentile. Al momento di pagare il pos non era funzionante e il primo bancomat disponibile diciamo non proprio vicinissimo."
"ui_bubble_rating bubble_50","Ottima cena","Personale giovane e cordialissimo. All’arrivo offrono spicchi di focaccia e prosecco. Piatti ottimi, ben serviti e di qualità. Menù ricchissimo e prezzi onesti. Lo consiglio "
"ui_bubble_rating bubble_40","molto piacevole","Ci siamo andati a cena prima di andare a teatro.Locale ben gestito, personale gentile.Molto buona la scelta dei piatti e del vino.Curata la presentazione delle pietanze. La qualità è decisamente alta.Consigliato."
"ui_bubble_rating bubble_50","Squisito","Accoglienza ottima direi. I camerieri molto alla mano e simpatici ti offrono subito un prosecco di benvenuto e delle pizzette buonissime.. Poi andiamo avanti con i menu molto valido direi.. Antipasti di terra caldi buonissimi misti dove ce di tutto e di piu es burrata fresca affettati coccoli fegatino ecc.. E poi ottima tartare di carne e primi favolosi specie gli gnocchi fatti a mano freschi con pomodorini burrata e olive sono davvero squisiti... Che dire da andarci sicuramente.. "
"ui_bubble_rating bubble_40","Davvero valido! ","Pranzo domenicale con amici, sconto 20% con the fork, spesa sui 35 a testa.Vino rosso della casa buono, antipasti presentati divinamente e molto buoni, filetto di qualità e carne morbidissima, al sangue chiaramente. Non metto 5 stelle solo perché mia moglie ha chiesto il filetto cotto medio (sic.) ed è arrivato al sangue. Da tornarci!"
"ui_bubble_rating bubble_40","MOLTO MOLTO VEGETARIANO","A parte la difficoltà del parcheggio, siamo in centro a Firenze e questa è un fatto risaputo, devo fare i complimenti al locale. Il locale e accogliente e arredato con gusto, non complicato ma semplice e raffinato.Il personale di sala e cortese e disponibile, direi molto educato. Buona l’accoglienza con prosecco e focaccia e tutti i piatti vegetariani, anzi, faccio i complimenti al titolare per questa attenzione. Cibo sano. Consiglio vivamente"
