"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Nuova scoperta piacevole","Locale molto curato e accogliente.Personale gentilissimo è professionale, molto attento alla clientela.Menù molto interessante e ben rivisitato.Ottimo il pesce fresco e i crostacei.Molto buona la selezione dei vini.Certamente da provare ancora. "
"ui_bubble_rating bubble_50","Buona cena","Arrivati il primo giorno a Firenze, volevamo iniziare il nostro viaggio sperimentando la prima cena in questo locale un pò decentrato rispetto ai flussi tradizionali. Non siamo rimasti delusi.Osteria moderna con arredi semplici e sobri. Abbiamo apprezzato i piatti scelti.Conto in linea con i prezzi della città."
"ui_bubble_rating bubble_50","Come a casa!!!!","Ho cenato con la mia famiglia per la prima volta in questo meraviglioso ristorante. Raffinato ma di una semplicita’ unica , ed essendomi trovata benissimo ci sono ritornata con gli amici..come sempre ne sono uscita piu che soddisfatta. Ho mangiato dei fantastici cubi di formaggio al sesamo , e poi mi sono imbattuta in degli gnocchi preparati con la farina di castagne e accompagnati con della salsa al pecorino romano.. una prelibatezza, particolari e delicati al palato.. e per finire un bel tiramisù fatto in casa a dir poco eccezionale!!Vini di ottima qualita’ e servizio gentile e professionale. Nota per il simpaticissimo titolare che ci ha fatti sentire come a casa.. Grazie !!ci ritornero’ ad occhi chiusi !!"
"ui_bubble_rating bubble_50","Ottima esperienza","Capitati per caso con mio marito, ci siamo fermati attirati dall'ambiente accattivante. Abbiamo preso raviolo erotico e risotto gamberi e scampi per cominciare e poi un petto d'anatra a mezzo prima dei dessert, flan di castagne e torta al cioccolato. Davvero un'esperienza molto piacevole."
"ui_bubble_rating bubble_50","Finalmente non il solito ristorante fiorentino","Abbiamo provato questo ristorante un po casualmente e siamo rimasti veramente sorpresi.l'interno è molto caldo e curato, assolutamente gradevole.il menù, sorprendente,offre piatti che normalmente non si trovano nella classica trattoria fiorentina,come tante in zona.materie prime di qualità e lavorate con grande cura,attenzione alla stagionalitá.ottima l'anatra.conto giusto."
"ui_bubble_rating bubble_50","quando in un ristorante c'e' un vero chef","Complimenti,ho cenato in questo ristorante in coppia,semplicemente tutto ottimo,piatti serviti con classe e qualita' ottima,chi sta in cucina si vede che sa fare il suo lavoro...anche il servizio ottimo....BRAVI"
"ui_bubble_rating bubble_50","Piatti e vini di altissimo livello senza spendere troppo,pulito, cucina originale e servizio impeccabile","In un settore della ristorazione saturo come quello fiorentino questo ristorante si distingue innanzitutto per il rapporto qualità prezzo, piatti di altissimo livello,menu nuovi ogni mese, vini di categoria superiore, ad un costo assolutamente abbordabile. Personale cortese e professionale, ambiente di classe, sobrio e pulito. All'interno del locale una piccola boutique destinata all'esposizione e alla vendita dei prodotti tipici utilizzati in cucina, assolutamente da visitare con attenzione, con occhio di riguardo per gli oli e le salse. All'interno del locale c'è un pianoforte per chiunque voglia suonarlo e a cui ogni tanto si cimenta qualche virtuoso dello strumento Piatti imperdibili:- Tagliere di antipasti Adagio (le tartarre sono eccezionali)- Raviolo erotico- Petto d'anatra all'arancia (sublime)- Cheesecake Perfetto per cene in coppia o gruppi di amici"
"ui_bubble_rating bubble_50","Piacevole scoperta","I dettagli fanno la differenza ...ed è proprio vero!! Locale molto curato, perfetto per cena tra pochi intimi amici. Presentazione dei piatti eccellente, così come il sapore. Ho preso un antipasto e un secondo di mare. Da buona siciliana ho apprezzato moltissimo le alici marinate accompagnate da panelle che, devo ammettere, erano davvero buone!! Tenerissimo il trancio di tonno con la nduja. Servizio di ottima qualità. Musica di sottofondo top. Ritornerò sicuramente per apprezzare i piatti di terra che gli amici presenti hanno decisamente elogiato. Consigliato!!!"
"ui_bubble_rating bubble_50","Consigliato!!","Un amico era stato qui decantandomi questo raviolo erotico ed essendo un curioso di piatti un po' più particolari volevo provare. E ne valeva decisamente la pena. Anche controfiletto di alto livello, così come l'Etna Rosso che ho bevuto. Da tornare per provare altri piatti."
"ui_bubble_rating bubble_50","Bella scoperta","Ambiente molto curato, pochi tavoli e ben disposti.Menù molto accattivante con proposte diverse dal solito.I piatti provati sono stati tutti eccellenti, abbondanti e ben preparati. Buona carta dei viniIl servizio è disponibile, veloce e simpatico.Conto nella media"
"ui_bubble_rating bubble_50","Cena di Lavoro","Cenone di Natale con colleghi. Tanta roba. Carne morbidissima e disponibilità del personale sempre. Da ordinare il tagliere d'aperitivo"
"ui_bubble_rating bubble_50","Bravi ","Cena prenatalizia con amici in questo locale aperto non da tantissimo che non avevo ancora provato. Eravamo una decina di persone e ci è stato consigliato di concordare un menù. Fatto: antipasto con formaggi, salumi e tartare di manzo, tagliata al lardo e ai carciofi con condimenti vari come secondo e cheesecake per chiudere. Tutto eccellente e impreziosito da un servizio informale ma attento. Bravi."
"ui_bubble_rating bubble_50","Piacevole conferma","Sono tornato in questo ristorante per una cena di Natale con alcuni amici dopo esserci stato a febbraio. Tutto molto buono come l'altra volta, personale gentile e disponibile, locale molto accogliente. La cucina è della tradizione, ma in chiave moderna, consigliatissimo! Ci tornerò ancora!"
"ui_bubble_rating bubble_50","Alta qualità ","Sono stato da Adagio per una cena con la mia compagna ed un’amica. Ambiente molto accogliente ed elegante; personale gentile e disponibile, ma mai invadente.La cucina è davvero curata: alcuni piatti sono ispirati alla tradizione Toscana, ma rivisitati in modo molto interessante.... Assolutamente consigliato!"
"ui_bubble_rating bubble_40","Menù promosso, servizio meno ","Il menù mi ha veramente conquistato: originale, non vasto, ben presentato. I piatti hanno tutti più o meno confermato le attese. Particolare il raviolo erotico, delizioso il controfiletto ai fichi e le tartare. Gnocco alle castagne invece meno apprezzato. Dolci e servizio fanno scendere il punteggio. I dolci perché abbastanza scontati, il servizio troppo affrettato. Anche se in serate di punta (era sabato) dare tutta la cena la sensazione di frettolosità non mette i clienti a proprio agio. "
"ui_bubble_rating bubble_50","Bella scoperta","Nostra prima visita in questo locale di recente apertura. Pietanze poco elaborate e buonissime, non banali, curate nei dettagli e con ingredienti di qualità,bella presentazione e servizio all'altezza! Carta dei vini forse migliorabile nella varietà dell'offerta, anche per allinearla al livello delle pietanze (non è una critica, semmai un augurio visto che ritorneremo di sicuro). Consigliato!"
"ui_bubble_rating bubble_50","grande qualità","ristorante piacevolissimo, si mangia molto bene in un'atmosfera tranquilla e accogliente, ci tornerò ancora."
"ui_bubble_rating bubble_50","Una cena in famiglia!","Un locale davvero carino... ci si sente a proprio agio e si mangia benissimo. Personale cordiale e competente ... insomma un locale perfetto!"
"ui_bubble_rating bubble_40","Ottima cena","Ristorante piccolo ma molto carino in una zona centrale ma non turistica ...cibo ricercato,particolare e buonissimo. Prezzo ragionevole"
"ui_bubble_rating bubble_50","Provatelo","Ristorante in zona Sant'Ambrogio dietro al mercatino dei Ciompi, completamente rinnovato negli arredi con staff giovane e molto cortese. Antipasto abbondante e di qualità, così come il controfiletto ai fichi veramente sublime. Ottima scelta è varietà anche nei dolci, prezzi nella media del centro storico."
"ui_bubble_rating bubble_50","Stupefacente","Bella esperienza, ottima location informale ma raffinata e tranquilla, finalmente un locale dove si può chiacchierare senza alzare la voce per farsi sentire, cosa per non secondaria. Passiamo al cibo,...ottimi piatti, originali con abbinamenti non dozzinali e scontati. Porzioni non esageratissime ma abbondanti e impiattamenti scenografici e accattivanti. Insomma qualcosa di nuovo, ma di alto livello. Insomma bravi, bravi anche nel servizio. Un piccolo appunto, non ti fanno pagare acqua e pane ma 4 euro di coperto a testa mi sembra eccessivo. Considerazione che ovviamente non cambia il giudizio. Ci tornerò."
"ui_bubble_rating bubble_30","Ottima qualità dei cibi, ma servizio acerbo con personale inadatto al target","Sono stato a cena ad Adagio con la mia fidanzata di sabato sera. Plauso per l’ottima qualità del cibo servito (tartare eccellente, ottimo ragù di coniglio e buoni ravioli erotici). Servizio ahimè non adeguato al target del locale (prezzo medio alto anche per lo standard fiorentino). In primis per il ritardo con cui sono state raccolte le ordinazioni (circa 30 minuti dopo il nostro arrivo), per il quale abbiamo, in onestà, ricevuto le scuse del personale e un prosecco offerto. Si era infatti creato un collo di bottiglia per l’alto afflusso di clienti (i coperti, salvo errori, non dovrebbero comunque superare i 40 circa).Cameriera non sempre all’altezza nella spiegazione dei piatti e nella disponibilità a richieste specifiche. inoltre siamo rimasti molto sorpresi di apprendere solo al momento del conto il costo della tartare “del giorno” (antipasto)pagata ben 6€ più della versione normale riportata in menù (per un totale di 20€). Simili differenze di prezzo dovrebbero essere comunicate in anticipo al cliente per evitare simili comunicaresorprese. Anche ai nostri vicini di tavolo non è stato comunicato il sovrapprezzo. Al momento del pagamento, abbiamo ricevuto solo timide scuse da parte del titolare (abbiamo comunicato questo problema dopo aver pagato), dal quale avremmo sicuramente apprezzato un amaro o altro per scusarsi del disguido.In conclusione, ottima qualità dei piatti espressa dallo chef, ancora molta strada da percorrere per fornire un servizio adeguato."
"ui_bubble_rating bubble_50","Ottimo "," Abbiamo mangiato bene ottimo serata si vede roba fresca si sente camirieri motlo simpatico consglio!!! "
"ui_bubble_rating bubble_50","Eccellenza","Le sensazione con le quali sono entrata erano curiosità ed aspettativa.Sono uscita totalmente appagata!Ma partiamo dal principio, il locale è molto bello, curato e ricercato, carinissima la “stanzetta’ dove sono esposti dei prodotti (acquistabili) tutte eccellenze, dalla pasta ai cantucci passando per marmellate artigianali!Servizio:attento e gentileMenù: ricercato e stuzzicantePane:FAVOLOSO, loro produzione, si sente!La scelta: prima anticipata da un’entré offerta da loro, sformatino di porcini, tonno in crosta di caffè con contorno di purè all’olio, lingua laccata alle nocciole e cheescake alle fragole.Tutto di una qualità superiore ed un gusto ineccepibile.Un ristorante che a Firenze mancavaBravi!!!Non vediamo l’ora di tornarci ed assaggiare altre prelibatezze.P.s organizzano cene con specialità regionali una volta al mese "
"ui_bubble_rating bubble_50","Ottima qualità ","Locale curato, personale cordialissimo e piatti di ottima qualità! Ristorante toscano con in più un menù degustazione che, ogni mese, cambia regione! Assolutamente da provare! "
"ui_bubble_rating bubble_50","Amici pistoiesi","Terza volta che vengo a cena in questo delizioso posto, questa volta scrivo la mia recensione, davvero una serata eccellente, la bistecca davvero di ottima qualità, l'ambiente caldo e accogliente ottimo servizio, insomma una conferma su tutti i fronti. Daniele"
"ui_bubble_rating bubble_40","Finalmente","Sono stato pochi giorni fa a cena. Finalmente un locale nuovo e vivace in Sant'Ambrogio e a Firenze. Il locale è molto accogliente e New York style, specie la sala grande con cucina sopralevata a vista. I camerieri molto simpatici e professionali, mai invadenti e mai supponenti (a Firenze purtroppo ne è pieno). Il menù è molto interessante e variopinto, ma quando sono stato io il protagonista extra menù era il fungo porcino e ho improntato interamente la mia cena su di esso. Una meraviglia la tartare di fassona con i porcini crudi a scaglie sopra. Geniale e buonissimo il raviolo erotico, molto interessante. Conto adeguato al tutto, ottima scelta e qualità, molto professionali e cortesi.Amplierei solamente la carta dei vini. Ci tornerò."
"ui_bubble_rating bubble_50","Cena di compleanno","Il locale si presenta gradevole, non di lusso ma molto accogliente.Il cibo è,secondo me, di alta qualità; in particolare i contenuti del tagliere di antipasto (salumi, formaggi e tartara con funghi) sono sicuramente degni di un giudizio eccellente.Di qualità anche la scelta dei vini, usufruibili in bottiglia o in calice.Il servizio è curato senza essere troppo formale.Consigliabilissimo."
"ui_bubble_rating bubble_50","Ottima qualità","Ottimo locale, ben curato con personale davvero competente e gentile. Piatti curatissimi, dall'antipasto ai secondi, odori e sapori veramente eccellenti. Bravi! "
"ui_bubble_rating bubble_50","Tonno in crosta al caffè da 10","Amo il tonno e la loro versione del tonno in crosta è davvero spettacolare! Buonissime le alici di antipasto e il cheesecake alla fragola... consigliatissimo per una serata. Ottima selezione di vini e di liquori"
"ui_bubble_rating bubble_50","Ottimo ristorante del centro","Cena magnifica, location ideale e nel centro città: fateci una sosta se siete nella zona, il vostro palato rimarrà estasiato dai sapori e dalla ricercatezza dei sapori."
"ui_bubble_rating bubble_50","Palato saziato e turista evitato","Ristorante vicino Piazza sant'Ambrogio, molto accogliente anche se piccolo. Camerieri molto gentili e disponibili alle nostre richieste, in quanto un commensale è intollerante al lattosio. Pane e schiacciata mondiali! Lo stesso vale per l'antipasto di salumi toscani. Ottima idea l'alternanza in cucina di piatti originari di altre regioni: noi abbiamo provato le orecchiette ed erano davvero buone e abbondanti. Buonissimi anche i maltagliati.Ci ritorneremo!!"
"ui_bubble_rating bubble_50","ottima cucina all'italiana","siamo stati per caso a cenare qui e siamo rimasti molto soddisfatti della vera cucina italiana per eccellenza oltre all'accoglienza e il servizio molto professionale. ritorneremo sicuramente"
