"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Piacere all’ombra del Duomo","Cercavamo qualcosa da mangiare al volo mentre aspettavamo in coda per entrare a visitare il Duomo, e abbiamo trovato abbastanza casualmente questo locale proprio a due passi, in una via laterale della piazza. Ambiente piccolo ma molto accogliente, capace di offrire calore alla vista, come anche agli altri sensi. Simpatici i gestori, che hanno saputo soddisfare gentilmente e con pazienza le nostre richieste (la scelta è stata molto travagliata: non sapevamo deciderci perché ogni proposta del menù metteva l’acquolina in bocca!). Menzione d’onore per il Brunelleschi: in attesa di vedere le opere di quello vero, l’accostamento lardo di colonnata-pomodori secchi ci ha regalato una vera e propria emozione. Alla fine abbiamo speso 26 euro per cinque schiacciate farcite, prezzo onesto!Lo consiglierei sicuramente!"
"ui_bubble_rating bubble_50","Firenze a pranzo!","Panini buonissimi, che vorresti mangiarli tutti!Personale simpatico e gentile, vino come vuoi e prezzi onesti!Proprio dietro al Duomo."
"ui_bubble_rating bubble_10","“NO IGIENICO”","Cercavamo una buona paninoteca nel centro di Firenze e ci siamo fermati in questa. Devo dire L impatto non era stato male però guardando i due ragazzi dietro al banco ci siamo accorti che lavoravano senza guanti prendendo con le stesse mani Soldi e chi più ne ha più ne metta. L igiene é molto importante in un locale e se manca questa per me può anche chiudere !!! Sconsiglio di provarla anche perché c è ne sono altre migliori e con BUONA IGIENE!!!"
"ui_bubble_rating bubble_10","Scandalo igiene dovrebbe andarci un bel controllo !!!","-PANINO???... vedere la preparazione con due ragazzi dietro al banco spudoratamente senza guanti senza un camice senza una divisa senza scrupoli prendendo soldi e toccandosi magari anche le parti intime quando gli va X poi riempire i panini con le stesse mani !!!! ASSOLUTAMENTE SCONSIGLIATO-PANINO???...ver la preparación de los chicos trabajando sin guante sin uniforme tocando dinero y más siempre con las misma manos de los chicos sin limpiársela ni si se lo pide un desastre !!!"
"ui_bubble_rating bubble_50","Una scoperta che ha svoltato la giornata!","Una giornata di pioggia, poco tempo per pranzare e l'istinto ci fa fermare in questo posticino delizioso! Buonissime le focacce, affettati freschi e condimenti di qualità, staff super gentile e simpatico, sicuramente ci ritorneremo quando saremo di passaggio! Consigliatissimo"
"ui_bubble_rating bubble_50","Gastronomia ","Ottimi panini con prodotti di ottima qualità in una porzione veramente abbondate. Accompagnati da un ottimo calice di vino. Consigliatissimo "
"ui_bubble_rating bubble_50","Qualità e cordialità ","Locale piccolino ma ricco di prodotti di qualità,vini di livello e panini fatti al momento con formaggi e affettati freschissimi!!ci siamo presentate con 6 bambini e Matteo con pazienza e disponibilità è riuscito ad accontentare anche la più piccola del gruppo !!!Fossero tutti così!!!"
"ui_bubble_rating bubble_50","è davvero un Amorino!","La miglior focaccia con la porchetta mai mangiata. La porchetta aveva la cotenna croccante, speziata al punto giusto. Un sapore unico, ne avrei mangiato un quintale! Vasta scelta di panini e vini. Ottimo anche lo spritz. Il proprietario è molto simpatico e disponibile."
"ui_bubble_rating bubble_50","Panini da Oscar","A due passi dal duomo, posto perfetto per un pasto veloce ma veramente soddisfacente. Personale gentile e ingredienti ottimi. Una tappa obbligatoria se si è in visita a Firenze!"
"ui_bubble_rating bubble_50","Panini sublimi ","Panini buonissimi! Il locale è molto carino e il personale gentilissimo. Gli ingredienti sono di qualità e soddisfano tutti i gusti. Un panino e un bicchiere di vino e la pausa pranzo è il top."
"ui_bubble_rating bubble_40","Un ottima scelta","Per le vie del centro verso l ' ora di pranzo ci siamo chiesti dove poter fare una pausa pranzo veloce ma buona per poi ricominciare il tour delle visite ai musei , molti locali presentavano i soliti menu per turisti così siamo,passati in questa via a due passi dal centro leggermente defilato si trova questa piccola ma accogliente paninoteca provvista di tutti salumi e vini possibili.Un ottima scelta ci sono focacce panini normali e integrali con un ottima scelta di vini anche alla spina , un buon locale per uno spuntino veloce ma di qualita'."
"ui_bubble_rating bubble_50","Qualità e simpatia a due passi dal Duomo","Tappa obbligatoria ogni volta che soggiorniamo a Firenze, anche la preferita. Panini e taglieri abbondanti con materia prima di ottima qualità a prezzi contenuti. Il tutto contornato dalla simpatia dello staff. Se volete sentirvi a casa anche a Firenze, questo è il posto giusto. "
"ui_bubble_rating bubble_50","Spuntino molto di più ","In agosto ci sono tornato di casa anche con gli amici affettati e formaggi delizie assemblati in focacce veramente over personale cordiale e preparato ho trovato dei veri amici"
"ui_bubble_rating bubble_50","Posto accogliente e panini eccezionali","Posticino molto ben curato a due passi dal campanile di Giotto. Personale molto attento alle tue esigenze e molto molto simpatico. Il proprietario rappresenta il tipico oste fiorentino: simpaticissimo e chiacchierone.Salumi molto buoni e panini gustosissimi.CONSIGLIATISSIMO, torneremo quanto prima!COPPIA MILANESE"
"ui_bubble_rating bubble_50","Eccezionale!","Verso ora di pranzo io e mio marito cercavamo un posto dove fare un pranzo veloce e informale. Co siamo imbattuti in questo posto, invitante, piccolino ma molto accogliente. Panini, focacce farciti con di tutto e di più, sai salumi ai formaggi, ai funghi, tonno, pomodori e porchetta toscana il tutto contornato da ottimo vino o bibite a scelta. Abbiamo gustato 2 ottime focacce alla porchetta e ci siamo fatti preparare per il viaggio di rientro altre 2 focacce con salumi e formaggi. E per finire ottimi cantucci. Eccezionale!"
"ui_bubble_rating bubble_40","Vacanze 2018","Paninoteca ottima prendi un panino o focaccia, puoi avere formaggi, affettati, pomodori, mozzarella e poi la porchetta che per uno che mangia abitualmente quella di Ariccia trova strano provarne un’altra invece era ottima. Birra artigianale Toscana o se volete vino posti a sedere complimenti. Per tutti famiglie e non. Da provare "
"ui_bubble_rating bubble_50","2 volte è meglio di 1 <U+0001F60B>","Passeggiando per le vie del centro abbiamo notato un piccolo ma invitante locale di panini e focacce farciti con prodotti tipici toscani e di ottima qualità Il tutto accompagnato da un buon bicchiere di vino toscano. Non per ultimo, abbiamo trovato un ottimo proprietario, ospitale e simpatico con il quale scambiare due parole è stato un vero piacere. Siamo tornati nuovamente una seconda volta a fine giornata..."
"ui_bubble_rating bubble_40","good","posto piccolino ma la proposta gastronomica è molto buona, ideale per pranzi veloci con panini che puoi farcire in svariati modi. un locale anche per aperitivi con taglieri di formaggi e salumi."
"ui_bubble_rating bubble_50","Delizioso","Davvero una bellissima esperienza ! Foccaccia e ingredienti della stessa davvero buoni ! Lo consiglio vivamente"
"ui_bubble_rating bubble_50","Tutto ottimo x un pranzo veloce","Materie prime ottime, panini e focacce ottime, porzione soddisfacente, buona birra, personale gentile, prezzo ottimo.Per pranzo veloce una garanzia"
"ui_bubble_rating bubble_40","Panini che bontà!","Personale accogliente e gentile. Panini gustosi con servizio veloce. Vino di qualità. Ci ritorneremo!!"
"ui_bubble_rating bubble_50","Ottimi Panini e focacce a poco","A due passi al Duomo ma con prezzi abbordabili. Servizio cortese, ottime materie prime, focaccia rustica fantastica! Vivamente consigliato il n°20 con la crema tartufata, saporita ma non invadente!"
"ui_bubble_rating bubble_50","Ottimo!!","A passeggio con le mie amiche e abbiamo trovato casualmente questo locale consigliatissimo, molto carino, con ottimo prosecco e vino. Mi complimento con il titolare per il servizio e la sua ottima accoglienza, Grazie ancora, avremo sempre un bel ricordo !!"
"ui_bubble_rating bubble_40","Degustazione Panini","Panini gustosi con servizio veloce. Personale accogliente e gentile. Vino di qualità. Da riprovare!!"
"ui_bubble_rating bubble_50","Ottimo","Buonissima la schiacciata. Eccezionale lo spritz. Unica pecca la mancanza di posti a sedere. Consigliato."
"ui_bubble_rating bubble_40","Panino al volo","Abbiamo scelto un tagliere di affettati e due ottimi calici di vino.Consigliato anche per chi vuole mangiare un panino al volo "
"ui_bubble_rating bubble_50","Il grande amorino! ","Scoperto anni fa e rimasto entusiasmato dalla sua disponibilità e simpatia son tornato a trovarlo nel weekend di Pasqua, trovato la stessa simpatia e disponibilità della prima volta, panini eccezionali con ottima qualità della materia prima! Preso stesso panino della prima volta : la sua crema di pecorino piccante con sbriciolona, ottimo il suo consiglio di aggiungere pesto e pomodorino secco! Tornerò ogni volta che andrò a Firenze "
"ui_bubble_rating bubble_40","Passeggiando per Firenze","Ambiente piccolino ma molto accogliente, abbiamo optato per due calici di vino e un tagliere di affettati e formaggi tutto molto ottimo. Consigliatissimo!"
