"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_10","Inospitalità e primi mediocri ","Siamo stati in questa trattoria nel mese di gennaio dopo aver visto le buone recensioni, una vera e propria delusione.Per iniziare l’ospitalità è particolare, può piacere o meno, a mio parere troppo pesante la presenza costante dei camerieri al tavolo, spesso accompagnati da battute fuori luogo. Per continuare il cibo nulla di che, pasta scotta e sugo non fresco. "
"ui_bubble_rating bubble_40","Più selezione all’ingresso !! <U+0001F600>","Bella atmosfera. Il giusto caos accompagna una cena molto buona. Porzioni abbondanti e ottima cucina. I camerieri ed il Tito persone a modo e simpaticissimi. Peccato che vi siano clienti rompi coxxxxni che amano mangiare con sciarpa a 30 gradi !! A parte gli scherzi davvero ottima trattoria , bravi. "
"ui_bubble_rating bubble_50","Ultimo dell'anno dà Tito","Come dice il vecchio detto : finire bene l' anno vecchio per cominciare bene quello nuovo: noi per andare sul sicuro abbiamo fatto tutto ciò da Tito. Cena stupenda, ambiente fantastico.Da Tito abbiamo mangiato ,come al solito ,da Dio, e tutto lo staff , Megghie, Lorenzo ,Tiberio ,Fabio, Maddalena,Giulia e Cosimo si è superato facendoci sentire come a casa. Grazie ragazzi , per noi questo è stato un capodanno specialissimo. "
"ui_bubble_rating bubble_50","... E ti senti subito a casa ","Accolti con il sorriso... ottima cucina e tante risate! Ci ritorneremo al più presto :) La compagnia Cialdone ;)"
"ui_bubble_rating bubble_50","Torneo di calcio della Befana ","Posto consigliato dalla ragazza della reception dell’hotel dove alloggiavamo, mai miglior consiglio ci fu mai dato...Da fuori si intuisce immediatamente quello che ci aspetta una volta entrati... atmosfera avvolgente, clima surreale di altri tempi, lo testimoniano le tantissime foto di personaggi storici che sono stati qui in questo locale...Funziona tutto alla grande, diversamente non potrebbe essere con due gestori “pazzi” come i due giovani amici che lavorano insieme ormai da diversi anni...Qualità del cibo ottima ma spesso questo aspetto non è così fondamentale, nel senso che potrebbe essere anche il cibo più buono del mondo ma se poi il personale è freddo, antipatico e non professionale, a poco varrebbe, qui invece è tutto top!!!Se in futuro tornerò a visitare questa stupenda città, saprò sicuramente dove andare a mangiare!Continuate cosi!!!"
"ui_bubble_rating bubble_50","Un inizio del 2019 perfetto","Sono stata qui il 1gennaio a pranzo.. cibo buonissimo, fiorentina eccellente, per non parlare del tiramisù (lasciatevi uno spazio per assaggiarlo perché ne vale la pena).. ma la cosa che più mi è piaciuta è il personale .. praticamente io e il mio compagno abbiamo riso per tutto il pranzo !troppo simpatici ! "
"ui_bubble_rating bubble_50","In famiglia!","Non una semplice osteria, ma una famiglia! Buon cibo, ospitalità, risate e buonumore la fanno da padrone! Si trova sempre un motivo per brindare, e quando non c’è lo si inventa! Ottimo cibo, ottimo vino e liquori fatti in casa spettacolari! Impossibile non uscire senza un abbraccio e una risata! Grazie ragazzi! Torneremo sicuramente a trovarvi! E se passate per L’Aquila siete i benvenuti! Martina e Lorenzo"
"ui_bubble_rating bubble_50","Serata grulla","Nulla è andato storto, quando lo storto è il dritto. La familiarità, l'accoglienza, il buon umore, il cibo, il vino, i dolci e ... ogni scusante è buona per fare un brindisi... da soli, in coppia o in compagnia è una famiglia ospitale... dalla quale non puoi congedarti almeno con un abbraccio, un arrivederci e... una lacrima. Grazie a tutti per l'ospitalità, e se passate per Modena... la Zozza ha l'indirizzo. Famiglia Priore "
"ui_bubble_rating bubble_50","DAJEEEEE.2","Se amate la cucina regionale unita alla goliardia questo è il vostro posto. I crostini di polenta fritta e salsiccia con stracchino sono alcuni dei buoni antipasti; le paste sono molto gustose;La Ribollita, il Fritto di pollo e carciofi e la Trippa alla Toscana meritano una citazione speciale, come pure i dolci ed il liquore con l’alloro.Il personale è molto vivace, mai sgarbato: d’altronde sulla porta d’ingresso appare già molto chiaro dove stai entrando.La musica di sottofondo è gradevole ed il rapporto qualità/quantità/prezzo ottimo.E visto che servono con il vin santo i cantucci (biscotti tipici toscani) di un loro forno di fiducia anziché di produzione industriale, me ne sono portata a casa una bella scorta."
"ui_bubble_rating bubble_50","DAJEEEEE!","Ultimo giorno a Firenze e chiudiamo in bellezza! Ottima cucina, piatti tipici ma anche originali.Conto giusto per la qualità, ma la simpatia e lo sfottò sono aggratisse!"
"ui_bubble_rating bubble_40","Trattoria....","Locale storico vicino al centro che forse sta perdendo un po' di carattere da trattoria con i pannelli appesi, personale gentile e scherzoso. Piatti buonissimi ad un giusto prezzo. Bravi"
"ui_bubble_rating bubble_50","SPETTACOLO","Siamo stati a cena in questa trattoria con famiglia ed amici: uno spettacolo,l'ambiente, il cibo ed il personale...simpatici,gentili e velocissimi. Il peposo veramente eccezionale, le polpette, il pollo fritto, i primi,tutto ottimo. Viola e butei per sempre fradei!!!"
"ui_bubble_rating bubble_50","Da esempio!!!!","Grande serata, cena favolosa, fare 500 km per sentirsi parte del locale non ha prezzo, ogni anno almeno una volta ci torno, beh c’è chi va a Lourdes e me ne vo’ da Tito!!!!!!!!!!!!"
"ui_bubble_rating bubble_50","Molto più del cibo","Locale che definire informale è assolutamente riduttivo. Cibo molto buono, prezzo tutto sommato modico, ma il must è il personale. Simpaticissimi ridono scherzano, ti fanno sentire più di un cliente, un amico. Se volete mangiar bene e nel contempo divertivi andateci. Prenotate altrimenti difficilmente troverete posto."
"ui_bubble_rating bubble_40","Cucina tipica Toscana ","Storico locale centrale fiorentino. Gestito da fiorentini simpatici ed informali! Qualità molto buona soprattutto per carni e baccalà. Prezzi medi."
"ui_bubble_rating bubble_50","Nulla da aggiungere.. il top!","Sono stata in questa trattoria per una cena con amiche durante la nostra vacanza a Firenze. Sapevo che avrei trovato un'atmosfera goliardica e divertente..e così è stato! Non mi divertivo così da tempo. I camerieri ci hanno messo subito a nostro agio e, complice la nostra propensione alla risata, ci hanno fatto trascorrere una serata divertentissima. Abbiamo praticamente chiuso il locale brindando con loro. Naturalmente, non meno importante, la qualità delle pietanze; la bistecca buonissima si scioglieva in bocca. E non pensate minimamente di chiederla più cotta.. potrebbero tranquillamente dirvi parolacce! Insomma, credo sia una tappa obbligata per chi vuole davvero vivere l'atmosfera Toscana a tavola. Consigliatissimo!!! "
"ui_bubble_rating bubble_50","Fantastico","Siamo andati in questa Trattoria su consiglio di un amico.. E un locale tipico di Firenze dove si mangia davvero bene il prezzo è davvero modico per la qualità della carne per non parlare del personale che con battute tra una portata e l altra ci ha fatto ridere tutta la serata!..un locale tradizionale abbinato a della carne buonissima.. Spero di ritornarci!!"
"ui_bubble_rating bubble_50","Ottimo","Sia i primi che i secondi erano ottimi, la fiorentina davvero eccezionale. Staff molto accogliente e caloroso, locale molto tradizionale. Da provare!"
"ui_bubble_rating bubble_50","Grandi!!!","Sono stata ieri sera con il mio compagno sotto consiglio di una ragazza del posto. Sicuramente il posto non è fine ed elegante ma poco importa... il personale folle fa morire dal ridere e soprattutto è molto disponibile. Per quanto riguarda il cibo, tipicamente toscano, veramente buono e con portate abbondanti! Quando tornerò in questa fantastica città sarà sicuramente tappa fissa... Questa trattoria è una bomba!!! "
"ui_bubble_rating bubble_50","Che spettacolo","Ottima carne, ottimo posto, ottimo servizio, ottimo vino, ottimo personale, locale molto genuino...."
"ui_bubble_rating bubble_50","Ottima trattoria toscana, personale simpaticissimo!","Durante il nostro soggiorno a Firenze ci è stato consigliato di cenare da TitoAbbiamo trovato un'ottima cucina tipica toscana con antipasti abbondanti di formaggi e salumi, carne con cottura al top.Il locale è molto goliardico come tutto lo staff del resto!Sicuramente da ritornarci."
"ui_bubble_rating bubble_40","simpatia fiorentina a go go","a cena con treamiche piu' che il cibo che abbiamo trovato davvero ottimo specialmente la bistecca,davvero saporitissima e cotta la punto giusto e le patate al forno davvero sublimi abbiamo trovato un ambiente scherzoso ,simpatico e piacevole, i camerieri di una simpatia unica forse un po maliziosetti senza pero' essere volgari ci hanno allietato la serata non do un punteggio massimo solo perche il vino della casa non mi e' piaciuto ed il bagno non e' all altrezza ma per il resto e' un locale super"
"ui_bubble_rating bubble_50","Capodanno in gogliardia","Mangiato benissimo, atmosfera divertente e musica. Abbiamo riso, mangiato, bevuto e cantato. Tutto ad un prezzo più che onesto!Complimenti ritorneremo volentieri :)PS ho letto una recensione per la notte di capodanno a 1 stella con musica araba....avranno sbagliato locale, noi eravamo in 12 e possiamo smentire totalmente"
