"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","A cena da Ezio","Location accogliente, personale preparato e cortese, prezzi in media con quelli che si trovano nel centro storico della città. Bistecca alla fiorentina buona ma non indimenticabile, c'è sicuramente di meglio nei dintorni."
"ui_bubble_rating bubble_50","Straordinari","Siamo arrivati a firenze una domenica solo per assaporare la Fiorentina. Prenotato tramite tripadvisor per due.In due abbiamo mangiato come antipasto le bruschette, e come pezzo forte 1,700 kg di fiorentina il tutto abbinato a un chianti classico. La fiorentina era perfetta sia come carne che come cottura. Se volete mangiare una fiorentina come si deve questo é il posto giusto. Il personale é stato uno dei migliori. Tutto magnifico compreso il conto. 110 euroAntipastoVinoAcqua1.7 kg di fiorentina2 caffe 1 grappa"
"ui_bubble_rating bubble_50","Ottima cena!","Bellissima sorpresa questo ristorante!! Ottima posizione, menù x tutti i palati, staff gentile e disponibile, locale molto carino.... CIBO di OTTIMA qualità!! Assolutamente consigliato!! Bravi! "
"ui_bubble_rating bubble_50","Consigliato","Ristorante consigliato per coloro che amano la carne cucinata alla perfezione. Personale cortese e ambiente piacevole. "
"ui_bubble_rating bubble_50","Ottimo ristorante fiorentino a due passi dalla Galleria degli Uffizi","Ottimo ristorante a due passi dalla Galleria degli Uffizi. Il posto è molto carino, io e la mia ragazza abbiamo condiviso un gran tagliere Auditore e mangiato una tagliata di manzo.Tutto buonissimo. Consigliato!"
"ui_bubble_rating bubble_40","Improvvisato....sorpresa!","Dopo una lunga giornata organizzata tutta all’ultimo minuto, ci troviamo in una faticosa ricerca del ristorante per la cena... ci affidiamo alle recensioni precedenti e che dire...spettacolo! Personale super gentile e simpatico, location abbastanza intima... e l’imperdibile e buonissima Fiorentina... bella serata, ritorneremo sicuramente "
"ui_bubble_rating bubble_50","Tutto perfetto","Ristorante molto carino e intimo e accoglienza molto cordiale.Abbiamo mangiato un'ottima fiorentina di chianina con contorno e immancabili cantucci con vinsanto per finire.Tutto molto buono e camerieri molto gentili e disponibili.Davvero consigliato"
"ui_bubble_rating bubble_50","piacevole sorpresa","abbiamo prenotato last minute dopo una interessante visita agli UFFIZIal telefono molto disponibili anche se completiottimo servizio, attenzione ai particolari, buon cibo, giusto rapporto qualità prezzocameriere molto attento e professionale"
"ui_bubble_rating bubble_50","Eccellente....! ","Bella scoperta...!Posto molto carino e accogliente, personale molto preparato con estrema gentilezza e cordialità....!Pici con ragù di cinghiale fantastici e Fiorentina top.... da ritornare ....!"
"ui_bubble_rating bubble_40","Ottimo","Siamo stati bene. Servizio attento bel locale dietro piazza della signoria. Filetto al pepe verde veramente ottimo. Non solo per turisti"
"ui_bubble_rating bubble_50","Accogliente e carino ","Siamo stati in questo ristorante giudati dalle recensioni positive di tripadvisor, e devo dire che ne siamo rimasti davvero stupiti..Cordialità e servizio eccellente, per non parlare della qualità del cibo Se dovessi tornare a Firenze sarebbe sicuramente una tappa fissa!! Lo consiglio "
"ui_bubble_rating bubble_30","Così così","Ho cenato qui con la mia famiglia: posto pulito, personale un svogliato ( forse troppo stanchi), cibo buono, l'unica pecca....le cozze, ho vomitato tutta la notte. "
"ui_bubble_rating bubble_50","Ottimo ristorante... Rapporto qualità prezzo eccezionale","Andavamo alla ricerca di un ristorante tipico della Toscana e di Firenze e sicuramente questo è il posto ideale"
"ui_bubble_rating bubble_50","La prima fiorentina di mio figlio!","Ottimo sotto tutti i punti di vista.Locale curato, con tocchi personali e vicinissimo agli Uffizi; personale accogliente; piatti di ottima qualità e prezzi giusti con tanto di sconto di cui non ci siamo neanche accorti al momento del conto e per il quale ringraziamo.Lo ricorderemo sicuramente: non solo perché mio figlio, insieme a mio marito, ha assaggiato per la prima volta la Fiorentina di Chianina ma per la qualità.Inutile dire che il taglio ci è stato descritto, mio marito ha scelto il peso e ha potuto vedere la bistecca prima della cottura. Insomma, super consigliato!"
"ui_bubble_rating bubble_50","Cena di iniziò anno perfetta!","Sono stata a cena con il mio fidanzato il primo gennaio e sono rimasta molto soddisfatta. La location è piccolina, ci sono pochi coperti (prenotate!) ma è molto accogliente e ha uno stile tipico di Firenze ma anche un po’ stravagante. Tutto lo staff è veramente molto cordiale e il cameriere che prende le ordinazioni spiega perfettamente i piatti che vengono serviti. Le pietanze sono davvero molto buone, abbiamo preso un antipasto tipico, pappardelle al cinghiale e tortelli al ragù bianco ottimi. Buonissimi i dolci, soprattutto la torta al cioccolato! Se andate a Firenze la tappa è d’obbligo!"
