"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Lampredotto eccezionale!","Passato in pausa pranzo, chiosco strapieno. Il lampredotto che ho preso era eccezionale, molto gustoso, da fiorentino ne sono rimasto entusiasta. Buono sia il panino che il lampredotto in sé, ma soprattutto buona anche salsa verde e piccante. Direi che almeno una volta chiunque dovrebbe passare da qui. Fortemente consigliato."
"ui_bubble_rating bubble_50","Eccellente ","Tutto buonissimo...dal lampredotto all’ hamburger.....porchetta Personale molto cordiale e attento ad accontentare la clientela!Complimenti "
"ui_bubble_rating bubble_50","Provare per credere !! ","Un chiosco sempre affollato in pausa pranzo. Una grande scelta tra lampredotto, trippa, bollito, guancia stracotto ecc. Per chi magari è in compagnia e preferisce mangiare altro, è presente anche tutta la parte della griglia con tantissimi panini. I prezzi sono tra i più bassi di tutta Firenze e la qualità è al top. Di recente si è aggiudicato il premio come miglior chiosco di lampredotto preferito della gente del posto. Non a caso "
"ui_bubble_rating bubble_50","Il miglior lampredotto di Firenze!","Mi sono recato a Firenze per puro caso, un viaggio da solo alla ricerca di qualche specialità locale che mi colpisse. Ed eccolo, il lampredotto, ma il loro lampredotto! Il migliore! Personale cordiale e alla mano, panini super a un prezzo irrisorio, siete i migliori!Saluti da Jacopo di Torino"
"ui_bubble_rating bubble_50","Il panino più buono di Firenze","sono capitato qua casualmente, ma era stato una grande soddisfazione, perchè il panino era il più buono che ho provato. complimenti!"
"ui_bubble_rating bubble_50","Ode al Re!","Ahimè Aurelio non c’è più, ma l’eredita che ha lasciato e ancora li in tutto il suo gusto, uno dei lampredotti più buoni fuori dal centro cittadino, da provare anche lo stracotto di guancia, fenomenale!"
"ui_bubble_rating bubble_50","L essenza della vita...il buon cibo","Un corollario che dice tutto su Firenze e la Toscana , un Ottimo panino al lampredotto! E poi vi dirò di più ... sarete allietati dalla compagnia e dalla simpatia di Marco e Antonio.Voto 10!"
"ui_bubble_rating bubble_50","....semplicemente il numero 1...","Senza dubbio il miglior panino con il lampredotto a Firenze lo trovate qua…..eccezionali anche altri piatti tipici, dall'estiva porno insalata (con poppa, lingua, matrice...) , alla trippa alla fiorentina ad altre specialità (io adoro il lampredotto ai carciofi, ma ne trovate in tante altre versioni). I ragazzi che ci lavorano sono fantastici … unico difetto : crea dipendenza...ci vorresti sempre ritornare!! +++"
"ui_bubble_rating bubble_50","IL MIGLIORE IN ASSOLUTO!","Veramente ottimo,pannino ben farcito,buono il lampredotto ottime le salse!!Meravigliosi anche i ragazzi che ci lavorano,è davvero un piacere andare lì perché oltre a mangiare bene trovi loro che ti rallegrano sempre la giornata!!! I <U+2764><U+FE0F> LOVE AURELIO IL RE DEL LAMPREDOTTO!!!"
