"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Buon pesce a Firenze","Uno delle tagliate di tonno più buone mai mangiate! Consigliatissimi gli spaghetti al limone con vongole e tartufo e tagliata di tonno con sesamo e glassa di aceto. Personale super gentile e ben preparato. "
"ui_bubble_rating bubble_50","SUBLIME!!!","Sono venuta a cena con le mie amiche, siamo state benissimo! Piatti ottimi e abbondanti. Consiglio vivamente il risotto alla pescatoria, il filetto di tonno e la torta al cioccolato. Personale cordialissimo e preparato nel consigliare e abbinare i piatti con i vini! Rapporto qualità prezzo ottimo soprattutto per essere in centro a Firenze! Abbiamo passato una serata favolosa e ci torneremo sicuramente!"
"ui_bubble_rating bubble_50","SUPER CONSIGLIATO!!!!","Pesce buonissimo in pieno centro a Firenze. Personale molto cordiale e preparato, in particolare Gerardo, con i suoi consigli su vino e prosecco davvero ottimi. Consigliato polpo e patate e cheesecake!!"
"ui_bubble_rating bubble_50","Ottima cena di capodanno ","Piccolo ristorante ai piedi di Piazzale Michelangelo, personale gentilissimo e accogliente, pietanze squisite. Sicuramente ritorneremo. "
"ui_bubble_rating bubble_50","SUPER CONSIGLIATO","In una location molto carina e una cucina eccellente si riesce a trovare il giusto mix per soddisfare sia l'occhio che il palato..."
"ui_bubble_rating bubble_50","BUONISSIMO e ACCOGLIENZA AL TOP","Lo consiglierei a chiunque, ottimo rapporto qualità prezzo, ottima posizione, si può raggiungere molti posti , per chi fosse interessato al meraviglioso panorama per esempio può arrivare facilmente a piazzale Michelangelo. Infine un complimento al personale, sempre molto disponibile e accogliente."
"ui_bubble_rating bubble_40","Siete sulla buona strada.","Questa è una recensione difficile da fare in quanto questo ristorante è borderline tra un buon e un ottimo ristorante . Partiamo dal cibo : menu di Natale ricco e raffinato,noi abbiamo preso pesce, tra cui antipasti di crudo indiscutibilmente freschissimo! Tartare di gamberi eccellente. Per quanto riguarda i primi ed i secondi molto buoni ma non all’altezza del prezzo. Vini buoni. Gestori giovani, molto accoglienti , efficienti . Non mi è particolarmente piaciuto che mi sia stato dato un bicchiere dell’ acqua dal tavolo a fianco,preso dal cameriere con il dito dentro il bicchiere. Nel locale in questa stagione ci vorrebbero 2 o 3 gradi in più. Servizi (bagni) da migliorare. Ripeto,siete sulla buona strada per diventare un’ottimo ristorante! Siete bravi!Ma dai prezzi esposti il cliente o almeno io mi aspetto che tutto sia perfetto ! Buon lavoro ! "
"ui_bubble_rating bubble_50","Consigliatissimo!!","Locale piccolo ma molto accogliente.Menù con ampia scelta di piatti sia a base di pesce che di carne , e aggiunta ulteriore di piatti del giorno Personale molto gentile, disponibile e cordiale!Dopo una bella visita al piazzale Michelangelo è davvero un peccato non fermarsi ! "
"ui_bubble_rating bubble_50","Meraviglioso ","Veramente ottimo, dall'accoglienza alla qualità dei piatti. Pesce molto fresco con un ottimo accompagnamento di sapori. Da provare assolutamente sia da soli che in compagnia! 5 stelle meritatissime! "
"ui_bubble_rating bubble_40","Ottimo pesce","Davvero un buon locale questo in zona San Niccolò. Cortesia, ambiente rilassante, menù non banale, qualità delle materie prime, piatti abbondanti. Sembra davvero una oasi fuori dai circuiti turistici. Sicuramente punta sui piatti di pesce (meno originali quelli di carne) che vengono proposti a prezzi onesti sopratutto se rapportati al contesto fiorentino. Fra i piatti provati una nota di merito a degli strepitosi spaghetti integrali con pesce spada e alici, e un baccalà alla livornese di livello."
"ui_bubble_rating bubble_40","Da provare","Consiglio questo ristorantino in zona San Niccolo' a Firenze per qualita' delle materie prime e per la cortesia del personale. Carne o Pesce davvero il top. Vasto assortimento di vini. Prezzi medio alti ma proporzionati alla zona. Un solo difetto: manca una bella insegna all'entrata....consiglio di metterla!"
"ui_bubble_rating bubble_40","Carne o pesce","Ho cenato in questo locale con la mia famiglia. Buona la tagliata, molto buono il salmone, una scelta molto ampia di vini, personale molto gentile e disponibile. Prezzi giusti."
"ui_bubble_rating bubble_40","Piacevole sorpresa","Abitando a Firenze non è così semplice trovare un ristorante in centro che sia veramente buono,spesso sono turistici e magari spendi di più,mangiando male. Invece qui abbiamo trovato una piacevole sorpresa.... cucina veramente buona e saporita, si nota la qualità dei prodotti, prezzi nella media ma sopratutto locale bello e pulito. Cosa dire dei proprietari? Beh giovani, molto educati, professionali e simpaticissimi... sinceramente non capisco i commenti negativi! Mah... consigliato ad occhi chiusi "
"ui_bubble_rating bubble_10","Cena con amici","Sono andato in questo ristorante qualche giorno fa, cosa posso dire,sicuramente nn é il posto x mangiare il pesce,. La qualità lasciava a desiderare, ma la botta finale é stato il conto ,troppo eccessivo sia x il posto e come dicevo x la qualita. Lo dico da fiorentino!!!"
"ui_bubble_rating bubble_50","Davvero buono","Capitati per caso in questo locale, dall'accoglienza al dolce siamo stati molto bene. Personale giovane e simpatico, cucina curata e gustosa, abbiamo apprezzato in particolare gli agnolotti con salmone affumicato, pomodorini e zucchine, tagliolini al tartufo e quelli ai porcini, il tonno alla piastra, ma anche la classica tagliata rucola e grana con la caponata di verdure. Dolce gradito in particolare dai bambini. Il conto non è economico ma in linea con la qualità."
"ui_bubble_rating bubble_50","Ottimo pesce","Locale accogliente in San Niccolò, personale gentilissimo, ottimo pesce.Eccellente il crudo e il rombo con patate. "
"ui_bubble_rating bubble_50","Ottimo!","Locale molto carino, personale gentilissimo, professionale e simpatico, molto attento anche ai dettagli. Menù interamente di pesce, veramente buonissimo e dalle porzioni abbondanti.Serata piacevolissima!!!"
"ui_bubble_rating bubble_50","Una riconferma","Ritornare dopo diversi mesi e ritrovare la stessa cura e delizia, non può essere altro che una conferma nella qualità dei prodotti e nella cura della preparazione dei piatti. Antipasto abbondante, un primo da favola e... ovviamente la miglior cheesecake che esista. Cosa chiedere di più? Bravi continuate così, fate la differenza!"
"ui_bubble_rating bubble_20","Fiorentina","Non è ammissibile che in un ristorante a firenze, non abbiano la fiorentina disponibile, sconsiglio.C’è di meglio."
"ui_bubble_rating bubble_50","Ristorante in San Niccolò","A cena con amici . Boccadarno è un ristorante accogliente con Carlotta che ti mette a tuo agio con simpatia e grande dolcezza. Piatti tutti da assaggiare. Fatevi consigliare. Prezzi alla portata. Il giorno a pranzo vi offrono menù a prezzi calmierati ma sempre qualitativamente ottimi. Andateci e mi ricorderete."
"ui_bubble_rating bubble_50","Una cena fantastica ","Siamo a Firenze per una piccola vacanza e abbiamo scelto questo ristorante per la cena di San Valentino.. che dire?? É stato tutto fantastico, il cibo ottimo e lo staff di alto livello.. i prezzi più che normali, il menù si presenta con una vasta scelta tra mare e monti.. io lo consiglio assolutamente.. e ringrazio lo staff del ristorante per la gentilezza con cui ci hanno trattato che non è da tutti.. meritano la lode!!! Speriamo di poterci tornare presto!!!"
"ui_bubble_rating bubble_30","Cena di compleanno","Dopo vari pasti a base di carne in quel di Firenze optiamo, per il compleanno di mia moglie, per questa trattoria di pesce. Arriviamo in anticipo un po’ preoccupato perché al telefono mi vien detto che è tutto pieno e quindi oltre 21 non garantiscono tavolo (in realtà mi rendo conto, alla fine della serata che altri tavoli erano liberi e non credo alle 23 sarebbero stati occupati). Cominciamo con due antipasti baccalà mantecato con cavolo in crosta e crudo di mare. Il primo antipasto buono di gusto ma leggermente “acquoso”, il crudo buono (sono napoletano, capisco genere). Ordiniamo poi un primo e un secondo gnocchi ricotta e agrumi con scampi e tonno scottato. Sapore buono, qualità dei prodotti buona ma... pietanze fredde. Il sospetto che non fossero preparate al momento si conferma proprio con il tonno, davvero freddo. Lo faccio notare e me lo riportano dopo un passaggio al microonde(avverto in sala il drin del forno). Mi torna a tavola questa volta tiepido. Passiamo al dolce, base mascarpone, molto molto buono. Da bere bottiglia di prosecco base. Buon Servizio, ragazzi simpatici. Conto 91 euro. Punto di vista: si sente che si lavora con prodotti freschi ma il pesce, per sua natura, va cucinato al momento. Qualunque precottura rovina tutta l’attenzione alla qualità che pure c’è . soprattutto, però occorre sapere che al tavolo i piatti si portano fumanti, non tiepidi (gnocchi) o freddi (tonno). Si può migliorare anche perché gestori svegli e simpatici. "
"ui_bubble_rating bubble_40","Pesce fresco","Siamo stati con un gruppo di amici in questo ristorante e abbiamo mangiato diversi piatti di pesce alcuni di crudo altri cucinato in vario modo , pesce fresco, buono , cucinato anche in maniera un po' ricercata , bel servizio abbastanza veloce , forse più una trattoria che un vero e proprio ristorante , pochi piatti ma fatti bene forse un po' quantitativi scarsi, prezzi adeguati "
"ui_bubble_rating bubble_50","Per Fiorentini doc e non solo","In pieno centro di Firenze. Siamo venuti per cena con il ns. amico Cristian fiorentino doc che ci aveva fortemente consigliato e accompagnato in questo ristorante. Una sorpresa piacevolissima. Il titolare Gerardo e sua sorella sono stati dei padroni di casa squisiti, simpatici e cordiali. Il cibo poi..... ottimo, ottima qualità e sapori deliziosi. Piatti presentati e impiattati benissimo. Cantina fornitissima. Servizio rapido e veloce. Frequentato da fiorentini e anche dai giocatori della Fiorentina. da tornare assolutamente. Firmato: Elvira"
"ui_bubble_rating bubble_50","Top...","I gentili ragazzi che ci accolgono e ci accompagnano per la scelta .... piatti di ottima qualità e prezzi convenienti.Tesoro di San Niccolò..."
"ui_bubble_rating bubble_50","Locale ottimo, personale fantastico e cibo eccellente ","Ci sono entrato oggi, 31/12 mentre ero di passaggio. Che dire l'accoglienza è stata ottima, sembrava quasi di stare in famiglia con i parenti. Il cibo davvero squisito, Jacopo ti suggerisce cosa prendere nel menù e come accompagnare la scelta con i vini della casa, e posso dire che nel mio caso ha azzeccato i miei gusti. Se dovete andare a piazza Michelangelo o passare per andare verso il ponte delle Grazie, consiglio caldamente di fermarvi qui. "
"ui_bubble_rating bubble_50","Pranzo veloce e buonissimo","A due passi da Piazzale Michelangelo, ci viene consigliato da un cliente dello stesso ristorante. Menù a prezzo fisso, pranzo con: primo, secondo con contorno e acqua a 12 euro. Portate abbondanti, buonissime e servizio veloce. Staff cordiale e ambiente suggestivo. Qualità/prezzo imbattibili per una città come Firenze. Consigliato a tutti."
"ui_bubble_rating bubble_50","PIÙ CECCHERINI MENO HARLO HONTI","Gruppo di 11 veneti fino ad una certa ora.. poi di 10 caraterizzati da una grande magia del natale! Il posto è meraviglioso, ben arredata la cantina dei vini! Fiorentina impeccabile! Jacopo è un gran simpaticone e ti coinvolge nella scelta della cena! Tutte sue le proposte erano tipiche toscane (tranne la grappa da albina di gaiarine) consigliamo vivamente! Ps. TANTI AUGURI A MARINA!"
"ui_bubble_rating bubble_50","Molto molto buono","Questa sera non aveva carne, ma il pesce era molto buono! L'unica pecca i dolci e il caffè, non all'altezza. Anche la selezione dei vino era ottima."
"ui_bubble_rating bubble_50","Una serata speciale ","Bellissimo locale nel centro di Firenze. Cibo buonissimo e di ottima qualità con un buon rapporto qualità-prezzo. Nonostante il giudizio positivo da tutti i punti di vista, la vera forza del locale e’ il servizio: accogliente, esperto, educato, in grado di creare subito un ambiente familiare. Bellissima atmosfera.Ci torneremo. "
"ui_bubble_rating bubble_50","Ottima cena","Ambiente carino, ottimo servizio, Buon vino, ottimo pesce, polpo favoloso e il primo al granchio buonissimo.. Prezzi onestissimi.. Bravi.. Consigliatissimo "
"ui_bubble_rating bubble_50","Consigliato.. Bravi!","Bella scoperta in san niccolò! Piccolo ristorante a gestione familiare (fratello e sorella). Ci sono stato un sabato sera in due e abbiamo preso vari piatti di pesce, che dire.. ottimi e freschissimi. Consiglio il bis di tartare in special modo. Cè anche il menu di carne. Complimenti allo staff! "
"ui_bubble_rating bubble_40","Buon pesce davvero!","Il locale è un po’ piccolo e con questo finiscono i difetti. Anche se il menù ha sia carne che pesce, qui si viene per il pesce! Buona scelta di primi e secondi con tanti piatti del giorno in aggiunta (a seconda del pesce disponibile). Tutto buono buono buono! Ambiente giovane e molto informale soprattutto per l’esuberanza delcameriere, vero istrione del locale, che non vi lascia mai soli. Prezzi sui 30-35 euro per due portate, vino, dolce, caffè e amari (offerti of course). Bravi!"
"ui_bubble_rating bubble_50","Serata da non dimenticare! ","Una serata stupenda passata grazie all'ottima accoglienza che ci è stata data e agli ottimi consigli sul cibo: delle tagliatelle all'astice fantastiche! E per non parlare del tris di carpacci di pesce e del baccalà! Ma poi la cosa che più ci ha fatto sentire a casa, rilassati e che ci ha fatto godere la serata sono stati i ragazzi del ristorante! Penso che torneremo a Firenze anche solo per una giornata per venire a mangiare lì da voi!"
"ui_bubble_rating bubble_40","Carino, senza pretese","Ristorante di pesce nel quartiere San Niccolò. Personale giovane, disponibile ed efficiente. Piatti buoni e discreta qualità del pesce. Spesa intorno ai 40 euro per due portare e vino!"
"ui_bubble_rating bubble_50","Buonissimo!!!","Ristorante piccolo ma accogliente, gestito da fratello e sorella. Lui veramente alla mano e simpaticissimo. Abbiamo fatto fare a lui, ci ha portato per antipasto un brodetto ai frutti di mare buonissimo, poi io ho preso un primo di ravioli fatti in casa, con ragù di mare molto buoni, mentre mia moglie un baccalà alla livornese eccellente. Che dire di più? Andateci. Materia prima freschissima e prezzi congrui se rapportati alla qualità. Forse il giudizio sarebbe più da 4,5 ma voglio incoraggiarli. Continuate così."
"ui_bubble_rating bubble_40","Posto gradevole e Jacopo coinvolgente","Buona cena, ci siamo lasciati condurre da Jacopo nella scelta dei piatti : baccalà alla livornese il nostro preferito seguito dalla burrata tartufata e dal polpo. Meno entusiasmante l'insalata di baccalà. Apprezzatissime le due fette di torta (cioccolato e chesecake). Un voto in più per l'entusiasmo che il sopracitato Jacopo mette nel suo lavoro. Ad alcuni potrebbe sembrare eccessivo, ma a noi ha allietato la serata."
"ui_bubble_rating bubble_50","Pranzo domenicale","Come sentirsi a casa!!! Tutto molto buono... che dire, l’accoglienza il punto forte, l’aria che si respira è aria di casa... polpo favoloso e anche gli spaghetti integrali spada e nocibravi, grande impegno da parte di chi lavora e porta avanti con allegria una passione. Torneremo e lo consiglieremo sicuramente"
"ui_bubble_rating bubble_50","Ottimo consiglio","Quando la qualità del cibo e la simpatia e la gentilezza dei proprietari è così alta si ha solo un risultato una serata fantastica così che uscendo pensi già a quando tornare "
"ui_bubble_rating bubble_50","Da provare","Girando per Firenze ho trovato questo ristorante un po' strano e piccolo, invece si è rilevato un ottimo locale con personale molto gentile e carino con la pronuncia Fiorentina, ha mangiato primo secondo dolce calice di vino e acqua con un prezzo abbordabile, consiglio per provare qualcosa di nuovo!"
"ui_bubble_rating bubble_50","Molto, molto bene","5 novembre. Cena in 2 senza prenotazione. Comunque trovato posto perché siamo arrivati alle 19:00. Ci siamo fidati dei suggerimenti e delle indicazioni di Iacopo e abbiamo fatto molto bene. Qualità e quantità degne di nota. Da applausi la cottura del tonno. Sia Iacopo che la sua giovane collega hanno una perfetta conoscenza dei piatti proposti e dei vari tipi di cottura. Una spendida serata. Grazie"
"ui_bubble_rating bubble_40","Buon Ristorante","Servizio cordiale ma non invadente. Piatti gustosi e,al tempo stesso, leggeri con porzioni giuste. Abbiamo mangiato Tartarre di spada e tonno, insalata di Baccala', spaghetti allo scoglio, ricciola con caponata, una caponata di contorno, torta al cioccolato e vin santo. Da bere un buon Soave. Il tutto a 115, euro che definirei un prezzo giusto. Ricarico sui vino basso. Ci tornerei."
"ui_bubble_rating bubble_50","Difficile trovare di meglio ","Le cose da dire sono tante , andiamo per ordine Una persona che ti accoglie con naturalezza e con altrettanta sincerità ti consiglia piatti giusti e .....la cosa ovviamente determinante è che il tutto è seguito da fatti, quindi , credibile.Ci siamo affidati a Iacopo e ci siamo sentiti accolti e protettiCoccolati e mai arruffianati.....Iacopo non lavorerà mai , perché ama quel che fa e non è lavoro .....è passione Ben sostenuto nella qualità da chi cucina pietanze e dolci speciali e curati , non solo preparati , ma eseguiti con un ingrediente unico ....l’amore .....ci tornerei e ci torneremo ......ero con la mia famiglia (moglie e figli) ......tutto molto piacevole ....."
