"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Una novità ","Locale davanti al teatro Verdi Provato la pizza in particolare la pinsa molto ben cotta e digeribile e sopratutto molto ben condita Buona anche la birra artigianale Servizio molto cortese e premuroso Prezzi nella media Fiorentina "
"ui_bubble_rating bubble_50","Qualità e cortesia","Molto soddisfatto sotto tutti i punti di vista. Servizio puntuale, attento e cortese. Pizza buonissima con ingredienti di alta qualità e dolci squisiti. Consigliatissimo "
"ui_bubble_rating bubble_50","Ambiente very cosy!!!","Menu molto vario, piatti raffinati e curati, personale molto attento alle esigenze dei clienti in un'atmosfera piacevolmente amichevole con una scelta di vini fantastica"
"ui_bubble_rating bubble_50","Aspettative assolutamente confermate ","Il locale conferma pienamente le aspettative e le recensioni di cui gode. Pizza ottima con sapori particolari combinati in modo eccellente. Servizio al tavolo ottimo e molto disponibile. Consigliato."
"ui_bubble_rating bubble_50","Alla grande!","Mi sono recato nel locale per cenare la sera di Capodanno basandomi sulle recensioni presenti in questo sito e devo confermare il trend positivo. Personale gentilissimo e simpatico, pizza davvero eccezionale."
"ui_bubble_rating bubble_50","Serata piacevole","La pinsa è deliziosa! La pasta della pizza soffice e croccante al tempo stesso: buonissima! Ho mangiato la pinsa con le melanzane."
"ui_bubble_rating bubble_50","Scelta azzeccata","Locale piccolo che si trova in centro con un arredo ben curato. Ottime le pizze in particolare la pinsa fatta con farina di cereali e cereali molto digeribile e gustosa.Le pizze migliori:quelle con friarielli e salsiccia e la pizza autunno con crema di zucca e pancetta. Ottime le birre e i dolci. Impeccabile il servizio "
"ui_bubble_rating bubble_40","A mangiare la pinza","Perché no la tanto acclamata pinza la devo mangiare... Che dire amante di pizza leggera e digeribile e fenomenale tornerò sicuramente amatriciana da leccarsi il groppone... La pizza normale classica napoletana buona ma a me non entusiasma... Menu molto ristretto e prezzi un po' sopra la media.. Da provare la pinza sicuramente"
"ui_bubble_rating bubble_50","Da non perdere!","Non si può non cenare in questa struttura... È tutto ben organizzato con un servizio impeccabile! C'è solo da complimentarsi..."
"ui_bubble_rating bubble_50","Una bella scoperta","Ci siamo capitati una sera prenotando all'ultimo minuto ed è stata un'ottima scoperta. L'ambiente molto bello e curato, il personale molto gentile, la pizza veramente buona e dulcis in fundo ad un prezzo ragionevole."
"ui_bubble_rating bubble_50","Ci torniamo volentieri!!","Bel locale arredato con gusto e semplicità , il personale molto cordiale e il menu è interessante. La pinsa alla Parmigiana che ho mangiato era buonissima, l’impasto era buono, c’è una bella varietà di birre artigianali ed i dolci sono ottimi. E’un locale adatto anche per chi non mangia la pizza. Da tornarci!!"
"ui_bubble_rating bubble_50","Vini pazzeschi e pinsa spettacolare ","Come al solito la bottega si conferma per i suoi ottimi vini consigliati da Matteo e dell’ottimo impasto pinsa eseguito da Angelo! Ho mangiato veramente da 10 e vi consiglio sinceramente di assaporare i loro prodotti "
