"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Pasta fresca al top","Ci siamo fermati su consiglio di mio figlio ....il locale è un negozio di pasta fresca con cucina ..su una lavagnetta vengono scritti i sughi con cui in quel giorno viene condita la pasta: tutto davvero buono, da consigliare la farinata con cavolo nero e borlotti..ma anche testaroli con funghi o pasta con salsiccia e cavolo nero..tra i dolci squisita la torta di ricotta meno buona la panna cotta..Unica pecca il locale troppo piccolo e troppo lungo il periodo di attesa per mangiare.."
"ui_bubble_rating bubble_50","Una scoperta molto carina","Eravamo in zona per commissioni e ci siamo fermati a pranzo io mio marito una bimba di due anni e due cani gentilissimi, posto carino, curato e pulito. Buona la cucina casalinga. Lo consiglio assolutamente"
"ui_bubble_rating bubble_50","Pasta Made in Italy DOC","Ci é voluto un po’ per trovare il locale che risulta abbastanza nascosto ma forse é meglio così. Locale piccolo con pochi coperti. Nato come laboratorio di produzione e vendita di pasta fresca, adattato poi con qualche tavolo per un servizio di soli primi piatti e dolci. Pasta gustosissima come la varietà di scelta dei sughi proposti giornalmente. Prezzi estremamente bassi ma qualità elevata.. assolutamente da non perdere per chi si trova in zona... bravissimi.. "
"ui_bubble_rating bubble_50","buona la pasta, buoni i sughi!","che dire, nell'indecisione tra paste e sughi abbiamo mangiato 6 primi in 4 nonostante le porzioni abbondanti! Ci torneremo presto"
"ui_bubble_rating bubble_50","L'Italia che ci piace","Pasta fresca, sughi freschi, semplicità, sorrisi e accoglienza.Il locale è spartano e genuino, come il personale sempre col sorriso e pronto a farti sentire come dalla nonna. Pranzo lì almeno una volta a settimana ed è un posto tipicissimo in cui assolutamente porterei degli ospiti stranieri per fargli capire e apprezzare LA PASTA!"
"ui_bubble_rating bubble_50","Non facciamo troppa pubblicità ","Mi sento fortunata a andare a mangiare in questo posto.. tutto ottimo , personale cortese.. il momento più bello..la schiacciata alla Fiorentina..non esiste una più buona al mondo ..quella vera e senza strutto.. forse unico a Firenze. Peccato niente ticket ma capisco..Grazie.. top !!! "
"ui_bubble_rating bubble_50","Sapori freschi e genuini ","Sono appena uscita da questo locale che purtroppo non conoscevo. Famoso per la pasta fresca di tutti i tipi, la si può comprare oppure si può decidere di mangiare in loco. Servizio eccellente, siamo arrivate, ci hanno fatte subito accomodare, hanno apparecchiato (informale) portandoci subito acqua gratuita e come antipasto (gratis anche questo) un crostino con salsiccia e stracchino. Dopo 5 minuti ci hanno servite con una porzione abbondante. Ho preso i testaroli con pesto e zucchine, si sentiva che la pasta era fresca. Molto molto buono. Locale piccolo ma accogliente, prezzo incredibile se considerate che abbiamo speso 17 euro in 3 con 1/2 litro di rosso e un piatto di pasta a testa. Lo consiglio vivamente e spero di tornarci presto"
"ui_bubble_rating bubble_50","VIVA LA PASTA 2!!!","Avevo recensito nel 2015 viva la pasta e dopo tre anni di assidua frequentazione confermo!! Pasta sformati e dolci squisiti!! Provare per credere!!!Noi siamo clienti affezionati non a caso!!!"
"ui_bubble_rating bubble_50","La più buona pasta che abbia mai mangiato ","Questo locale lo frequento ormai da 7 anni. È il luogo dove più volentieri mangio un ottimo primo, cucinato con la cura e la passione, che solo i sapori casalinghi sanno far trasparire. Il personale è meraviglioso, cordiale, e ti fa sentire davvero a casa. La qualità del cibo è meravigliosa e i piatti sono buonissimi. Il tutto condito con la modestia e il duro lavoro. Splendido posto per chiunque voglia sentirsi a casa in questo piccolo angolo di Firenze che vi coccolerà e che non riuscirete più a dimenticare. Il vostro affezionatissimo Elia. "
"ui_bubble_rating bubble_50","Questa è la vera casa della pasta","Lasciatevi trasportare in una dimensione che credevate persa. La sensazione dell’oste che ti accoglie a casa sua e che ti offre quello che bolle in cucina (fantastica pasta tutta prodotta in loco con condimento che cambiano giorno per giorno). Talmente conveniente e accogliente che può diventare quotidiano. Un posto decisamente fuori dal normale "
"ui_bubble_rating bubble_50","Incredibile !!!","Andateci, andateci ed andateci!! Fatevi coinvolgere dall’atmosfera e non potrete far altro che gustarvi primi di qualità !"
"ui_bubble_rating bubble_50","Mamma mia!","Un'allegra domenica in famiglia ideale per sporcarsi di sugo la camicia ed assaporare i veri piatti della tradizione della pasta fresca italiana. Mamma mia! "
"ui_bubble_rating bubble_50","Incredibile!","Posto unico,pasta veramente buona e como e a casa e a buon prezzo e i dolci anche buonissimi. Personale molto amabili. Veramente merita molto andare lì a mangiare."
"ui_bubble_rating bubble_40","Come a casa della nonna! ","Sono stato alla boutique con amici che mi avevano assicurato della bontà del posto. Che dire, hanno avuto ragione in pieno. Non si può prenotare quindi capita di dover aspettare un po prima di sedersi, ma fidatevi che ne vale la pena.5 tipi di pasta fresca, 5 tipi di sughi diversi da abbinare a scelta.Semplice e veloce, senza troppi fronzoli e camerieri con tablet in mano. A Firenze si può trovare ancora botteghe dove sembra di essere a casa!Il caffè è rigorosamente quello della moka, i prezzi sono bassissimi e se ne avete voglia vi consiglio di portarvi a casa un po di pasta fresca! "
"ui_bubble_rating bubble_50","mai mangiato così bene a pranzo e non solo","dietro piazza delle cure nasce questo laboratorio artigianale scoperto per caso dove puoi ordinare la vera pasta fatta in casa (lasagne-tortellini-tortelli-etc.) oppure puoi sederti a pranzo ma solo a pranzo e gustarla lì. Fate attenzione non è un ristorante per cui si mangia molto rapidamente e senza prenotazione. Ottimi anche i loro dolci.Il caffè non è quello del bar ma della moka."
"ui_bubble_rating bubble_50","Una meravigliosa scoperta!","Ci serviamo da tanti anni dalla Boutique della pasta fresca ed è stato un piacere scoprire che facevano anche i pranzi. La loro pasta è davvero buona e anche i sughi sono sempre deliziosi. Ottimi anche i dolci. Un altro punto a loro favore è la gentilezza del personale."
"ui_bubble_rating bubble_50","Un paradiso!","Azzeccato in tutto! Cibo ottimo , la massima espressione della cucina della mamma! Ormai è più di un anno che lo frequento e non mi hanno mai tradito! Servizio splendido. Non vi aspettate un ristorante ma una pranzo a casa!"
