"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Vegetariano","Non sono un appassionato del genere ma è stata un esperienza interessante. Locale carino e buona la scelta dei piatti"
"ui_bubble_rating bubble_50","Esperienza unica","Ho portato mia moglie per il nostro anniversario essendo lei amante del vegetariano, premetto che io ero molto ma molto scettico essendo non vegetariano e con mio stupore é stata un ottima scelta . Ambiente molto carino e silenzioso si poteva parlare tranquillamente, personale alla mano ed educato. Veniamo al food prima cosa non abbiamo dato retta alla ragazza e qui é il primo errore da parte nostra essendo la prima volta ho detto ame prendo solo due piatti tanto non saranno buoni dato le altre esperienze. Ordiniamo lasagne verdi e spaghetti alla chitarra di primo ,di secondo radicchio rosso con formaggio e polpette di ceci alle spezie . I primi arrivano che dire due piattoni non finivano più le lasagne erano da dio buonissime anche gli spaghetti con melanzane e pomodori secchi sublimi. Eravamo gia pieni arrivati anche i secondi buonissimi anche loro abbondanti non li abbiamo finiti. Però non poteva mancare una bella macedonia di frutta fatta al momento. Che dire da scettico ci ritorneremo presto mai scelta fu più azzeccata ottimo cibo e prezzi non cari ma qualità ottima ve lo consiglio vivamente. "
"ui_bubble_rating bubble_50","Peccato non avervi sotto casa!!! ","Vivo ad un'oretta di macchina da Firenze e ho scoperto Brac solo ad ottobre di quest'anno. Mi è talmente piaciuto che, quando sono tornata a fare un giro a Firenze a dicembre, non ho potuto che ripranzare li'. Ottima cucina, ambiente rilassante ed intimo, perfetto per pranzare nel centro storico di Firenze senza caos. Consigliata la prenotazione perché non è molto grande. "
"ui_bubble_rating bubble_50","Fuori dal tempo","Spazio molto accogliente e romantico, dal sapore parigino, inusuale per una città come Firenze. Piatti gustosi (ricordatevi di prenotare in anticipo) e vasto assortimento di libri d'arte/architettura. Incantevole la corte esterna!"
"ui_bubble_rating bubble_40","Ottimo per vegani e non","Durante il mio weekend a Firenze, ho avuto il piacere di mangiare per ben due volte presso questo ristorante vegetariano (con diverse opzioni vegane). Location particolare e accogliente. Straconsigliato!PS Prenotate o non troverete posto."
"ui_bubble_rating bubble_40","Scorcio veg-chic lontano dal caos ma al centro","Posto molto carino, personale molto cortese, gentile e professionale.Cibo molto buono, specialmente il mango e patate su cui avevo dubbi, ma riuscire ad usare tutte quelle spezie in un modo così sapiente nasconde sicuramente conoscenza profonda del proprio lavoro.“Insalata di cavolo, mela noci e melograno” e “patate dolci con crema di arachidi e piselli e cipolle caramellate al rosmarino” semplicemente divini.Unica nota stonata le tagliatelle d’autunno, leggermente monosapore.Tutto sommato, tuttavia, un’ottima esperienza."
"ui_bubble_rating bubble_50","Posto molto carino e cibo ottimo","In vacanza con amici sono stata io a proporre un pò a scatola chiusa questo ristorante. Abbiamo dovuto prenotare molto presto per trovare posto (sono pochissimi tavoli e solo una volta dopo esserci stati si capisce davvero perchè c'è tutta quella attesa). Le ragazze si sono dimostrate gentili e disponibili. I piatti rivelati OTTIMI (un commensale non ha un buon rapporto con il cibo vegetariano ma ha ammesso l'estrema bontà del pasto). Ottima la soluzione del piatto unico con 15€, le porzioni sono abbondanti ed il cibo davvero speciale. Non andate con la fretta, ma andate.CI TORNERO' ASSOLUTAMENTE"
"ui_bubble_rating bubble_50","Il miglior ristorante vegetariano a firenze","Ormai da tanti anni frequento questo piccolo locale nascosto tra le vie del centro di Firenze. Sia a cena che nel pomeriggio per una merenda o un te è sempre piacevole. Il menù del ristorante cambia spesso ed e sempre una bella scoperta sapere quali proposte hanno per noi. Consiglio di prenotare con anticipo perché si rischia di non trovare posto."
"ui_bubble_rating bubble_50","Piacevole scoperta","Atmosfera calda, accogliente e rilassata.Il servizio attento e cortese.Il cibo veramente buono. Da provare le lasagne verdi e gli spaghetti con pomodori secchi e mollica tostata.La formula di assaggio di antipasto primo e secondo in un unico piatto è abbondante e da la possibilità di provare piatti diversi. Ottima la cheescake ai frutti di bosco!Da riprovare assolutamente "
"ui_bubble_rating bubble_40","Una scoperta ","A Firenze c'è sempre qualcosa di nuovo da scoprire, questo locale mi è stato suggerito da un'amica e ci sono andata con altre amiche. Con Google maps è facile trovarlo, ma se ci passi davanti senza saperlo non è detto che lo noti perché l'entrata è piccola e sembra una libreria. Appena entrati, oltre ai libri, si nota il bancone che è apparecchiato, volendo si può mangiare anche lì se non si trova posto. Nella prima sala vi sono solo un paio di tavoli, poi si passa in una corte, arredata in maniera molto particolare, con un paio di tavoli all'aperto, infine si passa nella sala vera e propria, dove i tavoli sono se non sbaglio, 8 in tutto. Alle pareti ci sono libri e bottiglie di vino, la stanza è sul davanti completamente a vetri, probabilmente in passato era un giardino d'inverno. La loro proposta di menù si basata su piatti unici da comporre con tre pietanze a scelta fra un'insalata o carpaccio, un piatto di pasta o riso e un piatto al forno, al costo di 15€. È tutto buonissimo e ben presentato, chi pensa che il cibo vegetariano e vagano sia triste dovrà ricredersi. L'unica critica che mi sento di fare, riguarda il fatto che arrivando tutto insieme, le pietanze calde di raffreddano, a me questo ha dato un po' fastidio, si può in parte ovviare mangiando prima i piatti caldi e lasciando per ultimo l'antipasto. Hanno anche un'ottima scelta di vini, fra i quali la cameriera ha saputo consigliarci al meglio. Per finire, abbiamo preso il dolce, una torta vegana di mele e cannella, che strozzava' leggermente, ma avevo un ottimo sapore. La spesa è stato in totale di 28€ a testa compreso caffè e acqua. Da tornarci sicuramente. "
"ui_bubble_rating bubble_50","Ci tornerei immediatamente","Abbiamo trovato questo locale per caso, online, considerando che una ragazza del nostro gruppo è vegetariana.Il locale è bellissimo, personalmente è stata davvero una bella scoperta.L'ambiente intimo e rilassante posso confermarlo, ma i piatti sono stati la seconda sorpresa: ottimi!Ho preso gnudi burro e salvia, e non riesco più a togliermeli dalla testa!"
