"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Fiorentina stupenda (la tradizione)","Tipica Buca Fiorentina, posto stupendo, ci sono vissuto da piccolo e tornarci è stato stupendo. Presa una pappardella e una bistecca per due persone. Vino rosso veramente azzeccato. Direi che è stato tutto veramente gradito, dal sapore intenso delle pappardelle alla cottura (favolosamente al sangue) della carne. È stato un tuffo nel passato con uno sguardo al presente e spero anche al futuro. Posto veramente da visitare, il prezzo vale tutto ciò. Consigliato!"
"ui_bubble_rating bubble_50","Fantastico","Abbiamo provato questo ristorante su consiglio di amici. Il posto è estremamente caratteristico, ricavato sotto il livello della strada, pareti e soffitti sono ricoperti di vecchi poster. Il servizio è impeccabile, gentilissimi. La fiorentina è ottima, come pure i taglieri, le pappardelle al ragù di cinghiale e i dolci. È il ristorante più antico di Firenze, da provare assolutamente. È necessario prenotare con anticipo. Accettano i cagnolini."
"ui_bubble_rating bubble_50","Ottimo ristorante tipico con stule"," Bel ristorante nel centro storico di Firenze nelle cantine di un antico palazzo. Tipico menù toscano: bistecche monumentali, primi succulenti e vasta carta dei vini. Cucina a vista e personale gentile ed affabile. Da raccomandare !"
"ui_bubble_rating bubble_40","Consigliato","Fiorentina x 2, 1.3kg circa, alta 5 cm, cottura al sangue perfetta accompagnata con in parte delle zucchine pastellate. Carne ottima, il contorno un po troppo unto e poco saporito a gusto mio. Due coperti, due bott h2O, 1 bott 375 di Peppoli, un contorno, una fiorentina x 2 e due caffe —> 125€Locale con stile particolare Personale di livello e classe.Consigliato"
"ui_bubble_rating bubble_40","Ottimo","Abbiamo mangiato benissimo, complimenti al proprietario molto presente e valido, la cameriera polacca molto gentile e professionale, cani molto ben accettati… E ringraziamo per questo! Cibo squisito, carne meravigliosa, e servizio ottimo. Ci è piaciuto!Viviana e Sergio "
"ui_bubble_rating bubble_40","Ottima qualità con prezzi sopra la media","Siamo stati a Firenze alcuni giorni fa e con tutta la famiglia (7persone) abbiamo cenato qui dove un figlio era già stato.Abbiamo preso 3 fiorentine, 2 pappe al pomodoro e altri 2 primi e una bottiglia di Chianti per una spesa totale di €260,00.Qualità ottima e anche il prezzo della Fiorentina era forse poco sopra la media di altri ristoranti dello stesso target.Quello che ci è apparso sopra la media è la pappa al pomodoro e i due primi che viaggiavano a 16 e 20 euro oltre la bottiglia di Chianti normale a 30.Comunque alla fine contro un altro ristorante competitor avremmo potuto risparmiare qualche decina di euro e pertanto la scelta è stata buona e da ritornare."
"ui_bubble_rating bubble_50","Che fiorentina!","Sono stato una sera in questo posto caratteristico, piatto principale una bella fiorentina accompagnata da contorni e ottimo vino. Se trovate posto, ne vale la pena."
"ui_bubble_rating bubble_50","Semplicemente spettacolare","Cosa dire? Locale storico con specialità fiorentine. Tutto ottimo, dall’antipasto al dolce. Consigliata la tipica bistecca (quella da 2 si può tranquillamente dividere in 3, date le dimensioni)"
"ui_bubble_rating bubble_50","Perfetto","Non si può certo sorvolare sulla qualità del cibo, dire sublime è senz’altro riduttivo, ma tante recensioni lo hanno già spiegato in maniera esaustiva, benché per quanto si possa leggere non si arriverà mai a comprenderne il grandioso effetto reale prima di averlo assaggiato. Ciò di cui voglio parlare è invece l’accoglienza, il calore, la cordialità dello staff ed in particolar modo del proprietario. Ci ha coccolato dal primo momento in cui abbiamo messo piede nel locale, omaggiato con le sue delizie e i suoi racconti durante tutta la cena, ci ha accolto in “casa sua” facendoci sentire a “casa nostra” e tutto questo con l’umiltà di chi sa di essere grande ma non ha bisogno di ostentarlo. Volevamo mangiare la migliore Fiorentina della nostra vita e lo abbiamo fatto nella maniera migliore. Grazie!"
