"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Piacevole e buona cenetta fiorentina ","Il locale è piccolissimo (ci eravamo passati davanti senza vederlo ;)), ma questo è un lato positivo se si vuole passare una serata tranquilla e intima, in un'atmosfera molto accogliente, gustando buoni piatti tipici toscani. Ribollita davvero squisita! Vino buonissimo. Forse migliorerei solo il menu dei dolci, la torta di ricotta e il semolino non mi hanno fatto impazzire. Anche qualche crostino e pezzo di formaggio in più nel tagliere non guasterebbe. Prenotando con the Fori, abbiamo potuto approfittare di uno sconto del 20%."
"ui_bubble_rating bubble_40","mangiare bene in centro","un ottimo pasto consumato vicino all'hotel in centro e poi di nuovo via. si mangia bene in un locale accogliente, simpatico senza ressa tranquillo che consiglio di cercare anche se non in vista immediata"
"ui_bubble_rating bubble_50","Una delle poche certezze a Firenze ","In un panorama ristorativo che sta segnando il passo verso il basso questo posto merita una bella segnalazione perché in centro mangiare così bene ed essere coccolati è merce molto rara ormai. Qualità in ogni portata se poi trovate il tartufo tanto meglio. Prezzo abbordabile per quanto fornito"
"ui_bubble_rating bubble_50","Cenetta a due","Locale accogliente ed intimoSono andata per una cenetta con mio marito mi sono trovata benissimo Cucina ottima Da provare"
"ui_bubble_rating bubble_50","Ottima esperienza","Abbiamo mangiato delle ottime lasagne, come secondo un carpaccio con abbondanza di tartufo, il tutto accompagnato con un ottimo bicchiere di fiammante"
"ui_bubble_rating bubble_50","Tutto molto buono","Ottimo ristorante in centro a Firenze, servizio rapido ed eccellente, ottima carta dei vini, consiglio il tonno toscano!"
"ui_bubble_rating bubble_50","Cena di compleanno","serata molto piacevole, cibo ottimo, specialmente i formaggi ed i vini.. ambiente piccolo, ma molto accogliente."
"ui_bubble_rating bubble_50","Cena 3 dicembre 2018","Eravamo in due. Ambiente tradizionale e molto accogliente, molto gentile il personale anche durante i momenti di attesa. Ci siamo fatti consigliare dal ragazzo che ci ha accolto ed abbiamo scelto un menù tra formaggi e tartufi: percorso di formaggi per iniziare, risotto al tartufo fresco e tomino di capra, sempre con tartufo. Ottima anche la carta dei vini ed il suggerimento per gli abbinamenti. Strepitoso il carrello dei dolci: raro trovare una crostata così buona.Lo consigliamo a tutti coloro che vogliono mangiare in pieno centro ed avere un bel ricordo di Firenze."
"ui_bubble_rating bubble_50","Accoglienza e qualità","Si sa..a Firenze ci sono tanti ristoranti e succede troppo spesso di trovarsi delusi. Devo dire che qui ho trovato tutti gli ingredienti che cercavo per la mia cena, una calda accoglienza, del buon cibo, del buon vino e un ambiente curato. Da consigliare senza esitazioni!!"
