"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","I migliori!","Bistecca superba, ottimo il cibo..dagli antipasti al dolce!!bistecca che si scioglie in bocca!! Un particolare ringraziamento a kuka!! Bravissimo Professionale ed eccellente!"
"ui_bubble_rating bubble_50","Il migliore Ristorante Consigliatissimo","Il migliore ristorante di Firenze.Bel ristorante, Personale gentile e ottima ubicazione a due passi dal centro.Dopo aver provato degli ottimi primi ho Mangiato una meravigliosa bistecca .Sono andata in famiglia e anche i miei figli sono rimasti veramente contenti.Lo raccomando e quando torno a Firenze ci vado sicuramente.Consigliatissimo"
"ui_bubble_rating bubble_50","Eccellente ","All’inizio siamo stati attratti dal bel locale e stuzzicati nell’appetito guardando i pezzi di carne da bistecca in vetrina, però vista la posizione ottima vicino a Duomo abbiamo indugiato ad entrare pensando al solito locale acchiappa turisti bello ma senza sostanza, invece siamo stati veramente veramente bene!Locale tipico e bello, ottima atmosfera da trattoria toscana, personale molto gentile, cibo tutto ottimo dagli antipasti ai dolci, prezzi ottimiAbbiamo preso delle pennette al pomodoro e basilico per la bambina ed erano semplici e buonissime, una ribollita eccellente, 3 menù toscani con antipasto misto, una bistecca tenerissima, patate al forno ottime, fagioli, torta della nonnaVino rosso della casa(forse unica cosa da migliorare)Totale 95€Mangiato benissimo speso pocoTorneremo senz’altro e lo consiglieremo agli amici"
"ui_bubble_rating bubble_50","Da tornare","Mi aggiravo per Firenze in cerca di un posto dove poter mangiare qualcosa di tipico e mi imbatto qui. Cibo eccellente, qualità della carne ottima e servizio impeccabile. Camerieri cordiali, veloci ed efficenti. Tornero sicuramente"
"ui_bubble_rating bubble_50","Ottima regina bistecca al Duomo trattoria dall' oste","Va vera regina bistecca al Duomo di ChianinaBellissima vetrina della carne e ottimo.servizio Un ringraziamento particolare a marcello"
"ui_bubble_rating bubble_50","Consigliatissimo","Cibo buonissimo e di qualità, camerieri veloci e simpatici, prezzi onesti.Molto molto molto consigliato"
"ui_bubble_rating bubble_50","Andare al ristorante e sentirsi come a casa","Dunque. Ottima carne (saporita e molto tenera). Ottimo servizio (ragazzi molto attenti e gentilissimi).Impressionante il soffitto (antichissimo), che ci ha fatto immaginare il medioevo fiorentino.Siamo stati molto bene, e siamo usciti felici. A destra c'è il Duomo a sinistra San Lorenzo (vicinissimi).E con questo ho detto tutto..."
"ui_bubble_rating bubble_50","Pranzo","Ristorante ben ubicato in un attimo sei in piazza Duomo.Carne Fantastica locale accogliente e il servizio impeccabile. Ottimi i primi e la bistecca la più buona di FirenzeLa prossima volta ci ritorno Consigliato "
"ui_bubble_rating bubble_40","Location strategica e buona cena ","Non so se sia la migliore fiorentina di Firenze, ma la bistecca mangiata questa sera era molto buona. Il personale è gentile e attento. Alcune note per me migliorabili: tavoli un po' ammassati tra loro (tra l'altro io eviterei di mettere tavoli attaccati al muro, è scomodo mangiare così) e illuminazione del locale molto bassa. Ho provato solo carne e contorni per cui non posso giudicare il resto del menù. Buona carta dei vini.ArmandoNapoli "
