"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ancora eccellente","Tornati qui dopo un anno e trovato sempre una cucina spettacolare (in particolare la lasagna in bianco e le tartare), con la consueta squisita cortesia del personale. Un vero grande piacere venire qui."
"ui_bubble_rating bubble_50","Cena tra amici","Piccolo locale caratteristico con piacevole atmosfera. Molto accogliente, Personale giovane ma molto preparato, professionale e cordiale. Menù con pochi piatti ma che può accontentare tutti i palati. Cucina eccellente e particolare. Cibo di ottima qualità. Buon rapporto qualità/prezzo. Insomma, da non perdere questo piccolo gioiello della cucina toscana nel centro di Firenze!"
"ui_bubble_rating bubble_50","Giovani e tradizioni <U+0001F57A><U+0001F3FB>","Personale come da titolo davvero molto giovane, abbiamo deciso di cenare in questo bellissimo ristorante sito poco distante dal Duomo, accolti da un buonissimo antipasto composto da vellutata di zucca, semi di girasole e pancetta arrostita, abbiamo proseguito con spaghetti alla chitarra e tagliatelle al cinghiale (entrambi ottimi e consigliati). Come gran chiusura abbiamo scelto la guancia di maiale glassata al miele su letto di purè.Vino al calice rosso fermo eccellente (consigliato dalla casa).Rapporto qualitá/prezzo ottimo e personale molto attento e disponibile.Da provare assolutamente se vi trovate in zona.S.E."
"ui_bubble_rating bubble_50","Consigliato!","Ottima cena di coppia in un bel contesto, cucina e servizio Piacevole. Consigliato alle coppie in visita a Firenze."
"ui_bubble_rating bubble_40","Buono in centro storico","Ristorante provato per caso, di solito cerchiamo di tenerci alla larga dal centro storico di Firenze per ovvi motivi, la stragrande maggioranza dei luoghi in cui mangiare sono trappole per i turisti, la serata uggiosa e fredda ci ha aiutati a decidere ed il Ristornate carino e pulito ci ha aiutato sicuramente ad entrare, non tanti coperti, cucina a vista, si trova come dice il nome al piano terra di una vecchia torre.Menù molto corto e discreta carta dei vini, abbiamo preso due antipasti e rispettivamente una ribollita ed una tagliata.Tutto molto buono e curato, il ristorante ha un taglio un pò raffinato sia sul menù che sulla presentazione dei cibi anche se il riferimento è sempre alla cucina locale Toscana.Il servizio è cortese ed esaustivo, il conto nella media sopratutto rapportato alla qualità dei cibi.Unica nota da appuntare si sente un pò troppo l'odore di cucina in sala.C"
"ui_bubble_rating bubble_50","Bontà e cortesia","Ottima realizzazione dei piatti, prodotti di qualità accompagnati da una buona carta dei vini. Il servizio è cordiale e competente. Un'ottima cena"
"ui_bubble_rating bubble_50","Bontà e professionalità","Location bella, centrale ed atmosfera accogliente.La cameriera professionale e molto attenta a dettagliare i particolari degli ottimi piatti.Antipasti ottimi, Fiorentina squisita"
"ui_bubble_rating bubble_50","Serata fantastica ","Cena Toscana strepitosa in un Ambiente classico Servizio molto corteseDa provare se si vuole assaporare i veri profumi toscani"
"ui_bubble_rating bubble_40","Una simpatica serata","Nell'antica torre di Corso Donati (attualmente racchiusa da ponteggi per restauro) un ristorante con cucina toscana caratterizzato da uno staff giovanissimo (tutti sotto i 30 anni) ma che non ha niente da invidiare a cuochi blasonati. Scoperto grazie ad una serata organizzata, il 13 settembre 2018, dalla Condotta SlowFood Scandicci in sinergia con la Condotta SlowFood Firenze, ho gustato una cucina molto curata, di gran qualità."
