"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una piacevole conferma!!","Ristorante curato, sia nell'arredamento che nella cucina. Piatti squisiti e ben presentati. Già conoscevamo il ristorante e ritornarci è stata la conferma dell'ottima impressione avuta la prima volta. Lo consigliamo vivamente. Ottimo rapporto qualità/prezzo"
"ui_bubble_rating bubble_50","Volete il Vietnam?","Se volete il Vietnam a Firenze provate questo ristorante. Dall'ambiente alla cucina non troverete fronzoli folcloristici o rivisitazioni furbette ma autenticità e schiettezza. Ho scelto dal menu tre piatti tra i più classici (involtini croccanti, zuppa Pho di Saigon, Bun Bo Seo) e li ho trovati tutti e tre perfetti. La persona che era con me ha scelto gli involtini crudi e le tagliatelle del Fiume Rosso: perfetti anch'essi. La cucina vietnamita punta su una sinfonia di sapori e profumi inconfondibili, cercarli tutti è un test che non perdona: Com Saigon per me è promosso! La signora-patron vietnamita che sta in cucina conosce il fatto suo, non cerca di fare voli pindarici ma offre onestamente la cucina di casa sua. Per Firenze è una specie di piccolo miracolo. Il prezzo è più che giusto, l'accoglienza calda e simpatica, la carte dei vini e bevande accurata, cosa volete di più? Insomma, come si dice a Firenze: c'è garba'o!"
"ui_bubble_rating bubble_40","Da ritornarci. Consiglio vivamente. TOP!","Piccolo ma accogliente ristorante vietnamita. Le cuoche sono davvero vietnamite e il che non guasta ;-) a differenza dei tanti locali asiatici che si vedono in giro ma che in realtà sono tutti cinesi e piuttosto omologati. Cucina leggera, profumata, adatta anche a chi non mangia carne, con piatti davvero buoni. Prezzi giusti e comodo il parcheggio di Sant'Ambrogio a due passi. Da ritornarci."
"ui_bubble_rating bubble_50","Una scoperta","Non avevo mai assaggiato la cucina Vietnamita e devo dire che ne sono rimasto affascinato. Ambiente molto semplice senza fronzoli. Cuochi che preparano il cibo in vista. Personale gentile e disponibile pronti a spiegarti come assaporare al meglio i piatti. Davvero un esperienza da ripetere per scoprire altri piatti"
"ui_bubble_rating bubble_50","Un'esperienza DAVVERO vietnamita","Era la prima volta per me: sono stata fortunata. Il proprietario, gentile, premuroso e davvero appassionato del suo lavoro, ci conduce e accompagna attraverso un'esperienza di autentica cucina vietnamita (non fusa con altre cucine).Delicati e incantevoli i 3 involtini; pollo al tandori gustoso ed abbondante. Deliziosa la bevanda al ginger e miele, ottimo accostamento a ciò che ho mangiato.Locale curato e di atmosfera.Prezzi non esosi, adeguatissimi."
"ui_bubble_rating bubble_50","Vietnam DA APPLAUSI!!!","Sono stato a Firenze alcuni giorni e ho frequentato diversi ristoranti asiatici. Questo è in assoluto quello che mi ha procurato più piacere. I piatti sono eccellenti, pieni di gusto Viet, e il dessert (tortino al cocco con gelato alle arachidi e menta) è semplicemente da applausi. Consigliatissimo"
"ui_bubble_rating bubble_50","Assolutamente da provare.","Locale situato nel centro storico.Ambiente familiare, comodo e pulito.Servizio cortese effettuato con passione.Cucina tipica Vietnamita con prodotti freschi, tutto preparato in loco.Personale originario del Vietnam, sapori non comuni, nuovi per un palato italiano, ma gustosi. Cucina leggera e digeribile.Conto in linea. Ci torneremo sicuramente."
"ui_bubble_rating bubble_50","Cibo eccellente","Sono stata a cena con delle amiche stasera, cibo davvero squisito, personale gentilissimo, abbiamo assaggiato tantissime cose, antipasti, primi, zuppe, carne e dolci, con un ottimo vino e delle bevande calde deliziose. Tutto perfetto, consigliassimo! ci tornerò con la mia famiglia il prima possibile."
"ui_bubble_rating bubble_50","che dire, Eccellente!","sono stato in Vietnam l'ultima volta quasi10 anni fa e dopo tutto questo tempo ho finalmente riassaporato gli stessi sapori e gli stessi profumi di quello splendido viaggio, questo ristorante coglie in pieno l'essenza di un ristorante etnico, complimenti davvero ai gestori e soprattutto ai cuochi!"
