"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","DA PROVARE","Locale carino.Personale molto gentile e competente: grande il Sig. Nicola.Ci è stato consigliato da persone di Firenze: tutto squisito.Ottimo il rapporto qualità/prezzo."
"ui_bubble_rating bubble_50","Una Sicurezza","Appassionati, competenti, disponibiliGrande scelta per chi ama i vini naturaliMenù decisamente all’altezzaFatevi guidare non rimarrete delusiDa non perdere"
"ui_bubble_rating bubble_50","difficile trovare di meglio","Ritorniamo dopo molto tempo da Coquinarius in un affollata domenica postnatalizia, sorpresa il menù sempre molto articolato si è arricchito di piatti molto interessanti, ben fatti ed anche esteticamente inappuntabili. Carta dei vini sempre molto interessante e poi basta chiedere un consiglio a Nicola. Nel mare magnum di proposte vecchie e nuove della Firenze del XXI secolo questo bel locale, forse solo un pò buio, si dimostra all' altezza di chi vuole mangiare bene senza spendere una follia."
"ui_bubble_rating bubble_50","Una straordinaria conferma","Frequento questa enoteca con cucina dal 2000: non mi ha mai delusa. Anzi, il nuovo locale, spazioso, con alti soffitti, ben distanziati i tavoli, arredo ricercato, è di grandissima atmosfera. Il proprietario è appassionato e gentile così come professionale lo staff. Molto interessante e varia la cantina dei vini; la proposta culinaria, che si contraddistingue per la generosità delle porzioni, è una rivisitazione in chiave innovativa della cucina tradizionale toscana. Eccellenti i dolci. Ottimo rapporto qualità/prezzo. Una tappa immancabile della ristorazione fiorentina."
"ui_bubble_rating bubble_50","Veramente da provare","Ci è stato suggerito. Mangiato veramente bene. Abbiamo provato varie cose e abbiamo pulito tutti i piatti, che tra l'altro sono anche abbondanti. Pici divini. Prezzo sotto le attese e offerto anche il dolce. Personale cordiale e disponibile."
"ui_bubble_rating bubble_50","Pranzo ","Posto molto ben arredato, moderno ma allo stesso tempo semplice. Il tagliere della casa è un esperienza da provare, personale molto gentile e cordiale"
"ui_bubble_rating bubble_50","Da provare!","Suggerito da amici di Firenze, non ha tradito le nostre aspettative e ci siamo trovati molto bene: personale molto accogliente e piatti dai sapori molto buoni e particolari. Sicuramente torneremo in. Occasione della prossima visita a Firenze . "
"ui_bubble_rating bubble_20","Mi aspettavo di più","Locale bello, menu bello, selezione vini molto ampia, personale giusto... peccato per per quello che abbiamo mangiato. Probabilmente non era la serata giusta"
"ui_bubble_rating bubble_40","Se ci si trova in centro e si vuole restare lontano dal turismo di massa","Locale arredato con gusto e con cura che si rispecchiano nell'impiattamento e nel sapore delle portate. L'antipasto con coniglio e fagioli ci ha colpito particolarmente per il gusto e la morbidezza della carne. Inoltre, le porzioni dei primi sono abbondanti, cosa sempre gradita. Se dovessi trovare un piccolo neo, la vicinanza dei tavoli, ma forse noi siamo state un pò sfortunate con la posizione."
