"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Delizioso","Ci siamo passati accanto e su suggerimento della ns guida ci siamo ritornati per un pranzo veloce.Devo dire eccezzionale, dalle schiacciatene al panino con lampredotto e trippa.Fantastico da provare"
"ui_bubble_rating bubble_40","Ci torneremo!","Posticino molto carino per mangiare qualcosa di sfizioso. Da provare la schiacciata con la finocchiona e i coccoli al cioccolato! Mi è piaciuto molto lo spirito dei ragazzi che ci hanno servite e la loro gentilezza.Unica pecca: la schiacciata era un po' dura per i miei gusti."
"ui_bubble_rating bubble_40","Panini & Sgabelli","Il locale si affaccia su un vicoletto dove qualche sgabello ti permette di mangiare in santa pace il primo dei 15 tipi di schiacciata e panini del menù.Ho detto primo, dato che difficilmente si resiste e se ne prende almeno un altro o si passa ai Coccoli ( pastelle fritte vuote o ripiene, dolci o salate).Purtroppo il lampredotto (ripieno per panino a base di quarto stomaco bovino bollito nel brodo e insaporito con salsa) era insipido e mal condito, preparato frettolosamente per loro stessa ammissione: un vero peccato!Il personale è gentile ed il costo molto contenuto."
"ui_bubble_rating bubble_50","CHE GODURIA","Street food di qualità e quantità.Panini col lampredotto che grondano condimento e fanno ululare le papille gustative.Schiacciate con grandissima varietà di imbottiture.I coccoli? Da paura!Torniamo ogni volta a Firenze e da' vinattieri rimane una garanzia!"
"ui_bubble_rating bubble_50","Gustosa tipicità","Trovato per caso passeggiando in borgo Croce, attirata da questa finestrella che offre profumi e sapori caratteristici. Assaggiato tutto... Panino col lampredotto, schiacciata farcita e il cartoccio coi coccoli. Tutto confezionato al momento, con abilità e in scioltezza, nonostante la calca in attesa. Prezzi più che onesti per uno street food tipico e di qualità."
"ui_bubble_rating bubble_50","Schiacciata nei vicoli ","Ottimo fast food locale, tra i vicoli dietro al duomo. 4euro a schiacciata.. A scelta in un piccolissimo locale più take away che altro, ma ottimo! Consigliatissimo."
"ui_bubble_rating bubble_50","Delizioso!","Lampredotto davvero gustoso. Prezzi contenuti e non troppa attesa. Per 4€ ho potuto gustare un ottimo street food. Super!!!"
"ui_bubble_rating bubble_50","Il fast food che ci piace! ","Nascosto tra i vicoli di Firenze a pochi passi dalla casa di Dante e dal Duomo abbiamo trovato questo minuscolo fast food all'italiana : da provare! Schiacciata da urlo. Prezzo imbattibile. Veloci e sorridenti. Ci torneremo di certo... "
"ui_bubble_rating bubble_50","Fantastico ","Ci abbiamo messo un po' trovarlo ma ne è valsa la pena; schiacciata fantastica, personale gentile e servizio rapido. 5 stelle meritatissime"
"ui_bubble_rating bubble_50","Indimenticabile","Un panino così vale fare la coda....troppo bbbuono....!!!! Ogni volta che vado a Firenze é la sosta obbligatoria per me ed i miei amici.....mangiato così a montaditos .... ti si scioglie in bocca !!<U+263B>"
"ui_bubble_rating bubble_50","gita di compleanno","siamo arrivati a firenze alle 13 e posate le valige siamo andati a mangiare qualcosa alla svelta mi avevano consigliato questo locale e devo dire ci hanno indovinato in pieno...probabilmente anche in altri posti a Firenze sara buono ma qui ...beh ...un panino con il lampredotto cosi buono non lo avevo mai mangiato. se passate per Firenze ve lo consiglio"
"ui_bubble_rating bubble_50","Piacevole scoperta !","Trovata per caso ..ritornata x scelta ! Questa piccola bottega che offre schiacciate,coccoli e panini con lampredotto e trippa si trova in un piccolo vicolo accanto alla casa di Dante . Incuriosita dalla fila significativa ho deciso insieme al mio compagno di fermarmi anch io per mangiare qualcosa di veloce e..WOW!!le materie prime sono fresche ,i prezzi onesti e il personale eccellente !!lo consiglio a tutti coloro che vogliono fare una pausa al volo senza rinunciare al gusto! Personalmente tornerò di sicuro !!"
"ui_bubble_rating bubble_50","L'esperienza del lampredotto","Minuscola bottega a pochi passi dalla casa di Dante, dove si entra uno alla volta per schiacciate e panini, mentre il lampredotto viene preparato e servito da una finestra a lato. E' un'esperienza visivo sensoriale unica assistere alla preparazione del panino, con tanto di spiegazioni tecniche da parte di un gentilissimo ragazzo addetto alla cottura dello stomaco del bovino, il cui gusto si esalta se abbinato a un bicchierozzo di toscano rosso.A poche centinaia di metri c'era la ressa per assaporare panini meno buoni, qui ci siamo addirittura seduti.Una vera eccellenza nel suo genere!"
"ui_bubble_rating bubble_40","Coccoli, Lampredotto e schiacciate doc","Ottimo posto per pranzare da asporto quando non si ha il tempo di stare comodamente seduti......o perché no per fare un aperitivo con degli ottimi coccoli è un bel bicchiere di Chianti ...... tappa fissa per me a Firenze "
"ui_bubble_rating bubble_40","un must a firenze","un gottin di vino e un panino di quelli sinceri e gustosi va provato se sei per Firenze. Molto buono"
"ui_bubble_rating bubble_40","Schiacciata eccellente ","Consigliati da un caro amico abbiamo provato la loro schiacciata. Risultato magnifico. Prodotto ottimo per soli 4€ senza attendere tantissimo. Da rifare. Bravi !!!"
"ui_bubble_rating bubble_40","Ottimi panini toscani","Ideali per un pranzo veloce ed economico con panini imbottiti con ingredienti tipici della gastronomia toscana (si trova anche il lampredotto). Buone soluzioni anche per i vegetariani."
"ui_bubble_rating bubble_40","Buono Buono Buono","Era la prima volta che assaggiavo il famoso panino col lampredotto e devo dire che è stata davvero un’ottima esperienza! Carne tenerissima, pane fragrante pucciato nel sugo del “bollito” e una salsa col prezzemolo che accompagna tutto al meglio! Provatelo perchè merita! "
"ui_bubble_rating bubble_50","Schiacciata top","Perfetto per un pranzo veloce, tutte le schiacciate a 4€ e vino della casa 2€.. da provare per forza!"
"ui_bubble_rating bubble_50","Lampredotto","Che dire, un locale decisamente caratteristico e particolare soprattutto per le sue ridottissime dimensioni. Personale molto gentile dallo spiccato accento toscano, ho chiesto una specialità locale, il panino con il lampredotto e al prezzo di 4 euro ho decisamente deliziato il palato. Bravi, un locale estremamente semplice ma in stile decisamente verace."
"ui_bubble_rating bubble_40","Vale la pena provare..!!!!!","Schiacciate buonissime,farcite con ogni ben di Dio possibile,affettati, verdure grigliate, formaggi....ce n'è per tutti i gusti.Molto buona la schiacciata mortadella,cipolla rossa e pecorino e anche la più delicata tacchino,zucchine e aceto balsamico.Da assaggiare i coccoli salati al tartufo(all' interno).Per i più golosi anche panino al lampredotto o trippa.Prezzi onesti e cibo buono.Provate!!"
"ui_bubble_rating bubble_50","Se ti trovo","uno sportello in un vicolo, un campanello per chiamare, ma non c'è n'è bisogno, c'è sempre la fila, sono in tanti, da tutto il mondo, bravia scovarlo. E per medaglia, un panino con il lampredotto, servito in una bustina così che non ti sbrodoli tutto. Trovatelo"
"ui_bubble_rating bubble_50","Da provare assolutamente!","Le schiacciate sono veramente buone Ad un prezzo onesto..È un Po nascosto ma vale assolutamente la pena cercarlo.."
"ui_bubble_rating bubble_40","Pranzo in città ","Ci siamo fermati per pranzo in questo piccolo locale. Abbiamo scelto due schiacciate Fra quelle presenti nel menù ed erano molto buone al costo di 4€ l’una. Ci siamo ripromessi di tornare per provare il tipico panino con lampredotto che viene servito da una finestrella laterale e che ci dicono essere speciale."
"ui_bubble_rating bubble_40","Curiosità ","Il posto purtroppo non offre posti sufficienti perché l ambiente è molto piccolo però i loro prodotti dal lampredottoAi coccoli e salum,i le loro zuppe di giornata sono ottime, il vino della casa è speciale,il vero vino fatto con l uva, da provare. ..i giovanissimi ragazzi che lo gestiscono e i loro collaboratori sono affabili con tutti. Professionali, e veri simpatici fiorentini Doc. Sempre con il sorriso e la voglia di soddisfare tutti al meglio..."
"ui_bubble_rating bubble_50","Da provare","Alla ricerca di un posto dove poter provare il lampredotto siamo fortunosamente capitati nel vicolo che ospita questo mini locale.Il personale, simpaticissimo e gentilissimo deve muoversi in spazi ristretti ma così come il cibo che preparano lo fa molto molto bene.Per la sosta … una dozzina di sedie nel vicolo"
"ui_bubble_rating bubble_50","Panini deliziosi!!","Trovato e scelto cercando un paninaro da internet..un posto dove mangiare qualcosa velocemente. Panini deliziosi con ingredienti freschi e genuini. Personale simpatico e gentile. Ti puoi anche sedere fuori sopra delle sedioline poste lungo la stradina,molto caratteristico.Consigliatissimo!!!!!"
"ui_bubble_rating bubble_50","Da provare assolutamente ","Spettacolo! Il lampredotto più buono di Firenze! Da provare anche la ribollita! Tutte le volte che vengo a Firenze è una tappa fissa!"
"ui_bubble_rating bubble_50","Eccellente e super
Economico","Schiacciate (mille tipi) a 4€; Lampredotto 4.50€! I panini più buoni che abbia mai mangiato in votava mia. Se torno a Firenze, tappa obbligata"
