"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Che fiorentina!","Se cercate un ristorante dove assaggiare la fiorentina, questo è il posto giusto! Il proprietario gentile ci ha mostrato la carne prima di cucinarla e poi ci ha portato la nostra fiorentina da 1,6 kg già tagliata, che abbiamo diviso. La carne era deliziosa, morbida, succosa, ben grigliata, una vera meraviglia. Abbiamo poi preso due insalate come contorno e due dolci, tutto molto buono. La fiorentina costa circa 45 euro al kg, l'intera cena, con un calice di vino, una bottiglia di acqua e caffè, ci è costata 100 euro, un conto più che onesto. Il locale è sempre affollato di gente del posto, quindi vi consiglio di prenotare! Non abbiamo provato gli altri piatti toscani del menù, ma sembravano davvero invitanti. Consigliatissimo!"
"ui_bubble_rating bubble_50","Autentica ed onesta trattoria fiorentina","Abbiamo cenato in famiglia e tutti abbiamo apprezzato la cena. Il locale e' semplice ed autentico, arredato nel tipico stile delle trattorie di una volta. I gestori ed i camerieri sono molto cordiali ed alla mano sebbene ci si trovi nel centro turistico di Firenze. Abbiamo provato ribollita, pappa al pomodoro, bruschette (buonissima quella con fagioli tiepidi e cipolle!) e tutto era fresco e cotto bene. Vino in fiasco (buon rosso di Montalcino) che si puo' pagare a consumo come si usava una volta. Anche questo gesto dimostra autenticita' e rispetto per i clienti e per il cibo (niente sprechi!). Come locale segnalato da SlowFood si va sul sicuro. Iper-raccomandabile!"
"ui_bubble_rating bubble_40","Trovati bene","Chi ribollita, chi pappa al pomodoro e poi tutti fiorentina. 1 fiascetto di vino di Bolgheri, 2 caffè. In totale per 5 persone circa 130 euro. Fiorentina con buon filetto e primi saporiti: gradito il tutto. Locale rustico. Necessaria la prenotazione. "
"ui_bubble_rating bubble_50","Ribollita e pappa al pomodoro super!!!","Ambiente piccolo ma accogliente e caldo. Cucina tipica toscana di qualità. Noi abbiamo provato su suggerimento del padrone ribollita e pappa con il pomodoro. Siamo passati poi alla bistecca davvero buona. Rapporto qualità prezzo nella norma. Pecca: non accetta carta di credito"
"ui_bubble_rating bubble_40","Una buona cucina Toscana vicino al centro","Cena a base di ribollita e pappa al pomodoro: più che buone. Spazi piccoli, servizio veloce e prezzi modici. Il Chianti è buono. Per una cena con due primi un secondo e dolce abbiamo speso 20€ a persona. Consigliato se si vuole stare vicini al centro."
"ui_bubble_rating bubble_50","Un luogo raro","Torno periodicamente in questo ristorante di grande pregio e amato dai fiorentini nonostante non sia certo privo di turisti. Notevolissimo livello culinario e schietta gentilezza. Carta genuinamente toscana e varia, con giorni dedicati a piatti specifici. "
"ui_bubble_rating bubble_50","Il vero toscano..."," Io e la mia ragazza siamo stati qui prima di Natale..Una vera sorpresa piatti tipici cucinati con il cuore, il bollito e la ribollita sono ottimi, ho anche provato un filetto davvero gustoso..il vino della casa in fiaschi è bevibile, per chi vuole hanno anche una selezione di vini in bottiglia ... prezzi più che onesti e le porzioni abbondanti... che dire ci siamo tornati 2 volte ma non dimenticate di prenotare. Un ringraziamento speciale al maccellaio Anzuini che mi ha consigliato questo ristorante."
"ui_bubble_rating bubble_40","BUONA LA PRIMA","Incuriosito dalle buone recensioni ho portato i miei ospiti in questo ristorante e direi che il rapporto qualità prezzo è stato più che soddisfacente. Abbiamo inziato con validissimi antipasti toscani e proseguito con pappe al pomodoro e ribollite tipiche della cucina toscana. "
"ui_bubble_rating bubble_40","Ribollita da 10 e lode","Ancora una volta il Ristorante del Fagioli non ci ha deluso, anche se questa volta non abbiamo mangiato carne, ottimi i crostini di fegatini e la bruschetta di pomodori crudi, ma il piatto forte è stata una ottima ribollita di cavolo nero, a seguire cantucci e vin santo.Spesa adeguata"
"ui_bubble_rating bubble_50","Un piacere","Atmosfera casalinga, servizio preciso e cordiali, piatti ottimi, prezzo interessante. Non si volere di più dalla vita."
"ui_bubble_rating bubble_40","Ottimo!","Pranzo di lavoro, scelto su trip insieme ad altri tre ma alla fine mi ha ispirato di più. Ambiente informale, personale attento e veloce, fatevi consigliare sui piatti del periodo perché il menù è abbastanza ampio di piatti tipici della tradizione toscana. Due antipasti misti, una pappa col pomodoro, un baccalà in rosso, vino della casa, acqua, 2 caffè e cantucci con il vinsanto 60€. Il tutto molto buono e cucinato perfettamente Più che onesto per essere a due passi da piazza dei Signoria e dalla basilica di Santa Croce "
"ui_bubble_rating bubble_40","Fiorentina in locale tipico","Cena con la famiglia a base fiorentina da 2 kg. Carne ottima e cotta a puntino. Vino della casa passabile venduto a fiaschi. Ambiente piccolo e rustico, pochissimi stranieri. Obbligo prenotare prezzo giusto. Unica pecca il pagamento in contanti. Sicuramente da considerare."
"ui_bubble_rating bubble_50","SEMPRE IL TOP","Ogni volta una gradita conferma tornare da Antonio nel suo locale. La massima qualità ed attenzione negli ingredienti, grande attenzione per i clienti, pulizia al top, sono solo alcuni dei punti forti di questo locale. Il top di gamma ovviamente è la bistecca fiorentina ma anche i primi, antipasti e perfino i dolci sono davvero gustosi. Prezzi in linea con la media. Si consiglia di prenotare.Tappa fissa nelle mie trasferte a Firenze.OTTIMO."
"ui_bubble_rating bubble_50","Sempre al top","Locale accogliente, rapporto qualità prezzo ottimo, riesce sempre a emozionarti. Complimenti e... un grazie ai gestori "
"ui_bubble_rating bubble_50","Che cena !!!","Sarà che mi trovavo con amici , sarà il caldo del locale in una serata umida e fredda, sarà... ma è stata una delle migliori cene .Locale centralissimo a due passi da Santa Croce, due spazi con non tanti coperti, cucina a vista all'entrata . I gestori sono veramente simpatici e danno subito l'idea di una fiorentinità genuina e non artefatta tanto che pur in zona turistica e frequentatissimo da fiorentini . Arredo semplice e retrò , menù su una pagina con proposte di piatti ultralocali e di tradizione . Nella serata ho potuto assaggiare tre tipologie di zuppe ribollita, pappa al pomodoro e ortolana ( strepitose ) e poi bollito con salse , arista e spezzatino . il tutto con un bolgheri eccezionale. Che dire come premesso forse mi sono fatto influenzare dalla serata , dalla simpatia dei proprietari ma ci tornerò alla prima occasione . Ovviamente per chi cerca una mise en place da tre stelle, posate e arredo di disegn potete andare da altri parti. qui si mangia e bene"
"ui_bubble_rating bubble_50","COME SEMPRE PIU' DI SEMPRE","Trattoria storica fiorentina senza fronzoli ma tutta sostanza. Purtroppo ora se non si prenota non troviamo posto, ma quando eravamo studenti...... Da consigliare a tutti gli amanti della classica cucina toscana e qui troveranno pane e ciccia per i loro denti"
"ui_bubble_rating bubble_50","Tappa obbligata","Accanto a Santa Croce una delle ultime vere trattorie toscane: tavola semplice e servizio schietto, rapido e cortese, ma non aspettatevi stellati Michelin; il cibo è super, pappa al pomodoro, bruschette, trippa ed immancabile chianina tutto come un tempo, per me a Firenze questo locale resta una tappa obbligata. Conto corretto, locale che non tradisce. Ricordatevi di prenotare, oltre agli avventori occasionali, tanti locali si fermano qui e questo è davvero un buon segnale!"
"ui_bubble_rating bubble_40","Trsttoria tipica.. Con pregi e difetti ","Locale curato (i bagni un po' meno) carino accogliente, sempre pieno, un po' rumoroso. Menù con tutte le specialità della cucina Toscana alcune disponibili solo in certi giorni.Ottimi i primi (ribollita, pici all'aglione e tortelli pere e pecorino) ottimo lo spezzatino e la Trippa, golosa la braciola rifatta decisamente rivedibili le polpette della nonna.Servizio da trattoria con qualche momento di pausa ma gentile. Conto onesto"
"ui_bubble_rating bubble_40","Buono","A mia moglie é piaciuto tantissimo, a me così così, ma credo per colpa mia, in quanto c'è un menù parecchio particolare, zeppo di cose che non piacciono a tutti. Bell'atmosfera però, tipico e curato.No carte di credito."
"ui_bubble_rating bubble_40","Schietta e sincera","Se siete alla ricerca di una trattoria tipica, senza particolari fronzoli, questo è il posto giusto. Vi si trovano i piatti della tradizione fiorentina, dall'arista alla trippa. Consigliata la prenotazione, come in tutti i ristoranti della città"
"ui_bubble_rating bubble_40","Da provare, ottima cucina tipica!","Ho avuto il piacere di pranzare in questo ristorante durante il mio soggiorno a Firenze, abbiamo ordinato 2 bruschette con pomodorini e un antipasto misto toscano, quest'ultimo un pó povero ma molto buono. Come primo abbiamo ordinato i pici con ragu di ciccia,davvero squisiti, da provare assolutamente, il tutto accompagnato da un buon vino della casa!Per concludere degli ottimi cantucci con vin santo!Sicuramente una tappa quasi obbligata se si soggiorna a firenze, ma non dimenticatevi di prenotare. "
"ui_bubble_rating bubble_50","Che Fiorentina!!! <U+0001F60B>","Cena di lavoro ripetuta dopo alcuni anni in questo storico ambiente fiorentino... non rimarrete mai delusi dalle prelibatezze e dalla varietà dei piatti proposti in questo locale. Su tutti la Bistecca, da non smettere di mangiarla per quanto si scioglie in bocca ed il suo gusto esalta tutte le papille gustative!Bagnato il tutto da più d’un fiaschetto di vino della casa e da un bicchiere di Vin Santo. La piacevole atmosfera e cordialità dei commensali rendono la serata azzeccata, da ritornarci sempre più spesso! "
"ui_bubble_rating bubble_50","La vera tradizione fiorentina","Dico solo questo: ribollita e trippa fiorentina. Piatti della tradizione che ci hanno lasciati estasiati! Personale cordiale e atmosfera da autentica osteria toscana. Qui rimarrai davvero felice!"
"ui_bubble_rating bubble_40","Ottima cena di lavoro!","Siamo stati a cena in questo locale, che definirei amorevolmente fiaschetteria, per una cena di lavoro e siamo stati veramente bene.Ambiente accogliente e informale, cortesia e professionalità sapientemente dosate e piatti davvero gustosi e ben preparati.E poi... la Fiorentina! Preparata davvero in maniera eccellente da farti venire la voglia di prenderne ancora un pezzetto.Cesellando il tutto con Cantucci e Vin Santo si completa la cena in maniera egregia.I prezzi sono coerenti con quanto offerto.Consigliato vivamente!"
"ui_bubble_rating bubble_40","Buona trattoria!","Buona trattoria a due passi da Santa Croce, ambiente tipico ed accogliente, cucina tradizionale gustosa, servizio cordiale, conto onesto!"
"ui_bubble_rating bubble_40","Qualità, cortesia rapidità ","Da sola a Firenze, esco dal mio albergo per un rapido pranzo, entro in questo ristorantino dall'aspetto schietto e poco pretenzioso. Scelta indovinatissima! Lingua bollita con olio da 10 e lode, fagioli cannellini all'olio buoni, ananas maturo al punto giusto. Camerieri cortesissimi e veloci, conto contenuto. Bravi, peccato che siano chiusi il sabato e la domenica."
"ui_bubble_rating bubble_20","Bistecca TROPPO cruda","Premetto che sono di firenze, e che so che la bistecca deve essere al sangue, ma fino ad un certo punto.Vengo in questo ristorante da quando ero piccola, e sono sempre rimasta molto soddisfatta. Però ieri quella bistecca era: dura, gommosa e quasi del tutto cruda. Difatti io ed il mio ragazzo siamo stati male tutta la notte per non dire altro...Gli altri piatti erano molto buoni. Vi consiglii di venire qui, ma non mangiate la bistecca!!!"
"ui_bubble_rating bubble_50","La Tipica Trattoria Fiorentina","Una tipica trattoria fiorentina piccola con pochi tavoli, ma con con pietanze e servizio eccellenti, un ristorante da includere nell'agendano carte credito, vale la pena di ritornarci,"
"ui_bubble_rating bubble_40","Viva la tradizione viva","Ho pranzato qui da solo, al termine di una trasferta di lavoro.Ed è bello scoprire che in una straordinaria città, bellissima, ma assediata dai turisti, ci sono ancora ristorarori che tengono alta la bandiera della tradizione e della genuinità. Basta guardare l'ambiente (per favore smettiamola di chiamarla location!) e leggere il menù per capire che qui si mangiano bocconi di tradizione.Io ho gustato pici al pomodoro, poi lingua bollita ecc..., col solo rimpianto di non poter assaggiare altro (fiorentina in primis).Il tutto a prezzi onesti e con tanta cortesia (un piacere ascoltare dei ristoratori che sanno illustrare in buon inglese ai turisti i piatti tipici toscani).Molto bene, bravi davvero!"
"ui_bubble_rating bubble_50","Cena di compleanno in famiglia ","Prima volta per noi al Del Fagioli ! Che dire .... tutto eccellente locale informale ma curatissimo nei dettagli, primi e contorni ottimi,la miglior Fiorentina che abbiamo mangiato a Firenze in tanti anni, vini e dolci eccellenti ! Personale competente, simpatico e discreto !!! Siete fantastici ! Noi ci torneremo sicuramente ! Consigliatissimo ! "
"ui_bubble_rating bubble_50","Meravigliosa fiorentina","Viaggio a Firenze un ristorante in zona centrale ambiente informale piatti tipici toscani Ottimo il vino gli antipasti ma soprattutto la Fiorentina. Se passate per Firenze me lo consiglio"
"ui_bubble_rating bubble_40","Una Fiorentina come si deve!","Se in un locale del genere trovi avventori che non siano solo turisti ma anche cittadini locali, potete stare sicuri che la Fiorentina la sanno fare come si deve.Un assaggio di antipasti, una bella Fiorentina con contorni, un fiasco di vino ed uscite felici. Consigliato."
"ui_bubble_rating bubble_50","Cucina buona","Lo consiglio senza alcun dubbio. Ci sono andata con amici di scuola a pranzo...cucina molto buona...assaggiate le polpette che sono buonissime!!! Chiedere di Antonio uno dei due fratelli titolari, una gran brava persona, lui vi saprá consigliare al meglio su tutto!! Elisabetta G."
"ui_bubble_rating bubble_30","Nelle attese","Locale centrale decisamente accattivante negli arredi molto spartani, tradizionali italiani da Trattoria alla buonadella cucina italiana.Servizio eccellente, camerieri molto cortesi ed educati.Fiorentina eccellente molto ben cotta di taglio importante, fagioli all'uccelletto insipido, come del resto i fagiolini. Calice di vino pieno di posa...imbevibile...Locale frequentato sopratutto da turisti (il nostro era l'unico tavolo italiano) molto piccolo ed angusto...con un caldo insopoortabile malgrado i condizionatori..non consigliato ai claustrofobici...cmq nel complesso giudizio positivo, da ritornare per gustare i primi e le famose polpette"
"ui_bubble_rating bubble_50","Tutto perfetto","In vacanza per un weekend a Firenze. Ci hanno consigliato questo posto. Si nota subito che non è turistico anche se in posizione centrale. Ottimo tutto dal vino all'antipasto e soprattutto sulla fiorentina...se passate per Firenze è un obbligo cenare qui. Gradita la prenotazione "
"ui_bubble_rating bubble_50","Ottima cucina ","Degli amici fiorentini ci hanno portato a mangiare in questo locale . Personalmente ho preso un bistecca e devo dire che il taglio di chianina era veramente perfetto . Cotta bene e davvero ottima . Buone anche le polpette che ho assaggiato . Il locale è un pochino piccolo e soprattutto caldo . Dovrebbero mettere un buon sistema di aria condizionata . Ma comunque tutto molto buono ."
"ui_bubble_rating bubble_50","Pitti","Una garanzia a Firenze, Fiorentina e polpette fantastiche,titolari e personale didponibilissimi,tutte le volte che sono a Firenze ci vado "
"ui_bubble_rating bubble_40","Buona trattoria nel cuore di Firenze, da anni punto fermo della schietta ristorazione.","Cena di venerdì 1 giugno con moglie e figlia. Siamo riusciti ad accapparrarci un tavolo per le 19,30 (I° turno), dopo 23 anni che non ritornavo in questo locale. Cordiale l'accoglienza, ambiente informale e piacevole, ristorante molto frequentato soprattutto da stranieri che fanno la ...fila per poter pranzare in questa nota struttura a 150 metri dagli Uffizi. Buoni i piatti servitici, piacevolmente innaffiati dal vino della casa. Prezzo corretto. Anacronistico il fatto che non accettino (nel 2018), alcuna carta di credito e/o Bancomat, ma si paga solo in contanti ! Comunque questa discrepanza non va ad inficiare il giudizio positivo su questo ristorante."
"ui_bubble_rating bubble_40","Che fiorentina!","Sono tornata in questo locale dopo 20 anni,nonostante a Firenze ci vada spesso,vuoi perche' son chiusi sabato e domenica,vuoi perche' non c'era piu' posto al momento di prenotare,devo dire che la fiorentina qui ,continua ad essere imbattibile.Tipica trattoria toscana,con molta scelta di pietanze,siamo andati sul classico,una bella fiorentina da 1 chilo e 4 che abbiamo condiviso in due,squisita e perfetta nella sua tipica e non facile cottura,2 contorni,un buon rosso di montepulciano,1 bottiglia d'acqua,2 caffe' sui 98 euro.Ottimo."
"ui_bubble_rating bubble_40","Un buon ristorante tipico","Ristorante molto gradevole grazie alla simpatia del personale e al gusto degli arredi (amo le loro belle stampe appese alle pareti). Nel menu trovate molte specialità toscane. Io ho assaggiato crostini con il lardo, ravioli e coniglio. Tutto molto buono e a un prezzo ragionevolissimo."
