"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Peccato","Sono stato in questo posto e sinceramente non capisco il perché si permettano di fare altro che degli shot. Evitabile"
"ui_bubble_rating bubble_10","MAI PIU","SENZA PAROLE. Non rispettano le allergie... Prendo un burrito con chili e carne e mi arriva con i pomodori!!! Ho chiesto gentilmente se si potesse rifare perchè non potevo mangiarlo e mi é stato detto che avrei dovuto dirlo prima visto che nel menù c'era scritto . NON è VERO! Se nel menù un ingrediente non c'è, non lo si mette ! (O almeno lo si fa presente!!!) In ogni caso, la signora bionda me lo aggiusta e Alla fine mi ritorna il burrito senza pomodoro ma inizia a pizzicarmi la gola... Lo apro e vedo che ci sono i semi del pomodoro. Invece di rifarlo, mi sono stati solamente tolti i pomodori. Se una persona è ALLERGICA O INTOLLERANTE, da un locale serio ci si aspetta che questo particolare importante venga considerato!! Gli errori si pagano e se fosse stato un locale professionale, mi sarebbe arrivato un nuovo burrito!!! "
"ui_bubble_rating bubble_20","Delusione ","Forse sarò stato sfortunato però ho bevuto il peggior Margarita di sempre e un discreto mojto. Come cucina messicana nulla di eccezionale. Mi viene da «coloro che visser sanza 'nfamia e sanza lodo»"
"ui_bubble_rating bubble_50","Opera d’arte","Lui è un genio, gli shottini sono delle opere d’arte. Passateci: prima o dopo cena poco importa. Passateci."
"ui_bubble_rating bubble_50","Figo.","Locale bello, accogliente.Il “maestro” ha il suo stile ed è bravissimo. Qualità-prezzo appropriato. Andateci, divertitevi. Ne vale la pena"
"ui_bubble_rating bubble_10","Chiusura anticipata di un ora.","Ottimo locale..Non ha mai deluso.ma oggi,sabato alle 02:00 erano già chiusi quando gli orari sono indicati sul sito: tutti i giorni la chiusura è alle 03:00. Dovesse ricapitare perderanno due fedeli clienti. P.s tutti i weekend eravamo lì."
"ui_bubble_rating bubble_50","Stupendo!","Locale particolare in centro a Firenze dove si può gustare tanti cocktail preparati al momento da Ebi.Cura del dettaglio è la caratteristica di Eby; prepara con vero amore ogni shottino. Abbiamo preso il Mexicano, dolce .. veramente buono.. le ragazze dietro il balcone veramente cordiali e simpatiche.Se siete a Firenze, ci dovete andare..."
"ui_bubble_rating bubble_40","Posto stupendo ","I cocktail sono fantastici e negli anni non sono peggiorati di una virgola, anzi! Inoltre è ottimo sia l’aperitivo che la cucina in generale. Inoltre non si può non provare i fantastici shottini proposti da Eby!Assolutamente consigliato, se passate da Firenze non potete non passarci"
"ui_bubble_rating bubble_50","Un drink davvero unico","Sono andato con amici dal sig. Eby e ci siamo fatti fare un drink non potete capire la scenografia e il rito di questa cosa unica al mondo consiglio vivamente di provare ."
