"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Enoteca speciale!! Consigliatissimo!!","Siamo state in questa enoteca perché ci è stata suggerita da gente del posto: posizione centralissima a metà strada tra Piazza della Signoria ed il Duomo, in via delle Oche.C’è una cantina pazzesca, vini esposti magistralmente provenienti da tutta Italia, divisi per regione per tutti i gusti e per tutte le tasche, splendida! Attratte dalla cantina abbiamo deciso di fermarci a bere un bicchiere di buon vino nella piccola enoteca: ottimo vermentino sorseggiato accompagnato da crostini veramente gustosi! Assolutamente da consigliare come tappa obbligatoria!"
"ui_bubble_rating bubble_50","Una serata speciale","La nostra banca ha organizzato una serata speciale per i suoi clienti in un locale particolarissimo. Una enoteca con centinaia di etichette e una apericena a base di prodotti locali. Accoglienza e servizio ottimo. Degustazione di affettati, formaggi, giardiniera e crostini accompagnati da tre diverse etichette di vino toscano. Fantastico. Ci tornerò"
"ui_bubble_rating bubble_50","Un museo del vino !","Siamo stati all'enoteca Alessi sabato 29 settembre alle 18.30 per Scegliere un Gin e una bottiglia di vino . Ci ha accolti la Direttrice del negozio , signora Antonella ,come sempre allegra e Sorridente. Ci ha invitati a visitare il tempio sacro del vino: la famosa cantina Alessi . Vini italiani e francesi, dai 24 ai 200 euro e oltre . Cantine famose e meno , vignaioli vip e capaci agricoltori . Un museo ! Siamo stati consigliati benissimo sul vinoDa regalare E la cosa bella e' che per una manciata di euro abbiamo fatto una degustazione coi fiocchi di 3 vini scelti dai sommeliers Alessi e dalla frizzante Antonella , il tutto accompagnato da taglieri di crostini e salumi , tartufo , olio bono .. siamo rimasti piacevolmente stupiti anche perché al momento di scegliere il Gin ci hanno invitato a fare una degustazione anche di quelli . Degustazione guidata dalla sapiente Antonella che ci ha convinti ad osare anche su Gin diversi dal solito H dalla bottiglia nera . Noi sicuramente ci torneremo anche con gli amici perché ' finalmente storia e professionalità si uniscono piacevolmente senza Boria e senza attenzione Solo X i turisti . Grazie ."
"ui_bubble_rating bubble_50","perfetto per aperitivo e light lucnh","bellissimo posto nascosto . ambiante da cavista con una carta vini incredibile e buonissimi taglieri per un aperitivo o un pranzo leggero. servizio molto buono"
"ui_bubble_rating bubble_50","Vini italiani al top, cibi fiorentini tipici per gustare il meglio","L'istinto ci ha accompagnati a questa fortunata scoperta dove si può assaggiare un percorso di degustazione di ottimi calici di cantine famose, ma anche sedersi con calma e optare per il tagliere Alessi di formaggi e salumi, sempre accompagnati da un Vermentino o da un Brunello, ma poi anche le insalate di pecorino e frutta e poi magari finire con una torta di cioccolato.Poi si trova un ricco mercato di 2000 etichette e cibi da portare a a casa."
"ui_bubble_rating bubble_40","L’entrata inganna!","Scoperta grazie ad un amico. L’entrata inganna, è solo addentrandosi che si capisce in quale paradiso del vino si è capitati. "
"ui_bubble_rating bubble_50","Favoloso ","Il primo locale che abbiamo visitato e il locale che meglio ci ha accolto. Tutto perfetto... Servizio cibo e vino... Se ci fossero 10 stelle ne darei 11!!!Se tornerò a Firenze tappa fissa! "
"ui_bubble_rating bubble_50","Un angolo di paradiso. . . ","Una fantastica enoteca con cantina per tutti i gusti e tutte le tasche. Personale preparato, gentile e professionale. Consigliatissima! "
"ui_bubble_rating bubble_40","Per gli amanti del vino e non solo.","Posto molto carino, dove si trova ogni tipo di vino e liquore. Tranquillo e rilassato, le portate sono tipiche fiorentine. Personale molto professionale. Consigliato."
