"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","QUALITÀ","Prima di tutto, chiamate con largo anticipo visto il locale con pochi posti a sedere e tantissima richiesta!! Le recensioni positive non sono una casualità, probabilmente la miglior pizza verace di Firenze!! Le pizze vengono fatte una per una e con tanta attenzione. Abbiamo assaggiato tutte pizze speciali, che sono veramente speciali, delle piccole opere d'arte. Abbiamo mangiato una pizza e mezza da quanto era buona, cotta alla perfezione e leggera. I prezzi per quelle speciali vanno dai 11€ ai 15€. A fine cena abbiamo avuto una piacevole chiacchierata con il pizzaiolo (che è anche socio se non sbaglio), il quale ci ha spiegato tutto quello che fa: ingredienti che usa, le farine, i tempi delle lievitazioni, il forno, i tempi di cottura ecc. Ho trovato una persona preparata e con tantissima passione per il lavoro che fa. COMPLIMENTI "
"ui_bubble_rating bubble_40","Pizza verace buonissima, ad eccezione della sete ","Avevamo prenotato con 15 giorni di anticipo visto che abbiamo cenato durante il periodo festivo.Pizza verace veramente buonissima, impasto uno dei migliori mai provati (ho canoni di giudizio abbastanza alti su questo tipo di pizza, diciamo che sono abituato bene), ingredienti molto buoni ma non top.Panettone fatto da loro buono ma secondo me con troppo aroma di agrumi.Il personale gentile e ha dimostrato veramente amore nel proprio lavoro, con una descrizione dettagliata e accurata delle diverse tipologie di pizze, dei loro ingredienti e della loro preparazione.Locale molto molto piccolo ma molto accogliente.L’esperienza però non era iniziata nei migliori dei modi, visto che la persona che aveva preso la prenotazione era assente e ci aveva dato un orario diverso dagli orari abitualmente assegnati dalla pizzeria, e quindi siamo stati invitati ad uscire visto che a loro non risultava la prenotazione, dopo un po’ di insistenza, mostrandogli il numero di telefono, e trovando finalmente sull’agenda il mio nome, si sono convinti della correttezza della prenotazione e dopo qualche minuto di attesa ci hanno fatto accomodare, con annesse scuse per il disagio, ripetute più volte.Al momento del conto però mi sarei aspettato un minimo di sconto o comunque un amaro offerto per scusarsi del disagio e invece niente, sono rimasto un po’ deluso sinceramente per questa cosa.Sicuramente nel complesso consiglio questa pizzeria."
"ui_bubble_rating bubble_50","Pizza verace squisita ","Una pizza veloce ma con gusto. Quattro pizze con impasto verace tutte squisite e molto leggere. Da tornare con calma per provare l'altro impasto. Necessario prenotare "
"ui_bubble_rating bubble_50","Pizza sublime! Assolutamente da provare","L’impasto rispetta tutti i canoni della vera verace napoletana. Per quanto mi riguarda, ritengo che questa sia la migliore pizzeria di Firenze. Le pizze sono servite con condimenti abbondati, il che è sempre apprezzato!La sala è semplice, piccola e intima, il servizio gentile e veloce! Ritorneremo sicuramente ;) "
"ui_bubble_rating bubble_40","Ottima pizza, locale troppo piccolo","Sono stato con un gruppo di amici in questa pizzeria in stile napoletano dove la pizza é stata davvero ottima. La possibilità di scelta è molto vasta, sia per gli impasti che condimenti, anche se il menu è un po' confusionario. Molto cordiale il cameriere che ci ha spiegato le varie opzioni. Aldilà della bontà della pizza ci sono state due note dolenti che non mi permettono di dare il massimo dei voti: la del locale (non lo consiglio per cene di gruppo) e la lentezza con cui sono state consegnate alcune pizze, aumentando il divario tra chi ha ricevuto la pizza per primo e chi per ultimo. Se ci tornerò, sarà in coppia stavolta! "
"ui_bubble_rating bubble_50","Pizza verace o Pala? Scelta ardua!","Sono stata ieri sera in questa pizzeria in borgo San frediano, nel cuore della movida Fiorentina, per il compleanno di una mia amica. Il locale è piccolo quindi noi che eravamo in 15 abbiamo occupato l’intero locale. Il cameriere molto gentile ci ha spiegato il concept della pizzeria spiegando che fanno due tipologie di pizze: la classica verace napoletana (con possibilità di riempire il cornicione di ricotta) e la pala di forma ovale è più croccante. Io ho preso una verace all’amatriciana e mi e piaciuta tantissimo, l’impasto l’ho digerito benissimo segno che è davvero una pizza di qualità. Ho assaggiato anche il babà alla crema pasticciera davvero ottimo. Consiglio davvero di provarla, ci tornerò sicuramente per provare altri gusti. I prezzi certo non sono economici ma in linea con quelli della zona. Noi abbiamo speso 25€ a testa per pizza dolce caffè birre e amari. "
"ui_bubble_rating bubble_40","Ottima pizza ","Pizze particolari , tanta scelta e per tutti i gusti visti i diversi tipi di impasto verace o sottile ! La pizza in pala è molto buona e croccante , gli ingredienti di prima qualità per questo i prezzi sono leggermente più alti ma vale ! Mi è piaciuta davvero tanto "
"ui_bubble_rating bubble_50","Bene x Firenze , ma potrebbe migliorare ","Allora , metto 5 stelle perché paragonato alle pizzerie di Firenze , è il meglio che si può mangiare insieme ad un’altra pizzeria napoletana che si trova tra Novoli e Piazza San Jacopino.Tuttavia se dovessi paragonarla alle pizzerie che ho provato a Napoli e provincia dovrei dare 3/5. Giudizio impasto pizza 5/5Scelta ingredienti (mozzarella di bufala , salame ) 3/5Sete notturna post pizza (alta) Digeribilità più che buona.Insomma, consigliatissima , considerati gli standard fiorentini ... "
"ui_bubble_rating bubble_50","Le altre non potranno più chiamarsi pizza","La miglior pizza che potete degustare perché di questo si tratta, non mangiare ma proprio gustare!!!! Locale piccolo ma accogliente, personale molto gentile. Ma la pizza, la pizza, vera Guest star"
