"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Super!!!","Cucina dagli ingredienti davvero di qualità, freschi e tipici dell zona, piatti sfiziosi e ben presentati, personale cordiale e molto professionale! Abbiamo pranzato in questo ristorante in occasione della festa dell'Immacolata e ne siamo rimasti piacevolmente colpiti! Il menù è vario, capace di soddisfare molti palati senza far piangere il portafogli. Qualità/quantità/prezzo del tutto soddisfacenti!"
"ui_bubble_rating bubble_50","Consigliato per la pizza nel centro di Firenze.","Buonasera,Ho cenato presso il Vs locale a Firenze, che mi è stato consigliato da colleghi e nel quale un po' di tempo fa ho preso una margherita d'asporto che mi è piaciuta, quindi sono tornato e ho ripreso di nuovo la pizza che ho trovato molto buona e cotta al punto giusto...sono rimasto contento e sono certo di ritornarci."
"ui_bubble_rating bubble_50","Un’Arte!","Siamo andando a cena con degli amici, abbiamo preso le bruschette con il lampredotto: uno dei più buoni che abbia mai mangiato, e una Fiorentina a testa da 1,2 kg: la fine del mondo, carne di primissima qualità cotta da uno chef che rende la cottura della Bistecca un’arte, tenerissima a tal punto da sciogliersi in bocca. Me la sono sognata anche la notte! Locale veramente bello e super curatissimo con una cantina di vini da far paura. Il proprietario gentilissimo e disponibilissimo come i camerieri veramente preparati e professionali. Ci torneremo sicuramente, consigliatissimo."
"ui_bubble_rating bubble_50","Ottima cena in locale tranquillo","Il locale è situato nel centralissimo Borgo De’Greci, tra Santa Croce e Piazza della Signoria: nonostante la posizione, all’interno si ha un’atmosfera accogliente e tranquilla che non fa pensare di essere in pieno centro. È disponibile anche una serie di tavoli sul retro del locale, in modo da pranzare all’aperto in una zona meno affollata (si affaccia su Piazza De’Peruzzi). Ampia scelta di portate con il giusto equilibrio tra piatti “turistici” e specialità locali. Ottimi i coccoli con crudo toscano e stracchino, servizio rapido e cameriere molto disponibile."
"ui_bubble_rating bubble_40","Cena tra amici","Siamo venuti a mangiare qui per cena su consiglio di un nostro amico. Il personale è preparato e molto disponibile, così come il proprietario. Menù abbastanza ampio, ottima la carta dei vini. Abbiamo mangiato più che discretamente e bevuto ottimo vino. Il conto era commisurato a quanto mangiato e bevuto, tenendo in considerazione del luogo in cui si trova il ristorante. Consiglio vivamente un aperitivo nella cantina."
"ui_bubble_rating bubble_50","Ogni volta una piacevole conferma","Siamo tornati in questo locale dopo un po' di tempo in occasione di una cena con amici, che dire, ogni volta è una piacevole conferma! Locale con prodotti di altissima qualità, grande professionalità e cucina tipica Toscana ma mai banale, la bistecca e la cantina rimangono sempre i fiori all'occhiello di questo bellissimo locale!"
"ui_bubble_rating bubble_30","A pranzo... andamento lento","Si tratta di uno storico alimentari - come suggerisce il nome - di Borgo de’ Greci, a due (di numero) passi da Santa Croce, con altro ingresso e dehor sulla splendida Piazza de’ Peruzzi. Alimentari “ricondizionato” a ristorante, come da qualche tempo va di moda nei centri storici delle città. Il giudizio è medio, forse un medio+, ma per poco. Il menu è decisamente turistico: Buono il lampredotto in salsa verde, che però qui di regola servono sul “crostone”. Appunto. Non male la carne, cotta al punto giusto. L’unico neo di rilievo è la scarsa velocità del personale, almeno a pranzo."
"ui_bubble_rating bubble_50","Cena perfetta personale squisito","Siamo capitati per caso cercando di andare a vedere santa croce...siamo stati accolti col sorriso ci hanno fatto scegliere il tavolo dove mangiare..ci hanno servito col sorriso aiutati nella scelta del taglio migliore e peso...servito tutto benissimo cotto a puntino e saporito...al dolce ci hanno coccolato con la candelina(fornita da loro all ultimo minuto)e un amaro gentilemrnte offerto...prezzo più che corretto e onesto per quello che abbiamo mangiato e per il servizio...torneremo sicuramente"
"ui_bubble_rating bubble_50","Eccellente","La fiorentina cucinata da intenditori,frollatura perfetta,zero presenza di sangue nel piatto,cottura impareggiabile, posto elegante, personale cortese e competente. Locale molto pulito. Prezzi adeguati alla qualità offerta. Deliziosi anche i cantuccini croccantezza e friabilita' ideale. Siamo stati davvero fortunati a trovare questo locale."
"ui_bubble_rating bubble_50","Buona tavola e prodotti di qualità.","Capitati per caso in serata, mangiato bene, il Peloso ci è sembrato ottimo con un discreto Brunello ad accompagnarlo. Per dessert consiglio il tortino cioccolato e pere e Malvasia offerta dalla casa. Servizio gentile e disponibile, ritorneremo."
"ui_bubble_rating bubble_50","Che bella sorpresa! ","Siamo capitati per caso in questo ristorante ma siamo capitati proprio bene! Abbiamo mangiato all’aperto e devo dire che è stato davvero molto ma molto piacevole! Personale molto gentile e disponibile, cibo davvero buono, l’antipasto misto della casa poi è stato il più buono mangiato a Firenze! Davvero consigliato! "
"ui_bubble_rating bubble_50","Una bellissima sorpresa","Io e il mio compagno abbiamo scoperto questo ristorante passeggiando, ed è stata una piacevole sorpresa. Ottima cucina e una carta dei vini eccellente. Il proprietario gentilissimo, così come il personale. Ottimo rapporto qualità prezzo. Fiorentina da urlo!Ci torneremo sicuramente per provare gli altri piatti del ricco menù. Grazie per averci fatto sentire a casa."
"ui_bubble_rating bubble_50","Ottima fiorentina!","Buona cucina, ambiente simpatico, personale molto gentile.Non economico, ma data la posizione centrale e la qualità, il prezzo è giusto.Consigliato."
"ui_bubble_rating bubble_50","Pranzo","Che dire!!?ottima cucina,buono il servizio,cucina toscana leggera di buon livello,il proprietario carinio affabile sempre attento alle richieste, e per gli amanti del vino un 'ottima cantina e pure bella da visitare ! Antichissima le vestigia romane !!la location nel mezzo tra Palazzo Vecchio e Piazza Santa Croce!!insomma.... consiglio....Anche la pizza è ottima oltre alla bistecca!!"
"ui_bubble_rating bubble_50","Perfetto","Ristorante molto buono e personale molto cortese e veloce. Cibo buonissimo, proprietario gentilissimo e una cantina vini stupenda!! "
"ui_bubble_rating bubble_40","Ottimo e di qualita","Siamo andati a cena il 1 gennaio Già satolli dai pranzo natalizi ma abbiamo gustato degli ottimi piatti di pesce.Un primo di fettuccine al branzino deliziosoUna frittura gustosa e tenera come il burro.Consigliato "
"ui_bubble_rating bubble_50","Fiorentina top!","Ci siamo passati davanti per caso... per curiosità abbiamo letto le recensioni e abbiamo deciso di prenotare per cena!Volevamo mangiare solo la fiorentina abbinata ad un buon vino. Carne super buonissima, tenera, succosa e cotta magnificamente. Come contorno patate al forno e spinaci scottati.Il vino un Chianti Classico San Giusto a Rentennano che si sposava ottimanente con tutto. 2 dessert buonissimi anch'essi, tiramisù e cantucci nel Vin Santo.Prezzo giusto e prodotti di qualità. Bravissimi i camerieri!Francesco consiglieremo il tuo ristorante!Pamela e Roberto dalla Sardegna."
"ui_bubble_rating bubble_30","Piacevole ma...","Ristorante carinissimo e personale più che cortese.Cena tutto sommato andata bene se non per il conto un pochino troppo alto per i prodotti ordinati.Timane il fatto che il locale merita pertanto la valutazione lasciata rispecchia il locale stesso.Buon lavoro"
"ui_bubble_rating bubble_50","Eccellente ","Siamo andati per la prima volta in questo locale. Cibo ottimo e ottima la bistecca alla fiorentina cotta al sangue come da nostra richiesta. Antipasto grandioso.Dolce perfetto e grande scelta di vini. Prezzo in linea per qualità, posizione e quantità.Bellissima cantina che il titolare gentilissimo e competente fa visitare su richiesta. Da ritornarci"
"ui_bubble_rating bubble_50","Ottimo ristorante enoteca","Dopo qualche tempo siamo ritornati per gustare un'ottima bistecca, Santacroce illuminata dall'ultimo raggio di sole.Bella cantina e staff professionale nel servizio. Alla prossima."
"ui_bubble_rating bubble_50","Locale carino e buon mangiare","Il locale nel centro di Firenze molto carino e curato. Personale disponibile e gentile.Ci siamo andati a cena ed abbiamo preso dei buonissimi pici all'aglione e tortelli con sugo di polpo. Tutto buono e presentato molto bene. Il tutto accompagnato da un buon vino. Da provare."
"ui_bubble_rating bubble_50","Ottimo pranzo!!","Abbiamo pranzato in questa Trattoria che ci era stata consigliata. Ottimo scorcio su Santa Croce. I pici all'aglione e il risotto al tartufo erano insuperabili!! Validi e vari anche i secondi, accompagnati da un'incredibile scelta di vini. Ritorneremo"
"ui_bubble_rating bubble_40","Da intenditori","Ottima posizione a due passi da Santa Croce e piazza signoria -Primo di gnocchetti al sugo con macinata e anduja delizioso-bisteccone per due tenero come il burro accompagnato da patate arrosto come le faceva la nonna-cheese cheek con fragole- il tutto accompagnato da rose' e completato da un ottimo Sangiovese In conclusione un ottimo cibo in un ambiente accogliente e friendly e se volete del vino particolare o unico (io non sono un intenditore) sapranno accontentarvi "
"ui_bubble_rating bubble_50","Ottima cena ","Gentilissimi tutti incominciando da Fabio il proprietario dai camerieri attenti a metterti a tuo agio e poi la cena buonissima molto bravo lo sheff Alessio ci ha proposto gnocchi fatti da lui con sugo di carne n'duia e una bistecca alla fiorentina come la tradizione vuole morbidissima siamo stati veramente bene ci ritorneremo di sicuro ."
"ui_bubble_rating bubble_30","L'apparenza inganna!","Ci ha consigliato questo ristorante una chef. Dicono che a Firenze non si mangia la vera fiorentina di Chianina, ma questo ristorante avrebbe comunque soddisfatto i nostri palati un po' più incontentabili. Iniziamo con il primo, pici all'aglione..... buoni e consigliati! Abbiamo chiesto per secondo una fiorentina... è arrivata in realtà una costata già tagliata (infatti tutti i pezzi non provenivano dalla stessa bistecca ma da più avanzi). Al tavolo a fianco arriva la vera fiorentina! Abbiamo fatto notare il fatto, ma ovviamente si sono giustificati con scuse poco plausibili data la nostra conoscenza della vera fiorentina mangiata in passato (più volte)! "
"ui_bubble_rating bubble_50","Cena in famiglia e soddisfazione piena ","Siamo stati il sabato sera prima di Pasqua e ci siamo trovati molto bene nonostante fosse pieno.Personale gentile e accomodante, cibo buono e cucinato bene, cantina interessante.Abbiamo bevuto BRUNELLO al bicchiere .Eravamo soddisfatti, lo consiglio!Bravi!"
"ui_bubble_rating bubble_50","pranzo veloce","ottimo pranzo rapidità e cortesia . ottime pappardelle con sugo cinghiale !!! consigliato . prezzo nella media /alta ma rapporto qualità prezzo ottimo. carta vini ricercata."
"ui_bubble_rating bubble_50","Ottima Cena ","Ottima cena con una bistecca eccezionale e non solo. Piatti curatissimi fatti con attenzione e passione Personale gentilissimo in particolare grande lo chef Alessio attento ai particolari e molto carino ad uscire in sala a salutare gli ospiti. Molto gentile e professionale anche il servizio di StefanoConsigliatissimo anche ai fiorentini più esigenti "
"ui_bubble_rating bubble_30","Buon cibo prezzi medi ","Locale gradevole in centro storico e buona atmosfera. Personale efficiente e disponibile a presentare i piatti del giorno ed a spiegare il menù. Abbiamo preso un buon antipasto in 2, fiorentina (discreta) e contorno. Buon vino . Prezzo adeguato al cibo ed al locale. "
"ui_bubble_rating bubble_50","Ottima cena","Bellissima location, cibo di ottima qualità personale disponibile e preparato. Ottimo per pranzo o cena."
"ui_bubble_rating bubble_50","Semplicemente straordinario ","Ristorante vicino la chiesa Santa Croce,chi vuole mangiare una fiorentina DOC deve venire qui,prezzo medio/alti,staff gentilissimo e preparato,locale pulito e accogliente ,Consigliato!"
"ui_bubble_rating bubble_30","Mi aspettavo di più ","Locale accogliente e a due passi da piazza della Signoria. Il cameriere è stato molto disponibile. Il cibo (forse perché siamo stati ospiti per il cenone dell'ultimo dell'anno) sotto le aspettative. Mi è piaciuto il fatto che abbiano riservato una stanza giusto per noi, un po' meno il fatto che la stanza non era adeguatamente riscaldata "
"ui_bubble_rating bubble_50","Da provare! ","Ottima cena e personale molto gentile e preparato, hanno saputo consigliarci i piatti giusti ed il vino. Antipasti buonissimi e carne perfetta! Consigliatissimo!! "
"ui_bubble_rating bubble_30","Simpatia","Siamo stati in questo ristorante perché siamo passati davanti e ci ha ispirati! Beh la scelta è stata confermata dalla gentilezza del personale e dai cibo molto buono! Abbiamo mangiato un antipasto in due, i pici all'aglione e una fiorentina! Tutto buonissimo!!! Consigliato!"
"ui_bubble_rating bubble_50","Ottimo","Abbiamo mangiato in questo locale per pranzo, in un giorno festivo. Bellissima esperienza. Il cibo è stato davvero buono (tagliata di carne e tiramisù di loro produzione), e il personale presente davvero gentile. Potendo ci ritornerei senza indugi!"
"ui_bubble_rating bubble_20","Pranzo veloce","Eravamo molto in ritardo con il pranzo ed abbiamo cercato un ristorante che avesse la cucina aperta anche il pomeriggio trovando questo. Personale gentile, locale molto pulito e carino anche se un po' austero. Abbiamo preso antipasto di coccoli e prosciutto e quattro primi: cucina piuttosto buona. Ciò che tende a farne un ristorante turistico è il prezzo: va bene essere dietro santa croce, ma 100 euro per quattro primi e due antipasti è un po' troppo."
"ui_bubble_rating bubble_40","Ottima cantina","Ristorante in pieno centro storico fiorentino in un borgo proprio di fronte a piazza Santa Croce che offre specialità della cucina fiorentina come l'ottima bistecca e il peposo. Non ho trovato niente di eccelso durante la cena, direi una cucina nella media della città."
"ui_bubble_rating bubble_40","Pranzo veloce","Siamo capitati in questo locale mentre cercavamo un ristorante per pranzare..fantastico!! ottimo ambiente, pulito e ben riscaldato. Il cibo era davvero ottimo, con un menù del giorno più economico e quello classico comunque ad un prezzo modico. Non ho neanche faticato a trovare qualcosa per me che sono vegetariana, insomma adatto a tutti! personale molto cordiale.. Lo consiglio! "
"ui_bubble_rating bubble_40","Ottimo","Locale e cibo top!!! Pranzato con menù del giorno...pici alla carbonara, pollo con limone e capperi, ribollita e dolcetto..35euro mangiato divinamente. Lo consiglio"
"ui_bubble_rating bubble_40","sorpresa","passeggiando siamo rimasti incuriositi da questo posto e abbiamo deciso di entrare...mangiato una ribollita buonissima...pici alla carbonara ottima...dolce fatto in casa gustoso...speso poco perché a pranzo offrono la formula del menù completo "
"ui_bubble_rating bubble_50","Tutto perfetto","Siamo capitati quasi per caso in questo bel ristorante in pieno centro storico e siamo rimasti molto contenti.Primi ottimi, in particolare il risotto e secondi particolari e gustosi. Dolci soddisfacenti"
"ui_bubble_rating bubble_50","Cena di compleanno x 2","Cena deliziosa, da provare assolutamente l'uovo benedetto: una vera prelibatezza. Personale gentile, cordiale e paziente (soprattutto perché eravamo una tavolata numerosa!!!)... lo consiglio vivamente e non vedo già l'ora di tornarci!"
"ui_bubble_rating bubble_50","Fine settimana a Firenze ","Ogni volta che torno a Firenze passo da questo ristorante con il mio amico Carlo. Finalmente ho assaggiato la famosa fiorentina.. ne sono rimasta soddisfatta .Sempre accogliente il titolare.."
