"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Tutto buono e clima gradevole","abbiamo mangiato la Fiorentina calvana servita con fagioli e patate al forno, buonissima e anche le pizze sembravano ottime!"
"ui_bubble_rating bubble_50","Il migliore!! ","Un ottimo ristorante sia dal punto di vista di servizio ed anche per quanto riguarda i piatti, uno meglio dell'altro. Per non parlare dei camerieri, preparati ed accoglienti.Un applauso al direttore Filippo. "
"ui_bubble_rating bubble_50","Ottima pizza","Raramente do 5 stelle nelle mie recensioni e confesso di esser stato tentato di darne 4 perché sono venuto già due volte al fuoco matto a distanza di qualche settimana e la pizza strepitosa che ho assaggiato la prima volta non si è ripetuta anche nella mia seconda visita. Chiariamoci, la qualità degli ingredienti è l'impasto sono veramente ottimi, però la prima volta la mia pizza sembrava più curata. Ad oggi giustifico la discrepanza con la diversa quantità di coperti registrati nella mia seconda visita, fattore che magari ha impedito ai pizzaioli di curare maggiormente le pizze. Ad ogni modo, mi convinco a dare il massimo dei voti perché è un posto sicuramente da visitare, dall'atmosfera piacevole. Davvero ottime le pizze (in stile rigorosamente napoletano), eccellenti gli ingredienti (fate caso alla bontà della salsa e della mozzarella di bufala) molto buoni anche i dolci. Sconsiglio gli antipasti per il rapporto quantità prezzo."
"ui_bubble_rating bubble_50","Pizza top e ottimo servizio","Pizza leggerissima e con ingredienti di qualità, servizio veloce e impeccabile! Ottima l'accoglienza e quasi inesistente l'attesa per i piatti. TOP! "
"ui_bubble_rating bubble_50","La vera pizza è qui","Pizzeria favolosa nel centro di Firenze consigliata dal proprietario del nostro appartamento. L'ambiente è molto accogliente e il personale gentilissimo e disponibile. Mi ha colpito così tanto che la prima sera ho deciso di prenotare un tavolo anche per la cena del giorno successivo. Non solo le pizze sono deliziose, ma anche i piatti come l'anatra. I prezzi sono giusti, contando anche il fatto che appena siamo entrati ci hanno offerto un bicchiere di vino bianco e due pezzi di pizza come aperitivo e finita la cena due bicchierini di limoncello. A mio parere Fuoco Matto è una tappa fissa qui a Firenze. Ottimo! "
"ui_bubble_rating bubble_40","Serata divertente","Accogliente meglio prenotare . Quando si attende viene servito un aperitivo. Il servizio veloce e gentile . Cibo molto buono . Il prezzo in linea con i costi di Firenze"
"ui_bubble_rating bubble_40","UNA SIGNORA PIZZA","Sono stata a pranzo con amici, nel periodo natalizio. Quindi il centro straffollato, e qui invece abbiamo trovato pace. Il locale è grande, ma molto ben insonorizzato, non c'è quel classico brusio di fondo, che a me infastidisce molto. La pizza è veramente buona, soffice e allo stesso tempo croccante, diciamo di gusto tipo napoletano.Le materie prime sono senz'altro di prima scelta. Il cameriere veramente gentile e cortese. Ci hanno offerto un prosecco al ns. arrivo, come anche un limoncello a fine pasto. Dei ristoratori che sanno veramente il fatto loro."
"ui_bubble_rating bubble_50","Locale ottimo, pizza ottima","Ho mangiato più volte in questo locale e sono rimasto sempre molto soddisfatto. Pizza ottima, una delle migliori di Firenze! Menzione speciale per Valentina che all'entrata ti accoglie come se fossi a casa tua. "
"ui_bubble_rating bubble_50","Una serata risollevata","La pizza è davvero ottima, stile napoletano con ingredienti di qualità. L'ambiente è delizioso e abbiamo bevuto una buona birra locale. Ma queste cose si capivano già dalle altre recensioni. La cosa che mi ha davvero sorpresa è stata la professionalità del personale. Ho infatti rovesciato la mia intera birra sulla pizza, inondando anche la tovaglia. I camerieri hanno prontamente sostituito tovaglia e tovaglioli e mi hanno portato una nuova pizza nel giro di 5 minuti. Il tutto con il sorriso e scherzandoci su assieme a noi. Un servizio eccellente, ci hanno davvero salvato la serata! Consigliato. "
"ui_bubble_rating bubble_40","Ottima serata, consigliato!!","Siamo venuti a Firenze e non sapevamo dive andare a mangiare, dopo aver letto varie recensioni abbiamo prenotato senza pensarci moltoIl locale è molto carino e accogliente.Le pizze erano molto buone e a fine pasto, prima di andare a pagare il conto, il cameriere ci porta due tiramisù e il limoncello offerti gratuitamente come scusa per il leggero ritardo nel farci accomodare ai tavoli a inizio serata, MAI SUCCESSO, Complimenti "
"ui_bubble_rating bubble_20","Luci ed ombre","Sono stato in questo locale durante un week end trascorso nel capoluogo toscano assieme ai miei familiari.Arrivati al locale, nonostante avessimo prenotato, abbiamo dovuto attendere una ventina di minuti per poterci accomodare. Nel frattempo il proprietario, per riparare all’inconveniente, ci ha offerto dei bianchini, gesto sicuramente apprezzabile e che abbiamo gradito.Dopo esserci finalmente accomodati e prese le ordinazioni, ci hanno servito subito antipasti e primi. In entrambi i casi il giudizio non può essere sufficiente: a fronte di un bell’impiattamento, è mancata “la sostanza” viste le quantità decisamente scarse!Nel mio caso ad esempio, come “pasta cacio-pepe“, mi sono visto recapitare nove tortellini che erano cacio-pepe solo nelle intenzioni; inoltre anche la qualità non è stata di certo tale da giustificare la media di quasi 1,50 euro a tortellino... dai, non scherziamo!I secondi, che ci sono stati serviti dopo altri venti minuti abbondanti di attesa, sono andati fortunatamente molto meglio; una menzione particolare in questo caso alla tagliata, molto buona e gustosa. Complessivamente, locale da consigliare a chi vuole magiare una buona pizza (chi l’ha presa ne è rimasto entusiasta) o della buona carne, senza farsi problemi per gli eventuali probabili lunghi tempi di attesa. Dolci nella norma, decisamente sconsigliati gli antipasti e i primi!In definitiva abbiamo mangiato molto meno ed abbiamo pagato di più rispetto ai locali storici fiorentini.Anche per questo motivo molto probabilmente non ci tornerò."
"ui_bubble_rating bubble_40","Ottima pizza gourmet","Cena con amici. Servizio gentile,ottima accoglienza con prosecco in attesa del tavolo e focaccia ripiena di benvenuto. Impasto della pizza ben digeribile. Si potrebbe ampliare la carta delle birre. 87€ in 4 per 4 gourmet 2 birre alla spina e due in bottiglia,3 caffè: giusto per essere a Firenze. Limoncello offerto. Ambiente molto carino e arredato con gusto"
"ui_bubble_rating bubble_50","Favoloso ","Ultima volta che sono andato a cena in un ristorante un centro a Firenze ci sono rimasto molto male, invece ieri sera ho avuto una bellissima sorpresa. Locale molto accogliente, personale molto gentile, noi abbiamo mangiato pizza(favolose), però ci siamo ripromessi di ritornare però questa volta per una bellissima bistecca, come abbiamo visto al tavolo accanto. Prezzo giustoComplimenti "
