"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena ultimo dell anno ","Ancora e ancora menú capodanno da stellato (a parte le porzioni ) comunque ottimi i bilanciamenti di sapori carne e pesce !! Grazie allo chef e la sua brigata !! Auguri "
"ui_bubble_rating bubble_50","Sempre una conferma !!!","Sono tornato con la mia famiglia dopo l estate e devo dire che il livello è rimasto sempre lo stesso “ottimo” . Per grandi e per piccini dalla Chianina alla pizza senza dimenticare la pasta fresca .Grazie !!!"
"ui_bubble_rating bubble_50","Ottima bistecca!","Siamo stati a mangiare domenica sera con la mia famiglia!Che dire tutto buono,antipasto di formaggio e salumi abbondante,primo al tartufo squisito e poi alla fine la Bistecca meravigliosa!Servizio cordiale!che dire tutto buonissimo,ci ritorneremo presto!"
"ui_bubble_rating bubble_40","Soddisfatti! ","La nostra prima cena fiorentina è stata una bella sorpresa. Locale molto carino e personale davvero professionale e cordiale. Ottimo cibo e prezzo adeguato.. Un unico consiglio il caffè 2.50€ anche no! Per il resto ve lo consiglio.. "
"ui_bubble_rating bubble_40","Una cena al....fresco","Locale carino. Siamo arrivati senza prenotazione e ci hanno fatto accomodare nella zona esterna riscaldata ma... il riscaldamento era guasto ed abbiamo cenato vestiti di tutto punto. A parte questo inconveniente, la cena è stata ottima ed il servizio eccellente. Un ottimo tagliere e delle pappardelle al cinghiale da leccarsi i baffi. I ragazzi hanno gustato anche una ottima pizza. Buoni anche i dolci, crema catalana e panna cotta.Alla prossima visita a Firenze, ci torneremo sicuramente."
"ui_bubble_rating bubble_50","Che carne!!","Il posto giusto per mangiare una bella fiorentina spendendo il giusto prezzo, lo consiglio vivamente."
"ui_bubble_rating bubble_40","Ottimo servizio ","Abbiamo optato per provare il secondo gustavino oggi a pranzo prendendo una fiorentina tradizionale per cambiare qualità di carne... peccato però che la parte dell’entrecôte era un pezzo di marmo... dura è molto nervosa rispetto alla fiorentina di scottona mangiata il giorno prima nell’altro ristorante... comunque il cameriere è stato super disponibile e cortese nonostante il problema della durezza della carne... torneremo sicuramente per provare il wagyu "
"ui_bubble_rating bubble_50","A tutta carne<U+203C><U+FE0F>","Ottima posizione centrale dopo aver camminato tutto il pomeriggio. Posto confortevole, arredamento originale, servizio veloce e simpatico. Cibo molto buono dall’antipasto al secondo! La tagliata di pollo e la Fiorentina di scottona, a dir poco squisite! Tornerò sicuramente. Prezzo nella norma "
"ui_bubble_rating bubble_20","Servizio deludente","Ottimo cibo in un locale abbastanza elegante ma molto stretto, Peccato per il servizio oltre ad aver ricevuto un piatto vuoto Sporco dal cameriere per l’antipasto devo dire che il cameriere era di un livello pessimo !! Ha versato il vino dalla bottiglia ordinata senza far assaggiare e facendola gocciolare allungandosi per tutto il tavolo, in più una volta raccolte le posate sporche le ha appoggiate sul telefonino della mia ragazza e come se non bastasse chiedendo di portare via il cibo essendo una porzione abbondante lo ha impachettato a tavola davanti noi non chiudendo la scatola e appoggiandola di nuovo sul cellulare... in un posto elegante con un buonissimo cibo i camerieri sono fondamentali e devono essere all’altezza.. PECCATO !"
"ui_bubble_rating bubble_40","Buono e posizione centrale","Posizione centrale, abbiamo cenato al gustavino nero, bistecca alla fiorentina ottima, pizza abbastanza buona.Ci ha servito Klaudio ragazzo molto gentile che ha anche intrattenuto il nostro bimbo Jordan di 5 mesi che faceva un po di capricccetti.Noi lo consigliamo."
"ui_bubble_rating bubble_30","Piatti buoni ma servizio scadente","Buona cena a base di carne e prodotti tipici, buon rapporto qualità prezzo per la posizione centrale, tuttavia i piatti e i bicchieri erano sporchi e abbiamo dovuto insistere per la sostituzione. Il cameriere che ci ha servito si è dimostrato poco gentile e quasi infastidito al momento delle ordinazioni e alla richiesta di qualche consiglio in più. Verso la fine della cena, nonostante non avessimo ancora finito la consumazione, ci è stato chiesto di liberare il tavolo poiché non avevamo intenzione di prendere altro."
"ui_bubble_rating bubble_50","OTTIMO","Ho cenato in questo locale in compagnia di amici, tagliata e linguine all’astice buonissime Prezzi alla portata per essere in centro a Firenze.Locale moderno e servizio cortese."
"ui_bubble_rating bubble_50","Cena","Abbiamo mangiato molto bene, il rapporto qualità prezzo è ottimo. I camerieri molto disponibili. Locale molto accogliente."
"ui_bubble_rating bubble_40","Cenone di capodanno","Abbiamo fatto in questo ristorante il cenone di Capodanno con menu fisso, la qualità e la cura dei piatti è ottima, peccato per le porzioni esagerate di ogni portata, visto che erano 4. Personale gentile e attento. Consigliato per la qualità della carne. "
"ui_bubble_rating bubble_40","Carne buonissima","A cena in questo bel ristorante nei pressi del duomo, abbiamo potuto mangiare una fiorentina ottima. Abbiamo provato anche vari formaggi e le pappardelle al ragù di cinghiale: non male. Lo consiglio."
"ui_bubble_rating bubble_50","Ottimo ","Ristorante in pieno centro storico e mi ha attirato l’offerta di 25 euro con antipasto, carne e vino tutto davvero squisito. Ho preso anche in primo ed era molto abbondante. Prezzi medio alti ma di qualità più che giustificata. Ristorante di livello"
"ui_bubble_rating bubble_40","Buon ristoro","Antipasto del tagliere per due buono, come i primi. Pappardelle al cinghiale e pesto ottimi.prezzi onesti. La carne sembra ottima (non l’abbiamo assaggiata), alla vista. Prezzi onesti. Unica pecca. 2,50 euro di coperto a testa...per il resto consigliato. Camerieri gentilissimi"
"ui_bubble_rating bubble_50","Ottima scelta ","Trovato per caso su TA perché comodo al nostro alloggio si è mostrata un’ottima scelta. Locale accogliente, personale cordiale e preparato, buona la carta sia del menù che dei vini. Non uno dei soliti locali da turisti, nonostante la posizione centralissima. Merita una cena "
"ui_bubble_rating bubble_50","Gusta...vino","Locale trovato per caso. Prenotazione on line dal treno arrivando in città. Comodissimo.Mangiato bene, cucina tipica, carne ottima, vino anche meglio e cibo per tutti i gusti anche mio figlio ha apprezzato la pasta con le vongole, ne ha fatto il bis.Grazie di tutto anche l'accoglienza. "
"ui_bubble_rating bubble_50","Pranzo di Natale a Firenze","Locale molto carino che si presenta all'ingresso con la vera protagonista in vetrina...la carne...vera specialità...personale discreto nei modi, preparato e simpatico...pronto a consigliare...antipasti ottimi e carne davvero spettacolare...personalmente ho assaporato il misto di pecorino e la tagliata con rucola e grana...accompagnata da un ottimo Chianti...Qualità davvero elevata e prezzo ben rapportato...Consigliatissimo! "
"ui_bubble_rating bubble_30","Senza lode e senza infamia","Posizione comoda, in pieno centro. Locale accogliente con personale gentile e disponibile. Menù più adatto a turisti.Prezzi accettabili con prenotazione The Fork, anche se al momento del conto non era stato applicato lo sconto."
"ui_bubble_rating bubble_50","Cena con la famiglia ","Locale molto carino, servizio abbastanza veloce forse un po' troppo, personale molto gentile ma soprattutto simpatico, prezzo nella norma qualità buonissima, la consiglio "
"ui_bubble_rating bubble_50","Ottimo","Abbiamo mangiato a pranzo bruschette e tagliette al ragù di cinghiale, entrambe ottime e molto gustose.Le porzioni sono abbondanti, ma non esagerate e abbiamo trovato il cameriere gentilissimo.Il prezzo, considerata anche la zona, è più che accettabile."
"ui_bubble_rating bubble_50","Saluto tra amici ","Locale accogliente, curato. Menù della tradizione Fiorentina e non solo. Carta dei vini di prima qualità. Servizio impeccabile. Il posto giusto per un saluto tra amici."
"ui_bubble_rating bubble_50","Una chicca","Da non perdere se se volete mangiar bene mentre girate per il centro. Servizio eccellente, camerieri davvero gentili e accoglienti, locale carino e pulitissimo, cibo ottimo e prezzi competitivi vista la sua posizione centralissima, una bellissima esperienza.Ps. Prenotate su the fork che avete il 20% di sconto."
"ui_bubble_rating bubble_50","Cortesia e bontà!","Dopo una giornata in giro per le strade di questa meravigliosa città con la mia ragazza, ho deciso di prenotare in questo ristorante. Tutto sopra le aspettative. L'antipasto di salumi e formaggi era molto buono ma il filetto.. assolutamente da provare, ottimo! Ringrazio i proprietari anche per la loro simpatia e alla prossima :)"
