"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Buoni prodotti e ottima accoglienza ","Insieme al mio fidanzato sono andata a mangiare presso il locale, nonostante ci fosse molto gente la signorina ci ha subito sistemato un tavolo al piano di sopra. Abbiamo preso un tagliere misto di formaggi e di affettati. Il proprietario ci ha spiegato ciascun salume e formaggio. Ottimi prodotti e genuini. Anche la schiacciacciata molto buona. "
"ui_bubble_rating bubble_50","Schiacciata buonissima! ","Da turista non c’è posto migliore dove pranzare/ fare aperitivo/ cenare!! Sono molto rapidi, gli ingredienti sono di ottima qualità, dai salumi ai formaggi, passando per le verdure e il vino della casa! Le schiacciate sono squisite e ben farcite, a 2 passi dal duomo! Prezzo? Ecconimico: 5 euro! Una sera ho fatto anche aperitivo, tagliere di salumi e formaggi ottimo, crostini ottimi! Serietà, cordialità, gentilezza e simpatia tipica toscana, consigliatissimo!! Per Sara: un saluto da Genova!"
"ui_bubble_rating bubble_50","Il top delle schiacciate","Siamo stati a Firenze nel primo week end dell’anno e ci siamo imbattuti nei pressi della piazza della Signora nel locale I Girone de ghiotti ed oltre a trovare delle bravissime persone gentili e disponibili ci hanno deliziato di una schiacciata super ( super buona, enorme , piena zeppa di salumi ecc.) . Il peccato è che abito a 400km altrimenti ci ritornerei tutti i giorni. Consigliatissima!!!"
"ui_bubble_rating bubble_50","Gita fuori porta ... da Lugo (Ra) a Firenze","Avevo trovato il locale su TripAdvisor...e non ho sbagliato a sceglierlo. Bel locale, piccino ma allo stesso tempo caldo...ha una quindicina di posti a sedere nel soppalco.I ragazzi sono “splendidi”, ospitali è molto cortesi.Il cibo! FANTASTICO! rapporto qualità prezzo ok!In 4 abbiamo preso tagliere misto per 2 e ci abbiamo pranzato in 3, una schiacciata farcita, una birra e una bottiglia di acqua grande e la spesa è stata meno che mangiare al mc. Abbondante e favoloso. Nonostante non ami l’aroma del finocchio ho molto apprezzato la finocchiona e la sbriciolona.La schiacciata Fiorentina...da provare e amare. La loro è veramente ottima. Complimenti davvero e se torniamo a Firenze sarete la nostra tappa fissa di sicuro.Come promesso...Un saluto da Lugo.<U+2728> 05/01/2019"
"ui_bubble_rating bubble_50","Serata","Se volete una schiacciata veramente buona venite qui ..!! Preparate al momento e moltiplici gusti ..posto piccolino con pochi posti a sedere ma ne vale veramente la pena !! Consigliato "
"ui_bubble_rating bubble_50","Pranzo al volo","Schiacciate veramente golose e per tutti i gusti. La pazienza per l'attesa è sicuramente ripagata. Le schiacciate sono preparate al momento, i salumi ed i formaggi vengono affettati di volta in volta. "
"ui_bubble_rating bubble_40","Veramente buona!!","Se volete una schiacciata al volo e veramente buona dovete venire qui!!! Il panino è enorme e pieno zeppo!! Io ho fatto quasi fatica a finirlo. I prezzi sono abbordabilissimi e la qualità è ottima. Anche il personale sono simpaticissimi e disponibili. Da tornare assolutamente. "
"ui_bubble_rating bubble_50","Davvero carino ","Posto molto carino piccolo ma le schiacciate sono da leccarsi i baffi lo consiglio assolutamente"
"ui_bubble_rating bubble_50","La migliore di Firenze! ","Ho avuto l’occasione di pranzare in questo locale. Nonostante un l’attesa perché c’era un po’ di fila posso dirvi che è valsa la pena aspettare! Gli affettati e tutti i vari condimenti sono freschissimi. È possibile anche personalizzare le schiacciate in base ai propri gusti! Anche la quantità è abbondante e i prezzi sono davvero bassi. Il personale è cordiale e gentile. Ci tornerò di sicuro! "
