"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Pizza da premio!!","Ormai di ritorno da Firenze, non posso far altro che CONSIGLIARLA!!!La pizza è da premio!!! I prodotti di prima qualità.BUONISSIMA...da provare assolutamente, spero di tornarci ancora.Si nota che i piatti e le posate sono 100% riciclabili... bravi!Personale davvero molto gentile."
"ui_bubble_rating bubble_50","Ottima pizza! ","Siamo andati a pranzo, alle 13 e il locale era libero. Avevamo già fatto varie tappe mangerecce, ma una pizza Margherita doc in due è stata la scelta ideale... Ottimo rapporto qualità prezzo, locale alla mano, personale cordiale e piacevole clima familiare. Lo consiglierei. "
"ui_bubble_rating bubble_50","Pizza ottima","Questa pizzeria è una tappa fondamentale a Firenze sia per l'ottima qualità della pizza, sia per la gentilezza e la simpatia dei proprietari, che offrono un servizio veloce ed informale. Il locale è stato recentemente ristrutturato. Lo consigliamo."
"ui_bubble_rating bubble_50","ottima come sempre","Siamo stati stasera a cena..era un po che non andavamo..locale rinnovato..e pizza sempre super..una delle piu buone di Firenze!lo consiglio oltre che per la pizza per l'accoglienza e la gentilezza dei proprietari!"
"ui_bubble_rating bubble_50","Ottima pizza Napoletana","Pizza Napoletana di qualità, prezzi onesti e titolari molto gentili e disponibili, posate e piatti riciclabili e non si paga il coperto. Due piccole pecche la mancanza del forno a legna e le dimensioni ridotte del locale. Ma da tornarci assolutamente!! Complimenti"
"ui_bubble_rating bubble_50","Non smetto mai di stupirmi","La sola pizza che andiamo a mangiare fuori ormai è li....Ottima come sempre...e l amore che Alfredo mette nel suo lavoro si vede tutto.Di solito siamo sempre tanti e con tanti bambini e lui riesce sempre a farci sentire a casa ..."
"ui_bubble_rating bubble_50","Olimpo della pizza","Frequento questo posto da tempo ma devo dire che la pizza fatta da Alfredo è una delle più buone che io abbia mai mangiato veramente il top. Locale piccolo ma ben curato consiglio la prenotazione"
"ui_bubble_rating bubble_50","Pizza buonissima","Locale piccolino ma pizza davvero buonissima e leggera con proprietari davvero gentili e simpatici,da tornarci quando torno a firenze "
"ui_bubble_rating bubble_40","Piccolo e delizioso ","Stato con amici in questo piccolo locale in San Niccolò dove è obbligatoria la prenotazione;anche se non è presente il forno a legna le pizze risultano croccanti con la possibilità di una miriade di condimenti Personale gentile "
