"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","A casa dei Tuscani","A casa dei Tuscani ci si sta bene; io personalmente ho provato il 4 e mi sono trovata benissimo. I ragazzi sono talentuosi e offrono un prodotto e un servizio di qualità a prezzi adeguati. Il tutto è accompagnato da una solarità contagiosa..Bravi bravi bravi!!"
"ui_bubble_rating bubble_50","Eccellente! ","Abbiamo trovato questo locale passeggiando per Firenze. Ci hanno colpito le recensioni e abbiamo subito prenotato un tavolo per cinque. Tutti i prodotti rispettano la regola della filiera corta, a chilometro zero, scelti con cura. I piatti sono di crusca, commestibili, e i bicchieri di amido di mais. Ottima scelta green. Il menù è ricco. Ottima la fiorentina ma anche i salumi e i formaggi. I piatti sono ben presentati. Il personale è simpatico e gentile, il proprietario un vero toscanaccio! Non si può dire di aver visto Firenze senza una sosta a I Tuscani! "
"ui_bubble_rating bubble_40","cordialità e simpatia","Cordialità e simpatia dello staff, carne buona e tenera e ottimo il vino della casa. Ganza l'idea degli amari offerti a fine cena. Simpatica l'idea del sommo poeta ad intrattenere gli avventori. Ma il caffè ce vole...assolutamente consigliato."
"ui_bubble_rating bubble_50","Poesia a cena ","Sono rimasta veramente estasiata dall’ospitalità del personale: sono stati tutti molto gentili e cordiali con noi. La carne fenomenale e il rapporto qualità prezzo veramente impeccabile. La ciliegina sulla torta è arrivata nel momento in cui un signore si è impersonificato in Dante Alighieri, veramente bravo. Ottimo ristorante, consigliatissimo! "
"ui_bubble_rating bubble_50","Ottimo","Mai stato in un posto simile.. Dove cordialità familiarità e simpatia vengono mescolate in un connubio perfetto. La carne é di una qualità superiore. Lo consiglierò a tutti"
"ui_bubble_rating bubble_50","Cena top a Firenze ","Locale rustico ma molto accogliente. Carne di prima scelta ma ciò che rende speciale questo locale è sicuramente il servizio! Ragazzi e chef disponibilissimi, grazie a loro ci siamo sentiti a casa."
"ui_bubble_rating bubble_50","Spettacolo!","Ragazzi una parola per chi legge questa recensione....andateci, ci metto la mano sul fuoco che non ve ne pentirete!Carne favolosa, posto grazioso, vino senza limiti, antipasti, dolci e amari offerti...ma voi siete grandiosi! Una cortesia e una professionalità fuori dal comune! Mai trovato cosi bene in un ristorante! Continuate cosi perché vi si andrà a conoscere in tutta Italia! Bravissimi "
"ui_bubble_rating bubble_50","Serata gradevolissima","Il locale è accogliente e... ruffiano! I ragazzi del servizio ai tavoli cortesi, disponibili e attenti ai clienti. L'idea di avere Dante che recita i canti della Divina Commedia è originale e l'interprete molto bravo. Il cibo è stato squisito, appetitoso e abbondante! Da tornarci sicuramente! Bravi!"
"ui_bubble_rating bubble_50","Ristorante molto accogliente","Il ristrante ha un ottimo menu di carne con materie prime di eccellente qualità. E' gestito da ragazzi giovani che hanno creato un'atmosfera veramente accogliente con tanti piccoli dettagli che fanno da contorno al locale, dai piatti in crusca edibili ad un intrattenitore che declama Dante durante la cena. Moto apprezzabile anche il rapporto qualità-prezzo."
"ui_bubble_rating bubble_50","Cena con “coccole”","Un ambiente caldo e accogliente, materie prime di ottima qualità, ben conosciute e studiate nonché cucinate bene, cura per i dettagli. Ottimo rapporto qualità-prezzo.Della cena, oltre al sapore dei piatti, rimane anche la bellissima sensazione di essere stati coccolati e guidati nell’assaggio dei prodotti. Complimenti!"
"ui_bubble_rating bubble_50","CHIANINA DOC","Tappa obbligatoria per chi ama mangiare carne di alta qualità , bere vino eccellente e sentirsi come a casa . Accolti come parenti ,perché amici è dir poco, mangiato un menù Chianina superiore alla media che si trova in città (cottura al sangue ,come chiesto, perfetto .... per non parlare poi dei contorni) .Da ritornarci OBBLIGATORIAMENTE !!!"
"ui_bubble_rating bubble_50","Cena di Natale tra amiche","Uno dei posti migliori dove mangiare la bistecca, che si sa, a Firenze è un must. Verdure e contorni vari e tutti buonissimi.Ambiente confortevole e persona simpatico, gentile e competente. La mia bistecca preferita, è lo dico da fiorentina!!!"
"ui_bubble_rating bubble_50","Buono buono buono!!","Della catena è l'ultimo arrivato, ma ha personale giovane e che ci sa fare. Ovviamente la carne è squisita e anche io servizio molto piacevole, che a volte si avvalora della presenza di un signore che decanta il sommo poeta Dante. Ottima iniziativa. Insomma: buona atmosfera, buona carne, buon prezzo! Andateci!"
