"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","un pranzo che ricorderò","Non ricordavo un pranzo così piacevole da tempo. Atmosfera accogliente ma allo stesso tempo raffinata. Ti sembra di essere a casa, dove però di aspetta un cuoco magnifico e dei prodotti eccellenti. Da rifare al più presto!!!"
"ui_bubble_rating bubble_50","Storia del panino","Posto rinomato e storico con ottima professionalità e cordialità. Ottimi i panini proposti e rapida l’esecuzione. Complimenti"
"ui_bubble_rating bubble_50","street food italiano","Chiamiamolo in inglese così possiamo dare una parvenza di modernità a ciò che da noi è antico e smuove sentimenti atavici nella nostra pancia. Il panino qui lo sanno fare e i gusti sono toscani. Noi abbiamo mangiato con grande soddisfazione il panino con prosciutto e pecorino toscano, la focaccia con salame di cinghiale e burro, il panino con l’aringa e salsa verde e la focaccia con la salsiccia. Pane croccante, sapori netti e prezzi contenuti 4€ ... ottimo!"
"ui_bubble_rating bubble_50","Cena di compleanno ","Cena sublime : abbiamo mangiato veramente bene. Piatti tipici della cucina fiorentina, serviti in modo elegante, ottimo la carta dei vini, conto con ottimo rapporto prezzo-qualità. Una cena di compleanno da ricordare. "
"ui_bubble_rating bubble_30","Pensavo meglio...","Una fila di 20 minuti per un panino fatto in meno di un minuto che non è nemmeno un gran che prezzo buono ( 4 euro) "
"ui_bubble_rating bubble_40","Ritorno al passato","Cosa vuoi di più di un bicchiere di vino con un panino ... semplice e molto buono Scoperto insieme ad amici fiorentini docProdotto semplice e di qualità La fila vale il risultato.. eta' media della fila sotto i 30 .."
"ui_bubble_rating bubble_50","Per me sempre il top","Torno e ritorno ogni volta che sono a Firenze.Meno calca rispetto all’antico Vinaio,forse ormai troppo commerciale,ma qui dai fratellini non rimarrete delusi.Rispetto a qualche anno fa i panini(tutti)costano 4€ ma sono più grandi rispetto al passato.Oltre agli ottimi ingredienti(burro con salame di cinghiale e l’altro melanzane con porchetta)ho trovato squisito il pane...croccante fuori,morbido dentro...Continuate così e avrete come sempre la fila !!!!"
"ui_bubble_rating bubble_50","Cenone del 24 Dicembre 2018","Spesso il Natale è un momento per il quale ogni coppia cerca la propria intimità ed il vero sapore dei cibi tradizionali. Trovandoci in un viaggio di cultura ed alla ricerca dei sapori Toscani, quale migliore occasione per provare qualche piatto tipico di Firenze. Ecco che da un’attenta analisi e ricerca ci ritrovammo con la mia dolce metà ed il mio grande compagno di viaggio ( il mio piccolo chihuahua) all’interno del favoloso è caratteristico locale dei Fratellini, i quali oltre ad accoglierci con grande professionalità ed eleganza ci hanno accompagnato nella scelta dei vari piatti tipici, al fine di gustare la loro cucina e le particolarità Toscane, a noi Siciliani di gran gradimento in quanto buon gustai della cucina. Tra i piatti forti il guanciale servito con polenta, tenero al punto da tagliarsi con un grissino. Nella scelta e preparazione della carne sono tra i migliori di Firenze......consigliatissimo"
"ui_bubble_rating bubble_50","Favoloso!!","Panini e schiacciate fantastiche, con prodotti freschi di tutti i gusti tipici e non, semplicemente unici!! Personale simpaticissimo e veloce. C’è sempre coda ma è molto rapida e ne vale la pena!! Lo consiglio"
"ui_bubble_rating bubble_40","Che panini!","Panini ottimi, ingredienti di qualità eccellente, servizio svelto nonostante l'enorme flusso di gente in coda. Lo consiglio per uno spuntino veloce tra i vicoletti di Firenze centro!"
"ui_bubble_rating bubble_50","Panino street food spettacolare","Abbiamo preso 3 panini a pranzo; uno con porchetta e salsa verde, mortadella e crema di formaggio e l ultimo con prosciutto e mozzarella, tutti e 3 buonissimi, e il personale gentile e molto veloce nel servire. Abbiamo atteso circa 10min per la fila che cera ma ne valsa la penaProvatelo!!"
"ui_bubble_rating bubble_50","Buonisssimo!!!","Buonisssssimiiiiii!! consiglio vivamente, panino buonissimo, ingredienti di qualità e gentilissimi.. ci vuole un po’ di pazienza quando c’è la fila ma ne vale la pena!!! prezzo onesto!"
"ui_bubble_rating bubble_50","Panino buonissimo","A due passi da Piazza della Signoria. Ti accorgi dov’è quando vedi una fila di persone che si indirizza in un vicoletto. Personale sorridente, gentile e rapido. Panini strepitosi (consiglio la schiacciata!)"
"ui_bubble_rating bubble_30","Un panino buono e attesa di 30 min","Arrivati, coda di almeno 30 persone, hanno finito le schiacciate e ci siamo mangiati il panino. Rapporto qualità prezzo buono, in giro si può trovare di meglio."
"ui_bubble_rating bubble_50","Schiacciata buonissima","Assolutamente da provare per un pranzo al volo nel pieno centro di Firenze! Schiacciata croccante, ingredienti freschi e sapientemente associati!"
"ui_bubble_rating bubble_50","Panini strepitosi","Ingredienti tipici, pane fresco e fragrante, simpatia del personale e servizio veloce. C’è un po’ di fila, ma ne valeva la pena. Da ritornarci... "
"ui_bubble_rating bubble_50","Pranzo al volo <U+2708><U+FE0F> ","Localino super mini, che serve panini o schiacciate farciti, con la possibilità di scegliere tra tantissimi ripieni!! Davvero eccellenti.. Sono stati inoltre super veloci nel servizio.Consigliato a chi non vuole perder tempo a tavola per godersi al meglio la città (poichè non gode di sedie o tavoli), ma non vuole rinunciare ad un buon pranzo! Prezzo super economico.Voto: DIESSCI! "
"ui_bubble_rating bubble_50","Attesa in fila ben ripagata ","Incuriositi dalla fila di persone dei giorni precedenti, abbiamo approfittato di un momento di poca ressa per provare queste famose schiacciate. Ottima scelta! Buona varietà di panini e schiacciate serviti ancora caldi e fragranti. La prossima volta a Firenze sapremo già dove tornare. "
"ui_bubble_rating bubble_50","Tutto gustoso","Ottima qualità e varietà per la tipica focaccia o un delizioso panino,nei fine settimana tocca fare un bel pò di fila ma l'attesa è ben ripagata ."
"ui_bubble_rating bubble_50","Un pranzo veloce ma eccezionalmente buono","Un appuntamento da non mancare se si va a Firenze...un buon bicchiere di vino ed un panino da leccarsi baffi.... ... bravi.. "
"ui_bubble_rating bubble_50","Da leccarsi i baffi!!! <U+0001F60B><U+0001F60B>","Con il mio ragazzo abbiamo preso due schiacciate in questo posticino rinomato e con una coda chilometrica ma ne vale assolutamente la pena! Due schiacciate: una con finocchiona e carciofi, l altra porchetta e salsa verde... mamma mia che prelibatezza !!! Prezzo onestissimi 4€ l uno... STRA MEGA ULTRA CONSIGLIATO!!!!"
"ui_bubble_rating bubble_40","un bicchiere di vino e passa tutto","mio marito se lo ricordava dal militare... esiste ancora... la tipicità bere un bicchiere di vino in strada assaporartelo rilassarti e se vuoi ci sta anche un panino, comodamente in piedi, ma lo rende unico per questo... finito di bere (calice in vetro non in plastica) lasci il tuo bicchiere nella rastrelliera... a firenze un calice poi lo si beve a qualunque ora... come il the a Londra"
"ui_bubble_rating bubble_50","Un bicchiere di vino ed un panino è là felicità ","Raccolto il suggerimento da parte di un fiorentino, sul treno, ho facilmente trovato questo posto. La fila sul davanti è sempre garanzia di buon cibo. De anche stavolta la previsione è stata azzeccata. Attesa rapida, raccolta ordine precisa e gentile, e poi... panino con prosciutto arrosto e salsa verde ed un bicchiere di Chianti. Totale 6 euro. Cosa chiedere di più ? Io ci tornerò sicuramente. "
"ui_bubble_rating bubble_40","Un morso al gusto, da sempre.","Il panino dai Fratellini!Da sempre una fermata celere per i fiorentini, per i tanti visitatori della città ed anche per me.Sono gustosi, variegati, economici con tanta fila davanti che scorre veloce.Materie prime, golose, gourmet. Finocchiona super buona!Si mangia in piedi, davanti al banco, per la via Dei Cimatori, con gli appoggi in legno per i bicchieri di vino o altre bevande.Fermatevi a mangiarne uno, scegliete il panino o la schiacciata e tornerete."
"ui_bubble_rating bubble_30","Panino buono, ma non sazia","Localino in centro a Firenze dove tutti i panini del menù costano 4€, se invece vuoi aggiungerci ingredienti ti viene a costare 0,50€ o 1€ in più a seconda dell’ingrediente.La fila scorre velocemente.Il panino è buono, ma non sazia per nulla."
"ui_bubble_rating bubble_50","Pranzo veloce","Pratico, veloce ed economico!Perfetto per chi non ha tempo.C'è sempre molta gente ma non bisogna aspettare molto per essere serviti.Panini e schiacciate buonissimi."
"ui_bubble_rating bubble_40","Pranzo veloce","Il tempo che impieghi x via della lunga fila di gente viene ripagata dalla qualità del panino. Prezzi modici qualità super."
"ui_bubble_rating bubble_50","Ottimo per un break","Passeggiata per Firenze, leggero languorino ma senza doversi sedere a tavola e perdere tempo prezioso per girare la città: panino dai Fratellini! Servizio rapido, vasta scelta di salumi e formaggi toscani, proprietari simpaticissimi! Degna concorrenza dell’antico vinaio!"
"ui_bubble_rating bubble_50","panini super","panini e focacce riempiti in ogni modo possibile immaginabile, ottimi. Abbiamo trovato fila ma scorreva velocemente. Possibilità di bere anche un bicchiere di buon vino. Ottimo per fare uno spuntino veloce"
"ui_bubble_rating bubble_40","Perfetto per un panino toscano","Frequentato da veri fiorentini, si mangia in strada questi panini ottimi con bicchiere di vino al seguito.Ottimo per merenda o spuntino"
"ui_bubble_rating bubble_50","Super Panini!!!","Una micro bottega con prodotti d’eccellenza!!! Un menù ricco di Panini o focacce imbottiti senza risparmiare con prodotti di grande qualità, buonissimi!!!! Bibite varie .... ma il vino vince!!! Prezzi più che onesti, €4 per il panino. Se trovate la fila, portate pazienza, perché merita davvero....in più i gestori sono simpaticissimi!!!! Non vedo l’ora di tornarci!! "
"ui_bubble_rating bubble_50","Super number one ","Eccellente angolino di Firenze ove di può gustare un panino doc farcito con tutto e di più con materie prime di alta qualità accompagnato da un bicchiere di vino rigorosamente in piedi come i viandanti del tempo perduto passato.... attenzione alla fila ma non perdetevi d’animo il vostro turno sarà ben compensato.... provare per credere "
"ui_bubble_rating bubble_50","luogo sacro per i buongustai!!!","luogo magico dove ti fai fare un fantastico panino con finocchiona e cacio.... che dire? il tutto innaffiato da un bel bicchiere di chianti.... sublime!!!"
"ui_bubble_rating bubble_50","la fila è spesso lunghissima ma io sono stato FORTUNATISSIMO","Panino al volo dal gusto SPECIALE.Davvero per fortuna sono riuscito a prendere un panino con salsiccia cruda al volo senza dover fare fila.L'indomani all'ora di pranzo c'era una fila importante … ma il tempo di attesa è poi ripagato ad ogni morso!"
"ui_bubble_rating bubble_50","Che panini!!","Tutto davvero squisito..abbiamo provato quattro diversi tipi di panini,uno meglio dell'altro..per un pranzo veloce ma di qualità fermarsi qui è d'obbligo"
"ui_bubble_rating bubble_30","Abbastanza soddisfatta","Panini semplici e veloci da mangiare, soprattutto passeggiando per le vie della città. Lo consiglio."
"ui_bubble_rating bubble_50","Panino Top","Dopo una fila lunga almeno 150 metri e per 1 ora il giorno 02 Novembre mi sono recato in questo posto dopo i consigli di alcuni amici. Prezzo panini 4 euro fisso ( poi cambia se richiedi diaggiungere ingredienti).Durante la fila ci sono componenti dello Staff che distribuiscono la lista dei panini disponibili. Do 5 punti per i seguenti motivi: - qualitá ingredienti- quantitá ingredienti- tipicitá e originalitá del posto- prezzo correttoConsiglio se siete a Firenze di fare un salto qui considerando che in un festivo un po di fila occorre farla. "
"ui_bubble_rating bubble_50","The best ever!!!!","Ragazzi, grazie di esistere! Ho alimentato qui mia figlia ancora mentre era in pancia.... e guardate che capolavoro che è venuto fuori...A prestissimo!"
"ui_bubble_rating bubble_50","Fretellini..!!","Locale storico, panini doc ho assaggiato uno all’arings e rucola con pomodoro fresco e uni con la burratina fresca..caldi con pane casereccio...ottimi"
"ui_bubble_rating bubble_50","Una tradizione!","Da quando sono bambina il panino de' i Fratellini è un rito tradizionale, non posso non andarci se mi trovo a Firenze!Una buona selezione di panini con prodotti freschi, ogni panino costa € 4 e viene servito ben condito e tiepido... cosa si può volere di più?!Se trovate un po' di fila non preoccupatevi, il servizio è molto veloce ed i ragazzi sono super gentili!"
"ui_bubble_rating bubble_50","Familiare e accogliente!","Agli inizi di settembre sono stato a Firenze con la mia ragazza e passeggiando ho scoperto questo posto peccato che stesse per chiudere ma comunque il ragazzo mi invita a bere un calice. Il giorno dopo ripasso dopo pranzo e mi fermo a bere soltanto due o tre calici e subito trovo dialogo con i ragazzi al banco che risultano essere persone molto simpatiche e alla mano, a breve tornerò a Firenze con la mia ragazza e con dei compaesani valtellinesi e sono sicuro di tornarci."
"ui_bubble_rating bubble_50","Che magnada","Cosa dire .....un buco con così tante cose dentro non lo si era mai visto. Simpatici alla mano e velocissimi. Poi 2 chiacchiere fanno sempre bene."
"ui_bubble_rating bubble_50","Buon panino ","Abbiamo preso 4 panini con affettati diversi ed erano tutti stra buoni. Molto veloci nel servire. Il prezzo onesto, 4 euro a panino. "
"ui_bubble_rating bubble_50","Ottimo","Accogliente, caloroso, diretto e alla mano. Piccolo ma ricco di grande qualità! Dal mangiare al buon vino, e tutto a prezzi ottimi! "
"ui_bubble_rating bubble_50","Poesia sotto forma di panino !!!","Proprietari gentilissimi, location molto caratteristica, e panini spettacolari, ci tornerò ogni volta che mi capiterà di venire a Firenze. Ho preso un panino lardo e pecorino tartufato, ed è una delle cose più buone che abbia mai mangiato"
"ui_bubble_rating bubble_50","Unico!!","Definirli panini è ingiusto...sono prelibatezze...ottima qualità ampia scelta, possibilità di bere vino, personale molto professionale e cortese! Non vi sono posti a sedere...ma a Firenze...non si può stare fermi....neppure a mangiare....troppe cose da visitare! Super conigliato"
"ui_bubble_rating bubble_50","Un panino nel cuore di Firenze.","Storica panineria a un passo da via de' Calzaioli.Ampia scelta.Ottima qualità.Prezzo unico 4 euro.Buona scelta di vini.Non ci sono posti a sedere, si fa la fila e si mangia in piedi sulla strada.Ragazzi professionali e cortesi.Frequentato anche da fiorentini."
"ui_bubble_rating bubble_50","Panini super!","Ho preso il panino con i pomodori secchi, fantastici. Mi ha spiegato che li fa lui! Veloce, rapporto qualità prezzo perfetto!"
"ui_bubble_rating bubble_50","Semplicemente strepitosi","I ragazzi fantastici anche quando hanno km di coda ti servono sempre con il sorriso prodotti fantastici si sente la qualità super tutto buonissimo ancora nn ho trovato un difetto"
"ui_bubble_rating bubble_50","Piacevole sosta a firenze","Oltre la bontà dei prodotti offerti voglio sottolineare la cura per il dettaglio, la cortesia e la passione dei proprietari. Siamo stati accolti e salutati con un sorriso in camicia e cravatta. Stupende le mensoline appese al mure per consentire l'appoggio del bicchiere di vino mentre si addenta una croccante e gustosa focaccia farcita. BRAVI"
"ui_bubble_rating bubble_50","Ottimo","Prezzi molto popolari per essere nel centro di Firenze, ottimi i panini, vino a partire da 1,5€. Lo consiglio"
"ui_bubble_rating bubble_50","Simpaticissimi e ottimi panini","Sono stata in questo posto con il mio ragazzo durante una visita a Firenze in giornata! Panini di diversi tipi..pronti in pochissimo tempo.. il tutto accompagnato da 2 calici di vino (brunello di Montalcino) e chiacchiere simpatiche dei 2 ragazzi! È stato molto piacevole..sicuramente un posto che consiglierei a chi vuole mangiare bene..a poco prezzo..in centro città! "
"ui_bubble_rating bubble_50","Cibo ottimo, personale fantastico!","Incuriositi dalle ottime recensioni abbiamo prenotato per pranzo in questa trattoria. Il locale è stato da poco rinnovato poichè acquistato da dei ragazzi giovani e in gamba, davvero simpatici e accoglienti! Abbiamo mangiato benissimo, in due hanno scelto il menù che comprendeva antipasto primo e tagliata mentre altri due hanno smezzato una Fiorentina da 1.3 kg cotta sulla griglia nel caminetto interno al locale, uno spettacolo si scioglieva in bocca!!! Per quello che abbiamo mangiato prezzo giusto, consigliatissimo!"
"ui_bubble_rating bubble_50","Il mondo nascosto del panino!","Durante il soggiorno a Firenze con mia moglie per cena scopriamo questo posto pieno di gente e con la lista infinita di panini appesa alla parete.. diamo un'occhiata al menù e scegliamo subito due panini... il panino lo puoi scegliere con la pizza o con il pane e comporlo come vuoi anche fuori menù.. in due minuti è pronto da gustare! Bè devo dire che sono davvero sublimi... a tal punto che sono andato a fare il bis! Lo consiglio vivamente per chi vuole un pasto veloce a basso prezzo ma con una qualità senza eguali!"
"ui_bubble_rating bubble_50","Semplicemente unici","Non si può passeggiare nel centro storico di Firenze e non fermarsi da I Fratellini a mangiare un panino o la schiacciata (che da loro è veramente speciale) . Nella loro semplicità sono semplicemente perfetti ! I panini o la schiacciata sono eccellenti e freschissimi, e soprattutto preparati all'istante; insuperabili se accompagnati da uno dei loro ottimi vini ; speciale il loro Trebbiano della Rufina; la bellezza di questo posto è che si mangia una bontà al volo, in mezzo alla via senza troppi fronzoli inutili e questa pausa diventa qualcosa di unico se vissuta in compagnia...Non esiset a Firenze un posto come questo, che per la sua tipologia è veramente unico. Fanno da padrone poi la cortesia e la simpatia dei titolari. Bravi ! Ci vediamo presto ! 5 Stelle super meritate !"
"ui_bubble_rating bubble_50","Pausa pranzo all'insegna del buon cibo","Mi sono recato in questo luogo, dopo aver studiato un po i locali nei dintorni. Avevo un alta stima prima di entrarci e un enorme curiosità. Tutto ciò che ho letto e sentito su questo locale l'ho approvato di persona. Un buonissimo panino (finocchiona e crema di formaggio) per 4 euro e con qualche altro euro anche un buon calice di vino rosso. Consiglio vivamente di venire in questo locale per prendere un un buon panino per gustarlo in Piazza della Signoria (che è li vicino). Insomma, grazie del buon pasto e della buona esperienza.PS: non allego la foto del panino, perchè l'ho mangiato troppo velocemente"
"ui_bubble_rating bubble_40","Un posto vero (anche se pieno di turisti)","Minuscolo locale storico nel centro di Firenze a un passo da Piazza della Signoria. Si servono solo panini (tutti allo stesso prezzo). Si fa la fila e si mangia per strada, appoggiando il vino in piccoli scaffali appesi alle porte del locale. Panini di buona qualità (il pane che era sempre stato il punto debole) mi pare molto migliorato negli ultimi tempi. Adesso servono anche schiacciata. Buona scelta di vini a bicchiere. Un posto vero dove si mangia da decenni."
"ui_bubble_rating bubble_50","Tappa fissa","Ho vissuto a Firenze per un po e ogni volta che ritorno non posso non passare dai fratellini per i loro fantastici panini. Meglio di tanti altri con file chilometriche e prodotti di scarsa qualità."
"ui_bubble_rating bubble_40","Prodotti ottimi ","Mi sono fermata per un pranzo veloce insieme ad amici presso I fratellini e ne sono rimasta soddisfatta. Prodotti tipici e di buona qualità, prezzi molto accessibili e corretti in relazione al prodotto offerto. Personale cordiale e disponibile, peccato la completa assenza di posti a sedere ma dovuta probabilmente alla struttura dell' ambiente circostante (marciapiede e strada troppo ristretti). L' ideale per un pranzo veloce e take-away "
