"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_20","Pessimo","Da un locale del genere mi aspettavo molto di più, abbiamo preso con degli amici del lampredotto e la qualità era una delle peggiori mai assaporate. Da evitare"
"ui_bubble_rating bubble_40","Toscani 100%","Il locale è piccolino, credo sia una gastronomia, con un solo tavolino all’interno appena entro mi fa ben sperare perché la clientela è del posto; speranze ben riposte perché il panino con il lampredotto è buonissimo e, considerata la zona, anche economico.Ci tornerò sicuramente"
"ui_bubble_rating bubble_40","Buono il lampredotto","Il locale è piuttosto piccolo e c'è un solo tavolo all'interno (si presenta più come una sorta di salumeria/bottega). Parecchio frequentato ma, nonostante la fila, non si aspetta molto per mangiare. Molto buono il lampredotto e simpatici i gestori."
"ui_bubble_rating bubble_40","Booooono","Ottimi panini e focacce , se venite presto riuscite anche a sedervi sull’unico tavolino che c’è . Non vi rimane che sbizzarrirvi è sceglier salumi e salse da abbinare a focaccia o ciabatta"
"ui_bubble_rating bubble_50","Panini eccellenti ","Pranzo con panini eccellenti: un panino al lampredotto e una schiacciata con crudo e pecorino, buonissimi! I due ragazzi al banco gentilissimi. Peccato solo che ci sia un angolo piccolo per potersi sedere dentro, e una volta pieno si debba restare in piedi a consumare il panino all’aperto. Comunque eccezionale, anche nei prezzi."
"ui_bubble_rating bubble_50","Una focaccia morbida coi fiocchi","Caldamente consigliatomi da gente che già lo conosceva, questo piccolo locale ha ampiamente soddisfatto le mie aspettative.Ideale per un panino al volo quando non si vuole perdere tempo per fermarsi in un ristorante o in una pizzeria."
"ui_bubble_rating bubble_40","aquisti n gastronomia","posto piccolo ma molto accogliente gastronomia e prodotti buonissimi panino al lampredotto da provare il propretario molto professionale."
"ui_bubble_rating bubble_50","Un punto fisso!","Ci siamo stati 5 anni fa e una volta tornati a Firenze siamo senza esitazione tornati qui! Il panino con il lampredotto è una cosa spettacolare, buonissima anche la schiacciata croccante con mortadella e salsa al tartufo.Inoltre onestissimo perché un qualsiasi panino costa 3,50€!Il ragazzo che serve è molto simpatico e cordiale, insomma assolutamente da consigliare!!"
"ui_bubble_rating bubble_30","Panino con lampredotto","Buono il panino col lampredotto (ovviamente deve piacere il prodotto), servizio veloce, personale un po’ freddo. Prezzi giusti. "
"ui_bubble_rating bubble_50","Finalmente il lampredotto","Trovato per caso mentre cercavamo il lampredotto. Posto piccolo con qualche posto a sedere. Panini al lampredotto buoni e ben farciti. Rapporto qualità prezzo eccezionale: 4 lampredotti, 1 bottiglia d'acqua da 1.5l e 1 birra da 66=18€"
"ui_bubble_rating bubble_40","Panino al volo! ","Panino al volo ottimo! Ingredienti tipici toscani come finocchiona salame e pecorino toscano. Il pane personalmente l'ho trovato un po' duro.Ragazzi molto gentili e servizio veloce"
"ui_bubble_rating bubble_50","Ottimooo","Capitati per caso, ci ritorneremo sicuramente. La schiacciata è buonissima cosi come i salumi e i vari condimenti. Rispetto agli altri posti simili in cui siamo stati ti danno la possibilità di scegliere anche la grandezza della schiacciata. "
"ui_bubble_rating bubble_50","Uno spettacolo","Vado a mangiare da I Maledetti Toscani da più di 10 anni,almeno 4 volte alle settimana..tutto molto buono,dalle schiacciate farcite(finocchiona e stracchino,mortadella e salsa di tartufo,prosciutto e pecorino ecc) al lampredotto,secondo me uno dei più buoni che si possa mangiare in città (da assaggiare assolutamente il lampredotto in inzimino).Lasciatevi sempre consigliare dai due ragazzi al bancone che ci serviranno con simpatia e professionalità!!Unico nel suo genere!"
"ui_bubble_rating bubble_50","lampredotto super e cortesia","veloce spuntino per pranzo, con un super LAMPREDOTTO e una focaccia al crudo toscano di giusta stagionatura; coerentemente con la tipologia di locale i posti a sedere sono 4 o 5 , ma vale la pena prendere il cibo e gustarselo nella vicinissimissima Piazza della Signoria!"
"ui_bubble_rating bubble_50","Autentico!","In mezzo a tanti chioschi, bar e ristoranti acchiappaturisti nel centro di Firenze questo piccolo locale è fantastico per un panino, il lampredotto o - secondo la giornata - cous cous, insalata di farro, riso freddo. La qualità degli alimenti è molto alta e i prezzi sono davvero modici, cosa non così comune a due passi da Duomo e piazza Signoria. Segnalo anche le porzioni generose nelle vaschette e i vari tipi di pane: dalla schiacciata alla fetta di filone. La mia preferita resta però la ciabatta (se la fate scaldare è top), tranne il lunedì quando il consueto fornaio rifornitore è chiuso e il sostituto non è allo stesso livello. PS: considerando che Johnny è tifosissimo viola, se siete juventini entrate a vostro rischio e pericolo "
"ui_bubble_rating bubble_50","Lampredotto","Se passate in zona non potete non provare il panino con il lampredotto. Buonissimo, un po unto ma spettacolare. Ragazzo molto cordiale."
"ui_bubble_rating bubble_40","Da provare","Una goduria! Siamo entrate per caso... e per assaggiare il lampredotto finalmente. Buonissimo, unto, bisunto ma spettacolare. Il ragazzo molto cordiale."
"ui_bubble_rating bubble_50","Fantastico","Clima familiare, personale amichevole e prodotti di prima scelta. Lampredotto pazzesco, da provare ASSOULTAMENTE!Jonny e Daniele fantastici...Posto da provare, se si passa da Firenze.Consigliatissimo "
"ui_bubble_rating bubble_50","Irrinunciabile","Se passate da Firenze non potete assolutamente non fare un salto in questo locale a mangiare il mitico panino col lampredotto!!!Davvero squisito e stuzzicante(difficile mangiarne solo uno...).Accoglienza calorosa e simpatica tipica toscana,ottima qualità e ottimi prezzi!!!Irrinunciabile!!!"
"ui_bubble_rating bubble_20","Poco cordiali","Tra il duomo e piazza signoria, offre panini tipici che si trovano un po' dappertutto. Per noi l'accoglienza, anche per chi è di passaggio, è un'altra cosa rispetto a quella proposta. "
"ui_bubble_rating bubble_50","Panini maledettamente toscani!","È sempre più raro trovare posti autenticamente fiorentini nell'oramai turistico centro storico. Qua si trovano ottimi prodotti al giusto prezzo. Se siete in zona palazzo vecchio in cerca di uno spuntino avete trovato il posto giusto."
"ui_bubble_rating bubble_40","Lampredotto!!","Buonissimo il lampredotto, come sempre. Ogni volta che sono a Firenze almeno una volta devo passare (e ne prendo 2 di fila)! Provato sempre e solo il panini con lampredotto ed è stupendo, rapporto qualità prezzo a mio parere molto alto; da calcolare che io non mangio interiora...se non in questo panino epico."
"ui_bubble_rating bubble_40","panino con amici","posto piccolo ma accogliente eccezionale i panini di lampredotto il responsabile competente e consiglia i panini ."
