"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una garanzia","Ci torno ogni volta che faccio visita a Firenze. I migliori panini e schiacciate della città. Consiglio schiacciata istrione."
"ui_bubble_rating bubble_40","Ottimo per una pausa ","Locale molto tradizionale, ricco di prodotti toscani. Notorio per i suoi panini, ottimi sia di sapore che per i prezzi. Consiglio vivamente di provare i crostini toscani! Un must prima di andarsene da questa bella città!"
"ui_bubble_rating bubble_50","Veramente caratteristico. ","Veramente una bella esperienza. Ammetto di esserci capitata per caso, avendolo notato mentre passeggiavo ma sono super felice di averlo provato perché ne è valsa davvero la pena. Posto piccolo ma sul serio caratteristico, cibo ottimo e personale davvero simpatico e accogliente. Inoltre prezzo onesto. Lo consiglio a tutti! "
"ui_bubble_rating bubble_40","Molto buono","Abbiamo deciso di mangiare qui perché la fila per altri posti era troppo lunga ma ne è valsa la pena perché la schiacciata era buonissima. Veramente ottimo street food."
"ui_bubble_rating bubble_50","Buono","Abbiamo assaggiato la schiacciata con prodotti tipici. Molto buoni, ben imbottiti, ragazzi giovani e simpatici, locale spartano ma prezzi ottimi. Continuate così."
"ui_bubble_rating bubble_50","Pausa pranzo sfiziosa","Ci siamo fermati per un pranzo veloce e fortunatamente c'era poca fila. In un minuto abbiamo ricevuto le nostre schiacciate: entrambe ottime! Prodotti freschi e di qualità. Un consiglio: munirsi di salviette se avete scelto la schiacciata con i pomodorini sott'olio che è davvero speciale! "
"ui_bubble_rating bubble_50","La scelta giusta per una breve sosta","Trovato per caso, decidiamo di entrare in questo locale minuscolo ma, proprio per questo, accogliente! Schiacciata ottima e prezzo più che accessibile! La scelta giusta per un pranzo al volo!"
"ui_bubble_rating bubble_50","Buonissimo","Posto piccolino ma molto accogliente! La schiacciata è veramente deliziosa ed ha un prezzo davvero ridotto! Consigliatissimo!"
"ui_bubble_rating bubble_40","Ottimo per una meranda","Minuscolo locale a due passi dagli Uffizi, entrando si percepisce la schiettezza del locale, ingredienti semplici e saporiti della tradizione toscana. Siamo entrati leggermente in anticipo sull'orario del pranzo (consigliamo) e subito siamo accolti in modo caloroso e molto cordiale, ci siamo fatti consigliare su cosa ordinare e abbiamo optato per due schiacciate, una con un salume detto briciolona un impasto simile alla finocchiona ma più grossolano che deve essere tagliato a coltello e una con porchetta, pecorino alle vinacce e salsa al tartufo. In complesso abbiamo gustato le due focacce in tranquillità chiaccherando con il proprietario come a casa da amici. Abbiamo notato che molti si sono lamentati del pochissimo spazio e non possiamo dare torto, ma scegliendo orari meno canonici ci si riserva un'esperienza all'interno della salumeria toscana. Torneremo sicuramente."
