"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Ottimo ","Tutto perfetto: il localino piccolo e accogliente, i prezzi e il personale. Ho assaggiato per la prima volta il panino con il lampredotto: solo questione di gusti. Questo piccolo posto ne ha davvero per tutti i gusti e merita una visita durante una sosta nella splendida Firenze "
"ui_bubble_rating bubble_50","Consigliatissimo","Se volete mangiare un panino al volo,buono ed economico è il posto ideale.Ottimo rapporto qualità prezzo ,riescono a conciliare panini con cucina fatta in casa.Ad esempio abbiamo preso il panino a scodella con le polpette all’interno ed erano veramente buono.Unica piccola pecca gli spazi ristretti,ma ideale per chi non ha molto tempo.Personale cordialissimo! Brave! "
"ui_bubble_rating bubble_50","Tutto perfetto","Il cibo ottimo e vario, il rapporto qualità prezzo perfetto. Inoltre veramente cordiali ed educate le signore che lavorano dietro il banco"
"ui_bubble_rating bubble_50","Ottimo pranzo","Locale accogliente composto da circa 20 coperti, disposto su due piani. Ottimo il cibo e gentilissime le proprietarie. Economico. Da provare assolutamente. "
"ui_bubble_rating bubble_50","Buonissimo ","Trovato questo piccolo locale casualmente dietro piazza signorina Ragazzi che Panini è che cibo, tutto fatto in casa e veramente ottimo Stato con moglie e bimbo, proprietarie fantastiche e gentilissime Da andarci Costa anche poco "
"ui_bubble_rating bubble_50","Locale tipico, economico e delizioso","Siamo stati in questo locale per un pranzo, passando da fuori ne siamo stati subito attratti. Abbiamo preso una porzione di ribollita (zuppa tipica toscana con legumi, pomodoro e pane) e un panino con porchetta, melanzane e salsa di senape. Entrambi buonissimi per un totale di 11€ (6 euro la ribollita, 5 euro il panino).Locale consigliato per viaggi low cost."
"ui_bubble_rating bubble_40","Sorprendente","Locale piccolo ma accogliente, si respira aria di casa e sia il personale che le pietanze ne fanno da padrone. Ottimo per fermarsi al volo se si cerca un buon panino imbottito a piacere con prodotti tipici locali a 5 euro,oppure un bel piatto di pasta,zuppa e molto altro a 6 euro. Lo consiglio."
"ui_bubble_rating bubble_50","Squisito","Piccolo locale in pieno centro dove poter gustare ottimi panini ed il lampredotto, veramente consigliato per chi vuole mangiare molto bene senza perdere tanto tempo. "
"ui_bubble_rating bubble_20","Mha....","Rimango basito da posti del genere, il lampredotto non era un granchè ne ho assaggiati si meglio, salsa verde in scala indistriale...i prezzi non sono economici, ci si aspetterebbe qualcosa in più..la pulizia lascia a desiderare sopratutto al piano superiore dove si trova una piccola saletta."
"ui_bubble_rating bubble_40","Fantastici!","Per un pranzo in centro (Piazza della Signoria) sono una delle soluzioni con il miglior rapporto qualità-prezzo. Panini giganti e ben farciti. Diverse scelte di primi piatti e secondi, ben conditi, tutto fresco di giornata, da scegliere al banco. Con meno di 10€ puoi fare un pasto davvero abbondante (le porzioni sono generose), includendo anche un bicchiere di vino. Personale sorridente e cordiale e servizio veloce. Ambiente piccolo ma accogliente. Ideale anche da asporto."
"ui_bubble_rating bubble_40","Street food con il sapore della tradizione ","Piccolo, accogliente, adiacente a piazza della signoria.Un panino al volo, lo street food ma con il sapore della tradizione paini gustosi , primi di vario genere ma la sensazione di stare nelle vecchie salumerie di fiducia dove qualsiasi cosa si scelga e ottimo ....Qualita prezzo ottimo "
"ui_bubble_rating bubble_50","Una riconferma","Siamo ritornate qui dopo 6 anni e siamo rimaste ancor più soddisfatte della volta precedente! Essendo sabato, il locale era meno affollato e abbiamo trovato posto al piano superiore. Panini con ricca farcitura, a un prezzo davvero onesto.In alternativa al panino è possibile prendere un primo piatto caldo.Il tutto servito con grande cortesia."
"ui_bubble_rating bubble_40","Il paradiso dei panini","Ci siamo fermati per un pranzo al volo mentre giravamo per Firenze.Panini abbondanti, ampia scelta di ingredienti tipici e succulenti, in particolar modo i panini a scodella. Prezzi giusti e personale educato,cordiale e molto competente. Consigliato!!!"
"ui_bubble_rating bubble_50","Pranzo veloce ","Ottimo Posto per un pranzo rapido e gustoso. Panini buonissimi con ingredienti freschi. Disponibilità anche di primi piatti o piatti freddi fatti in giornata. Titolari gentilissimi. Prezzi buoni. "
"ui_bubble_rating bubble_20","Niente di che..","Ho assaggiato il panino con la 'nduja', un oltraggio chiamarla così. Pomodori secchi delle peggiori qualità, e mozzarella julienne da pizza.. Ottimo il pane, quantomeno"
"ui_bubble_rating bubble_40","Buoni","Panini con ingredienti buoni e di qualità. Servizio fai da te con qualche posto per sedersiPerché no"
"ui_bubble_rating bubble_30","Niente di eccezionale","Sinceramente rispetto agli altri posti in cui ho provato la gastronomia toscana non é nulla di eccezionale. Il pane era leggermente duro. La cosa che mi ha dato più noia è che io non ho visto fare lo scontrino a quasi mezza clientela. "
"ui_bubble_rating bubble_50","Ottimo!","Sono stata qui per due volte di seguito durante il mio soggiorno a Firenze. Il posto è accogliente, anche se piccolo. Al piano superiore c'è una piccola sala con dei tavoli dove potersi sedere a mangiare. È un ottimo posto in cui provare dei buonissimi piatti tipici della cucina fiorentina (provate la ribollita, non ve ne pentirete!)"
"ui_bubble_rating bubble_50","Il Vero panino alla Finocchiona!","Il cernacchino è sicuramente una delle paninerie Firenze più apprezzate per la genuinità dei prodotti e soprattutto per L'abbondanza!! I panini sono veramente strepitosi, preparati sul momento da due cuoche simpatiche e scherzose; sono veramente farciti con l'impossibile io vi consiglio di provarli tutti uno dopo l'altro perché ogni giorno ne scopro uno più buono, ma se posso essere sincera vi consiglio quello a base di Finocchiona, pecorino e Melanzane!"
"ui_bubble_rating bubble_50","Bel panino","Bel negozietto piccolino, panini davvero buoni, consigliamo la rosetta farcita con prosciutto, carciofini e mozzarella."
"ui_bubble_rating bubble_50","Super Panino del Centro a Firenze","Il cernacchino è sicuramente uno dei locali più tipici di Firenze. Ubicato in una piccola stradina a pochi passi dal Duomo, a pochi passi da piazza della Signoria e dal centro in generale. I panini che vengono sfornati in questo piccolo locale sono veramente favolosi e gustosi. Il menù è estremamente ampio e riesci a mettere tutti d'accordo grandi e piccini. Ppersonalmente sono una fan dela loro Pasta, La famosa carbonara senza uova e formaggio !"
"ui_bubble_rating bubble_40","paninone farcito","abbiamo preso in questo negozietto che serve panini una rosetta farcita con prosciutto, carciofini e mozzarella. molto buono"
"ui_bubble_rating bubble_50","Il vero panino Fiorentino!","Il vero panino a Firenze si mangia solo in questo locale, tra una grandissima scelta di vini, formaggi, pecorino e salumi toscani tipici del posto. Panini imbottiti sul momento, freddi e caldi. Io ve li consiglio tutti, ho deciso di provarne uno ogni volta che mi fermo!"
"ui_bubble_rating bubble_50","Originale","Siamo stati a pranzo qualche giorno fa, il locale è minuscolo ma ci siamo stati ed eravamo in nove. Si mangia e si lascia il posto ad altri. Soluzione originale per mangiare un piatto caldo e tipico al volo! Il servizio è tipo rosticceria, con piatti di plastica e vassoi, si prende ciò che si vede al banco poi si sale e si prende posto anche condividendo i tavoli con altri avventori. Quindi l’idea è quasi da fast food, ma l’ambiente è tipico toscano, caldo, bello, accogliente! Con due simpaticissime signore, presumo le titolari, che ti servono con allegria Toscana! Brave!"
"ui_bubble_rating bubble_40","Un panino al volo","Per quanto non ami il cibo da strada questo è sicuramente un buon compromesso per soddisfare il mio appetito e palato. Gustosi panini dai sapori della tradizione ma non solo... questo piccolo posticino nel cuore di Firenze offre anche piatti caldi. Unica pecca la scarsità dei tavoli che servono solo come appoggio momentaneamente per consumare il tuo piatto (in velocità). "
"ui_bubble_rating bubble_50","Fantastico!","Per un pasto veloce ed economico è un posto fantastico. Hanno ingredienti di qualità, cambiano le combinazioni dei panini sul gusto dei clienti, e fanno cibi saporiti. I proprietari sono gentili e disponibili. "
"ui_bubble_rating bubble_50","Il miglior panino al Lampredotto","Il Cernacchino è una panineria davvero superiore in centro a Firenze. Ci ho mangiato in questi giorni uno dei migliori panini al Lampredotto. Preparazione ottimale e grandi sapori, preparati da due cuoche al volo proprio davanti ai nostri occhi.. Primi piatti toscani e altre specialità ma se ci passate io vi consiglio i panini. Moltissimi nel menu e buonissimi."
"ui_bubble_rating bubble_50","Caratteristico locale in pieno centro","Il locale si trova in via Condotta, proprio dietro Piazza Signoria, nel cuore più vecchio e storico della città.Per chi vuole mangiar bene ad un prezzo onesto è l'ideale, il cibo è prettamente toscano con alcune variazioni in tema, ottimi i panini ed i dolci fatti in casa. Non è possibile prenotare ma alle ore giuste si trova sempre posto. Non esiste servizio al tavolo, uno si serve e poi sceglie il posto. Costo medio 10/12€."
"ui_bubble_rating bubble_50","Pranzo veloce coi sapori della tradizione","Da provare assolutamente. Panini e primi piatti cucinati come tradizione comanda, accompagnati dalla simpatia travolgente delle cuoche che spazza via ogni pensiero.Un posticino raccolto dove la pausa pranzo sa di casa e profuma di ragù della nonna."
