"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena ottima ","Alloggiando al guelfo bianco, col mio ragazzo abbiamo deciso di provare questo bistrot che si trova a fianco dell hotel. Abbiamo preso due primi, una lasagna con ragù toscano e una lasagna con crema di pecorino e carciofi, e due dolci tortino alle carote con crema al cioccolato bianco e granella di pistacchi e tortino al fondente con crema di agrumi! Beh un ottima cena, prezzi accessibili. Personale molto gentile e disponibile! Da tornarci per una prossima visita a Firenze! Lo consiglio vivamente "
"ui_bubble_rating bubble_50","Ottimo!!!","Ristorante ottimo, come ho già scritto per l'hotel. Ho mangiato una lasagnetta con il ragù. Buona scelta anche per i vegani. Ristorante accessibile alle persone disabili. Personale molto simpatico e disponibile. Lo consiglio a tutti."
"ui_bubble_rating bubble_50","Ottima cucina","Delizioso Bistrot, camerieri efficienti e gentili. Da tornarci assolutamente. Consiglio la crema di ceci con baccalà. "
"ui_bubble_rating bubble_50","Ottimo pranzo tra S.Marco ed il Duomo","Abbiamo pranzato ottimamente a Il Desco. Ottima la trippa alla Toscana come antipasto, tagliatelle cacio e pepe in crema di spinaci e pinoli. Buonissimo il coniglio.Prezzo direi nella media. Ottimi piatti anche per vegetariani. Consigliato "
"ui_bubble_rating bubble_50","Piacevole scoperta","Personale gentilissimo e piatti vegetariani molto ben cucinati e gustosi. Ingredienti freschi e di qualità. Ottimi lo sformatino con ricotta di pecora e i tagliolini cacio e pepe su crema di spinaci e pinoli."
"ui_bubble_rating bubble_50","Piacevole scoperta!","Trovato per caso ed e' stato una piacevole scoperta!! Cibo ottimo, servizio eccellente. Luogo molto accogliente e nonostante avessimo delle esigenze alimentari particolari abbiamo pranzato divinamente."
"ui_bubble_rating bubble_40","Molto bene","ottimo cibo...ottimo servizio...i ragazzi sono preparati, puntuali e attenti! da ritornarci sicuramente..se calassimo leggermente i prezzi torno anche più contento...ma vabè..è Bio! good guys!"
"ui_bubble_rating bubble_50","Niente da aggiungere.!","Ottimo niente da aggiungere, personale molto professionale, gentilissimo e molto disponibile, molto attenti al cliente, ad ogni piatto ci è stato sempre chiesto se era di nostro piacimento, dai primi, secondi e dolci. È stata una scoperta e ci ritorneremo sicuramente, location accogliente e molto armoniosa, suggerisco a tutti i dolci che vengono fatti senza glutine assolutamente da provare. Davvero complimenti e a presto!. "
"ui_bubble_rating bubble_50","Graziosa scoperta","Questo ristorantino mi ha piacevolmente colpito. A parte il cibo di ottima qualità a km 0 e biologico, anche i camerieri sono molto simpatici e disponibili. Una tappa consigliata per i pasti ogni volta che ci si trova a Firenze. Veramente ottimo."
"ui_bubble_rating bubble_40","Molto buono","Sono stata in questo ristorante delizioso lo scorso sabato, con un'amica. A parte lo spiacevole inconveniente della mia prenotazione telefonica mai registrata, ho potuto apprezzare la cortesia del personale, il posto davvero carino (il dehors è adorabile ma non ne abbiamo potuto godere perché pioveva) e l'ottimo cibo. Personalmente, ho particolarmente gradito lo sformatino di ricotta di capra e broccoli (delicatissimo) e il tortino di cioccolato e marmellata di arance bio con granella di noci (speciale). Tra un antipasto, un primo, dolce, acqua e un calice di rosso, s'è speso circa 30€ a testa. Lo consiglio."
"ui_bubble_rating bubble_40","Sorprendente biologico","Era la prima volta che entravo in un ristorante che si definisce “biologico” e confesso di aver sempre avuto l’impressione che gli alimenti cosiddetti biologici costituissero un’eccellenza per la salute ma non costantemente anche per le papille gustative. Quello che ho mangiato in questo piccolo ristorante fiorentino ha rappresentato per me uno stimolo ed un buon motivo per iniziare a rivedere questa mia suddetta “impressione” perché tutto mi è sembrato di ottima qualità, ben cucinato e perfettamente presentato. L’ambiente è gradevolmente arredato ma un po’ angusto, il menu serale piuttosto limitato ed anche la carta dei vini non propone molte scelte. Nel complesso credo di aver fatto un’esperienza positiva che comunque merita di essere ripetuta e consigliata ad amici."
"ui_bubble_rating bubble_50","Ottimo ","Servizio veloce e cibo ottimo , 5 stelle meritate sopratutto per la vostra professionalità e simpatia."
