"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Super-panino!","Piccolo locale di passaggio senza posto a sedere, ma vale la pena fermarsi a gustare un panino toscano doc.Varianti con salsa verde e pecorino.....veramente gustosi abbinati ad un buon bicchiere di rosso!!!!"
"ui_bubble_rating bubble_50","W Firenze","È un posto piccolissimo, passa quasi inosservato, ma ha dei panini veramente buoni. Non una grande scelta: ma i salumi sono squisiti."
"ui_bubble_rating bubble_50","Anche Shiacciata","Che sia Panino Che sia Schiacciata poi ci sono gli ingredienti...Salame...Pecorino...Mortadella...Cinghiale...Insomma i sapori non mancano. Fermarsi e gustare. Troppo Buoni. "
"ui_bubble_rating bubble_50","Panino invidiabile!!!","Minuscolo locale vicino a Santa Maria Novella, se si deve affrontare un lungo viaggio in treno perché non partire equipaggiati?!? La gentilissima ragazza mi consiglia gli ingredienti più giusti e rispondenti alle mie esigenze e... mi confeziona in pochi istanti una spettacolare schiacchiata farcita con prosciutto toscano e crema tartufata! Credo che tutti i viaggiatori dello scompartimento mi abbiano invidiata, sprigionava un profumo fantastico! Bravissimi!!!"
"ui_bubble_rating bubble_40","Piccolo locale ma....","Piccolo locale ma con un grande tesoro al suo interno ! Panini e schiacciate di ottima qualita. Abbinamenti particolari da provare . Servizio veloce . Vicino alla stazione SMN."
"ui_bubble_rating bubble_50","Esci da un appuntamento di lavoro e trovi la pace dei sensi","Uscito da un pomeriggio lavorativo dopo che hai anche saltato il pranzo trovi questo micro posto mentre vai a prendere il treno: dimentichi orari e fatica e ti godi in santa pace un bel panino con la sbriciolona accompagnato da un bicchiere di chianti. Ti rimpossi di te stesso. Molto cortese e carina la ragazza dietro il bancone. Da tenere assolutamente presente e provare."
"ui_bubble_rating bubble_50","Ottimo Paninaro","In una citta' piena e strapiena di vinaini e paninerie piuttosto anonimi, cari, e acchiappaturisti e' ancora possibile invece trovare un piccolo locale dove poter gustare dei panini davvero buoni a prezzi onesti. La simpatia del proprietario rende la sosta per la merenda ancora piu' piacevole, vi sapra' consigliare il panino piu adatto ai vostri gusti, tutti fatti con materie prime di qualita'. Consigliato!"
"ui_bubble_rating bubble_50","Piacevole scoperta ","Io e la mia ragazza ci siamo fermati a prendere un pezzo di schiacciata ripiena per il viaggio in treno. Ho preso mortadella, pomodorini secchi e salsa verde, molto buono e soprattutto ottimo il prezzo (4,5€); super consigliato!"
"ui_bubble_rating bubble_50","Ottima qualità","Ottima qualità dei prodotti, ampia scelta con prodotti locali e non. Prezzi nella media. Molto cortese"
