"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Panini Fotonici","Tantissima scelta ma in particolare panini del giorno FOTONICI! Personale super disponibile e di una simpatia poco frequente!Bravi!"
"ui_bubble_rating bubble_50","Ritrovino dei servi un posticino nascosto dalle grandi qualità","Ottima selezione di panini e vini. Si apprezza soprattuto l'ambiente caldo e cordiale e l'ospitalità di Simone e Nicola. Per una veloce pausa pranzo lo consiglio vivamente."
"ui_bubble_rating bubble_50","Migliore panino al Lampredotto di Firenze","Entrato per la prima volta ieri per caso, dopo udienza al Tar.In assoluto il miglior panino con ilLampredotto di Firenze, una spanna sopra tutti gli altri (ho vissuto qui dieci anni, e li ho assaggiati più o meno tutti): utilizzo di pane adeguato (rigorosamente rosetta, leggermente tostata poco prima dell’immersione della parte superiore delpanino nel brodo vegetale, ciò che evita il fastidioso effetto mappazza che si crea nell’80% dei casi); lampredotto di primissima qualità, salse fatte dai due bravissimi, esperti e appassionati gestori.Ogni giorno menù ricco di altre leccornie.Eccezionale."
"ui_bubble_rating bubble_50","Bravi","Niente da aggiungere. Troverete sempre qualità e cortesia. Spettacolari gli accostamenti anche in un semplice panino. Zuppe e stufati meravigliosi. Il ritrovino è sempre una garanzia. "
"ui_bubble_rating bubble_50","Non un semplice spuntino","Locale piccolo ma accogliente, ottimo per un pranzo veloce. Piatti caldi e freddi e panini di ogni tipo. Purtroppo è aperto solo a pranzo."
"ui_bubble_rating bubble_50","Panini deliziosi a un prezzo più che onesto","Io e il mio ragazzo ci siamo trovati davvero bene. I ragazzi che ci lavorano sono simpatici e molto cortesi. Il lampredotto e la porchetta erano veramente deliziosi. Si meritano tutte e 5 le stelle"
"ui_bubble_rating bubble_50","Ottimi panini","Gran panino col lampredotto, ottimi anche gli altri, accoglienti, cortesi e prezzi onesti. Spero di poterci tornare!"
"ui_bubble_rating bubble_50","ottimo consiglabilissimo","perfetto connubio fra quakita e prezzo complimenti per i salumi di scarpaccia da gustare il mercoledi la porchetta simone e nicola i proprietari gentilissimi e disponibili, il posto è piccolo e difficile trovare posto a sedere ma sicuramente l'attesa viene premiata"
"ui_bubble_rating bubble_50","Panini Fiorentini DOC","Veramente ottimi prodotti, il Lampredotto da non de dimenticare... Vi consiglio a tutti.Aos amigos Portugueses, vocês devem visitar este posto para provare a genuíno pão com Lampredotto!. "
