"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","UNA CERTEZZA DI OTTIMA CUCINA","Ecco qui' alla trattoria-pizzeria il Teatro in via Ghibellina, si ritrovano le qualia' gia' sperimentate all'altra trattoria ( il Vecchio Cigno ) della Signora Mirella, proprietaria dei 2 locali. Essendo il  Teatro  in zona di piena Movida fiorentina, si puo' cenare fino a tarda ora. Ottimo il tipo di cucina, nelle cotture e nei sapori, con portate decisamente abbondanti. La gentilezza del personale tutto , consente di avere un buon rapporto fra il cliente e i camerieri, che anche ti spiegano i piatti . Si' ! Mi piace tutto, e anche se abito un po' lontano ci tornero' sicuramente. UNA CERTEZZA anche per il rapporto qualita' prezzo, che direi ottimo. Ho veduto servire delle bellissime pizze! mmm CHE GOLA ! sono diabetico, avevo gia' mangiato un ottimo primo allo scoglio e non potevo fare di piu'. Ma la prossima volta voglio gustarmi uno di quei bei pizzoni, che sforna il giovane pizzaiolo. Tutti quanti all'altezza questi bravi OSTI ! Buona la pulizia del locale, composto di 2 grandi spazi. Mi complimento con la Signora Elena Mirella, con il suo sposo NIcola ( Nicco ) con Mauro il capo-cameriere, credo, e tutte le ragazze e ragazzi che servono ai tavoli . Consiglio di provare anche i dolci, perche' non ve ne pentirete ---- LO STRACONSIGLIO!"
"ui_bubble_rating bubble_30","Tramite TheFork","Premetto che non avevamo mai sentito parlare del locale, siamo stati attratti dallo stesso grazie allo sconto del 20% offerto da TheFork.Abbiamo preso un antipasto teatro per 2 persone, tortelli con ripieno di pecorino e pere con burro fuso, pici al pomodoro con burrata e guanciale, 1 acqua, 1 birra e 1 caffè per un totale di 54 € (sconto ancora da applicare).A proposito dello sconto, lo stesso NON è stato applicato subito ma dopo segnalazione; inoltre, nonostante la prenotazione, ci hanno fatto accomodare ad un tavolo (ancora da sparecchiare) pulito al momento mentre noi eravamo già seduti..la tovaglia bianca era sporca di vino rosso (non preso da noi) e di unto ma non è stata cambiata anzi, sono state appoggiate sopra delle tovagliette di carta (a mo' di copertura) come vedrete dalle foto.Il cibo era davvero squisito ma per il resto purtroppo non ci siamo."
"ui_bubble_rating bubble_30","Top per la vicinanza al teatro.","Un ristorante nella norma, con il grande valore aggiunto dato dalla vicinanza al teatro.Ottimo per chi desidera mangiare qualcosa prima di uno spettacolo,Locale pulito e personale cordiale e veloce. Il cibo nella norma, con antipasti generosi (1 porzione direi più che abbondante per due persone) a circa 10 euro cad. e primi normali con prezzi a ca. 9 / 10 euro."
"ui_bubble_rating bubble_40","Semplice e tipico","Location carina nel centro di Firenze. Servizio nella norma, anche se ci hanno fatto aspettare 10 minuti per sparecchiare. I piatti molto buoni, tipici della cucina fiorentina. Prezzi nella norma. Consigliato se si passa dal centro."
"ui_bubble_rating bubble_40","Cena","Sono stato a cena con la mia ragazza e abbiamo optato per un antipasto, il quale è stato abbondante e squisito. Dopodiché abbiamo preso la bistecca alla fiorentina, la cottura era giusta e comunque la porzione era abbastanza nonostante fossimo in due. Siamo stati bene e penso che ritorneremo. "
"ui_bubble_rating bubble_40","molto buono nel complessivo","Nonostante il format turistico, la pizza è molto buona, i piatti sono abbondanti. Ci sono stato varie volte e non mi ha mai deluso"
"ui_bubble_rating bubble_50","Tutto buonissimo ","Ieri sera con una comitiva di 20 amici abbiamo cenato in questo locale su consiglio di altro amico.Tutto ottimo ed abbondante.La Fiorentina era ottima e tenerissima.Prezzo adeguato."
"ui_bubble_rating bubble_40","Cena","Buon ristorante proprio di fronte al teatro Verdi..ottimo cibo presentato davvero bene!per chi vuole mangiare bene prima di uno spettacolo è consigliatissimo!"
"ui_bubble_rating bubble_50","Ottima FIORENTINA! ","Sono stato a pranzo con un amico in questa pizzeria ristorante proprio di fronte al Teatro Verdi.Siamo andati per gustare un ottima fiorentina... E così fu!!!Buonissima, tenera, cotta al punto giusto... Da 5 e LODE!Complimenti "
