"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Vai a il vezzo e ci prendi il vizio.","Capodanno senza fregature e con menù alla carta? Amici è possibile! Prenoto questo ristorante su the forK e subito mi innamoro del menù. Si raggiunge facilmente anche se non ti aspetteresti questo genere di ristorante in questo quartiere ricco di posti etnici.locale carino, giovane e accogliente come il personale che ci lavora. Che dire quindi? Salumi e formaggi toscani ottimi accompagnati da una ricca lista di ottimi vini, ma se si vuole declinare sul pesce io ve lo consigio vivamente. Le mie mazzancolle erano ottime, perfette con un filino in meno di crema di patate. E non parliamo dei primi gnocchetti neri con bottarga di tonno super, non l'avevo mai mangiata. Il mio fidanzato ha fatto la scarpetta, con la focaccia fatta da loro, nel ragù delle sue pappardelle. E rarità abbiamo preso un dolce, per festeggiare. Ottimo. Insomma, pochi piatti nel menù tradizionali e non, ma la cosa importante è il gusto ed era buonissimo. Ci tornerei senza dubbio, anche per assaggiare il primo ignoto al tartufo che mi è passato davanti."
"ui_bubble_rating bubble_40","Capodanno a Firenze <U+2764><U+FE0F>","Obbligo cenare qui! Abbiamo deciso io e il mio compagno di festeggiare il suo compleanno e L arrivo del 2019 in questo ristorante dove il menu era alla carta ! Ambiente favoloso piccolo è riservato ! Il pezzo forte la cucina naturalmente! Ricercata ma lasciando il sapore di ogni pietanza dall antipasto al dolce ! Il filetto si scioglieva in bocca ! Non potevamo trovare di meglio !!!"
"ui_bubble_rating bubble_50","Veramente fantastico","Bellissima esperienza culinaria nel ristorante il Vezzo, ambiente intimo, servizio molto disponibile e professionale. Piatti ben realizzati a livello estetico ed equilibrati come sapori. Sicuramente da ritornare per condividere l'esperienza con altre persone."
"ui_bubble_rating bubble_50","Esperienza incantevole","Sono stata a cena in questo ristorante con il mio ragazzo il 12 dicembre. L'ho scelto perché ho letto che era tra i 10 migliori di Firenze e per le positive recensioni. Ogni aspettativa è stata più che confermata! Il posto è delizioso, piccolo ma veramente accogliente. Il ragazzo che ci ha accolti è stato di una gentilezza rara, ci ha offerto un assaggio di vellutata mentre sceglievano cosa ordinare ed è stato cordiale e presente, mai indiscreto, anche nel presentatarci le portate sul menù. Abbiamo preso degli antipasti toscani, ottime pappardelle al ragù di manzo tagliato a coltello (si scioglieva in bocca!), busiate al ragù di coniglio e per il dolce abbiamo optato per una spuma di tiramisù e una mousse di castagne con crumble di rosmarino e curcuma. Entrambi buonissimi, ma sono rimasta colpita dalla mousse di castagne, perché gli ingredienti, seppure sulla carta sembrino azzardati messi insieme, risultano perfetti ed equilibrati. Un dolce originale che non contiene cioccolato, creme o panna e che si rivela comunque buonissimo, tanto più perché non scontato! Questo posto vale ogni centesimo speso, se passate a Firenze vi consiglio vivamente Il Vezzo. Non vi pentirete affatto e anzi, vorrete tornare al più presto come me!"
"ui_bubble_rating bubble_40","Molto Bene...ma i dessert....","Ambiente informale che mette immediatamente a proprio agio. Troverete un numero contenuto di coperti e questo vi garantirà di cenare in un ambiente tranquillo.Il menù propone qualche variante interessante ai classici temi turistici. Tra questi segnalo il filetto cotto con affumicatura. Molto interessante.Analogo approccio con i primi. Servizio eccellente . Conto in media con la città con una proposta nn turistica. Intorno ai 45 euro antipasto secondo,dolce e calice di vino.Locale consigliato."
"ui_bubble_rating bubble_50","Torneremo!!","Siamo stati a cena nel nostro soggiorno a Firenze.Ristorante con 30 coperti ..Giovanni e Clarissa due ragazzi giovani, molto cordiali e preparati, ci hanno accolto nella loro cucina dai sapori raffinati ma di quelli che ti fanno sentire a “casa” ..porzioni abbondanti e ottima qualità.. Provate la Fiorentina e le busiate al ragù di coniglio e tartufo!! Bravissimi ragazzi! A presto"
"ui_bubble_rating bubble_40","Fiorentina Doc","Accogliente,atmosfera familiare Degustazione salumi e formaggi toscani con focaccia e miele Crostini caldi ai fegatelli di maialeImperdibile Fiorentina Doc ServizioClienti ottimoBuon rapporto qualità/prezzo"
"ui_bubble_rating bubble_50","Spettacolare!!!","Sensazioni davvero uniche per il palato!!! Ve lo consoglio, senza esitazione. Io ho preso una pasta con ragù bianco, cavolo nero e tartufo nero. In visto davvero unico . Mio marito ha preso il filetto su purea di spinaci. Carne tenera, si scioglieva im bocca, ed aveva un sapore unico, forse per una specie di affumicatura al momento di essere servita. Ho preso il dolce: mousse di castagne su crumble al Rosmarino e mandorle. Vi dico solo che mi sono svegliata stamattina con ancora quel particolare sapore in bocca. Ottimo!!!!!!! Rapporto qualità prezzo : promossi. Peccato che non vivo a Firenze , altrimenti ci sarei tornata senza ombra di dubbio. "
"ui_bubble_rating bubble_50","Bistecca e Staff Eccezionali ","Ho avuto il piacere di cenare in questo caratteristico ristorante con la mi ragazza e ne sono rimasto sorpreso. Fiorentina eccezionale, ottima frollatura! Rapporto qualità prezzo buono e staff molto cordiale e preparato. Per coppia e famiglia ottimo."
"ui_bubble_rating bubble_50","Cibo, Qualità e Professionalità ","Posto carino e delizioso...il caso ha voluto che noi fossimo 3 e c'era un tavolo pronto per tre persone: coincidenza che mi ha subito fatto pensare bene. Il cibo non ci ha deluso assolutamente..i piatti presentati hanno quel plus che li rende gustosi, tipici ma con un'accezione qualitativa che ti sorprende. Poi che dire il personale in sala preparato ma mai saccente anzi sembravano proprio delle guide del gusto. Infatti tu assapori le pietanze due volte, la prima durante la descrizione dettagliata ed emozionale di Giovanni(uno dei proprietari), la seconda quando finalmente assaggi il cibo. Grazie"
"ui_bubble_rating bubble_50","Locale caratteristico e molto invitante!","Siamo stati a cena a questo ristorante che si trovava vicino al nostro hotel. L’aria era molto invitante, il locale piccolo (circa 30 coperti) e accogliente. La ragazza che ci ha serviti è stata cordialissima tanto che, nell’attesa della fiorentina che avrebbe impiegato circa 20 minuti a cuocere, ci ha offerto un antipasto eccezionale: crema di zucchine e cavolo con croste di pane e mandorle. Una bomba! Inoltre, sempre offerti dalla casa, dei bocconcini di schiacciata salata fiorentina. La fiorentina era davvero buona, tenera e con cottura giusta. Da consigliare assolutamente. Abbiamo fatto un affare. Anche perché il prezzo per la qualità è davvero basso. Voto 19 stelle "
"ui_bubble_rating bubble_50","Eccellente, eccellente, eccellente!","Locale piccolo e accogliente. C'è armonia tra l'eccellente qualità di ogni i grediente, la cucina e il personale e la musica di qualità!Personale gentile e simpatico e mai inappropriato, con una cameriera dal sorriso sincero e un modo di fare delizioso! Come antipasto abbiamo ordinato un tagliere di salumi e formaggi, entrambi di elevata qualità, e una vellutata di verdure si stagione. La vellutata aveva un grande equilibrio nei sapori, salata al punto giusto e si sentiva il sapore delle verdure fresche.Come portata principale un filetto di manzo servito su un letto di crema di spinaci e accompagnato da foglie di spinaci uvetta e pinoli . Anche qui la carne di ottima qualità e cotta in modo egregio. Gli spinaci cotti benissimo e freschissimi.Come contorni un piatto di insalata mista. Niente è lasciato al caso e perfino l'insalata è scelta e buonissima. Per riassumere ogni dettaglio è selezionato e di ottima qualità. Si nota la grande passione della cucina e del personale. Non c è stata nessuna cosa che mi abbia creato un sentimento di disappunto, è stato tutto buonissimo, come una bella armonia!Grazie e se potessi ci ritornerei sicuramente.Vivamente consigliato.Grazie.Salvatore"
"ui_bubble_rating bubble_50","Quando professionalità e qualità si incontrano","Ottimo cibo, cotture perfette e ottima qualità della materia prima. Servizio attento e cordiale. Bravi. Ci ritorneró. "
"ui_bubble_rating bubble_50","ottima scoperta","su consiglio siamo andati in questo piccolo locale in zona centrale. pochi coperti e locale intimo sono le caratteristiche di questo ristorante.il menù è variegato e non scontato. prezzi nella norma .da apprezzare per la qualità dei prodotti"
"ui_bubble_rating bubble_50","Tutto molto buono","Antipasti e secondi avevano un gusto equilibrato e una cottura perfetta, ottimo il vino che ci è stato consigliato, il tutto completato dai dolci buonissimi e dalla cortesia e professionionalità dei 2 ragazzi in sala. Bravi! "
"ui_bubble_rating bubble_50","Una sorpresa divina<U+2764><U+FE0F>","Una ristorante eccezionale, piccolo e gestito alla grande da Giovanni. Una cordialità, un savoir-faire e un senso di familiarità unica.Assaggiate il filetto su crema di spinaci con uva sultanina e pinoli... una vera poesia. Ritorneremo come promesso appena avremo la possibilità di ritornare in questa bellissima città .Grazie!"
"ui_bubble_rating bubble_50","Una grande scoperta a firenze ","Partiamo dai proprietari due ragazzi giovani e super preparati.Il posto non è molto grande ha solamente 27 coperti, quindi se siete gruppi vi consiglio di prenotare.Il menu cambia ogni 2 mesi e contiene una selezione ristretta di piatti che vengono fatti in maniera eccelsa, inoltre cuciano senza glutine , e ci sono a disposizione anche pitti vegetariani.Dispongo si un ottima cantina di vini e di liquori.Consiglio questo posto che una cena romantica/ una cena di gruppo in un ambiente molto intimo e con poca confusione.Complimenti ragazzi per il posto che avete creato 5 stelle non bastano!Consigliato a tutti!!"
"ui_bubble_rating bubble_50","Un sogno di un ristorante ","Il Vezzo si trova un po fuori degli hot spots dei turisti vicino all' mercato centrale di Firenze. Grazie al oste si sente subito benvenuto nel vezzo. Il ristorante è piccolo ma molto carino senza fregnaccia. Tutti piatti che abbiamo provati e ci sono stati molti per d'avvero sono deliziosi senza eccezione. Da consigliare sono ad esempio il filetto, il fagiano, le zuppe e tutti i dolci. La carta dei vini e abbastanza grande con vini di altissima qualità. Per noi il vezzo e stato il migliore ristiorante a Firenze e per questo siamo ritornati 3 volte in una settimana."
"ui_bubble_rating bubble_40","Mix tra tradizione e innovazione","Location: carina e ben curata. Pochi posti disponibili, prenotate per tempo. Musica jazz di sottofondo.Servizio: senza fronzoli ovvero come piace a me. Attento alle richieste soddisfatte con garbo. In 10 abbiamo ordinato chi il primo chi il secondo, tutto arrivato insieme.Menù: poche pietanze in numero giusto però. Si trova anche una pietanza di pesce. Porzioni non abbondanti. Chi ha provato la bistecca ha detto che era buona. Ho preso le pappardelle al ragù con carne tagliata al coltello, ne avrei messa sicuramente di meno.Conto: un po' sopra le mie aspettative, ma ci può stare.Da riprovare."
"ui_bubble_rating bubble_50","Il piccolo 'vezzo' di farsi amare","Ambiente piccolino, semplice. Ottimo servizio professionale ma anche caloroso. Ho assaggiato seppie ripiene al pistacchio, gnocchi al nero di seppia, tortino di quinoa e anatra. Tutto squisito. Ottimo equilibrio tra la semplicità e un minimo di ricerca dettato dal percorso individuale del giovane chef. Conosco bene i ristoranti a Firenze, secondo il mio umile parere, lui ha riempito, egregiamente, quello spazio tra ennesima trattoria e cucina creativa, mantenendo i piedi ben saldi nella tradizione. Bravo abbinamento ben riuscito."
"ui_bubble_rating bubble_50","bella scoperta","locale carinissimo e personale attento e simpatico. tutti sorridenti e disponibili. bella atmosfera e ottimo menu. sapori decisi e materie prime ottime. bravi"
"ui_bubble_rating bubble_50","Piccolo gioiello culinario nel cuore di Firenze","Siamo stati a cena io e la mia ragazza poichè avevamo sentito parlare della bontà dei piatti degli chef del Vezzo, Marco e Giovanni.Le aspettative sono state subito ripagate dai primi sia di mare ( gnocchetti al nero di seppia con gamberi rossi e bottarga) sia di terra ( pappardelle al ragù di manzo ).Il petto d'anatra era superlativo per morbidezza e accostamento con crema di carote.Bella carta dei vini e ottimi distillati da dessert.Ci torneremo sicuramente anche per provare il cambio menù stagionale."
"ui_bubble_rating bubble_50","Cena ottima personale cortese e simpatico","Sono stato a cena da Il Vezzo una sera, provando a passare senza prenotazione (ci è andata bene, ma consiglio di prenotare se interessati). Il personale mi ha subito fatto un'ottima impressione, per cortesia e simpatia. Prendiamo un antipasto (salumi e formaggi) e il filetto con spinaci in crema. Una delizia, e molto bella anche la presentazione. Sicuramente uno dei ristoranti dove tornerò!"
"ui_bubble_rating bubble_50","Cena","Una scena in questo piccolo ristorantino caratteristico fiorentino, qualità molto alta come il servizio, consigliato da un amico sicuramente ritornerò… Conto con sconto accettatissimo… Grazie tutto lo Staff per la bellissima serata"
"ui_bubble_rating bubble_50","Bellissima serata!","Siamo stati in questo ristorante in occasione del mio compleanno. Il locale è molto intimo e silenzioso. Ci siamo trovati benissimo: servizio ottimo, cibo eccellente. Consigliatissimo."
"ui_bubble_rating bubble_50","Un gustoso sabato sera","Locale curato, accogliente e pulito. Servizio impeccabile, personale gentile e premuroso. Cibo ottimo, con abbinamenti e piatti davvero gustosi! Rapporto qualità prezzo assolutamente corretto! Consigliato vivamente, da provare se ci si trova nella magnifica Firenze!"
"ui_bubble_rating bubble_50","Sempre un piacere ","Tornare a mangiare in questo ristorante è sempre un piacere, piatti veramente molto buoni e ben presentati, prezzi onesti e il personale è davvero piacevole e competente. Sicuramente uno dei migliori a Firenze."
"ui_bubble_rating bubble_50","Imperdibile","Abbiamo scelto di cenare in questo posto per le ottime recensioni lette sul suo conto. Abbiamo ordinato un antipasto di salumi tipici, un filetto di manzo, un petto d'anatra e un dolce. La presentazione dei piatti è curata nel dettaglio ed è stata molto apprezzata, e la cena nel complesso ci è sembrata deliziosa. Il rapporto qualità/prezzo è ottimo. La posizione è comoda, in centro a Firenze. Il locale è molto accogliente e arredato con gusto. Il personale è gentilissimo, disponibile e competente. Credo che ritorneremo sicuramente se dovessimo in futuro visitare di nuovo Firenze! Assolutamente consigliato."
