"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Eccellente!","Ottima cena in ambiente deliziosoQualcosa di diverso e migliore di un ristorante indiano medio.Consigliato"
"ui_bubble_rating bubble_50","Ottimo cibo condito da gentilezza e cortesia! ","Per la prima volta ho provato cibo indiano e l'ho sicuramente fatto nel posto giusto! Senza dubbio i sapori sono molto particolari e speziati ma i camerieri sono pronti a dare consigli sulle scelte dei piatti. Gentilezza e cortesia sono infatti segni distintivi del personale. Il locale è anche frequentato da molti indiani, sicuramente indice della qualità ottima del cibo. Prezzi adeguati, si possono trovare sul menu disponibile online. Lo consiglio vivamente! "
"ui_bubble_rating bubble_50","Eccellente Ristorante Indiano","Locale semplice e accogliente personale veramente efficiente e molto gentile pronto a consigliare alcuni dei loro piatti.Abbiamo ordinato pollo Tandori, Tikka Masala e pollo con le verdure con riso e birra Indiana tutto veramente buono.A fine pasto ci hanno offerto un liquore Paan e fatto uno sconto del 10% pagando 20 euro a testa. Se vi piace Indiano o siete curiosi dovete provare."
"ui_bubble_rating bubble_30","Cibo buono, nel nostro caso il servizio un po’ meno...","In occasione di compleanno speciale proviamo per la seconda volta in vita nostra cibo indiano.La cameriera che ci accoglie ci consiglia bene sul poco piccante, peccato che però ci arriva l’ordine del tavolo a fianco.Nella nostra inesperienza non ce ne accorgiamo, se non che era particolarmente piccante.A metà della consumazione si accorgono dell’errore scusandosi, ma dicendoci anche che dovevamo accorgercene noi.Al momento del conto ci viene applicato solo uno sconto di 3,60€ però abbiamo dovuto pagare per 3 nun bread che non avevamo ordinato e di cui ne abbiamo lasciato una grossa parte. Contando che non abbiamo nemmeno potuto assaggiare il cibo da noi ordinato.Onestamente il cibo era buono, forse abbiamo preso male come servizio, ma sicuramente non ci aspettavamo di dover pagare quello che non abbiamo consumato!Un occasione speciale un po’ rovinata!"
"ui_bubble_rating bubble_50","Ottimo","Buonasera, Sono stato in questo locale a pranzo con la famiglia E abbiamo trovato un posto carino e accoglienteIl personale molto professionale e alla mano allo stesso tempo,decisamente di un accoglienza e gentilezza invidiabili, Molto disponibili anche con mia figlia di 5 anni.Mia moglie ha preso ali di pollo e agnello buonissimi,Anche per me che sono celiaco non ho avuto problemi a trovare piatti ottimi, dai gamberoni al classico pollo tikka Masala, ed Era tutto ottimo! E infatti ci siamo fatti preparare anche 3 secondi take away, così visto che non siamo lontanissimi(Pistoia) a cena si replica! Complimenti a tutti e grazie per l’ottimo servizio.A prestoSimone, Maika e Zoe "
"ui_bubble_rating bubble_50","Ottimo Masala Dosa","Dopo tanti viaggi in India cercavo un Masala Dosa ben fatto, impossibile da trovare in Italia.Finalmente sono passato in questo ristorante dove il Dosa era fatto a dovere.Servizio cortese e locale rinnovato completano la piacevole esperienza."
"ui_bubble_rating bubble_40","Ottimo ristorante indiano. Consigliato vivamente","Personale accogliente e cortese.Ambiente sobrio e piacevole.Menu con amplissima scelta di piatti, anche per chi volesse mangiare vegano.Abbiamo mangiato veramente benissimo con una spesa del tutto onesta.Lo consiglio vivamente.Lorenzo"
"ui_bubble_rating bubble_50","OTTIMO INDIANO","Il servizio è molto disponibile, il cibo davvero buono, consigliati il Butter Chicken e Chicken Vindalo! "
"ui_bubble_rating bubble_40","Ottima accoglienza","Siamo state benissimo. Abbiamo assaggiato un sacco di cose sfiziose consigliate dai ragazzi. Consiglio questo posto per una cena diversa!!!Alla fine anche il conto è stata una bella sorpresa. "
