"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Piacevole cenetta!","Posto molto carino e accogliente,personale estremamente gentile.L'ideale per una cena diversa a base di piccole portate.Abbiamo scoperto il locale per caso girando per Santo Spirito e siamo rimasti piacevolmente colpiti.Portate molto buone e abbinamenti di cibo sfiziosi e gustosi!Lo consiglio vivamente e ci torneremo presto!"
"ui_bubble_rating bubble_50","Aperitivo ","Premetto, non ho mangiato qui, ho solo, si fa per dire solo, un aperitivo.Peró ho avuto una gran bella impressione, prima di tutto locale molto carino, con personale gentile, giovane e preparato.Ho provato il negruni come aperitivo, la variante siciliana del negroni, strepitoso, una gran bella sorpresa, il tutto é stato accompagnato da una selezione di salumi e crostini veramente ottima!Insomma quando tornerò a Firenze proverò sicuramente la cucina!"
"ui_bubble_rating bubble_50","Ottima cena","Ci siamo fermati quasi per caso, pur essendo a fine serata ci hanno accettati e questo è sicuramente un buon modo di presentarsi al cliente.Abbiamo provato molti piatti ed erano tutti buonissimi.La mia ragazza mi ha già detto che ci vuol tornare!Spesa nella media"
"ui_bubble_rating bubble_50","Bel posto","Sono stato ieri sera in questo bel locale,gestito da ragazzi giovani,l’ambiente è tranquillo e la scelta su tapas(riviste all’italiana) è ampia,ho preso un vino e un mix di salumi e formaggi del posto..molto buoni,lo consiglio"
"ui_bubble_rating bubble_50","Grande gentilezza e prodotti di prima qualità","Locale semplice ma ben curato. Tavoli sia esterni che interni. Personale gentilissimo. Ottimi vini e prodotti di livello. Eccezionale la battuta di carne!!! Marco, il titolare, ci mette passione e la trasmette ovunque. Ottima pure l musica di sottofondo. Impossibile non uscire soddisfatti e più felici...."
"ui_bubble_rating bubble_40","Menù accattivante e location accogliente","Il locale si trova a due passi da Santo spirito, offre cocktail e tapas rivisitate in stile cucina italiana. Si possono scegliere piatti dal banco o una selezione dalla cucina di portate calde, piccole ma facilmente divisibili per due. L'idea è diversa dal solito aperitivo/apericena e la qualità ci ha soddisfatto. Buoni anche i dolcetti. Prenotando con the fork si risparmia il 25%!"
"ui_bubble_rating bubble_40","Ottima idea in una bella location","Buonissime tapas della cucina tradizionale italiana rivisitate in modo intelligente. Location deliziosa e prezzi adeguati (non si paga il coperto)."
"ui_bubble_rating bubble_50","Sapori toscani in chiave moderna","Ottimo ristorante che profuma di novità, moderno e creativo ma che non dimentica l'antica tradizione culinaria della sua terra. Vincente la scelta di recuperare la formula spagnola di tendenza per servire ricette mini rivisitate e un po' svecchiate , per permettere di assaggiare molto della cucina toscana senza appesantirsi. La cura per il dettaglio, sia nei piatti, sia nella location, rendono il locale accogliente, grazioso e innovativo. Bravi!"
"ui_bubble_rating bubble_40","Carinissimo e buono","Posto molto molto carino, c'è una sala interna curata e informale e una piccola sala esterna. Posto ideale per mangiare piccole e gustose tapas. Prodotti buoni, abbinamenti interessanti. Dolci deliziosi. Posto non pretenzioso. Proprietari e camerieri disponibili e simpatici. Prezzi buoni soprattutto rispetto agli standard di Fi. "
"ui_bubble_rating bubble_50","Servizio ottimo e tapas buone!","Capitati per caso in una bollente serata Fiorentina,in cerca di posti nuovi nel “solito” santo spirito... una bella scoperta! Camerieri gentilissimi, bella scoperta la corte esterna dove si può mangiare all’aperto, tapas buone e porzioni da dividere in due così è stato possibile assaggiare diversi piatti. Conto buono, 7 tapas (che ci hanno sfamato abbondantemente)due birre ,un calice di vino una bottiglia di acqua e due caffè per 55€ in due. Considerando che siamo nella zona “ cool” di Firenze direi che il rapporto qualità prezzo è perfetto!!!Tornerò sicuramente! Bravi!"
"ui_bubble_rating bubble_50","Accogliente e originale","Localino accogliente, ideale per un aperitivo o una cena veloce. Interessante l’idea di proporre ricette della cucina italiana con la formula delle “tapas”. I piatti sono preparati con ingredienti di qualità (ottimi i salumi) e presentati con cura. Il personale è giovane e gentilissimo. Buon rapporto qualità/prezzo."
"ui_bubble_rating bubble_40","Ottima scoperta","Abbiamo provato questo locale con mio marito e devo dire che ne è valsa davvero la pena!tapas particolari tutte espresse e ottime!Abbiamo ordinato:paccheri ripieni, gnudi con salsa di gamberi, tartara marinata,riso cozze e patate,fiori di zucca ripieni.Anche l’area esterna coi tavolini è molto carina anche per sorseggiare un cocktail in tranquillità."
"ui_bubble_rating bubble_50","Bella idea","Un concept davvero vincente. Prodotti di ottima qualità, formaggi freschi ottimi. Le tapas sono belle da vedere, buone da mangiare e le porzioni perfette da condividere. Avrei voluto ordinare tutto il menu. Anche la carta dei cocktail è una sorpresa, la sangria bianca delicata e rinfrescante. Il gestore è cortesissimo, simpatico e pronto a consigliare."
