"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","HO PRENOTATO PER ASPORTO","Abituato a ristoranti e cucina Marinara questo ristorante usa troppe verdure e poco pesce, frittura scarsa e moscia, no non mi sono trovato bene, do 3 ma merita 2 . Bella presenza i piatti ma di sola scena"
"ui_bubble_rating bubble_40","Il mare...lontano dal mare!","Frequento questo ristorante da alcuni mesi, consigliato da amici fiorentini. Premetto che vengo dal mare pertanto, trovare un ristorante di pesce di qualità a Firenze, pensavo fosse la cosa più rara al mondo. Mi sono dovuto ricredere! Questo ristorante dà del filo da torcere a chi il pesce ce l’ha di fronte al ristorante!Divini i crudi, ottimi i primi (alcuni con la mia adorata pasta Verrigni), gustosissimi i secondi e dessert capaci di completare la piacevolezza del pasto.Continuerò a tornarci anche perché oltre questo, il personale è squisitamente gentile e sorridente!!!Fabio "
"ui_bubble_rating bubble_50","Qualità e perfezione in cucina, un connubio vincente","Ambiente piccolo ed intimo, rinnovato esteticamente ogni un pò.Cucina semplice, genuina, con grande attenzione per la qualità, carta dei vini all'altezza di un'enoteca, sicuramente hanno un sommelier nascosto bene."
"ui_bubble_rating bubble_50","Squisito!","Buonissimo il pesce... molto gentile il servizio. Bel posto piccolo ma ben gestito. Consigliabile!!!"
"ui_bubble_rating bubble_50","Piccolo ma top <U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F>","Un piccolo ristorante di solo pesce, pochi tavoli pesce buono e fresco servizio piacevole carta dei vini buona con una piccola selezione di piccoli formati. Lo consiglio, da ritornarci "
"ui_bubble_rating bubble_50","Ottimo ","Complimenti per il locale,l’ottimo cibo ,la professionalità e il rapporto qualità prezzo,buonissima carta dei vini e piatti veramente fatti bene ,un posto amichevole che ti senti sulla pelle appena entri,bravi davvero complimenti!! Da provare "
"ui_bubble_rating bubble_50","Favoloso","Atmosfera intima ed accogliente, personale gentile e disponibile. Consiglio l’antipasto misto con crudo...un mix abbontande, curato e variegato di specialità di pesce.Prezzo non economico, ma perfettamente coerente con la qualità del cibo e del servizio.Consigliato sotto tutti gli aspetti!!"
"ui_bubble_rating bubble_50","Unico","Sono stata ieri sera con mio marito per la seconda volta. Fantastica l’accoglienza, la cortesia e sopratutto il pesce.Dall’antipasto al dolce... Complimenti!A presto..."
"ui_bubble_rating bubble_40","Piacevole scoperta","Cenato in questo piacevole locale al bancone.. assaggiato penne trabaccolara ottime.. proseguito con una frittura di mare e catalana molto buona. Prezzi sopra la media ma la qualità c’è tutta "
"ui_bubble_rating bubble_50","Uscite dall’angolo!","Parola d’ordine: uscire dal questo angolo di Firenze e provare a crescere. Di posti cosi’ ne avremmo piu’ bisogno. Piccolo e raffinato locale gestito da personale giovane, educato e di poche parole. I piatti sono ottimi, freschi e ben impiattati. Lista dei vini superlativa, dolci altrettanto buoni e ricercati. Prezzi sopra la media, personalmente ritengo che ne valga comunque la pena, parliamo di un ristorantino sopra la media. "
