"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Carino","Localino piccolo con buoni prodotti, schiacciata e birra di passaggio veramente ottimi.Ve lo consiglio anche perché tutto viene accompagnato da una buona musica."
"ui_bubble_rating bubble_50","Un caffè ristoratore","Il locale è molto piccolo ma il caffè che ho bevuto qua è davvero di alto livello. Non sono abituato, purtroppo, a bere il caffè amaro e questo è uno dei due posti a Firenze dove ci riesco. Davvero ottimo"
"ui_bubble_rating bubble_50","Aperitivo e ultima birra ","Ci siamo fermati per un aperitivo prima di andare al concerto dei Guns n’Roses. Il locale è piccolo ma sfrutta bene gli spazi. Buona scelta di vini e birre in bottiglia (c’è anche birra alla spina). Ottime le schiacciate. Visto che ci siamo trovati bene, ci siamo ripassati dopo il concerto per berci l’ultima birra prima di andare a dormire."
"ui_bubble_rating bubble_40","Buona colazione","Bel localino, molto piccolo ma con atmosfera giovanile, aperto da mattina a sera. Noi siamo andati a colazione e ci siamo trovati bene"
"ui_bubble_rating bubble_40","Aperitivo","Abbiamo fatto un aperitivo veloce in questo locale e ci siamo trovati bene...Chianti classico buono e tagliere di affettato tipico toscano buono.Confermiamo il giudizio anche X la colazione.Bravi e cordiali."
"ui_bubble_rating bubble_50","Ottimo aperitivo tipico","Per chi vuole bere del buon vino e degustare salumi e specialità toscane deve assolutamente fare una tappa in questo posto. Vasta scelta di vini e ottimi salumi, unica pecca è la limitata disponibilità di coperti."
"ui_bubble_rating bubble_50","Aperitivo","Ottimo posto per una sosta...aperitivo prosecco e tagliere grande ottimi prezzi e ottimo cibo...complimenti ..."
"ui_bubble_rating bubble_50","al posto giusto al momento giusto","ci siamo imbattute per caso ieri sera, affamate e stanche, in questo localino semplice ma arredato con dei bellissimi cubi di legno. pur essendo tardi, l'oste ci ha coccolate come fossimo le prime turiste della giornata. che carino. grazie!"
"ui_bubble_rating bubble_50","Carinissimo!","Ci siamo fermati a bere qualcosa e abbiamo scoperto questo posticino: carino, prattico, buona posizione, con una cameriera molto amichevole e gentile, all'ombra, fresco e con wifi. Ve lo consigliol"
