"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_40","Come una volta","A passeggio per la meravigliosa Firenze sotto un temporale e in un' orario non più da pranzo, ci siamo rifugiati in questa piccola e accogliente enoteca.Il locale si trova sotto un portico, dispone di qualche tavolino all' aperto mentre all' interno ha un' ambiente con pareti piene di bottiglie di vino e prodotti tipici in vendita, molto bello il tavolo con il piano in marmo da osteria.Mi sono piaciute molto le vecchie fotografie appese, dove si nota la rivendita di vino sfuso e ho apprezzato che le vasche e i rubinetti siano ancora presenti.Noi abbiamo provato dei taglieri con salumi, formaggi e crostini tiepidi, tutto buonissimo, accompagnati da calici di ottimo vino. Una sosta piacevole in un luogo caratteristico."
"ui_bubble_rating bubble_40","Piccola e accogliente ","Enoteca piccola e accogliente con qualche buon bicchiere anche alla mescita. Titolare cordiale e premuroso. Un buon indirizzo per rilassarsi un po’ "
"ui_bubble_rating bubble_10","Vino in busta di plastica","In cerca di un'enoteca, ci fermiamo a comprare una buona bottiglia di Chianti rosso come regalo.Alla gentilezza della ragazza che ci ha sapientemente consigliato l'acquisto, si contrappone un gesto di arrogante maleducazione: alla richiesta di un cartone rigido ove inserire la bottiglia, evidentemente in mostra dietro la cassa, il commesso ci risponde no, non le abbiamo... tanto é il pensiero quello che conta, mentre la avvolge in una busta di plastica.Ce ne andiamo sconcertati."
"ui_bubble_rating bubble_50","oasi in centro firenze","Ottimi panini,formaggi salumi bonissimi. I vini tanti tipi da scegliere costano giusti. I proprietari sono gentilissimi."
"ui_bubble_rating bubble_50","Eccezionale...anzi, divino!","Basterebbe il titolo per descrivere questo posticino. Tutto perfetto, dai taglieri di salumi e formaggi, ai crostini (il bis è d'obbligo) alla scelta dei vini, ai prodotti tipici in vendita, all accoglienza del proprietario che si fa in quattro per accontentare i clienti. Se avessi avuto spazio in valigia ne avrei approfittato sicuramente per comprare qualche bottiglia. Siamo stati veramente bene e sicuramente nella prossima visita a firenze ci torneremo!"
"ui_bubble_rating bubble_50","sorprendente!!","Cibo di ottima qualità, piatti semplici ma pieni di sapori! abbiamo assaggiato crostini e panini, l'abbinamento lardo e acciughe è super!Ottima scelta di birre, la Divina IPA artigianale autoprodotta è fresca e profumata.Non abbiamo bevuto vino ma ho notato l'ottima qualità delle etichette proposte.Il titolare Livio gentilissimo, preparato e disponibile! Il servizio è stato ottimo.Locale molto piacevole, cercavamo un pasto veloce prima di ripartire, tra l'altro un po' tardi per ora di pranzo, è stata una piacevole sorpresa!"
"ui_bubble_rating bubble_50","Ottimo! <U+0001F44D><U+0001F3FB>","Ottima scelta di vino. Perfetto per cenare o aperitivo. Prezzi davvero onesti. Super raccomandato!! Servizio attento e curato. Proprietari molto simpatici"
"ui_bubble_rating bubble_40","Interessante enoteca!","Si trova in centro, a lato del mercato centrale sotto i portici. I proprietari hanno lasciato aperta l'enoteca per la nostra serata (solitamente chiude intorno alle 20-20:30). Tantissimi vini a disposizione, basta farsi consigliare dal proprietario sommelier, e un'infinità di prodotti tipici da poter acquistare, posizionati sopra le bellissime vasche in marmo dove un tempo lasciavano i baccalà in ammollo. Abbiamo degustato dei vassoi di prosciutto, finocchiona è soprassata, oltre a formaggi e classici crostini. Il proprietario ci ha poi offerto una bottiglia da dessert. Prezzi nella media, lo consiglio per una sosta. "
"ui_bubble_rating bubble_50","TOP!!!","Davvero bravi Livio e la Bianca che gestiscono con grande professionalità questa bellissima Enoteca nel centro di Firenze.Prodotti ricercati, confetture, salumi, formaggi di primissima qualità abbinati nei loro ottimi panini/ schiacciate per un esplosione di gusto!Fatevi consigliare da loro per degustare anche un ottimo vino, tra una scelta veramente imbarazzante di etichette, i due sommelier/proprietari vi guideranno a quella giusta per voi!Provate e non vi pentirete Bravi ragazzi, continuate così!!!"
