"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Ottimo locale","Locale ottimo. Cibo molto buono (panini, affettati ecc) ideale per un pasto veloce. Posizione ottima."
"ui_bubble_rating bubble_40","Tagliere per quattro","Abbiamo deciso di goderci questo super tagliere con un buon vino della casa. La composizione del tagliere è stata curata ed abbondante così da poter assaggiare tutti i diversi affettati e contorni serviti. Lo staff è stato gentile e cordiale, ottimo rapporto qualità prezzo. "
"ui_bubble_rating bubble_40","Meglio i taglieri delle schiacciate","Sono stata in questo locale diverse volte negli anni. I taglieri sono da re e meriterebbero 5 palle: qualità e quantità eccezionali. Salumi, formaggi, porchetta, confetture, frutta, sottaceti.Le palle scendono a 4 per i panini, buoni ma non allo stesso livello dei taglieri.Buona scelta di vini.Prezzi top per i taglieri (in proporzione alle prelibatezze), meno per i panini."
"ui_bubble_rating bubble_40","Bellissimo locale","Siamo passate per caso davanti al locale, ci siamo fermate per un pranzo veloce.Ho trovato bello l'ambiente, l'ampia proposta di pietanze, e anche la focaccia con nduja (che però pensavo fosse a fette e non in salsa), patè di olive e verdure grigliate, oltre che il vino rigorosamente Chianti.Avrei da ridire sul fatto che non ci hanno dato un menù dicendo che si possono mischiare gli ingredienti a piacere (peccato che di molti non sapevo il nome e qualche indicazione sugli abbonamenti sarebbe stata gradita), e sul fatto che il locale era abbastanza freddo in quanto la porta d'ingresso era sempre aperta.Per il resto lo consiglio vivamente, ci ritornerei volentieri."
"ui_bubble_rating bubble_30","Buona schiacciata","Alta qualità dei condimenti. Qualità del pane leggermente da migliorare.Location abbastanza tranquilla"
"ui_bubble_rating bubble_50","Oasi di bonta","Oasi di bontà.. locale che merita!aperitivi eccellenti ottimi vini. Stracotto da 10. Consiglio a tutti "
"ui_bubble_rating bubble_50","Panini spettacolari","Gruppo numeroso di amici, siamo stati per pranzo. Per entrare nel locale c’era una coda di circa 20 minuti, ma una volta entrati siamo tempestivamente stati serviri. I panini si possono comporre a scelta con una vasta lista di ingredienti di ottima qualità. Unica pecca, locale poco spazioso e risulta difficile muoversi a causa delle molte persone all’interno"
"ui_bubble_rating bubble_40","“Pranzo con tagliere e Chianti”","Io e il mio fidanzato abbiamo pranzato in questo locale.Abbiamo mangiato un tagliere da 10€ a testa e preso due bicchieri di Chianti a 5€ l’uno.Tagliere molto gustoso e molto vario. Quantità abbondante per due persone.Chianti molto buono.Location Toscana molto particolare e caratteristica.È disponibile bere l’acqua da un rubinetto vicino al bancone gratis (fresca e buona).Personale molto allegro e accogliente, soprattutto la ragazza mora che ci ha accolti con un gran sorriso.Torneremo presto "
"ui_bubble_rating bubble_40","Una sicurezza","Avevo già provato la Prosciutteria a Milano, sapevo che sarei andata sul sicuro. Davvero buonissimo, ma la schiacciata toscana era un po' piccola. Abbiamo anche preso un tagliere da condividere, con salumi davvero speciali e abbiamo anche avuto fortuna perché abbiamo trovato posto da sedere. Servizio veloce e gentile, sicuramente una tappa immancabile a Firenze"
"ui_bubble_rating bubble_30","Buoni panini","Siamo entrati in questo piccolo locale il 1 gennaio .Il più famoso Antico Vinaio era inarrivabile dato la coda chilometrica di gente fuori,e devo dire che è stato una buona scelta.Ampia scelta di salumi ,formaggi e salse varie .Personale gentile e disponibile nel consigliarti .Provato il panino con il lampredotto buono.Prezzo nella media (4,5€ a panino).Consigliato"
"ui_bubble_rating bubble_50","L’attesa ne è valsa la pena!","Per acquistare 2 focacce abbiamo aspettato circa 20 minuti in fila, ma l’attesa ne è valsa veramente la pena! Focaccia croccante, prosciutto fiorentino molto buono e tagliato al momento. Locale molto piccolo, da prendere e mangiare mentre si passeggia per Firenze. Prezzi ok per la qualità.Lo consiglio."
