"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","schiaccia da leccarsi i baffi","Locale piccolissimo, ci sono 3/4 sgabellini, altrimenti si mangia in piedi. Abbiamo preso due schiacce, entrambe fatte sul momento con prodotti ottimi, servite calde e ben farcite. La ragazza che ci lavora è stata estremamente disponibile e gentile. Siamo usciti con un gran sorriso sulle labbra, ottimo per un pasto al volo!"
"ui_bubble_rating bubble_50","La vera schiacciata fiorentina!","Il locale è piccola ma accogliente. Il personale gentile e sorridente. La schiacciata fiorentina originale è un vanto di questo localino. Ottima scelta di vini, tra cui anche vini locali da 2.50 euro. Prezzi convenienti a partire da 5.00 euro con porzioni abbondanti. CONSIGLIATISSIMO!"
"ui_bubble_rating bubble_50","Rientro stupendo a firenze","Come sempre quando torno a Firenze passo di qui... Prodotti sublimi e ottima qualità prezzo... Personale fantastico 10 elode"
"ui_bubble_rating bubble_50","Schiacciata fantastica","Scoperto per caso a due passi da Piazza della Signoria, si è rivelato un posto perfetto per un pranzo veloce durante i miei giri in centro. Schiacciate ottime, prezzi buoni e servizio impeccabile."
"ui_bubble_rating bubble_50","Schiacciata top","Siamo stati questo fine settimana a Firenze abbiamo avuto la fortuna di assaggiare delle schiacciate ottime con ingredienti di altissima qualità.Alla prossima schiacciata"
"ui_bubble_rating bubble_50","La migliore","Sono stata 3 giorni a Firenze e questo posto è stata la mia tappa fissa.Prezzo economico:5 € ogni tipoQualità: altissimaPersonale cordiale e simpaticoConsigliato per tutti i gusti."
"ui_bubble_rating bubble_50","La migliore schiacciata di Firenze","Sono stato a mangiare con degli amici e abbiamo provato una varietà di schiacciate unica in tutta Firenze."
"ui_bubble_rating bubble_50","Ottimo panino","Ottimi e sfiziosi panini per un pranzo veloce dietro Piazza Della Signoria. C'è una vasta scelta di ingredienti e di abbinamenti! Ci passo spesso x un boccone al volo ma allo stesso tempo gustoso e con un'ottima qualità prezzo! Personale rapido e gentile."
"ui_bubble_rating bubble_50","Pausa per pranzo","Dopo un po’ di coda ho preso la schiaccia “I DAVID” con crudo mozzarella e crema di tartufo e devo confermare quello che è scritto nelle altre recensioni Schiacciata fresca e ben farcita con prezzi giusti considerando l’ottima qualità dei prodotti e personale particolarmente cordiale Da ritornare per provare altri tipi di schiacciate elencate "
"ui_bubble_rating bubble_50","Schiaccia ottima ed economica ","Capitata per caso mentre giravo per Firenze, è stato un incontro fortunato! La schiaccia è molto buona e ben farcita, i prezzi sono onesti e leggermente inferiori rispetto al circondario, in più le ragazze al bancone sono molto disponibili e cordiali! Straconsigliato!"
"ui_bubble_rating bubble_50","Doppio Giro.","Sono stato ieri sera con due amici durante una breve giornata a Firenze e, piaciuteci molto le proposte del menù e soprattutto la Schiaccia, abbiamo deciso di tornare per un secondo giro un paio di ore dopo.Nonostante il locale fosse in chiusura la ragazza, gentilissima, ci ha comunque preparato le nostre deliziose Schiacce, accompagnate da una lunga e piacevolissima chiacchierata fino a chiusura del locale. Siamo rimasti davvero continuamente sia per il cibo davvero ottimo che per l'incredibile simpatia di Clementina. Da ritornare."
"ui_bubble_rating bubble_40","Perfetto se non fosse per il vino","Panino fresco , sufficientemente( siamo al centro di Firenze) economico , digeribile è servito con cortesia e disponibilità .Potrebbero migliorare sul vino .Per uno snack ottimo."
"ui_bubble_rating bubble_10","Mai più!","Mi trovavo in centro per un pranzo al volo, file interminabili da tutte le parti, su trip trovo questo localino molto accreditato vado ordino una schiacciata il porcellino porchetta pecorino e salsa funghi, risultato ne ho mangiata mezza l altra purtroppo lho dovuta buttare, salsa funghi non sapeva di niente, porchetta riscaldata etc. etc.Peccato le ragazze gentili e con voglia di fare."
"ui_bubble_rating bubble_50","Miglior panino in citta","Io e Becca siamo ritornati in citta e cercando un altra paninoteca siamo passati davanti a La Schiacciata e vedendo la fila abbiamo deciso di provarla. Vicinissima a Piazza Signoria. Prodotti molto freschi. Pane delizioso. Le ragazze sono molto gentili. Consiglio fortemente.Grazi Miller "
"ui_bubble_rating bubble_50","Buonissima schiaccia !","Schiaccia buonissima, ingredienti di qualità, personale gentile e veloce. Consiglio Dante e Conte. Cinque stelle meritate. Grazie@"
"ui_bubble_rating bubble_50","Un piacevole e semplice pranzo al volo","Trasportati dalle eccellenti recensioni qui su trip, decidiamo di andare a pranzare in questa piccola ma accogliente schiacciateria! Ho mangiato un “David “ e la mia fidanzata un “Dante”. Sono ottimi panini ricchi di sapori del luogo che ti fanno venire voglia di mangiare un panino dopo l’altro !! Vi consiglio di passarci , delle ragazze super cordiali e accondiscendenti, vi assicuro che non ne rimarrete delusi , siamo totalmente d’accordo con le recensioni eccellenti !!!!"
"ui_bubble_rating bubble_20","5 stelle ? Ma dove mangiate di solito?","Ingannato dalle recensioni lette qui siamo andati in questo posto per provare la famosa schiacciata. Poca fila ma comunque abbiamo aspettato molto, sono lenti purtroppo. Panino con prosciutto e mozzarella SCALDATI al forno. Scherziamo? Prosciutto crudo che scaldato nasconde il sapore e risulta salatissimo. Mozzarella che se di qualità non verrebbe scaldata neanche dall’ultimo degli italiani. Pane salatissimo poichè cosparso di sale grosso. In confronto con altri li vicino (con molta piu coda purtroppo) in questo non ci tornerei mai e poi mai. Sconsigliato."
"ui_bubble_rating bubble_50","Schiaccia buonissima!","Trasportati dalle recensioni positive di TripAdvisor, io e la mia ragazza, abbiamo deciso di mangiare per pranzo una schiaccia al volo; veramente buonissima e molto brave e precise le ragazze che ci lavorano! Vi consiglio di prendere “i David” non ve ne pentirete. "
"ui_bubble_rating bubble_50","Una piacevole sorpresa ","Siamo arrivati a Firenze affamati dopo un viaggio di quasi 5 ore e decidiamo di mangiare una cosa al volo , internet ci consiglia questo localino , arriviamo e siamo accolti da due ragazze cordiali e simpatiche , una delle due innamorata del mio anello :) ci consigliano due ottime schiacciate, i Dante  e i tuscano davvero squisite Ritorneremo sicuramente "
"ui_bubble_rating bubble_40","Personale gentile e ottime schiacciate","Il locale è molto piccolo e difficilmente riuscirete a sedervi per mangiare, il personale è molto gentile, la ragazza ha assecondato ogni nostra richiesta.Le schiacciate sono simili a focacce e riempite con diversi prodotti di buona qualità. Lo consiglio per un pranzo veloce e non troppo pesante. "
"ui_bubble_rating bubble_50","Schiacciata al volo","Locale in centro Firenze, perfetto soprattutto per un pranzo veloce prima di proseguire la visita della città.Mai mangiato un panino così buono!"
"ui_bubble_rating bubble_50","Pranzo al volo","Locale piccolissimo, il servizio è un po’ lento, bisogna aspettare anche in caso non ci sia molta gente ma ne vale la pena in quanto le schiacciate sono davvero molto buone. "
"ui_bubble_rating bubble_50","Mai mangiato una schiacciata così buona. ","Una schiacciata che si scioglie in bocca. Croccante e allo stesso tempo morbida. Farcitura abbondante, che dire... QUESTO POSTO CONSIGLIO A TUTTI COLORO CHE VISITANO FIRENZE. Assaggiate porcellino con la porchetta, pecorino toscano e salsa ai carciofi. "
"ui_bubble_rating bubble_50","Mai mangiato un panino cosi buono","Il titolo dice tutto.. mai mangiato un panino cosi buono.. preso il maialino in compagnia di amici accompagnato da bicchieri di vino.. ottimo pure il vino.. ma la cortesia della ragazza e la bontà del panino la fanno da padrone.. un tesoro nascosto tra le splendide vie di Firenze... lo consiglierò a tutti i miei amici!!!!"
"ui_bubble_rating bubble_50","Panini super!","Siamo andati a pranzo dopo aver visitato gli Uffizi, essendo questo posto vicinissimo alla Piazza Signoria. Abbiamo preso due panini, il mio era il Perseo: prosciutto cotto, mozzarella e crema di carciofi! BUONISSIMO abbiamo speso in totale 11€ per un pranzo con due schiacciate e una bottiglietta d’acqua, l’impasto della schiacciata era croccante e molto molto condito, ingredienti ottimi! Un pranzo di poche pretese ma che lascia tanta soddisfazione. PROVATELO!"
"ui_bubble_rating bubble_50","Eccellente","Complimenti, anche una semplice schiacciata ripiena accompagnata da un buon bicchiere di vino, può essere speciale.Complimenti alle due ragazze che fanno le schiacciate brave e gentiliCi tornerò"
"ui_bubble_rating bubble_50","Schiacciata buonissima!","Non ero mai entrata in questo piccolo locale, ma trovandomi in centro e vista l'ora mi sono fermata. Vado pazza per la schiacciata e qui è speciale. Da consigliare anzi da straconsigliare anche per la gentilezza del personale!"
"ui_bubble_rating bubble_50","Pranzo al volo","Locale molto piccolo ma abbiamo mangiato una schiacciata molto buona e soprattuto calda! Mi è piaciuta la possibilità di scegliere tre impasti diversi ( normale , integrale o ai cereali) Veloci gentili e brave "
"ui_bubble_rating bubble_50","Ottima schiacciata ","Volevamo mangiare una cosa veloce senza spendere troppo e siamo andati in questo piccolo locale. La signora è stata gentilissima , ci ha fatto una schiacciata superlativa in pochissimo tempo e ci ha regalato anche la bottiglietta d’acqua. Gentilezza e qualità. Lo consigliamo . "
"ui_bubble_rating bubble_50","Pulizia, qualità del cibo e gentilezza! ","La schiacciata è ottima, si può scegliere tra quella integrale e quella normale, le salse e la finocchiona squisite, il personale molto cortese che usa i guanti e non solo per apparenza, togliendoli nel momento in cui deve maneggiare i soldi. Se non ci sta molta gente è possibile anche gustare la schiacciata seduti e in pieno relax. Pulizia, qualità del cibo e gentilezza cosa si vuole di più! Lo consigliamo vivamente!!! "
"ui_bubble_rating bubble_50","Da non perdere se viaggi a Firenze","Un posto absolutamente da visitaré se passi a Firenze.Vi consiglio la schiacciata 'i medici' troppo buona."
