"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una deliziosa scoperta","Luogo molto caldo e accogliente, arredato con gusto.Il menù è fisso e cambia ogni volta, se siete pronti a sperimentare cose nuove è per voi.La cucina è molto buona e richiama piatti sia italiani che francesi. Piatti della tradizione deliziosi, che ti fanno sentire come a casa.Il tutto contornato con un aperitivo di benvenuto.Il servizio è puntuale e professionale, tempi di attesa perfetti fra una portata e l'altra, camerieri molto cordiali e disponibili.Il proprietario è molto cordiale e con passione vi può raccontare la storia di questo locale e delle sue creazioni.Lo consiglio vivamente a chi vuole provare qualcosa di diverso e inusuale.PS il bagno merita una visita!"
"ui_bubble_rating bubble_40","Creatività e gusto","Si tratta di un locale realizzato in una specie di garage che hanno saputo trasformare in un locale di carattere e con un’atmosfera speciale. Arredato con grande gusto in uno stile volutamente casual ma a ben guardare ti rendi conto che ogni particolare è studiato. Molto colorato. Luci giuste e un bagno che da solo vale il viaggio. La ditta che lo gestisce si occupa di catering e li come a una cerimonia mangi quello che ti viene proposto dallo chef. Ovvio che come succede a un matrimonio possono esserci cose che soddisfano meno il tuo gusto, ma direi (caso raro) che non ci sono mai cadute di stile. La cucina è per definizione dello stesso proprietario toscoprovenzale. Ottimo servizio, buona apparecchiatura nella quale cambierei o toglierei proprio quei sottopiatti perché molto scomodi. Proprietario simpatico. Prezzi medi. Siamo stati molto bene e ritorneremo. Non provatelo perché odio non trovare posto in un ristorante che mi piace!"
"ui_bubble_rating bubble_50","Un ppsto speciale a Firenze","A volte nella vita si incontrano posti speciali. Non necessariamente quelli di lusso. Ma speciali. Dove ti senti a tuo agio. Posti speciali in cui ci si può rilassarsi, ridere stare bene. Ci sono posti in cui non solo ci si sente a casa, ma si vive un'esperienza diversa. Speciale, appunto.Come la Taverna di Le Cirque, in cui i raffinati piatti francesi vengono serviti con classe e maestria. Se a questo si aggiunge la passione del titolare, beh, il mix diventa perfetto. Abbiamo passato momenti straordinari con la mia compagna. Momenti che, ci auguriamo, vengano condivisi anche da altri avventori. "
"ui_bubble_rating bubble_50","Excellent","Cento metri quadri di Provenza a Firenze. Formula innovativa lanciata da Le Cirque, società che si occupa di catering. Buona l'accoglienza con una serie di stuzzichini e l' aperitivo che serve ad introdurre il cliente nel clima del locale arredato in stile provenzal-gitano. Il menù è fisso e varia ogni week end. Nella nostra serata era in puro stile provenzale. Porzioni abbondanti e ben presentate. Personale molto cordiale con il proprietario che funge da padrone di casa. Esperienza particolare da provare per l'eccellenza dei piatti oltre che per la particolarità dell'arredamento. Non dimenticate di andare in bagno (veramente particolare)."
"ui_bubble_rating bubble_40","Très bien. ","Ambiente sognante un po surreale un po provenzale un po circense....accogliente e caldo. Si viene accolti al bar con un aperitivo e una prima portata composta da numerosi finger food caldi e freddi, ben presentati vari e gustosi. A seguire ci si accomoda al tavolo dove vengono servite 4 portate tutte di ispirazione francesce. Il menù è fisso con variazioni per chi non gradisce la proposta della serata. Ogni serata è a tema ma sempre di ispirazione francesce. Per gustare piatti diversi e ricercati come fois Gras e ascargot ma anche ostriche. Portate difficili da trovare come il fois Gras e escargot ma anche serate a tema più vicine al gusto toscano come l' ottimo Chateaubriand che non ha nulla di meno della nostra amata fiorentina. Insomma un concetto nuovo a Firenze, forte dell esperienza di lunghi anni di catering che si mette a disposizione di questa taverna piccola e nascosta fra i palazzi di Novoli ma che ha grande potenzialità e permette di trascorrere serate invernali in un luogo caldo e accogliente. L'esperienza si vede nell ottima organizzazione della cucina e del servizio in sala. Attento, molto preparato e cordiale il padrone di casa che vi intrattera' con numerosi e piacevoli aneddoti. Per me degna di nota la serata del fois Gras. Piccolo Shop con vini e prodotti francesi. Insomma un piccolo rifugio per gli amanti del burro salato e delle specialità francesi ma non solo."
"ui_bubble_rating bubble_50","la provenza a firenze","Bellissima esperienza una cena un po diversa dal solito.... Aperitivo di benvenuto ottimo e ricco,poi una zuppa di pesce buonissima e dopo il trancio di tonno per chiudere se si vuole al posto dei dolci...formaggi morbidi francesi, una proposta degna di nota. Ottima la carta dei vini con prezzi molto onesti. La spesa con lo sconto the fork è super altrimenti un pochino sopra la media ma meriterebbe comunque!!! Consigliato caldamente!"
"ui_bubble_rating bubble_40","Ci tornerei... ...ma..","L'idea del proprietario è quella di rivivere le fasi di un matrimonio ..dall'antipasto a bouffet al pasto che non puoi scegliere perché menù fisso..come ad un matrimonoo..(cambia ogni settimana)Il cibo è di buona qualità ma personalmente per il tipo di menù che abbiamo assaggiato non ho assaporato troppo la parte Francese... Vino ottimo,questo forse l'unica parte veramente francese..Personale gentile..Per le recensioni precedentemente lette mi aspettavo un po' più di cura nei dettagli..ad es. le donne andrebbero servite prima degli uomini..durante l'aperitivo, servito in piedi, le pietanze proposte non erano tutte facili da gestire senza un piatto o un tovagliolino.. Con lo sconto ci tornerei ..senza non so..per ciò che abbiamo mangiato noi (magari in altre sere propongono qualcosa di più ricercato)40€ bevande e dolci esclusi forse un po' troppo.."
"ui_bubble_rating bubble_50","Ottimo tutto c'è poco da dire ","Un connubio veramente perfetto.Tutto gestito e organizzato nei più piccoli particolari, l'arredamento rispecchia a pieno il nome del locale, il personale veramente ottimo, carino e accogliente, un atmosfera intima e calda, i piatti sono ottimi e abbondanti, elemento secondo me essenziale per una buona vena, i prezzi sono più che giusti e sinceramente se deve spendere 10 euro in più per mangiare bene come ieri sera, sono più che disposta. Dopo l'aperitivo e il piatto d ingresso ero già più che soddisfatta.Locale ottimo. "
"ui_bubble_rating bubble_50","Il cibo è tanto e buono c è poco da dire! ","Difficilmente lascio 5 stella ma occorre dire che il cibo era davvero ottimo. Gli aperitivi superlativi ma lo stesso il resto della cena. Tutto mooooolto buono. Io amo recensire il cibo primariamente e su questo non ci piove. Il servizio è attento e cortese, nulla di meglio. Si può parlare della location che é defilata e in un posto poco consono ma se si comprende la storia (nasce come catering che poi evolve in) c è da dire che di un locale forse non bellissimo hanno creato un ambiente delizioso. Sono stata con lp sconto the fork e in quel Caso il prezzo é stato incredibile. Probabile risulti un po' 0iy complesso senza sconto ma sicuramente non si esce affamati :) "
