"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Davvero consigliatissimo!","Ristorante piccolo ma curato. Occorre prenotare per essere certi di avere un tavolo.Ottimo rapporto qualità/prezzo.Materia prima di qualità e piatti tradizionali.Noi abbiamo assaggiato i pici, le pappardelle, una grigliata mista, il cinghiale e un ottimo peposo. Ah! Anche il tiramisù!I sapori decisi ma non invadenti e la carne si scioglie in bocca. Personale di sala accogliente e disponibile.Se si è in zona è da tenere in considerazione!"
"ui_bubble_rating bubble_20","Capodanno col botto!!!","Il locale si trova nel cuore di San Frediano, piccolo ma ben curato nell’arredo. Peccato che sia un po’ troppo stretto ed al mio compagno sbadatamente è stato rovesciato dalla cameriera una tazzina di caffè addosso.... purtroppo la macchina sia su maglia che pantaloni non è venuta via... ma tralasciando questo piccolo incidente, nel tagliere ottimi affettati, lo stracotto estremamente salato come tutti gli altri piatti presi (es. coniglio ripieno e verdure grigliate, peposo...) peccato perché il sapore era ottimo e porzioni abbondanti. I dolci evitateli, il semolino non fresco ed inoltre troppa scorza/succo d’arancia all’interno, il tiramisù dozzinale. Ci è stata gentilmente offerta una bottiglia di prosecco per rimediare al danno sopracitato (e di questo ringrazio la signora che è stata gentilissima) anche se poi “siamo stati gentilmente accompagnati fuori dal locale” per festeggiare l’anno nuovo! Anche il conto come i piatti devo dire salato."
"ui_bubble_rating bubble_50","Bene bravi bis","Ho scelto su tripadvisor questo locale per la sua posizione vicina al mio albergo. Teoricamente la mia seconda cena era prevista altrove, ma sono rimasto talmente soddisfatto che non ho potuto fare a meno di tornare. Menzione d'onore per i pici al ragù di cinta senese e i tortelloni di lampredotto, non saprei davvero quale scegliere. A presto."
"ui_bubble_rating bubble_40","atmosfera tipica di una trattoria Toscana","Trattoria in pieno centro in Borgo san Frediano. Piatti tipici della cucina contadina toscana. Locale molto frequentato da giovani e studenti universitari. Ho scelto il cinghiale in umido e sono rimasto soddisfatto. I prezzi sono in linea con quanto offre il mercato a Firenze e, in generale, non l'ho trovato caro."
"ui_bubble_rating bubble_40","Tutto perfetto ma...","La Vecchia maniera è un piccolo ristorante che si trova nel fulcro della movida di San Frediano. Il locale è curato, accogliente ed arredato con gusto. Perfetto per una cena intima. Il personale gentilissimo, come anche il servizio puntuale.Devo ammettere che il menu proposto è davvero molto molto invitante. La tradizione toscana è di casa. Cito una perla che ho trovato che non ho potuto fare a meno di provare. Il lesso rifatto con le cipolle, tra l'altro buonissimo. Buoni anche gli antipasti ed il primo che abbiamo assaggiato.Purtroppo, con molto rammarico devo dire che il dolce, la panna cotta, è stata molto al di sotto di tutto il resto.Nel complesso però siamo ad un buon livello."
"ui_bubble_rating bubble_30","Nulla di che","Personale gentile servizio veloce ambiente molto piccolo antipasto con sbriciolona buona il primo sarebbe stato da rimandare perche' la pasta era scotta... peccato perche'il condimento era molto buono; tortelli di farina di castagne con ripieno di patate buono tiramisu' ottimoPrezzo medio"
"ui_bubble_rating bubble_40","Cucina toscana!!","Se vuoi assaggiare dei buoni piatti tipici toscani hai trovato il posto giusto, ragù di cinta, ragù di lampredotto, di trippa ecc, peposo, stracotto, ossobuco, servizio gentile e cordiale, bravi!!"
"ui_bubble_rating bubble_50","Una cena con famiglia ","E ti senti in famiglia. Il locale è piccolo ma accogliente il cibo ed i vini buonissimi. Tutto ottimo. "
"ui_bubble_rating bubble_50","Una garanzia ","Siete alla ricerca di un ristorante che propone piatti della autentica cucina toscana nel cuore di Firenze? Ecco l’avete appena trovato se venire a “La vecchia maniera”, propone piatti tipici dalle frattaglie, alla grigliata di carne passando per i fantastici pici al ragú di cinta senese e per finire che fai non te lo mangi il tiramisù?! Ogni piatto in questo piccolo ristorante è eccezionale per non parlare della titolare sempre col sorriso pronta a consigliarvi il piatto migliore per voi! Nota importante i prezzi, a Firenze si sa i ristoranti sono cari ma qua no, sono giusti e le porzioni molto abbondanti. "
