"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena senza glutine, tra buon cibo e risate","Siamo giunti in questo locale grazie al consiglio di un’amica, che ringrazio vivamente per averci fatto scoprire questo posticino delizioso. La proprietaria accoglie il cliente quasi come se questo fosse ospite per cena nella sua dimora, interagendo in modo spiritoso ma allo stesso tempo professionale, e per questo ti fa sentire subito a tuo agio. Essendo celiaca, chiedo cosa potessi mangiare tra le pietanze sul menù, e mi vengono assicurati un risotto, quasi tutti i secondi e qualche dolce. Quindi ordino un risotto con zucca e burrata, davvero delizioso. Inoltre, prima che fosse arrivato al tavolo, è stato fatto un errore in cucina, e così la proprietaria, per scusarsi dell’attesa, mi offre dell’ottimo formaggio di capra cotto al forno con miele. I miei amici prendono gli gnudi con burro e salvia e i ravioli ripieni di ossobuco alla Fiorentina, anche questi molto buoni. Ma, dulcis in fundo, ecco i dolci: molto scenografici, ma sopratutto molto buoni. Il prezzo rispecchia alla perfezione la quantità ma sopratutto la qualità dei prodotti. La cortesia e la simpatia della proprietaria sono speciali. L’ambiente familiare riesce a farti sentire a casa. Non solo lo consiglierò, ma ci tornerò pure. Chapeau!"
"ui_bubble_rating bubble_50","Speciale ","Ristorante piccolo nel centro di Firenze. Questo suo essere piccolo crea in atmosfera familiare che ti fa sentire subito a tuo agio. Cibo buonissimo con specialità anche particolari (come cervello fritto) e un applauso va ai dolci.....BUONISSIMI. Il servizio è ottimo, alla mano molto gentile socievole e veloce. Veramente un posto speciale come non ne trovavo da tempo. Bravi "
"ui_bubble_rating bubble_50","Sono comosso!","Abbiamo prenotato in questo posticino senza conoscerlo. Posto piccolino ma molto particolare.Ci hanno fatto subito sentire a casa!la proprietaria è veramente una sagoma,ci ha fatto morire dal ridere e allo stesso tempo ci ha saputo consigliare al meglio su tutto. Qualità del cibo ottima,salumi e formaggi eccezionale quegli spaghetti imbriaghi col pecorino...GNAM!La prossima volta assaggio gli gnudi che purtroppo erano finiti! Prezzo più che onesto."
"ui_bubble_rating bubble_50","Oh mio dio","Locale piccolo ma confortevole, la proprietaria una forza della natura simpatica alla mano e soprattutto che va incontro alle richieste del cliente (tranne per la cottura della carne, che in Toscana si mangia al sangue... ma meno male!!!!!) peccato non avere uno stomaco più capiente per poter apprezzare tutto il menù. Un filetto da sogno!!! Magari potessi trasferirmi sopra il ristorante per poter assaporare ogni giorno le pietanze prodotte in questo piccolo ristorante. Spero di poterci ritornare al più presto!!! "
"ui_bubble_rating bubble_50","Vinaina? Vinaiona direi<U+0001F609>","Sono stata ieri sera a cena con un'amica e ho trovato l'ambiente molto accogliente, con una ragazza a servire ai tavoli molto accurata e allo stesso tempo amichevole.Offrono ricette tradizionali con varianti di fantasia che fanno sempre piacere.Il cibo era eccellente, il prezzo giusto. Credo che ci tornerò presto."
"ui_bubble_rating bubble_50","Bellissima sorpresa","In via dell'Agnolo, a Firene, vicino a Piazza Santa Croce ci siamo imbattuti in questa piccola osteria. Andavamo di fretta, dovendo recarci al vicino Teatro Verdi per le 21, e siamo entrati. Semplice, ma curato, l'arredo: tipicamente rustico. Straordinariamente gentile ed accogliente l'addetto alla sala. Comprende immediatamente le nostre esigenze, ci fa accomodare e ci porta subito il menu'.L'offerta e' semplice ma non povera. Adatta a tutti gusti. Insieme ad un calice di vino (in bottiglia) ci portano subito un piccolo omaggio: crostini con melanzana grigliata, formaggio caprino e cipolla. Squisito. Scegliamo delle coccole con stracchino e prosciutto crudo come antipasto e tagliolini al tartufo fresco come primo piatto. Tutto squisito e impreziosito dal tartufo sfilettato a tavola sui tagliolini (ovviamente tartufo nero).Offerto un ottimo amaro toscano. Il conto arriva presto ed e' onesto (25€ a persona). I tempi rispettati con cortesia ed efficienza. Ci torneremo presto per provare la carne e gli altri secondi."
"ui_bubble_rating bubble_50","Di casa. ","Accoglienza, gentilezza, professionalità fanno da padrone. L’originalità dei piatti molto curata. Consigliato veramente. Il peposo e il salame di cioccolato toscanello, mi ti ci"
"ui_bubble_rating bubble_30","VinaOna","Sono stato qui durante il breve soggiorno fiorentino con la mia ragazza, tutti i piatti erano buoni. Buono in particolare il ragù all'anatra dei pici. Conto forse un po' elevato per quello che abbiamo mangiato."
"ui_bubble_rating bubble_50","Gastrocriminali","È tutto buonissimo. È un invito a mangiare, mangiare, mangiare: da Gastrocriminali, appunto. Consiglio: flan di pappa al pomodoro e poi il salame di cioccolato."
