"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Cena all’ultimo minuto ","Cibo ottimo e personale molto gentile. Trovato un tavolo anche senza prenotazione (consiglio di prenotare)"
"ui_bubble_rating bubble_50","Cena ","Cena di capodanno fuori menù fisso gentilmente concesso dalla proprietaria, disponibile e davvero simpatica.Servizio puntuale.Squisiti entrambi i primi (pici), gustoso il filetto con patate arrosto, tutto accompagnato da un buon Chianti classico Ruffino."
"ui_bubble_rating bubble_50","Eccezionale Veramente","Dopo numerose mezze delusioni, finalmente un ristorante nel centro di Firenze in grado di abbinare servizio e qualità in modo assolutamente adeguato.Servizio e simpatia vengono percepiti sin dall’ingresso nel locale.Sotto le premurose attenzioni della titolare ho modo di assaggiare un piatto di pici con salsiccia e cavolo nero eccezionale ed a seguire, finalmente, una Fiorentina degna della fama del luogo.Consigliatissima la versione con frollatura più lungaAnche se sono astemio le bottiglie alle pareti certificano una cantina degna di notaPrezzo inferiore alle aspettative.In una sola parola : “OTTIMO”"
"ui_bubble_rating bubble_50","Capodanno eccellente","Da un cenone di capodanno solitamente ci si aspettano prezzi più alti del solito e cibo di qualità inferiore alla media. Ebbene, qui succede tutto il contrario: per la cena del 31 dicembre, infatti, a 60€ a persona abbiamo mangiato: antipasto con tagliere di salumi e formaggi toscani abbondantissimo e buonissimo, un primo a scelta fra pappardelle al cinghiale e tortelli di patate con ragù (entrambi ottimi, ho assaggiato tutti e due dai piatti degli amici), bistecca fiorentina abbondante e cotta alla perfezione (la migliore che ho assaggiato in 3 posti provati a Firenze nella mia breve vacanza), dolce, caffè, amaro e bottiglia di prosecco offerta per il brindisi di mezzanotte.Il personale, nonostante la confusione dovuta all'occasione ed il lieve ritardo nella consegna del tavolo, è stato professionale, cortese e gentile, lasciandoci uno splendido ricordo della serata trascorsa, che si è rivelata davvero una meravigliosa sorpresa.Prezzi, dunque, abbondantemente sotto la media (soprattutto essendo capodanno) e cibo tipico, di altissima qualità ed in quantità generosa.Complimenti alla titolare e a tutto il personale perché lavorano duramente e con passione, la prossima volta che tornerò a Firenze non esiterò a tornare qui."
"ui_bubble_rating bubble_50","Pranzo di lavoro ","Mi capita spesso di pranzare al ristorante Cappelle Medicee ,Posto molto bello e molto curato .Dal esterno si nota che ci tengono tanto alla pulizia e alla bellezza del locale .Il mangiare qui è spettacolare, piatti tipici Toscani preparati con grande gusto ,Si fanno sentire le materie prime fresche e di prima qualità , la pasta fatta in casa è la migliore che puoi trovare . Molto buoni i dolci fatti in casa .I prezzi sono nella media , il personale è gentile e disponibile."
"ui_bubble_rating bubble_50","Super consigliato ","Io e mio marito abbiamo cenato per due sere in questo ottimo ristorante. Fiorentina buonissima e primi altrettanto buoni. Il personale è sempre gentile e pronto a darti un buon consiglio. I prezzi onestissimi!!! "
"ui_bubble_rating bubble_50","CENA DI INIZIO ANNO","Primo dell'anno iniziato nei migliori dei modi. Cibo ottimo e abbondante. Io e le mie amiche abbiamo ordinato antipasto tagliere per 2 abbondante, primi tipici toscani buonissimi e per finire dolce e vino altrettanto. Il personale cortese, professionale e alla mano. Location caratteristica del posto.Prezzi più che giusti. Consigliatissimo."
"ui_bubble_rating bubble_50","Cena fiorentina","In occasione delle nostre vacanze a Firenze, attirati dalle buone recensioni, abbiamo prenotato in questo piccolo locale in Piazza San Lorenzo. Abbiamo deciso di provare un’ottima Fiorentina accompagnata da patate. Servizio attento e titolare simpatica e alla mano. Conto onesto. "
"ui_bubble_rating bubble_50","Cena 1gennaio","Servizio cortese ed eccellente abbiamo cenato solo con primi piatti ed erano tutti veramente ottimi .Sicuramente consigliato"
"ui_bubble_rating bubble_50","Cibo TOP!","Ottimo rapporto qualità-prezzo, personale gentile e preparato, porzioni più che abbondanti e soddisfacenti. Locale carino, facilmente raggiungibile dalla stazione di Santa Maria novella o dal duomo, ottimo per pranzi/cene in compagnia.Consiglio davvero!"
"ui_bubble_rating bubble_40","Consigliato","Nonostante i piccoli tavoli posizionati strettamente uno accanto all’altro, la location è carina e suggestiva. I piatti sono buoni e ben presentati. Servizio cortese e gentile, ma non rapido. Prezzi nella media. Consigliato!"
"ui_bubble_rating bubble_50","Cena Primo Dell'anno","Cena tra amiche per festeggiare il primo Dell anno. Il locale già notato per le ottime recensioni su internet, si è mostrato pienamente all altezza. Con ottimi antipasti abbondanti, mix di salumi e formaggi LOCALI, primi altrettanto buoni, consigliatissimi le pappardelle al cinghiale e tortelli mugellani. Vastissima scelta di vini, personale cortese e disponibile. Location molto bella, il che non guasta!CONSIGLIATISSIMO!!!!"
"ui_bubble_rating bubble_50","FANTASTICO!!!!","Cena a Firenze con le mie amiche passata piacevolmente in questo ristorante. Personale, location e cibo OTTIMO. Lo consiglio vivamente a tutti."
"ui_bubble_rating bubble_30","Cena onesta ","Tempi di attesa per ordinare veramente importanti. Porzioni dei contorni inclusi nel piatto assolutamente indecenti (4 spicchi di patate) e il prezzo abbastanza importante considerata la porzione.Posizione molto buona ma é il classico locale turisco. Paccato "
